"ID","Description","GeneRatio","BgRatio","pvalue","qvalue","geneID","Count","bonferroni","Benjamini","enrichment_fold"
"101","Hematopoietic stem cell","13/567","59/11351",5.09821701304081e-06,2.43072885451481e-05,"3791/960/4609/5159/4851/836/51744/5728/947/7412/3675/7010/7852",13,0.000851402241177815,5.00824847751656e-05,4.41
"105","Germinal center B cell","1/567","10/11351",0.401082533424198,0.232205677245589,"5079",1,1,0.478434164870294,2
"106","Pluripotent stem cell","3/567","18/11351",0.0578478975665762,0.0509643948813086,"79727/5460/2719",3,1,0.105006509713242,3.34
"107","Myeloid cell","14/567","86/11351",8.34426841159917e-05,0.000218169326890708,"920/7422/929/9173/51744/7097/348/947/7412/941/942/1233/969/9332",14,0.0139349282473706,0.00044951381443131,3.26
"108","Granulocyte","2/567","19/11351",0.24491448593205,0.152699719973829,"960/929",2,1,0.31462091654348,2.11
"111","Non-classical monocyte","2/567","11/11351",0.101650205103521,0.0777265719262276,"929/1524",2,1,0.160147021248,3.64
"113","Monocyte derived dendritic cell","2/567","18/11351",0.226106257772744,0.142065947356192,"929/6280",2,1,0.292711201922855,2.22
"116","Eosinophil","8/567","53/11351",0.00447880677060259,0.00562434214190812,"960/3596/3566/929/6280/51744/3383/969",8,0.747960730690632,0.0115883361144639,3.02
"119","Plasma cell","4/567","47/11351",0.206575542760605,0.132884852068225,"6280/7494/3383/7852",4,1,0.273794568579532,1.7
"120","Granulosa cell","20/567","192/11351",0.00147491035647561,0.00222031443760353,"1588/476/2026/2597/1028/5111/2335/5577/4790/929/6280/5156/4313/7037/3383/4173/6154/3122/2719/6502",20,0.246310029531427,0.00457471279903637,2.09
"122","Beta cell","9/567","111/11351",0.102941010582114,0.07797794210352,"3630/3481/1028/2823/2778/240/6477/214/4267",9,1,0.160664941749655,1.62
"126","Myoepithelial cell","4/567","11/11351",0.00153403542961699,0.00222031443760353,"960/10630/8553/3688",4,0.256183916746037,0.00457471279903637,7.28
"127","Oviduct-derived stem cell","8/567","19/11351",1.70962855002791e-06,8.66061831264138e-06,"960/5159/947/3383/7412/214/5460/3688",8,0.000285507967854661,1.78442479909163e-05,8.43
