"ID","Description","GeneRatio","BgRatio","pvalue","qvalue","geneID","Count","bonferroni","Benjamini","enrichment_fold"
"101","Hematopoietic stem cell","38/2401","59/11351",8.0317276084662e-13,2.32497378139811e-12,"5728/3791/960/4851/836/5159/947/2624/3655/5175/7412/3815/3675/5788/3678/4609/6776/6688/7070/5243/5420/9429/648/4170/64866/7852/2322/7010/3673/3676/4804/3672/3575/1636/952/216/90952/8842",38,1.41358405909005e-10,8.83490036931282e-12,3.04
"105","Germinal center B cell","7/2401","10/11351",0.00122676416321127,0.000573924754718722,"3394/57379/5788/604/975/928/4005",7,0.215910492725183,0.00218091406793114,3.31
"106","Pluripotent stem cell","15/2401","18/11351",3.09708786198968e-08,4.02422056829076e-08,"4072/3655/5175/6657/5420/5460/9314/2719/5819/928/79923/2526/79727/290/1009",15,5.45087463710183e-06,1.52920381595049e-07,3.94
"107","Myeloid cell","44/2401","86/11351",6.92228752720821e-10,1.23312004533264e-09,"7422/920/947/3655/5175/7412/100133941/3815/5788/1436/57126/941/4311/1234/968/356/7099/942/1088/975/7097/2833/1237/2322/348/7056/958/4843/6693/3676/3572/3559/928/729230/3685/4353/1233/3684/952/929/54106/2526/290/9332",44,1.21832260478864e-07,4.68585617226402e-09,2.42
"108","Granulocyte","8/2401","19/11351",0.0318026459716659,0.0115981468939353,"960/5788/1088/3676/3684/929/2526/290",8,1,0.0440729581969543,1.99
"111","Non-classical monocyte","4/2401","11/11351",0.187457575608351,0.0586638216697542,"1088/3684/929/2526",4,1,0.222922522345066,1.72
"113","Monocyte derived dendritic cell","10/2401","18/11351",0.00142824639567693,0.000654954053254663,"140885/1471/6279/6280/1088/3684/929/2526/30835/909",10,0.25137136563914,0.00248882540236772,2.63
"116","Eosinophil","27/2401","53/11351",1.52364678161641e-06,1.21902068764662e-06,"963/3576/960/100133941/5788/3383/1048/6280/3596/1088/975/2833/6693/3676/3559/928/3570/3567/728/3566/3565/2056/3684/3581/929/1230/2526",27,0.000268161833564488,4.63227861305715e-06,2.41
"119","Plasma cell","15/2401","47/11351",0.0562156805916517,0.0195764934391189,"5175/6382/3815/3383/6279/6280/7494/975/7852/928/3512/639/5450/931/952",15,1,0.0743906750686519,1.51
"120","Granulosa cell","70/2401","192/11351",6.63110998779353e-07,5.90625181099019e-07,"4790/5111/4313/2335/2597/2026/2952/4173/80312/716/1052/3383/5156/4792/397/2192/9037/896/4493/5757/8788/6280/1028/1277/4211/64866/6228/1278/330/6696/2171/10644/10653/3627/1462/3939/7805/1984/4192/2719/5552/6502/8091/6136/4504/2878/2537/6160/3123/6234/3149/5577/23224/8407/5230/1382/7037/3094/668/10252/4494/54733/929/6154/5971/476/216/3872/10410/4502",70,0.000116707535785166,2.24437568817627e-06,1.72
"122","Beta cell","29/2401","111/11351",0.121802565934604,0.0394502237844872,"2990/29842/6653/3630/214/3481/9037/8788/5950/240/1028/23705/54361/4885/2778/140738/5122/486/6514/116/3651/6785/6092/9788/26585/8835/4267/971/3329",29,1,0.149910850381051,1.24
"126","Myoepithelial cell","7/2401","11/11351",0.00275747465495,0.00119359453829611,"10630/960/8626/3688/3861/4311/1001",7,0.4853155392712,0.00453565924552523,3.01
"127","Oviduct-derived stem cell","17/2401","19/11351",3.56734570327088e-10,7.18367098141505e-10,"960/214/5159/947/5175/7412/6657/3815/5788/3383/3688/7070/9429/5460/4907/3676/8842",17,6.27852843775675e-08,2.72979497293772e-09,4.23
"128","Cancer cell","32/2401","51/11351",1.43593919122593e-10,3.16698367989679e-10,"2064/2346/142/4072/999/4582/354/960/7431/4684/6382/100133941/3875/5329/2752/5788/3880/3688/768/5420/8797/5460/4804/1999/4286/931/3783/7490/216/7299/94025/3856",32,2.52725297655764e-08,1.20345379836078e-09,2.97
"133","Neural stem cell","45/2401","70/11351",6.84129120731842e-15,2.88054366623933e-14,"1499/6256/7431/4851/6597/4684/2624/3655/1000/100133941/2263/6657/124540/7545/4853/5080/6662/10763/3398/6423/5156/3688/6656/6664/4440/9429/648/5077/2551/64866/2264/2173/975/4288/7852/4920/8650/5590/4804/6513/26354/429/122060/2526/8842",45,1.20406725248804e-12,1.09460659317095e-13,3.04
"134","Cardiac progenitor cell","14/2401","19/11351",1.35990506651318e-06,1.14518321390583e-06,"3670/3791/214/836/947/7412/140885/3815/3688/9429/6546/2626/2526/7490",14,0.000239343291706319,4.35169621284217e-06,3.48
"137","Germ cell","12/2401","37/11351",0.0740262529527054,0.0253969210909867,"1956/3815/4440/5420/5460/326340/55124/2719/79923/639/2661/174",12,1,0.0965083001457493,1.53
"14","Kupffer cell","5/2401","10/11351",0.0409510862018605,0.0145898606711082,"968/3684/929/3689/9332",5,1,0.0554414705502111,2.36
"142","M2 macrophage","16/2401","23/11351",8.10840090551031e-07,7.08579225109143e-07,"8743/3586/6347/1436/3553/3552/968/7852/6362/383/6778/929/30835/948/4481/9332",16,0.000142707855936981,2.69260105541474e-06,3.29
"146","Smooth muscle cell","6/2401","11/11351",0.0153362718699848,0.00577489056293821,"1674/5175/800/6876/59/1003",6,1,0.0219445841391652,2.58
"15","Adipose-derived stromal cell","21/2401","23/11351",1.02625439588073e-12,2.79598720859147e-12,"960/214/947/2152/5175/7412/6657/5788/4609/3688/7070/4311/8788/5460/4907/9314/7056/79923/1003/7037/290",21,1.80620773675009e-10,1.06247513926476e-11,4.32
"151","Neural crest cell","14/2401","23/11351",4.01118303516742e-05,2.51055552698957e-05,"7431/4851/6615/4853/10763/3688/5077/6591/655/3676/8650/4804/429/652",14,0.00705968214189466,9.54011100256035e-05,2.88
"153","Myeloid dendritic cell","12/2401","18/11351",4.00139968300883e-05,2.51055552698957e-05,"920/1236/8829/941/80380/942/9308/958/3676/3684/30835/909",12,0.00704246344209555,9.54011100256035e-05,3.15
"155","Follicular helper (Tfh) T cell","13/2401","25/11351",0.000644691795036657,0.000321068918863756,"5133/920/6774/3569/4311/604/959/29851/2833/59067/3570/4094/643",13,0.113465755926452,0.00122006189168227,2.46
"157","Basal cell","57/2401","103/11351",2.54689286681806e-14,9.83011281929777e-14,"894/4851/3655/6382/2810/8626/822/5916/9076/3860/3861/2192/5327/3852/857/6281/3958/6279/80326/5317/6273/1830/1825/9232/5268/84171/2171/2817/3557/9982/2196/7056/79148/3853/57007/655/1308/360/7076/10848/286887/4501/2707/6901/11187/3854/84951/3868/3315/7003/977/3898/2877/22802/653145/3872/3728",57,4.48253144559978e-12,3.73544287133315e-13,2.62
"158","Hepatocyte","13/2401","17/11351",1.65112240777015e-06,1.29615318361974e-06,"7082/4233/3875/3880/3172/1373/4311/2244/213/383/1244/174/3856",13,0.000290597543767546,4.92538209775502e-06,3.62
"16","Oligodendrocyte","48/2401","155/11351",0.00254719992310839,0.00112357690843879,"4282/1012/1525/10382/9839/23671/347/4118/7070/4661/2934/6319/4869/1902/4978/2705/1938/10857/27346/2173/30818/6228/84441/10381/55022/28514/22933/1717/5027/28996/4878/4155/4830/1718/7114/7381/6160/29114/4130/4133/6505/9788/5010/10682/57142/203068/129807/5862",48,0.448307186467077,0.0042695922520674,1.46
"17","Mesenchymal stem cell","73/2401","96/11351",1.07106320857645e-30,2.48035690407178e-29,"920/2064/966/999/963/2335/960/7431/214/4851/836/5159/10891/682/4684/947/3655/5175/7412/1000/100133941/6657/3815/3675/5788/10763/972/3678/3383/5156/8829/3688/7070/1604/4311/5420/5460/80381/4907/975/3691/659/3952/6520/7852/657/958/55124/3673/7132/3676/3572/928/79923/4804/3685/3672/2993/3566/59/26354/1003/3690/7037/3684/929/290/3689/3693/4267/8842/9332/970",73,1.88507124709455e-28,9.42535623547276e-29,3.59
"171","Intestinal stem cell","8/2401","11/11351",0.000352072453646282,0.00018530129139278,"960/214/100133941/6662/2048/4440/648/657",8,0.0619647518417456,0.000704144907292563,3.44
"179","Lymphoid cell","23/2401","52/11351",0.000153232477212168,9.3382673093288e-05,"925/920/3682/4684/947/3815/5788/22914/4311/968/356/975/2833/2322/6693/3676/3575/1233/3684/952/7072/3002/924",23,0.0269689159893416,0.000354854157754495,2.09
"180","Multipotent progenitor cell","14/2401","51/11351",0.174261415198654,0.0549051361886201,"2475/3670/10733/836/947/5788/7070/8318/84441/5337/57165/64794/952/8842",14,1,0.208639517516756,1.3
"185","Megakaryocyte","15/2401","28/11351",0.000160654479806042,9.66342735675438e-05,"947/3655/5175/6657/5874/5460/6403/5819/5552/928/3685/2533/3690/929/2526",15,0.0282751884458633,0.000367210239556666,2.53
"19","Osteocyte","7/2401","11/11351",0.00275747465495,0.00119359453829611,"2335/10630/960/2697/6678/8074/633",7,0.4853155392712,0.00453565924552523,3.01
"193","Ciliated cell","37/2401","265/11351",0.999065421871232,0.263157894733953,"966/3429/10383/4255/6236/7431/8000/2879/3320/56925/283/7430/6391/9576/3490/5349/467/8607/1728/6647/5052/26292/387882/10953/2021/93099/1520/221/801/56950/6359/10670/10409/1152/4291/80199/7846",37,1,0.99999999998902,0.66
"204","Activated CD4+ T cell","8/2401","11/11351",0.000352072453646282,0.00018530129139278,"920/5788/3688/2833/3559/7037/952/929",8,0.0619647518417456,0.000704144907292563,3.44
"213","Basophil","22/2401","39/11351",1.52654636112111e-06,1.21902068764662e-06,"960/2624/3815/3916/5788/3383/1234/7099/959/7097/6693/3559/928/729230/728/7096/3684/952/54106/2526/290/4086",22,0.000268672159557315,4.63227861305715e-06,2.67
"217","Neuron","39/2401","82/11351",8.48321217309126e-08,1.00745299761408e-07,"961/6714/596/3791/214/4684/2026/567/7412/1634/1000/100133941/140885/1440/10763/8829/3897/112476/7070/6855/10507/5621/10381/54715/2353/57787/5819/57007/56896/4804/1636/1750/923/4133/6503/1742/2526/4094/8842",39,1.49304534246406e-05,3.82832139093349e-07,2.25
