"ID","Description","GeneRatio","BgRatio","pvalue","qvalue","geneID","Count","bonferroni","Benjamini","enrichment_fold"
"101","Hematopoietic stem cell","57/6154","59/11351",2.3431290267327e-13,7.57552993605309e-13,"960/3791/5243/4851/7412/9429/836/7852/5175/5728/3815/4609/947/7010/5788/5159/6776/4170/64866/8842/4254/3655/7070/90952/216/3678/648/2022/6689/6688/4602/6777/3575/3674/4804/10544/952/2624/3676/945/2057/3673/6504/2672/5420/3675/962/51744/2322/2122/1636/150696/8763/22918/3672/53947/7704",57,4.12390708704955e-11,2.94564791932111e-12,1.78
"105","Germinal center B cell","10/6154","10/11351",0.00218664634831898,0.000883701061820639,"5079/5788/57379/3394/928/4005/604/975/60468/257144",10,0.38484975730414,0.00343615854735839,1.84
"106","Pluripotent stem cell","18/6154","18/11351",1.61908579803198e-05,1.16325295430869e-05,"4072/5175/3655/9314/79923/6657/5460/2526/79727/928/29122/2719/1009/290/5420/5819/249/1943",18,0.00284959100453628,4.52316032466076e-05,1.84
"107","Myeloid cell","83/6154","86/11351",6.94053605736925e-19,6.28301158877638e-18,"7422/100133941/7412/920/5175/3815/947/57126/5788/7099/2214/356/1233/348/2213/3655/6402/3684/729230/3572/969/941/6955/3559/1436/2526/3685/929/2212/2205/3674/4311/2833/928/942/5169/1232/952/3676/3563/4843/290/975/958/945/1234/7097/916/8809/9332/1237/1088/962/3683/4360/51744/968/7056/3687/6957/2322/27181/7535/3560/915/2811/4353/6693/917/1378/54106/8573/64581/2208/23765/3681/6614/9173/8832/4065/3594/131450/2215",83,1.22153434609699e-16,2.44306869219398e-17,1.78
"108","Granulocyte","18/6154","19/11351",0.000149835082865786,8.9451767242234e-05,"960/5788/2214/2213/3684/967/2526/929/2212/5169/1232/3676/3563/290/945/1088/3687/2215",18,0.0263709745843784,0.000347821755416314,1.75
"111","Non-classical monocyte","10/6154","11/11351",0.0122069276923043,0.00452888602906888,"2214/3684/2526/929/1524/3563/945/1088/3687/2215",10,1,0.0176099940479144,1.68
"113","Monocyte derived dendritic cell","18/6154","18/11351",1.61908579803198e-05,1.16325295430869e-05,"2214/3684/140885/1471/2526/929/2205/6279/6280/3563/945/909/1088/4360/911/3687/30835/2215",18,0.00284959100453628,4.52316032466076e-05,1.84
"116","Eosinophil","48/6154","53/11351",1.0601912072018e-08,1.65474489690299e-08,"960/100133941/3576/3383/5788/2214/963/3684/728/969/1048/3565/3559/89790/2526/929/3570/3596/2209/2205/2833/928/6280/1232/3567/3676/3563/975/945/3965/719/2056/1088/962/51744/3568/3566/3687/3903/27181/6693/1378/1230/3581/2208/1441/1438/2215",48,1.86593652467517e-06,6.43426387819023e-08,1.67
"119","Plasma cell","30/6154","47/11351",0.118715794223271,0.0381095867980638,"7852/5175/3815/3383/6382/7494/939/608/11040/928/6279/930/6280/3662/952/975/3568/3903/639/5450/931/10117/7292/973/4063/84446/91319/51237/3543/3512",30,1,0.148184253782239,1.18
"120","Granulosa cell","137/6154","192/11351",6.99003348658104e-07,7.53311879506228e-07,"1588/2335/4792/4790/5111/4313/2597/4173/3383/59342/64866/1116/4162/80312/2171/896/6502/1382/9077/2952/7037/50511/6696/1028/5156/216/1462/3627/2192/8519/1984/7026/929/23224/84072/3939/11013/2014/1052/10644/84034/900/330/6154/5325/80818/6280/53827/8091/2719/7764/3872/10962/5230/2026/391/6863/490/6208/1278/5971/4670/1277/6164/2878/3123/10653/10272/8788/10916/4192/3149/7311/5552/4239/476/602/2492/794/397/4493/6132/64220/5715/23475/27350/8407/6232/2537/64344/26471/4504/6335/4502/6228/4237/6136/3122/390/2319/9180/6233/716/151987/9037/6205/6160/6234/10406/5577/3151/10761/4211/1831/10410/165/29991/9411/203447/203/6631/730/3428/10252/7373/950/29923/715/10581/26137/3119/4494/127845/5757/7102/54107/668",137,0.000123024589363826,2.92915688961491e-06,1.32
"122","Beta cell","66/6154","111/11351",0.154152517997913,0.0484543733472971,"3630/214/3481/54361/2990/5950/140738/23678/489/1028/23705/846/240/10736/6653/6903/9844/4093/9788/3329/65059/5641/54386/334/3651/6004/2778/8835/8788/8851/26585/6514/6496/4267/10668/653509/169026/6785/4885/6477/2864/6715/486/4825/6092/7049/10325/6297/79966/5208/5122/9037/5923/116/152330/10152/8544/956/653/8546/971/51237/1515/7102/113791/10103",66,1,0.18840863310856,1.1
"126","Myoepithelial cell","11/6154","11/11351",0.00118461821392045,0.000558537096475649,"960/3688/8626/6606/4311/10630/3963/3861/1001/251/8553",11,0.208492805649999,0.00217180005885415,1.84
"127","Oviduct-derived stem cell","19/6154","19/11351",8.76617882001607e-06,7.21427156479792e-06,"960/7412/9429/214/5175/3815/3688/3383/947/5788/5159/4162/8842/4907/7070/6657/5460/2022/3676",19,0.00154284747232283,2.80517722240514e-05,1.84
"128","Cancer cell","47/6154","51/11351",3.62927649882772e-09,6.57090060840388e-09,"2064/960/4582/7431/100133941/4072/142/999/2346/3688/5800/6382/3880/5788/4162/5329/4684/2194/8797/354/768/216/3875/7490/5460/6928/7052/340273/2315/3856/4804/2670/3783/2752/94025/57167/251/5420/51360/7849/1999/931/7299/4286/10406/56901/1318",47,6.38752663793679e-07,2.55501065517472e-08,1.7
"133","Neural stem cell","62/6154","70/11351",6.32542300846885e-10,1.36337438277775e-09,"1499/4851/7431/100133941/9429/7852/3688/6597/6256/2263/4853/2173/6513/10763/64866/6423/1000/4162/4684/4288/8842/3655/5080/5156/3398/6664/5590/4920/648/6657/26354/861/2526/2264/4804/6662/4440/2670/8650/4760/4487/2624/975/2551/7025/9618/9241/1809/7545/6656/1641/124540/799/3148/150696/429/2649/5077/122060/8326/4345/9289",62,1.11327444949052e-07,5.30130690233580e-09,1.63
"134","Cardiac progenitor cell","18/6154","19/11351",0.000149835082865786,8.9451767242234e-05,"3791/7412/9429/836/214/3815/3688/947/4254/140885/7490/2526/846/2626/1482/6546/3670/9096",18,0.0263709745843784,0.000347821755416314,1.75
"137","Germ cell","22/6154","37/11351",0.31863281926369,0.0948837342682733,"1956/3815/7022/50511/79923/5460/174/4440/2719/57167/5420/9271/639/2661/2649/9210/143689/56165/128209/56159/55124/54514",22,1,0.368943264410588,1.1
"14","Kupffer cell","7/6154","10/11351",0.249593808629768,0.0763338106051212,"2213/3684/929/2212/3689/9332/968",7,1,0.296814258911076,1.29
"142","M2 macrophage","21/6154","23/11351",0.000152172017994638,8.9451767242234e-05,"8743/7852/3586/6347/3553/3552/1436/929/2205/6362/3662/948/6778/4481/9332/4360/968/383/50856/30835/2208",21,0.0267822751670562,0.000347821755416314,1.68
"146","Smooth muscle cell","9/6154","11/11351",0.0588073508409474,0.0195721059300367,"5175/10614/1674/4162/59/1003/800/6876/1264",9,1,0.0761036305000496,1.51
"15","Adipose-derived stromal cell","23/6154","23/11351",7.52744312913163e-07,7.92362434645435e-07,"960/7412/2152/214/5175/3688/4609/947/5788/4907/7037/7070/9314/79923/6657/5460/2022/4311/1003/290/8788/7056/4345",23,0.000132482999072717,3.08099997843527e-06,1.84
"151","Neural crest cell","21/6154","23/11351",0.000152172017994638,8.9451767242234e-05,"4851/7431/3688/4853/6615/10763/6591/652/655/4804/8650/3676/1464/6663/4762/3695/55636/429/5077/50674/63973",21,0.0267822751670562,0.000347821755416314,1.68
"153","Myeloid dendritic cell","16/6154","18/11351",0.00203881225801621,0.000878886487164883,"920/1236/80380/3684/941/8829/942/3676/958/9308/909/911/910/3687/30835/4065",16,0.358830957410853,0.00341743768962717,1.64
"155","Follicular helper (Tfh) T cell","24/6154","25/11351",4.89356278765793e-06,4.25957894472249e-06,"6774/3569/5133/920/6955/3570/4094/4311/2833/959/3662/29851/604/643/10563/6504/916/59067/6957/915/917/7292/10538/8832",24,0.000861267050627796,1.65628278966884e-05,1.77
"157","Basal cell","79/6154","103/11351",1.765484114151e-06,1.70024225998865e-06,"4851/894/3852/9076/6901/6382/2810/3315/57007/2171/3489/8626/9232/3655/360/3958/857/1825/655/79188/2192/7791/5327/3557/9982/5268/7076/6273/6279/6281/80326/2817/3963/135228/7003/822/5916/3872/10457/1308/3861/5055/84951/977/3866/57402/3860/6277/441478/79148/9635/140576/84617/3728/2760/7056/2877/8581/10848/653145/3853/3854/84171/23612/3851/27076/3868/11005/11187/2196/1475/6699/286887/5355/23682/5275/1849/3898/483",79,0.000310725204090577,6.61117455511866e-06,1.41
"158","Hepatocyte","17/6154","17/11351",2.99017735618289e-05,2.05067984554808e-05,"7082/2244/3172/3880/4233/213/1244/3875/1373/174/6898/4311/3856/1576/7276/383/1559",17,0.00526271214688189,7.97380628315437e-05,1.84
"16","Oligodendrocyte","103/6154","155/11351",0.00122679687321363,0.000572460830691115,"4282/1012/9839/1718/4133/10857/2173/6446/2705/274/4118/1938/4869/4155/4830/30818/4130/7070/10381/2224/514/4978/3646/2891/3945/10399/51474/84441/1902/58473/22933/2934/347/9788/28514/4232/10188/6242/55612/4673/57142/1525/23521/23187/28996/23671/1717/6187/10683/1464/6319/5653/10382/1806/5027/203068/9618/4831/5129/4661/5862/10682/2596/71/10215/1933/4878/6663/6505/7368/22822/65108/5010/399694/64780/23452/6228/9168/94274/6160/7108/6938/4099/116448/1267/6218/388341/7114/22905/39/9507/1350/51421/2197/6642/55679/3092/2893/219654/5435/41/285704/3822",103,0.215916249685599,0.00222594071840824,1.23
"17","Mesenchymal stem cell","90/6154","96/11351",8.44290127250273e-18,5.4593196198138e-17,"2064/960/10891/4851/2335/7431/100133941/7412/836/999/920/214/7852/5175/3815/3688/3383/947/682/5788/5159/10763/1000/4162/3952/4684/963/972/8842/80381/3655/3684/967/4907/3572/56241/7037/59/7070/5156/3691/3678/79923/6657/26354/5460/965/2022/3685/929/7132/658/657/8829/966/4311/1003/928/3690/930/4804/6520/1604/659/3676/290/3689/975/958/1464/3673/5420/916/3675/9332/4267/3566/3687/915/976/3693/917/249/3672/8326/4345/7350/7704/55124/54514",90,1.48595062396048e-15,2.12278660565783e-16,1.73
"171","Intestinal stem cell","10/6154","11/11351",0.0122069276923043,0.00452888602906888,"960/100133941/214/2048/648/657/8549/6662/4440/9201",10,1,0.0176099940479144,1.68
"179","Lymphoid cell","49/6154","52/11351",1.98097224844557e-10,4.71921366665705e-10,"925/920/3815/947/5788/939/2214/4684/356/1233/22914/6402/3684/3682/969/3002/3575/4311/2833/930/10219/952/3676/7072/975/9436/3001/50615/8809/51744/968/3687/3903/2322/7535/11126/3560/1235/259197/9437/6693/924/23765/3824/4063/3821/9173/3594/2215",49,3.48651115726421e-08,1.83500587224432e-09,1.74
"180","Multipotent progenitor cell","28/6154","51/11351",0.518386450225302,0.148505112323038,"836/2475/10733/947/5788/6446/8842/9112/8318/7070/84441/952/6120/57165/7321/9618/29954/5337/7702/11156/84706/56892/10465/3670/27338/1889/151636/10126",28,1,0.577443134428184,1.01
"185","Megakaryocyte","23/6154","28/11351",0.00195150588230025,0.000857585620223921,"5175/6403/947/5874/3655/6657/5460/2526/3685/929/3674/928/3690/3563/945/5196/5552/5819/2533/5473/2811/5341/2815",23,0.343465035284843,0.00333461199305673,1.52
"19","Osteocyte","11/6154","11/11351",0.00118461821392045,0.000558537096475649,"960/2335/2697/6678/50964/10630/1758/633/8074/5251/56955",11,0.208492805649999,0.00217180005885415,1.84
"193","Ciliated cell","87/6154","265/11351",0.99999999999959,0.257177033492823,"4255/7431/3429/6236/2879/3320/1474/56925/6391/10519/29904/7358/3490/7430/1728/56950/6647/801/5052/55851/283/1069/10598/84934/467/5349/114757/80129/966/58473/22924/218/27241/831/7351/1520/2054/440335/57405/57606/10953/10670/4246/8607/6717/10856/26292/53340/6119/6741/25776/5699/2021/1396/3043/80199/128602/5573/155465/8190/84688/2077/51506/5510/11313/204851/8000/10409/5631/51247/1580/7846/22954/10383/203/51316/83444/8655/25824/343521/403/51582/51673/1489/10126/10103/29922",87,1,1,0.61
"204","Activated CD4+ T cell","11/6154","11/11351",0.00118461821392045,0.000558537096475649,"920/3688/5788/969/7037/3559/929/2833/930/952/1235",11,0.208492805649999,0.00217180005885415,1.84
"213","Basophil","38/6154","39/11351",1.38055221768239e-09,2.71687621786465e-09,"960/3815/3916/3383/5788/7099/2214/4086/3684/967/729230/728/969/3559/2526/2205/928/7096/930/5169/1232/959/952/2624/3563/290/945/1234/7097/8809/3683/3568/933/10333/6693/54106/8807/2215",38,2.429771903121e-07,1.05642256657435e-08,1.8
"217","Neuron","60/6154","82/11351",0.000316040261727537,0.000176604694662561,"596/3791/100133941/7412/6714/214/961/1036/5079/4133/3897/10763/1000/57007/4684/8842/112476/5521/140885/5621/3589/2353/7070/10381/1634/1440/57787/1742/2526/6750/8829/4094/4804/10507/1524/322/2670/4760/2026/57535/923/567/6855/2057/23114/5819/54715/1750/1636/84708/4741/5649/152330/4345/5358/10326/3775/1749/6503/7102",60,0.0556230860640465,0.000686704766222796,1.35
"223","Naive T cell","12/6154","12/11351",0.000641720431050555,0.000337747595289766,"925/920/5788/939/1236/6402/3575/1234/916/926/915/917",12,0.112942795864898,0.00131328832401044,1.84
"225","Effector memory T cell","10/6154","10/11351",0.00218664634831898,0.000883701061820639,"960/925/920/5788/939/1236/6402/3575/10219/8320",10,0.38484975730414,0.00343615854735839,1.84
"226","Effector T cell","18/6154","18/11351",1.61908579803198e-05,1.16325295430869e-05,"925/5133/920/3902/5788/939/6402/969/943/3559/10219/84868/30009/29851/151888/3604/7293/3560",18,0.00284959100453628,4.52316032466076e-05,1.84
"229","Cardiomyocyte","23/6154","29/11351",0.00459152640189798,0.00180719116962575,"7412/2697/214/1674/140885/652/87/2170/6997/6442/2626/5108/1482/4878/2627/3759/4208/2702/116844/6910/4625/7139/4624",23,0.808108646734044,0.00702703171073082,1.46
"230","M1 macrophage","25/6154","27/11351",1.78352701807503e-05,1.2613760160728e-05,"6403/6772/6401/7099/2214/1236/2213/6402/941/3627/3559/706/3663/2209/2212/3575/942/3554/7097/6098/968/10461/64581/23765/2215",25,0.00313900755181206,4.90469929970635e-05,1.71
"232","Keratinocyte","9/6154","10/11351",0.0206797319011485,0.00760999975823179,"960/3688/3852/947/3880/3655/7037/3856/3861",9,1,0.0295905106878222,1.66
"24","Natural killer cell","80/6154","90/11351",1.22148350042864e-12,3.68588003638116e-12,"925/920/2625/3815/3916/947/5788/3558/939/2214/4684/356/1233/2213/22914/6402/3684/3682/969/6375/3002/3398/1803/3606/861/10663/3600/2212/3575/4311/2833/919/930/10219/952/30009/3676/201633/27036/975/3577/5551/9436/9760/2669/3001/50615/3673/6348/916/8809/914/51744/968/3687/3903/10666/2322/7535/11126/3560/915/1235/259197/9437/6693/917/10578/924/1230/3672/51348/6846/23765/3824/4063/3821/9173/3594/2215",80,2.1498109607544e-10,1.4332073071696e-11,1.64
"244","Stromal cell","43/6154","43/11351",3.45163075160829e-12,9.76448173152346e-12,"960/7431/7412/4318/4313/214/5175/3815/3688/4312/3383/947/5788/5159/7099/4162/8842/4907/7070/5156/2022/3685/4311/7076/3690/7096/4804/10630/3676/7077/290/1316/7097/26585/7098/4055/3384/4060/1289/683/3672/8174/3385",43,6.07487012283059e-10,3.79679382676912e-11,1.84
"249","Stem cell","75/6154","76/11351",3.31186886055543e-19,4.44546684573346e-18,"2950/960/1499/3791/4851/7431/7412/9429/4072/836/999/214/7852/860/5175/3815/3688/1789/2321/947/3880/5788/10763/4162/4684/8842/8626/3655/4907/943/7037/5080/7070/9314/5156/216/1803/648/79923/3875/6657/26354/861/5460/2526/4070/2022/3685/58/174/79727/1003/928/24137/6868/4804/3381/8549/6662/4440/26018/290/57167/3866/1464/8788/6656/5081/9201/931/8763/6525/4345/9573/1438",75,5.82888919457756e-17,1.72856292234101e-17,1.82
"25","Cancer stem cell","159/6154","169/11351",4.1139092744057e-31,1.86208525052048e-29,"2064/960/4582/596/1499/7422/3082/6774/5243/100133941/2697/3309/1956/9429/4072/836/3429/214/7852/5175/961/5728/3815/3688/894/4609/3852/2735/23028/2146/2321/2305/3383/947/6382/7010/3880/5788/6608/3897/182/7099/939/10763/4680/1000/5329/4233/3552/4684/6566/4288/54567/8842/8626/3162/2213/4615/3655/2034/11335/2736/4907/5727/7037/3280/7070/9314/216/23326/6664/10765/3678/1803/648/79923/3559/23705/3875/6657/4771/5460/2526/965/4070/2022/929/3570/6925/2212/340273/174/4094/4311/79727/3856/928/3690/930/4804/10630/6659/6515/8549/10544/81607/6662/4440/1524/2719/2670/1604/84868/7128/952/11279/3676/3563/3861/10562/290/220/977/3577/57167/6376/3673/5420/7293/3675/389421/9271/7976/914/4102/54474/4781/7032/124540/1045/9201/10225/5444/931/55636/64240/2319/23461/8000/924/429/3672/8854/3556/7216/53947/3235/219/1438",159,7.24048032295404e-29,7.24048032295404e-29,1.74
"250","Microglial cell","338/6154","480/11351",9.07483855001099e-14,3.4229654179866e-13,"3479/5925/100133941/308/4792/9429/3164/920/595/3725/472/3925/6347/1050/6195/3916/373156/241/5788/2173/182/6446/7099/7494/2908/5947/2214/3920/834/2171/963/274/1509/972/3726/10097/348/3684/81671/967/140885/728/3572/1508/1843/2896/6299/2353/6696/10381/3107/558/8673/6664/5176/55214/5216/3303/712/1436/2192/861/89790/5464/4478/2217/684/240/2995/929/4067/8569/3570/23224/6925/7094/7132/1958/8754/2209/154/1200/29108/3394/6653/11013/2212/2/718/8204/1514/5155/1052/4094/3936/9709/942/409/10630/10163/2934/2621/6659/10971/6850/7538/11031/7454/1524/7351/1794/1601/1520/1536/84868/1266/7178/10962/51411/4758/53346/5641/29760/9732/79969/391/463/10618/2357/334/7077/2752/7832/5265/3689/567/11010/975/2313/5777/7133/5330/10577/427/948/958/7409/388/4973/51162/597/23166/51735/2941/59345/1316/10863/4154/3106/4627/7305/4616/9308/2876/3459/79365/3055/6348/1997/717/2030/7462/5027/199/54209/10287/719/4192/3987/5552/51284/5217/4938/10312/4056/3133/2040/4360/6303/51184/5654/2210/5699/968/11309/2760/5997/64805/89795/3687/397/10981/3903/10461/6351/10487/4781/27181/126259/2548/29116/10320/10870/6282/1641/678/81793/58191/5937/5476/120939/23643/3074/2354/6001/1960/220213/953/4205/1627/84268/11006/341/3122/3603/6039/6867/8763/7940/11320/84329/4671/8870/3337/1230/2771/1831/3304/5660/3635/23191/5341/3059/4929/10095/25798/7846/7001/4332/2589/79974/3073/6892/1959/6886/7941/307/285195/5166/55315/6404/311/161742/347733/5025/677/1075/4689/393/55198/53335/79626/9306/10161/11151/23765/5742/116931/714/1441/2207/5803/6672/6261/3428/6252/10252/140/57674/27075/55320/10170/64092/64098/6857/64859/713/1535/4245/23428/8832/9249/29952/10581/5996/10365/26137/54453/26578/10437/112616/8804/4033/3709/3071/54947/115207/9500/10627/91010/25840/5538/63940/57121/55824/5724/51126/832",338,1.59717158480193e-11,1.33097632066828e-12,1.3
"251","Embryonic stem cell","29/6154","30/11351",2.70466779945258e-07,3.13902065793417e-07,"7015/100133941/9429/4072/999/5175/3815/3688/1789/8842/1233/3655/943/7070/79923/6657/5460/2526/966/79727/928/4804/7855/1001/5420/249/7044/9486/132625",29,4.76021532703655e-05,1.22056803257347e-06,1.78
"254","Progenitor cell","27/6154","27/11351",6.45601815256105e-08,8.85514451547448e-08,"960/100133941/9429/4072/836/214/3688/3852/947/3880/4162/4684/8842/8626/3655/4907/7070/3855/26354/2022/174/10544/259266/8788/79870/2319/401",27,1.13625919485074e-05,3.44320968136589e-07,1.84
