"ID","Description","GeneRatio","BgRatio","pvalue","qvalue","geneID","Count","bonferroni","Benjamini","enrichment_fold"
"101","Hematopoietic stem cell","48/4305","59/11351",9.29544807227677e-12,1.86798478007476e-11,"4851/960/836/3791/9429/7412/5728/5788/5175/3815/947/8842/7852/5243/5159/4609/4170/952/7010/3575/3673/2022/3675/4254/7070/4804/648/5420/4602/6776/3655/90952/3678/6688/216/2057/2624/3676/1636/6504/2122/2322/51744/3672/2672/6777/3674/8763",48,1.63599886072071e-09,7.43635845782142e-11,2.15
"105","Germinal center B cell","8/4305","10/11351",0.00846697329889609,0.00304332801500758,"5079/5788/928/975/604/57379/4005/3394",8,1,0.0121153439073635,2.11
"106","Pluripotent stem cell","17/4305","18/11351",7.88323622932673e-07,6.00900039259025e-07,"4072/5175/9314/2719/5460/6657/928/79923/5420/3655/290/79727/249/2526/1943/5819/1009",17,0.00013874495763615,2.39215444200259e-06,2.49
"107","Myeloid cell","68/4305","86/11351",6.26232368762058e-15,1.84573750793028e-14,"7422/920/7412/5788/5175/3815/947/7099/2214/356/100133941/952/57126/6402/4311/969/941/942/3685/928/4843/968/3572/7056/1233/9332/3655/958/3684/54106/929/2833/3559/7097/729230/975/290/7535/916/1234/4360/3676/4353/3560/2212/3683/2526/348/2213/3563/8809/2322/51744/2205/1232/1378/1237/6693/1436/64581/3687/8685/917/915/3674/131450/11251/4065",68,1.10216896902122e-12,7.34779312680814e-14,2.08
"108","Granulocyte","14/4305","19/11351",0.00167692704217269,0.000686461362292916,"960/5788/2214/3684/929/967/290/3676/2212/2526/2213/3563/1232/3687",14,0.295139159422394,0.0027327699946518,1.94
"111","Non-classical monocyte","7/4305","11/11351",0.0759781698534962,0.0241657185448454,"2214/1524/3684/929/2526/3563/3687",7,1,0.0962025747785275,1.68
"113","Monocyte derived dendritic cell","15/4305","18/11351",0.000104667632507826,5.19933833865012e-05,"140885/2214/909/6280/6279/1471/911/3684/929/4360/2526/3563/2205/30835/3687",15,0.0184215033213773,0.000206983183386262,2.2
"116","Eosinophil","41/4305","53/11351",5.29680150080606e-09,6.69069663259714e-09,"3576/960/5788/963/2214/728/3570/3383/100133941/6280/1048/969/3565/928/2056/3684/929/2833/2209/3559/975/3596/3965/3676/1438/3567/2526/1230/3563/51744/2205/1232/1378/719/6693/3903/3687/3566/3581/1441/11251",41,9.32237064141867e-07,2.66353446897676e-08,2.04
"119","Plasma cell","26/4305","47/11351",0.011337170198433,0.00397795445559053,"939/5175/3815/3662/7852/3383/6280/952/6382/930/7494/931/928/6279/608/5450/975/150365/3543/639/7292/115650/51237/973/3903/200958",26,1,0.0158360472613032,1.46
"120","Granulosa cell","105/4305","192/11351",1.48479821386068e-06,1.09406184179208e-06,"4790/4313/5111/4792/2597/2335/4173/2952/2171/6863/1588/4237/3383/2719/6280/4239/1382/896/9077/2878/80312/10644/6502/7805/7373/1028/1984/330/5156/53827/4504/3627/100463486/51477/5971/10410/2026/1277/4192/4162/1278/23224/10653/3872/8788/476/6696/4211/7037/9037/1052/929/9180/8091/3119/716/3123/6154/794/1116/26471/8519/216/3939/4833/3428/4489/3151/1462/3149/2014/6232/51537/54107/2192/900/5230/715/6233/11230/390/10581/5757/730/6208/5324/93273/2537/4670/8407/10962/2319/397/6234/7026/130340/4502/4494/6164/3122/490/602/6132/6228/84034",105,0.00026132448563948,4.35540809399133e-06,1.44
"122","Beta cell","44/4305","111/11351",0.38874229084518,0.110880653415943,"3630/23705/214/3481/6297/140738/5950/489/1028/2823/4267/2990/3329/4825/54386/116/8788/9037/6092/8851/9844/8835/846/9788/4093/10103/54361/128178/240/29842/57586/26585/2778/124935/6653/653509/653/51237/7049/3651/6514/23678/11251/57818",44,1,0.441410601217753,1.05
"126","Myoepithelial cell","10/4305","11/11351",0.000441241932771848,0.000203203521671246,"10630/960/8626/3688/4311/3963/3861/6606/1001/8553",10,0.0776585801678453,0.000808943543415055,2.4
"127","Oviduct-derived stem cell","19/4305","19/11351",9.75241605298726e-09,1.1055370424439e-08,"960/9429/7412/5788/5175/3815/947/8842/5159/214/3688/3383/5460/2022/6657/7070/4162/4907/3676",19,1.71642522532576e-06,4.4010903213481e-08,2.64
"128","Cancer cell","42/4305","51/11351",8.95450285364362e-11,1.46623438539194e-10,"4072/999/2064/960/7431/142/4684/5788/2346/4582/5800/3688/3783/100133941/3856/6382/7299/57167/8797/768/5460/931/3880/2194/5329/7052/4804/4162/5420/4286/7490/2315/7849/216/2670/6928/94025/354/3875/340273/1999/1318",42,1.57599250224128e-08,5.83700926756028e-10,2.17
"133","Neural stem cell","58/4305","70/11351",1.25128861184628e-14,3.25412518251045e-14,"1499/4851/7431/9429/4684/6423/6656/8842/4853/7852/6597/3688/6513/10763/100133941/2263/5080/1000/7545/2264/2551/3398/6657/2173/4920/8650/5156/4440/6256/6662/4804/11166/4162/648/3655/4288/9618/3148/4487/975/2670/7025/2624/429/4345/1809/2526/6664/799/1641/9241/4760/124540/861/5590/8326/26354/5015",58,2.20226795684946e-12,1.29545173932321e-13,2.18
"134","Cardiac progenitor cell","17/4305","19/11351",4.81752549984718e-06,2.99979349138001e-06,"836/3791/9429/7412/140885/3815/947/214/3688/4254/2626/7490/846/3670/2526/1482/6546",17,0.000847884487973105,1.19420350418747e-05,2.36
"137","Germ cell","16/4305","37/11351",0.305922977339379,0.0883987963416162,"1956/3815/174/2719/57167/55124/5460/79923/4440/9271/5420/4103/639/9633/26330/7022",16,1,0.351911398769482,1.14
"14","Kupffer cell","7/4305","10/11351",0.0408187180884475,0.0134672911210903,"968/9332/3684/929/3689/2212/2213",7,1,0.0536126446534832,1.85
"142","M2 macrophage","20/4305","23/11351",1.71469216027343e-06,1.22270069153623e-06,"3586/3552/3553/8743/6347/3662/7852/968/383/9332/6362/929/4481/948/6778/4360/2205/84666/1436/30835",20,0.000301785820208123,4.86751322916327e-06,2.29
"146","Smooth muscle cell","9/4305","11/11351",0.00386923723818192,0.00147466392017823,"5175/1674/4162/59/6876/1003/800/10614/3274",9,0.680985753920017,0.00587056684413808,2.16
"15","Adipose-derived stromal cell","23/4305","23/11351",1.99396007472717e-10,3.03979394332273e-10,"960/7412/5788/5175/947/2152/4609/214/3688/9314/4311/5460/2022/6657/7070/79923/7056/8788/7037/290/4907/4345/1003",23,3.50936973151982e-08,1.21012749362753e-09,2.64
"151","Neural crest cell","17/4305","23/11351",0.000491925645032321,0.000224209192526939,"4851/7431/4853/6615/3688/10763/6591/8650/4804/6663/27087/1464/429/3676/652/655/3695",17,0.0865789135256884,0.00089256611882153,1.95
"153","Myeloid dendritic cell","16/4305","18/11351",1.14348484238355e-05,6.65185088367163e-06,"920/1236/80380/909/941/9308/942/911/958/8829/3684/3676/30835/910/3687/4065",16,0.00201253332259505,2.64807016130928e-05,2.34
"155","Follicular helper (Tfh) T cell","21/4305","25/11351",2.95454079486924e-06,1.89306961684985e-06,"6774/3569/5133/920/3662/3570/4311/59067/4094/29851/643/10563/2833/604/959/916/6504/7292/3595/917/915",21,0.000519999179896985,7.53621999850703e-06,2.21
