"ID","Description","GeneRatio","BgRatio","pvalue","qvalue","geneID","Count","bonferroni","Benjamini","enrichment_fold"
"101","Hematopoietic stem cell","35/1627","59/11351",1.37429577411808e-15,5.78650852260243e-15,"4851/3791/4170/5728/836/960/8842/3815/7412/7010/5243/7852/5159/4609/3655/648/7070/947/5175/5788/2057/3676/9429/6776/3675/3673/216/2122/4254/2322/7704/962/952/4804/3678",35,2.37753168922427e-13,2.16139244474934e-14,4.14
"105","Germinal center B cell","4/1627","10/11351",0.0430760024326345,0.0155867114065454,"5788/57379/5079/975",4,1,0.0582199095378576,2.79
"106","Pluripotent stem cell","11/1627","18/11351",6.1072868186554e-06,4.63711164833197e-06,"4072/290/3655/5175/6657/2719/5460/1009/79923/2526/9314",11,0.00105656061962738,1.73206658955309e-05,4.26
"107","Myeloid cell","44/1627","86/11351",6.13471822855944e-16,2.84134317954332e-15,"7422/920/3815/7412/100133941/6402/4311/290/3655/356/947/5175/5788/3676/958/4843/3685/7099/941/8573/348/3684/7097/968/3572/2833/57126/729230/929/5169/2322/1088/3559/962/975/54106/952/6693/942/4353/7056/2526/3687/3560",44,1.06130625354078e-13,1.06130625354078e-14,3.57
"108","Granulocyte","10/1627","19/11351",9.5285191940599e-05,5.80685380247418e-05,"960/290/5788/3676/3684/929/5169/1088/2526/3687",10,0.0164843382057236,0.000216899186917416,3.67
"111","Non-classical monocyte","6/1627","11/11351",0.00207681353880858,0.00093387629747141,"3684/1524/929/1088/2526/3687",6,0.359288742213884,0.00348824021566878,3.81
"113","Monocyte derived dendritic cell","8/1627","18/11351",0.00200222218753726,0.00093387629747141,"140885/6280/6279/3684/929/1088/2526/3687",8,0.346384438443946,0.00348824021566878,3.1
"116","Eosinophil","28/1627","53/11351",4.54945383995883e-11,8.10429024122221e-11,"960/3576/1048/2056/100133941/6280/5788/3676/3596/3565/3383/3684/2833/3567/89790/963/929/1088/3559/962/728/975/6693/2209/3570/2526/3687/3965",28,7.87055514312878e-09,3.02713659351107e-10,3.69
"119","Plasma cell","11/1627","47/11351",0.0647393679073444,0.0227155676867875,"3815/7852/6280/5175/3383/6279/6382/930/975/952/7292",11,1,0.084847807939171,1.63
"120","Granulosa cell","48/1627","192/11351",5.74630279706673e-05,3.64581576165734e-05,"4790/4313/2597/330/80312/5111/5230/896/4173/2335/4239/6280/4162/3939/6696/2171/4792/5156/10644/2719/1052/6502/3383/53827/216/900/4670/1028/4192/1382/397/1277/929/1462/8091/8788/1278/390/476/7037/2952/2026/6154/2319/1984/3119/5971/26471",48,0.00994110383892545,0.000136179504642814,1.74
"122","Beta cell","15/1627","111/11351",0.639078863151587,0.182712605449446,"3630/2990/4885/5950/3481/23705/1028/6443/2778/3329/8788/240/3651/6092/5923",15,1,0.68247310694583,0.94
"126","Myoepithelial cell","7/1627","11/11351",0.000238301388256048,0.000126863412985676,"960/1001/4311/3688/10630/8626/3861",7,0.0412261401682963,0.00047386368009536,4.44
"127","Oviduct-derived stem cell","17/1627","19/11351",5.42859956501005e-13,1.32331512942073e-12,"960/8842/3815/7412/5159/4162/7070/947/5175/5788/6657/3676/3688/9429/5460/3383/4907",17,9.39147724746739e-11,4.94288276182494e-12,6.24
"128","Cancer cell","29/1627","51/11351",1.71488111166536e-12,3.97130362701452e-12,"4072/2064/4684/4582/142/7431/2346/999/960/3880/57167/100133941/94025/8797/4162/5788/3688/3875/5460/768/216/5329/6382/3783/4286/3856/4804/1999/7490",29,2.96674432318107e-10,1.48337216159054e-11,3.97
"133","Neural stem cell","36/1627","70/11351",2.24068561978116e-13,6.1046543201468e-13,"1499/2263/4684/4851/4853/7431/8842/7852/100133941/3655/1000/648/4162/6256/6657/3688/6597/6513/5156/9429/124540/2264/861/6423/10763/4288/6662/9241/3398/3148/4920/975/4804/11166/1641/2526",36,3.8763861222214e-11,2.28022713071847e-12,3.59
"134","Cardiac progenitor cell","11/1627","19/11351",1.26237841209829e-05,9.13563324544817e-06,"3791/140885/836/3815/7412/947/3688/9429/4254/2526/7490",11,0.00218391465293005,3.4123666452032e-05,4.04
"137","Germ cell","9/1627","37/11351",0.0732308849798321,0.0251240463088703,"1956/174/3815/57167/2719/5460/56165/143689/79923",9,1,0.0938440229741552,1.7
"14","Kupffer cell","4/1627","10/11351",0.0430760024326345,0.0155867114065454,"3684/968/929/3689",4,1,0.0582199095378576,2.79
"142","M2 macrophage","9/1627","23/11351",0.00305329687805524,0.0013216435084548,"8743/3553/6347/3586/7852/383/3552/968/929",9,0.528220359903557,0.00493663887760333,2.73
"146","Smooth muscle cell","6/1627","11/11351",0.00207681353880858,0.00093387629747141,"1674/4162/5175/59/6876/800",6,0.359288742213884,0.00348824021566878,3.81
"15","Adipose-derived stromal cell","19/1627","23/11351",4.23852583307821e-13,1.09061483424235e-12,"960/7412/4609/4311/290/7070/947/5175/5788/6657/3688/5460/2152/4907/8788/79923/7037/7056/9314",19,7.3326496912253e-11,4.07369427290294e-12,5.76
"151","Neural crest cell","11/1627","23/11351",0.00012978755711914,7.51401646479231e-05,"4851/4853/7431/6591/4762/6615/3676/3688/10763/4804/50674",11,0.0224532473816112,0.00028066559227014,3.34
"153","Myeloid dendritic cell","11/1627","18/11351",6.1072868186554e-06,4.63711164833197e-06,"920/8829/3676/958/80380/941/3684/9308/1236/942/3687",11,0.00105656061962738,1.73206658955309e-05,4.26
"155","Follicular helper (Tfh) T cell","12/1627","25/11351",6.10745716776269e-05,3.82259054596811e-05,"5133/6774/3569/920/959/4311/2833/29851/4094/643/3570/7292",12,0.0105659009002295,0.000142782444597695,3.35
"157","Basal cell","35/1627","103/11351",3.87969853895072e-07,3.52335883826278e-07,"4851/894/2810/822/9076/3655/6901/2171/2707/3315/5268/6279/6382/57007/5055/3958/3728/728113/6277/7076/9232/6273/5916/2817/79148/7056/857/8626/3852/977/5327/653145/135228/3861/10848",35,6.71187847238474e-05,1.31605460242838e-06,2.37
"158","Hepatocyte","15/1627","17/11351",2.14045603143889e-11,4.31030047520876e-11,"3172/174/2244/4233/3880/1373/7082/213/4311/1244/1576/3875/383/3856/1559",15,3.70298893438929e-09,1.60999518886491e-10,6.16
"16","Oligodendrocyte","23/1627","155/11351",0.463359271127846,0.138457099691852,"4282/4978/53826/4130/1012/10381/7070/2934/4831/23671/6938/9839/1938/9168/6446/4869/4830/22933/2705/1902/1718/57142/22822",23,1,0.517168734871725,1.04
"17","Mesenchymal stem cell","63/1627","96/11351",1.13310076094948e-30,2.62402281483037e-29,"2064/4684/4851/7431/999/920/836/960/8842/3815/7412/966/7852/100133941/5159/10891/4311/290/3655/1000/2335/8829/4162/7070/947/5175/5788/6657/3676/682/958/3688/5156/3685/3675/3673/5460/3383/3684/10763/3690/3572/59/963/7132/929/4907/3691/3952/79923/7704/930/975/1604/3693/970/6520/4804/972/3678/7037/3689/3687",63,1.9602643164426e-28,9.801321582213e-29,4.58
"171","Intestinal stem cell","7/1627","11/11351",0.000238301388256048,0.000126863412985676,"9201/960/2048/8549/100133941/648/6662",7,0.0412261401682963,0.00047386368009536,4.44
"179","Lymphoid cell","22/1627","52/11351",8.49404332638752e-07,7.15287859064212e-07,"4684/925/920/3815/6402/4311/356/947/5788/3676/1235/3684/968/2833/2322/22914/930/975/952/6693/3687/3560",22,0.000146946949546504,2.67176271902735e-06,2.95
"180","Multipotent progenitor cell","11/1627","51/11351",0.104522349104952,0.0355958464444108,"2475/836/8842/7070/947/5788/8318/6446/10733/952/5337",11,1,0.132958576434975,1.5
"185","Megakaryocyte","11/1627","28/11351",0.0010358200568769,0.000504998144072949,"3655/947/5175/6657/3685/5460/3690/6403/929/2526/5473",11,0.179196869839704,0.00188628284041793,2.74
"19","Osteocyte","7/1627","11/11351",0.000238301388256048,0.000126863412985676,"960/2335/2697/10630/633/6678/8074",7,0.0412261401682963,0.00047386368009536,4.44
"193","Ciliated cell","29/1627","265/11351",0.957742503963054,0.260932942256188,"801/4255/7431/3429/2879/6236/966/7351/1728/56925/3490/283/3320/5052/6647/8607/6391/6359/4291/6741/403/7430/10383/90293/5349/5573/10856/467/831",29,1,0.974643842268285,0.76
"204","Activated CD4+ T cell","10/1627","11/11351",3.42234431313339e-08,3.6862460165941e-08,"920/5788/3688/1235/2833/929/3559/930/952/7037",10,5.92065566172076e-06,1.37689666551646e-07,6.34
"213","Basophil","22/1627","39/11351",1.05071967136344e-09,1.4746942755978e-09,"960/3815/959/3916/290/5788/7099/3383/3684/7097/4086/729230/5169/3559/930/728/54106/952/6693/7096/2526/933",22,1.81774503145874e-07,5.50831827714771e-09,3.94
"217","Neuron","34/1627","82/11351",1.73550025695716e-09,2.29660184379294e-09,"1036/3897/4684/3791/140885/961/8842/6714/596/7412/4744/100133941/1000/10381/8829/6750/6503/7070/2057/3589/5649/6855/57007/10763/1524/2353/1440/5079/4094/4804/112476/2026/2526/567",34,3.00241544453589e-07,8.57832984153112e-09,2.89
"223","Naive T cell","5/1627","12/11351",0.0198364598349684,0.00765617748016324,"925/920/6402/5788/1236",5,1,0.0285975629287461,2.91
"225","Effector memory T cell","6/1627","10/11351",0.00107398872941629,0.00051281067926551,"925/920/960/6402/5788/1236",6,0.185800050189018,0.00191546443493833,4.19
"226","Effector T cell","14/1627","18/11351",2.5499408581422e-09,3.28062566544611e-09,"5133/925/920/943/3902/6402/84868/5788/151888/29851/3559/7293/3604/3560",14,4.41139768458601e-07,1.22538824571834e-08,5.43
"229","Cardiomyocyte","8/1627","29/11351",0.0464112610936137,0.0166633658761241,"140885/2627/7412/1674/2697/87/6443/6910",8,1,0.0622414586759316,1.92
"230","M1 macrophage","12/1627","27/11351",0.00015459807394473,8.83991585908788e-05,"6402/6772/7099/6098/941/7097/968/6403/3559/1236/2209/942",12,0.0267454667924383,0.000330190948054794,3.1
