"ID","Description","GeneRatio","BgRatio","pvalue","qvalue","geneID","Count","bonferroni","Benjamini","enrichment_fold"
"101","Hematopoietic stem cell","43/2696","59/11351",1.8821386640546e-15,6.70559524035647e-15,"960/4851/836/3791/5728/5788/5175/3815/8842/952/7852/3673/5243/7412/4609/3675/5159/9429/947/5420/7010/4170/4254/6688/648/4804/3575/2022/3655/4602/7070/6776/1636/51744/216/3678/2624/6504/6777/3674/2057/8763/3676",43,3.29374266209555e-13,2.53364820161196e-14,3.07
"105","Germinal center B cell","6/2696","10/11351",0.0152543031726392,0.00588762578593092,"5079/5788/604/57379/975/928",6,1,0.0222458587934322,2.53
"106","Pluripotent stem cell","15/2696","18/11351",1.6137792416636e-07,1.43737422334409e-07,"4072/9314/5175/5460/79923/5420/6657/3655/79727/2526/928/1943/290/1009/5819",15,2.82411367291129e-05,5.43098783252171e-07,3.51
"107","Myeloid cell","58/2696","86/11351",8.74476622262192e-18,4.05020751363542e-17,"7422/920/5788/5175/3815/952/100133941/7099/7412/969/57126/941/942/947/3685/6402/2214/3572/356/968/7097/3655/3559/929/54106/9332/4843/958/975/2526/2212/348/3563/1233/2213/8809/928/51744/7535/729230/1232/4360/1237/4353/3684/1378/1436/2833/290/3687/4311/916/7056/3560/3674/2208/3676/23765",58,1.53033408895884e-15,1.53033408895884e-16,2.84
"108","Granulocyte","14/2696","19/11351",5.93823543899874e-06,3.71667651943022e-06,"960/5788/2214/929/967/2526/2212/3563/2213/1232/3684/290/3687/3676",14,0.00103919120182478,1.40431243489835e-05,3.1
"111","Non-classical monocyte","7/2696","11/11351",0.00555626802300946,0.00225739421064096,"2214/929/2526/3563/3684/1524/3687",7,0.972346904026655,0.00852935880725136,2.68
"113","Monocyte derived dendritic cell","13/2696","18/11351",1.86264635945556e-05,1.1123311428398e-05,"909/140885/6279/2214/6280/929/1471/2526/3563/4360/3684/3687/30835",13,0.00325963112904724,4.20284210220718e-05,3.04
"116","Eosinophil","35/2696","53/11351",7.24316122587987e-11,1.08217009826389e-10,"960/3576/3570/5788/963/100133941/3383/969/2214/6280/3965/3559/3565/2056/929/975/3596/2526/3563/928/51744/2209/1232/3684/1378/2833/3687/3903/3566/3581/3567/2208/1048/728/3676",35,1.26755321452898e-08,4.08888133719025e-10,2.78
"119","Plasma cell","19/2696","47/11351",0.00812161284475576,0.00324274923021101,"939/5175/3815/952/7852/3383/931/930/6279/6280/6382/7494/150365/975/928/7292/973/3903/639",19,1,0.0122524331709677,1.7
"120","Granulosa cell","76/2696","192/11351",6.37066552960991e-07,5.00105768604525e-07,"4790/4313/5111/6863/4792/2597/4237/2335/1588/2952/1278/3383/896/2171/9077/80312/10644/5971/100463486/10410/330/6280/7037/3627/53827/6502/4173/5156/3939/6154/1028/8091/4239/26471/6696/3428/2878/23224/1277/929/8519/1052/6232/1382/3149/4504/5757/4192/6233/4162/10581/4211/730/6208/3872/1462/216/9037/6164/6234/397/8407/4833/2537/5715/10653/5230/602/390/9180/7373/2026/5577/6228/900/84034",76,0.000111486646768173,1.88960418251141e-06,1.67
"122","Beta cell","26/2696","111/11351",0.569378117552906,0.166906310275336,"3630/23705/3481/2990/214/6297/489/3329/5950/9788/10103/1028/9844/26585/8851/4093/8835/54386/6092/124935/6653/653/9037/240/6477/7049",26,1,0.630640320074421,0.99
"126","Myoepithelial cell","9/2696","11/11351",8.11204851453526e-05,4.26949921817645e-05,"960/10630/8626/3688/3963/3861/6606/4311/1001",9,0.0141960849004367,0.000161319146595872,3.44
"127","Oviduct-derived stem cell","19/2696","19/11351",1.30908023271521e-12,2.63613410706953e-12,"960/5788/5175/3815/8842/7412/3383/5159/9429/947/3688/5460/214/6657/2022/4907/7070/4162/3676",19,2.29089040725161e-10,9.96039307500702e-12,4.21
"128","Cancer cell","32/2696","51/11351",3.25955732616459e-09,3.68217002185474e-09,"4072/960/999/142/2064/7431/3783/5788/4684/100133941/8797/4582/931/2346/3688/5460/3880/5420/768/3856/5329/7490/6382/4804/354/4162/4286/1999/216/3875/7052/2194",32,5.70422532078803e-07,1.39127446848489e-08,2.64
"133","Neural stem cell","47/2696","70/11351",1.49568608431248e-14,4.32961761248348e-14,"1499/4851/7431/8842/7545/7852/4684/100133941/6423/2264/3398/6597/9429/3688/4853/6513/1000/2263/5156/4920/4288/648/6657/4804/3655/7025/4345/8650/6662/975/10763/4440/2526/6256/4162/5080/2173/3148/4487/6656/6664/1641/9241/2624/26354/5590/124540",47,2.61745064754683e-12,1.63590665471677e-13,2.83
"134","Cardiac progenitor cell","14/2696","19/11351",5.93823543899874e-06,3.71667651943022e-06,"836/3791/140885/3815/7412/9429/947/3688/214/4254/7490/2526/2626/3670",14,0.00103919120182478,1.40431243489835e-05,3.1
"137","Germ cell","11/2696","37/11351",0.247937588895529,0.0775907106074203,"1956/3815/5460/79923/5420/4103/9271/4440/7022/639/26330",11,1,0.293169446329173,1.25
"14","Kupffer cell","6/2696","10/11351",0.0152543031726392,0.00588762578593092,"968/929/9332/2212/2213/3684",6,1,0.0222458587934322,2.53
"142","M2 macrophage","18/2696","23/11351",5.2612383339162e-08,4.97302871519469e-08,"6347/3586/8743/3553/3552/7852/968/383/6362/6778/929/9332/4360/1436/84666/30835/948/2208",18,9.20716708435334e-06,1.87901369068436e-07,3.3
"146","Smooth muscle cell","5/2696","11/11351",0.0954737398142739,0.0332476814549114,"5175/1674/1003/4162/6876",5,1,0.125623341860887,1.91
"15","Adipose-derived stromal cell","22/2696","23/11351",3.07056364286915e-13,6.46434451130348e-13,"960/9314/5788/5175/7412/4609/2152/947/3688/5460/79923/214/7037/6657/2022/4345/4907/7070/1003/290/4311/7056",22,5.37348637502102e-11,2.44249380682774e-12,4.03
"151","Neural crest cell","15/2696","23/11351",2.79086086043404e-05,1.6157615507776e-05,"4851/7431/3688/4853/6615/27087/6591/4804/6663/8650/10763/655/1464/652/3676",15,0.00488400650575957,6.10500813219946e-05,2.75
"153","Myeloid dendritic cell","14/2696","18/11351",2.00268443999769e-06,1.34428856384284e-06,"920/909/1236/941/942/80380/9308/8829/958/3684/3687/910/30835/3676",14,0.000350469776999595,5.07927213042891e-06,3.27
"155","Follicular helper (Tfh) T cell","15/2696","25/11351",0.000113337697599582,5.83258326828256e-05,"5133/6774/920/3569/3570/10563/604/59067/29851/959/7292/2833/6504/4311/916",15,0.0198340970799268,0.000220378856443631,2.53
"157","Basal cell","57/2696","103/11351",4.5101990584565e-12,8.3557372030352e-12,"4851/8626/9076/9982/2171/6279/6901/1308/3963/6273/8581/894/10457/857/3489/57007/3854/3315/7076/1825/6382/3728/2810/3853/3860/6281/3655/3861/135228/7003/79148/3958/84951/286887/9232/360/1830/3851/7791/2877/3557/3898/3868/3872/387695/5916/80326/655/6699/5268/3852/5317/5327/653145/7056/1992/11005",57,7.89284835229887e-10,3.15713934091955e-11,2.33
