"ID","Description","GeneRatio","BgRatio","pvalue","qvalue","geneID","Count","bonferroni","Benjamini","enrichment_fold"
"101","Hematopoietic stem cell","13/376","59/11351",4.77843824493153e-08,2.20059656016584e-07,"3815/7412/3791/5728/5788/7010/5159/51744/4609/3678/947/5175/5243",13,7.83663872168771e-06,4.89789920105482e-07,6.65
"105","Germinal center B cell","1/376","10/11351",0.286087422500648,0.175667715570573,"5788",1,1,0.390986144084219,3.02
"106","Pluripotent stem cell","4/376","18/11351",0.00250707397166968,0.00284202717436239,"4072/290/2526/5175",4,0.411160131353828,0.00632554048236658,6.71
"107","Myeloid cell","15/376","86/11351",1.22631974965295e-07,5.02002236700039e-07,"7422/4311/3815/920/7412/5788/7099/290/3559/51744/969/1233/2526/947/5175",15,2.01116438943084e-05,1.1173135496838e-06,5.27
"108","Granulocyte","4/376","19/11351",0.00309361523847724,0.00340224770924442,"5788/967/290/2526",4,0.507352899110268,0.007572431330004,6.36
"111","Non-classical monocyte","1/376","11/11351",0.309756510688617,0.181144158297437,"2526",1,1,0.403175140896296,2.74
"113","Monocyte derived dendritic cell","1/376","18/11351",0.454912110287806,0.237729359612889,"2526",1,1,0.529117631824115,1.68
"116","Eosinophil","8/376","53/11351",0.000323262067251328,0.000460512782951495,"5788/3383/3559/3965/3576/51744/969/2526",8,0.0530149790292178,0.00102496987976918,4.56
"119","Plasma cell","4/376","47/11351",0.0693389506093764,0.0521345493303582,"3815/3383/939/5175",4,1,0.116036611223854,2.57
"120","Granulosa cell","10/376","192/11351",0.105470679038358,0.0747261896020758,"6502/2335/4790/3383/1462/5111/4173/29923/23475/4313",10,1,0.166319147714334,1.57
"122","Beta cell","5/376","111/11351",0.306894497269205,0.181144158297437,"10325/2990/2778/3630/3481",5,1,0.403175140896296,1.36
"126","Myoepithelial cell","5/376","11/11351",1.52173919836947e-05,3.23040296308239e-05,"4311/10630/3688/3861/6606",5,0.00249565228532593,7.18995402354623e-05,13.72
"127","Oviduct-derived stem cell","8/376","19/11351",7.38891110711761e-08,3.20262400927698e-07,"3815/7412/5788/5159/3383/3688/947/5175",8,1.21178142156729e-05,7.12812600921934e-07,12.71
"128","Cancer cell","17/376","51/11351",2.56712268310928e-13,3.78312816458209e-12,"7431/4072/6928/4582/5788/999/2346/3880/7849/7490/768/57167/56901/2064/4684/3688/3875",17,4.21008120029922e-11,8.42016240059843e-12,10.06
"133","Neural stem cell","7/376","70/11351",0.00826369526958286,0.00780645976883671,"7431/1499/861/2263/4684/2526/3688",7,1,0.0173749490283537,3.02
"134","Cardiac progenitor cell","7/376","19/11351",1.47794604538516e-06,4.53755364811234e-06,"3815/7412/3791/7490/2526/3688/947",7,0.000242383151443167,1.00992979767986e-05,11.12
"137","Germ cell","3/376","37/11351",0.12289761988902,0.0846319074493986,"1956/3815/57167",3,1,0.188366445437376,2.45
"14","Kupffer cell","1/376","10/11351",0.286087422500648,0.175667715570573,"3689",1,1,0.390986144084219,3.02
"146","Smooth muscle cell","2/376","11/11351",0.0493965406209581,0.0387206925360254,"6876/5175",2,1,0.0861811985301823,5.49
"15","Adipose-derived stromal cell","8/376","23/11351",4.26577950114711e-07,1.57160297410683e-06,"4311/7412/5788/290/4609/3688/947/5175",8,6.99587838188126e-05,3.49793919094063e-06,10.5
"151","Neural crest cell","4/376","23/11351",0.0063672702673023,0.00625556377138472,"7431/6615/6591/3688",4,1,0.0139230976511677,5.25
"153","Myeloid dendritic cell","1/376","18/11351",0.454912110287806,0.237729359612889,"920",1,1,0.529117631824115,1.68
"155","Follicular helper (Tfh) T cell","4/376","25/11351",0.00863532095644448,0.00805426338375901,"4311/920/6774/3569",4,1,0.0179264890741379,4.83
"157","Basal cell","8/376","103/11351",0.0208572293921863,0.0182958152563038,"857/3489/9076/3315/3958/7076/3852/3861",8,1,0.0407212573847447,2.34
"158","Hepatocyte","4/376","17/11351",0.0020017009691509,0.0023411707241531,"4311/3880/4233/3875",4,0.328278958940748,0.00521077712604362,7.1
"16","Oligodendrocyte","4/376","155/11351",0.76003267260128,0.354252534210917,"7381/9168/4118/9839",4,1,0.788464926143727,0.78
"17","Mesenchymal stem cell","21/376","96/11351",3.8721427532059e-12,4.75526303025286e-11,"4311/7431/3815/920/7412/5788/10891/999/2335/967/5159/3383/3689/290/970/2064/3678/4684/3688/947/5175",21,6.35031411525768e-10,1.05838568587628e-10,6.6
"179","Lymphoid cell","14/376","52/11351",8.47675257236994e-10,5.20502350934996e-09,"925/4311/3815/920/3682/5788/3824/51744/4684/969/1233/22914/939/947",14,1.39018742186867e-07,1.15848951822389e-08,8.13
"180","Multipotent progenitor cell","4/376","51/11351",0.0878558576879416,0.0640949456816666,"2475/5788/9112/947",4,1,0.142657036245767,2.37
"185","Megakaryocyte","4/376","28/11351",0.0129315714807391,0.0114801522340106,"2526/6403/947/5175",4,1,0.0255515388294122,4.31
