"ID","Description","GeneRatio","BgRatio","pvalue","qvalue","geneID","Count","bonferroni","Benjamini","enrichment_fold"
"101","Hematopoietic stem cell","42/2978","59/11351",6.11661826210646e-13,1.34902858913626e-12,"3791/5159/7412/2322/5788/5728/7010/4609/7852/3815/5175/4851/836/5243/4170/947/960/9429/1636/945/6776/3678/2022/4602/8842/3675/5420/4254/7070/64866/4804/6688/216/2057/962/2122/2624/3575/648/6504/22918/51744",42,1.07652481413074e-10,5.1263086387178e-12,2.71
"105","Germinal center B cell","6/2978","10/11351",0.024935749287213,0.00902280401839943,"5788/3394/57379/928/975/257144",6,1,0.0342866552699178,2.29
"106","Pluripotent stem cell","13/2978","18/11351",5.86514550360264e-05,3.23391481401649e-05,"4072/5175/9314/2526/5420/2719/1009/79923/290/928/5460/6657/5819",13,0.0103226560863406,0.000122888762932627,2.75
"107","Myeloid cell","63/2978","86/11351",8.37699743655182e-20,4.31096944103252e-19,"920/7422/4311/7412/2322/5788/6402/3815/5175/942/941/947/1436/3684/945/57126/2833/958/100133941/4843/7099/929/968/3572/356/2526/8809/7097/2214/3560/3559/729230/1234/1237/969/2212/3687/290/928/3685/962/348/5169/6693/2215/917/7535/54106/975/915/2811/3563/916/2213/64581/4353/2208/7056/4360/3683/4065/9332/51744",63,1.47435154883312e-17,1.63816838759236e-18,2.79
"108","Granulocyte","15/2978","19/11351",2.36125709379701e-06,1.51893731179924e-06,"5788/960/3684/945/929/2526/2214/967/2212/3687/290/5169/2215/3563/2213",15,0.000415581248508273,5.77196178483713e-06,3.01
"111","Non-classical monocyte","8/2978","11/11351",0.00166688859407815,0.000701847829085537,"3684/945/929/2526/2214/3687/2215/3563",8,0.293372392557754,0.00266702175052504,2.77
"113","Monocyte derived dendritic cell","16/2978","18/11351",4.2555964580526e-08,4.28481107904609e-08,"1471/3684/945/929/2526/2214/909/140885/6280/3687/6279/2215/911/3563/30835/4360",16,7.48984976617257e-06,1.62822821003752e-07,3.39
"116","Eosinophil","35/2978","53/11351",1.35865821739234e-09,1.74798133231763e-09,"5788/3576/3383/963/2056/960/3684/945/2833/100133941/929/2526/2214/3567/3559/728/3570/3565/6280/3596/969/3566/3687/1048/928/962/6693/2215/975/3563/3903/2209/2208/51744/3965",35,2.39123846261052e-07,6.642329062807e-09,2.52
"119","Plasma cell","16/2978","47/11351",0.14648984089515,0.0498881811098034,"7852/3815/5175/939/3383/200958/931/930/6280/25849/928/6279/7494/975/973/3903",16,1,0.189575088217253,1.3
"120","Granulosa cell","85/2978","192/11351",4.02480176105467e-08,4.28481107904609e-08,"4790/2335/5111/4313/5156/4792/29923/3383/2171/2597/7373/2878/64344/4162/4489/602/2026/4173/3939/10653/929/2952/4211/6502/6863/80312/53827/476/7102/4502/2719/7037/3627/7805/330/64866/10644/2192/6280/1462/716/8091/896/216/6696/1382/1588/5230/1052/65997/4493/1278/10581/3872/3094/3122/54913/3123/391/8519/51537/1277/1028/4192/9037/390/9411/5577/26471/84072/1831/3119/5971/715/950/6164/2492/900/6233/10410/490/6228/8788/4504/2537",85,7.08365109945621e-06,1.62822821003752e-07,1.69
