"ID","Description","GeneRatio","BgRatio","pvalue","qvalue","geneID","Count","bonferroni","Benjamini","enrichment_fold"
"101","Hematopoietic stem cell","12/464","59/11351",3.67081947978446e-06,1.61000854376511e-05,"4851/4609/3791/7412/5728/3815/7010/5159/960/5175/5243/836",12,0.000620368492083573,3.44649162268652e-05,4.98
"105","Germinal center B cell","1/464","10/11351",0.341330472997783,0.226446576513346,"975",1,1,0.484746638122902,2.45
"106","Pluripotent stem cell","5/464","18/11351",0.000614888275983488,0.000970876225237086,"4072/2526/1009/5460/5175",5,0.103916118641209,0.00207832237282419,6.8
"107","Myeloid cell","15/464","86/11351",1.7859029391038e-06,1.00708812355478e-05,"7422/920/4311/7412/8809/3815/2526/7099/3685/5175/4065/969/54106/7097/975",15,0.000301817596708543,2.15583997648959e-05,4.27
"108","Granulocyte","2/464","19/11351",0.181017606114795,0.126467819828688,"2526/960",2,1,0.270725446313278,2.58
"111","Non-classical monocyte","1/464","11/11351",0.368278948487513,0.24028639527241,"2526",1,1,0.514373076813138,2.22
"113","Monocyte derived dendritic cell","1/464","18/11351",0.528497461523951,0.303280043880527,"2526",1,1,0.649221480600248,1.36
"116","Eosinophil","8/464","53/11351",0.00128787296283657,0.00178375756625563,"2526/960/3903/3576/3965/969/3383/975",8,0.21765053071938,0.00381843036349789,3.69
"119","Plasma cell","6/464","47/11351",0.0117139108868802,0.0124970599788907,"3815/939/3903/5175/3383/975",6,1,0.0267520397281454,3.12
"120","Granulosa cell","14/464","192/11351",0.0259689222830978,0.0230357087076562,"602/4790/2335/4313/476/1462/29923/3872/6502/10644/23475/3383/5111/2026",14,1,0.0493117737735227,1.78
"122","Beta cell","4/464","111/11351",0.670570314225599,0.362601107187598,"3630/3329/3481/10736",4,1,0.776208103452919,0.88
"126","Myoepithelial cell","6/464","11/11351",1.7525014514368e-06,1.00708812355478e-05,"4311/10630/3688/960/8553/3861",6,0.000296172745292818,2.15583997648959e-05,13.34
"127","Oviduct-derived stem cell","8/464","19/11351",3.72840598916021e-07,2.67588946590446e-06,"7412/3815/5159/3688/960/5460/5175/3383",8,6.30100612168076e-05,5.72818738334615e-06,10.3
"128","Cancer cell","17/464","51/11351",7.60152367652217e-12,1.00020048375292e-10,"7431/4072/4582/2346/768/999/7849/6928/2064/57167/7490/3688/960/5460/3880/56901/2315",17,1.28465750133225e-09,2.14109583555374e-10,8.15
