"ID","Description","GeneRatio","BgRatio","pvalue","qvalue","geneID","Count","bonferroni","Benjamini","enrichment_fold"
"101","Hematopoietic stem cell","52/3080","59/11351",1.02633617400575e-22,4.9696277899226e-22,"6776/2322/945/7412/6688/5159/4254/836/7852/3791/4851/5243/4170/947/9429/4609/952/5175/5788/3815/960/2122/5728/2624/4352/4602/7010/3655/4804/7070/3575/2672/3674/8842/22918/7704/648/2057/3678/51744/3676/3673/2022/1636/5420/6777/90952/6689/6504/962/216/8763",52,1.80635166625013e-20,1.80635166625013e-21,3.25
"105","Germinal center B cell","8/3080","10/11351",0.000758204162134358,0.000359931800394019,"5788/5079/604/3394/4005/928/57379/975",8,0.133443932535647,0.0013082738483887,2.95
"106","Pluripotent stem cell","13/3080","18/11351",8.60847897916278e-05,4.43437886944555e-05,"290/5175/2526/4072/3655/9314/928/79727/79923/5819/6657/5420/5460",13,0.0151509230033265,0.000161180031950282,2.66
"107","Myeloid cell","75/3080","86/11351",1.43290534799763e-31,1.73456963178661e-30,"7422/2322/920/945/3684/7412/929/7056/3563/947/6402/290/952/5175/5788/3815/2526/969/2214/3683/4353/3687/1233/6693/3655/7099/3559/356/3674/942/1436/941/729230/7535/57126/1378/7097/2811/4311/928/51744/916/3676/8809/131450/2212/9332/1234/348/3572/958/2205/2833/54106/3560/100133941/2213/3685/1232/2215/4360/4065/9173/915/4843/917/962/2208/64581/968/8573/6614/975/3594/1237",75,2.52191341247584e-29,6.30478353118959e-30,3.21
"108","Granulocyte","16/3080","19/11351",3.37462705166823e-07,2.6787376078816e-07,"945/3684/929/3563/290/5788/2526/960/2214/3687/3676/967/2212/2213/1232/2215",16,5.93934361093608e-05,9.73662887038702e-07,3.1
"111","Non-classical monocyte","9/3080","11/11351",0.000248975263356414,0.000123016778887165,"945/3684/929/3563/2526/2214/3687/2215/1524",9,0.0438196463507289,0.000447139248476826,3.02
"113","Monocyte derived dendritic cell","16/3080","18/11351",7.14104948449992e-08,5.96167470575311e-08,"945/3684/140885/929/3563/2526/6279/2214/3687/2205/6280/909/2215/4360/911/1471",16,1.25682470927199e-05,2.16693915391722e-07,3.28
"116","Eosinophil","45/3080","53/11351",1.97456406288852e-18,5.62414531844408e-18,"945/3684/963/929/3576/3563/3383/3965/1441/2056/5788/2526/960/969/2214/3596/3687/3565/6693/3559/1043/1378/928/51744/3567/3676/3570/728/2209/2205/2833/1048/100133941/6280/1232/2215/3903/1230/6037/5553/962/2208/3568/975/3566",45,3.4752327506838e-16,2.04425455922576e-17,3.13
"119","Plasma cell","23/3080","47/11351",0.0011506127995839,0.000530608408830669,"7852/608/3383/952/5175/939/3815/930/6279/7494/639/11040/928/7292/931/6382/10117/973/6280/3662/3903/3568/975",23,0.202507852726766,0.00192864621644539,1.8
"120","Granulosa cell","80/3080","192/11351",8.15936434680369e-06,4.70339298186679e-06,"4790/929/2335/5111/2878/6208/3383/2597/4792/4211/5156/6696/4313/896/3123/80312/151987/1462/4173/1052/8788/10962/4504/1028/1382/7037/3119/6502/1831/3428/1984/715/2952/8091/10653/6535/9240/2319/10644/5715/26137/55256/6234/6160/6280/7373/6232/203/730/8407/3127/6154/11013/8519/3627/5757/1277/5552/4192/5971/4670/6631/5577/9077/2171/4237/330/602/216/2192/397/391/7311/3151/476/5230/6233/2026/6164/2537",80,0.00143604812503745,1.70958110123506e-05,1.54
"122","Beta cell","31/3080","111/11351",0.461098235303705,0.151883414421557,"3630/489/140738/8835/5950/5641/8851/8788/23705/240/9844/3481/1028/4267/9788/214/2990/971/2778/54386/6653/23678/4093/3651/3329/10325/8544/26585/6514/10103/6477",31,1,0.55206319328879,1.03
"126","Myoepithelial cell","7/3080","11/11351",0.0121635174303489,0.0049080859806671,"960/3688/6606/4311/10630/8626/8553",7,1,0.0178398255645117,2.35
"127","Oviduct-derived stem cell","18/3080","19/11351",8.66738881463004e-10,9.32631311047911e-10,"7412/5159/947/9429/3383/5175/5788/3815/960/4907/3688/7070/8842/3676/214/2022/6657/5460",18,1.52546043137489e-07,3.38991206972197e-09,3.49
"128","Cancer cell","28/3080","51/11351",2.50244603449204e-05,1.37694399027074e-05,"7490/4684/142/999/7431/5788/960/2064/4072/57167/3880/3688/4804/2194/5329/8797/7052/3783/931/4582/6382/100133941/5420/51360/340273/4286/5460/216",28,0.00440430502070599,5.00489206898408e-05,2.02
"133","Neural stem cell","44/3080","70/11351",3.90924215768201e-10,4.98130579649232e-10,"1499/861/4684/7852/4851/6423/9429/124540/7431/4345/2526/5156/2624/6256/6597/10763/3655/3688/4804/1000/4853/6513/2649/4440/8842/5375/648/2263/8326/26354/3398/9289/1641/6657/3211/100133941/2264/3148/2551/4920/8650/5590/799/975",44,6.88026619752034e-08,1.81059636776851e-09,2.32
"134","Cardiac progenitor cell","15/3080","19/11351",3.74648993386796e-06,2.32575623425002e-06,"140885/7412/7490/4254/836/3791/2626/947/9429/3815/2526/3688/214/1482/3670",15,0.000659382228360762,8.45361831231746e-06,2.91
"137","Germ cell","11/3080","37/11351",0.421672943931193,0.140812743526932,"1956/3815/57167/2649/4440/639/79923/5420/9271/5460/400629",11,1,0.511823711254413,1.1
"14","Kupffer cell","7/3080","10/11351",0.00576973681516888,0.00245067307015483,"3684/929/3689/2212/9332/2213/968",7,1,0.00890766385499757,2.58
"142","M2 macrophage","18/3080","23/11351",4.71879797353779e-07,3.62681214340415e-07,"929/7852/3553/3552/3586/6347/8743/1436/6778/383/9332/2205/3662/6362/4481/4360/2208/968",18,8.30508443342651e-05,1.31826737038516e-06,2.88
"146","Smooth muscle cell","5/3080","11/11351",0.151681669770396,0.0540043096705745,"5175/10614/59/6876/1003",5,1,0.196293925585219,1.68
"15","Adipose-derived stromal cell","23/3080","23/11351",8.80656523462805e-14,1.57934503233096e-13,"7412/2152/7056/947/4609/290/5175/5788/4345/960/4907/3688/8788/9314/7070/7037/4311/214/79923/2022/6657/5460/1003",23,1.54995548129454e-11,5.74057585664643e-13,3.69
