"ID","Description","GeneRatio","BgRatio","pvalue","qvalue","geneID","Count","bonferroni","Benjamini","enrichment_fold"
"101","Hematopoietic stem cell","16/654","59/11351",1.31698251631239e-07,9.61458798782227e-07,"5728/4609/5175/3791/2122/947/4851/7412/5243/6776/960/8842/3678/5159/7010/10544",16,2.17302115191544e-05,1.71259848533084e-06,4.71
"105","Germinal center B cell","1/654","10/11351",0.447702093436504,0.319010398562043,"604",1,1,0.56823727243864,1.74
"106","Pluripotent stem cell","4/654","18/11351",0.0174877514157099,0.0257129845377189,"5460/5175/6657/79727",4,1,0.0458012537078117,3.86
"107","Myeloid cell","14/654","86/11351",0.000369434881724446,0.00103701019431423,"7422/920/5175/7056/947/8573/348/7412/2213/3685/356/6614/4843/100133941",14,0.0609567554845336,0.00184717440862223,2.83
"108","Granulocyte","2/654","19/11351",0.299989577277123,0.23351687572213,"960/2213",2,1,0.415951934880044,1.83
"116","Eosinophil","6/654","53/11351",0.0828733883813368,0.0862549754885587,"3965/3576/3383/960/3565/100133941",6,1,0.153641675088995,1.96
"119","Plasma cell","2/654","47/11351",0.762497200908681,0.449881016962547,"5175/3383",2,1,0.801350561464537,0.74
"120","Granulosa cell","22/654","192/11351",0.00157331692968219,0.00371343395740955,"10252/4790/5156/3939/2335/2171/2014/2597/4313/1116/1277/3383/1278/6136/5552/5111/8091/6696/4192/4792/80312/896",22,0.259597293397561,0.00661455423663575,1.99
"122","Beta cell","5/654","111/11351",0.773991929258276,0.45377274999819,"2823/3630/214/653/8851",5,1,0.808282710934275,0.78
"126","Myoepithelial cell","2/654","11/11351",0.129209164336313,0.12436702025758,"10630/960",2,1,0.221528754833815,3.16
"127","Oviduct-derived stem cell","10/654","19/11351",2.16697172797864e-08,2.50912515871211e-07,"5460/5175/6657/947/214/3383/7412/960/8842/5159",10,3.57550335116476e-06,4.46937918895595e-07,9.13
"128","Cancer cell","10/654","51/11351",0.000559796598947484,0.00144041230138534,"142/5460/2670/999/51360/960/5329/2064/7431/100133941",10,0.0923664388263349,0.00256573441184264,3.4
"133","Neural stem cell","15/654","70/11351",8.11214106765251e-06,3.5782877892402e-05,"1499/2670/10763/5156/6597/6657/4853/4851/6662/8842/7431/1000/100133941/4288/6423",15,0.00133850327616266,6.37382512458411e-05,3.72
"134","Cardiac progenitor cell","4/654","19/11351",0.0211654189409339,0.0297058511451704,"3791/947/214/7412",4,1,0.0529135473523347,3.65
"137","Germ cell","2/654","37/11351",0.637434148568041,0.412912808789015,"1956/5460",2,1,0.735500940655432,0.94
"14","Kupffer cell","2/654","10/11351",0.109750342975682,0.108152633615454,"2213/3689",2,1,0.192646878627528,3.47
"142","M2 macrophage","4/654","23/11351",0.0403481387274168,0.0511987917521655,"6347/3586/3553/383",4,1,0.0911978478085448,3.02
"146","Smooth muscle cell","2/654","11/11351",0.129209164336313,0.12436702025758,"800/5175",2,1,0.221528754833815,3.16
"15","Adipose-derived stromal cell","10/654","23/11351",2.17294266154959e-07,1.34188739800957e-06,"2152/4609/5460/5175/7056/6657/947/214/7412/960",10,3.58535539155682e-05,2.39023692770455e-06,7.55
"151","Neural crest cell","7/654","23/11351",0.000222077224660526,0.000663592386082386,"652/10763/4853/4851/6615/6591/7431",7,0.0366427420689867,0.00118202393770925,5.28
"153","Myeloid dendritic cell","3/654","18/11351",0.0815108022042859,0.0862549754885587,"920/80380/8829",3,1,0.153641675088995,2.89
"155","Follicular helper (Tfh) T cell","5/654","25/11351",0.0126919946435315,0.0202703362727908,"5133/6774/920/3569/604",5,1,0.0361065364859086,3.47
"157","Basal cell","9/654","103/11351",0.138829922815264,0.129816620735633,"7056/2171/5268/4851/894/10457/3489/977/3958",9,1,0.231235855685346,1.52
"158","Hepatocyte","4/654","17/11351",0.0142365574577578,0.0223517762048651,"4233/3172/383/7082",4,1,0.0398141013649159,4.08
"16","Oligodendrocyte","12/654","155/11351",0.182938594279235,0.16138943655712,"1718/4282/2898/4673/1525/1350/7381/10399/2893/4869/55612/10215",12,1,0.287474933867369,1.34
"17","Mesenchymal stem cell","29/654","96/11351",4.88621248675479e-14,1.50872525906815e-12,"920/80381/5460/5175/10763/5156/6657/2335/947/999/4851/3952/682/214/3383/7412/960/8842/8829/3678/966/3690/5159/3685/2064/7431/1000/100133941/3689",29,8.06225060314541e-12,2.68741686771514e-12,5.24
"171","Intestinal stem cell","5/654","11/11351",0.000215907293246723,0.000663592386082386,"2048/6662/214/960/100133941",5,0.0356247033857093,0.00118202393770925,7.89
"179","Lymphoid cell","4/654","52/11351",0.351754310721972,0.264906969135931,"920/925/947/356",4,1,0.471865538773377,1.34
"180","Multipotent progenitor cell","4/654","51/11351",0.338429783222699,0.2590850015102,"2475/947/8842/8318",4,1,0.461495158940044,1.36
"185","Megakaryocyte","9/654","28/11351",1.69822035920031e-05,6.29235333093167e-05,"5460/5175/6657/947/5196/6403/5552/3690/3685",9,0.00280206359268051,0.00011208254370722,5.58
"19","Osteocyte","4/654","11/11351",0.00260121424009411,0.00560359493582085,"10630/2697/2335/960",4,0.429200349615528,0.00998140347943089,6.31
"193","Ciliated cell","10/654","265/11351",0.945683842619881,0.537424463355179,"4255/6717/467/56925/7430/55851/3429/966/7431/5052",10,1,0.957287325351413,0.65
"204","Activated CD4+ T cell","1/654","11/11351",0.479551386346523,0.339096199264717,"920",1,1,0.604015104940277,1.58
"213","Basophil","2/654","39/11351",0.666019101388897,0.415808506819,"3383/960",2,1,0.740658902771344,0.89
"217","Neuron","18/654","82/11351",7.02185986268755e-07,3.96928029001214e-06,"2670/3791/10763/3897/2353/6714/214/1745/1746/7412/8842/8829/4744/596/2892/6855/1000/100133941",18,0.000115860687734345,7.07028051658412e-06,3.81
"223","Naive T cell","2/654","12/11351",0.149383191758947,0.137005949711176,"920/925",2,1,0.244041847923033,2.89
"225","Effector memory T cell","3/654","10/11351",0.0168444379584567,0.0255791292552923,"920/925/960",3,1,0.0455628239859894,5.21
"226","Effector T cell","4/654","18/11351",0.0174877514157099,0.0257129845377189,"5133/920/925/84868",4,1,0.0458012537078117,3.86
"229","Cardiomyocyte","4/654","29/11351",0.0827683861478661,0.0862549754885587,"652/2697/214/7412",4,1,0.153641675088995,2.39
"230","M1 macrophage","3/654","27/11351",0.201574095624348,0.169746606841556,"6403/2213/6772",3,1,0.302361143436522,1.93
"232","Keratinocyte","2/654","10/11351",0.109750342975682,0.108152633615454,"947/960",2,1,0.192646878627528,3.47
"24","Natural killer cell","6/654","90/11351",0.417560590645544,0.306978546172162,"920/925/3558/947/2213/356",6,1,0.546805535369164,1.16
"244","Stromal cell","17/654","43/11351",7.12438445233948e-11,1.64985745212072e-09,"10630/5175/5156/947/4313/4318/214/3383/7412/3384/1289/960/8842/3690/5159/3685/7431",17,1.17552343463601e-08,2.93880858659003e-09,6.86
"249","Stem cell","21/654","76/11351",9.87244366198233e-10,1.52416674079727e-08,"1499/5460/5175/3791/10763/5156/6657/947/999/4851/6662/214/7412/79727/960/8842/3685/7431/3381/1789/6868",21,1.62895320422709e-07,2.71492200704514e-08,4.8
"25","Cancer stem cell","48/654","169/11351",3.66371448547088e-21,3.39375657601513e-19,"1956/7422/1499/10630/6774/5728/4609/5460/2670/5175/10763/3309/10765/2697/6657/3897/947/4781/2305/3082/84868/6662/214/4233/3429/3383/79727/5243/960/8842/2213/3556/894/2735/3678/2146/11335/596/3690/977/5329/2064/7010/10544/1000/100133941/4615/4288",48,6.04512890102695e-19,6.04512890102695e-19,4.93
"250","Microglial cell","40/654","480/11351",0.0117073664596985,0.0197176698268606,"10630/920/1958/595/10252/5947/2823/3479/5925/2171/2353/6347/472/4781/348/84868/4067/308/64092/3920/712/79969/5552/5216/23191/1627/718/6696/7462/4192/7001/4792/64805/6351/154/10097/9023/100133941/6886/3689",40,1,0.0351220993790954,1.45
"251","Embryonic stem cell","10/654","30/11351",3.94730862862126e-06,1.92444963611452e-05,"7015/5460/5175/6657/999/79727/8842/966/1789/100133941",10,0.000651305923722508,3.42792591432899e-05,5.79
"254","Progenitor cell","6/654","27/11351",0.00373549234598182,0.00768943453675791,"947/214/960/8842/10544/100133941",6,0.616356237087001,0.0136968052686,3.86
"256","Astrocyte","49/654","447/11351",9.69270592605717e-06,4.08113933728723e-05,"10630/2152/54443/57447/10252/467/2670/54413/7035/7430/2697/6657/3897/2171/2353/3091/4853/3082/4854/348/183/4067/308/6662/214/7412/3066/6285/3371/4915/92737/8829/2560/10611/57348/1605/205/3956/5764/4038/4792/5159/3685/8682/7431/19/100133941/30008/3958",49,0.00159929647779943,7.26952944454287e-05,1.9
"26","Endometrial stem cell","11/654","24/11351",2.67832045503927e-08,2.75318921736941e-07,"5460/5175/10763/6657/947/214/3383/7412/960/8842/5159",11,4.41922875081479e-06,4.90411829343925e-07,7.95
"264","Multipotent mesenchymal stroma cell","1/654","10/11351",0.447702093436504,0.319010398562043,"947",1,1,0.56823727243864,1.74
"27","Dental pulp stem cell","2/654","15/11351",0.212800947615526,0.176000783742165,"947/960",2,1,0.313501396040731,2.31
"274","Osteoblast","3/654","26/11351",0.186604343400795,0.163070329883515,"214/960/3685",3,1,0.290469025105011,2
"278","Naive CD4+ T cell","4/654","35/11351",0.140142942839604,0.129816620735633,"920/4609/6304/6932",4,1,0.231235855685346,1.98
"282","Epidermal stem cell","4/654","14/11351",0.00687037137406653,0.0127282669666917,"10763/10413/947/3371",4,1,0.0226722255344196,4.96
"289","Leydig cell","22/654","379/11351",0.517742908941713,0.361899090940924,"7422/1021/5947/4790/1019/6275/1147/8573/5290/348/200916/26517/214/3429/1537/6136/6139/7295/3485/80312/6772/3910",22,1,0.644632755738521,1.01
"29","Adipose-derived stem cell","13/654","35/11351",3.11226581573262e-08,2.75318921736941e-07,"2152/4609/5460/5175/10763/7056/6657/947/3383/7412/960/966/5159",13,5.13523859595882e-06,4.90411829343925e-07,6.45
"291","Dendritic cell progenitor","2/654","14/11351",0.191304628110294,0.163828044372615,"947/6614",2,1,0.291818704038721,2.48
"308","Glial cell","5/654","15/11351",0.00115678182775848,0.00289606830278083,"2670/5156/4747/5159/7431",5,0.190869001580149,0.00515862166432835,5.79
"31","Regulatory T (Treg) cell","37/654","470/11351",0.0326182050368982,0.0431639404999555,"1499/920/1493/7040/1029/84557/5663/23468/10765/54704/2597/5315/1026/84868/54790/6249/64092/9377/51079/3586/55353/10935/6385/6776/8829/54434/894/5606/966/7462/1808/50943/2308/901/135/5052/3958",37,1,0.0768857690155457,1.37
"310","Neuroendocrine cell","8/654","79/11351",0.0840049819849942,0.0864612680079473,"4609/4904/3553/3066/9900/9454/23135/4843",8,1,0.154009133639156,1.76
"317","Acinar cell","5/654","96/11351",0.655341873814816,0.413782719505284,"586/10105/6385/1056/4792",5,1,0.737050469118787,0.9
"318","Alpha cell","5/654","99/11351",0.68190172471254,0.418315453291764,"55245/29072/2159/2892/135",5,1,0.745124401175955,0.88
"319","Delta cell","1/654","18/11351",0.656644963396738,0.413782719505284,"2487",1,1,0.737050469118787,0.96
"321","Oocyte","2/654","87/11351",0.964302875917306,0.544664012071392,"23421/1385",2,1,0.970182771502167,0.4
"322","Oligodendrocyte progenitor cell","13/654","111/11351",0.0112782749633729,0.0193467484751815,"10252/23237/56934/2895/5156/4313/308/214/6285/57348/5764/100133941/10215",13,1,0.034461395721417,2.03
"324","Purkinje cell","1/654","26/11351",0.786615306990516,0.455408861941878,"2670",1,1,0.811197035333969,0.67
"33","Urine-derived stem cell","6/654","14/11351",7.2050411702503e-05,0.000238362264278957,"5460/5175/947/960/8842/100133941",6,0.011888317930913,0.000424582783246892,7.44
"332","Mast cell","12/654","125/11351",0.056346954932043,0.0644383630152019,"57447/1958/3558/5743/4914/83992/2213/4792/154/19/100133941/6886",12,1,0.114780834120828,1.67
"333","Nephron epithelial cell","1/654","24/11351",0.759662026895421,0.449881016962547,"7412",1,1,0.801350561464537,0.72
"334","Activated T cell","3/654","15/11351",0.0515785513262835,0.060478514546475,"920/925/4288",3,1,0.107727354035909,3.47
"335","Fat cell (adipocyte)","3/654","25/11351",0.171943345957829,0.153147919476608,"2167/3952/5468",3,1,0.272794731567709,2.08
"338","CD8+ cytotoxic T cell","4/654","11/11351",0.00260121424009411,0.00560359493582085,"3458/925/7124/356",4,0.429200349615528,0.00998140347943089,6.31
"34","Fibroblast","10/654","33/11351",1.03875403042517e-05,4.18354025983593e-05,"5175/5156/947/1277/960/1281/5783/5159/7431/6868",10,0.00171394415020153,7.45193108783275e-05,5.26
"341","Conventional dendritic cell","2/654","18/11351",0.278182838781233,0.220243723011682,"80380/7056",2,1,0.392309131614559,1.93
"343","Mesoderm cell","5/654","20/11351",0.00469851006376302,0.0092602214022653,"5175/3383/7412/960/1000",5,0.775254160520898,0.0164947693727851,4.34
"346","Induced pluripotent stem cell","4/654","36/11351",0.150941273260755,0.137077730102647,"6774/5460/6657/79727",4,1,0.244169706745339,1.93
"347","Endothelial stem cell","7/654","19/11351",5.58888902693199e-05,0.000191743561157901,"5175/947/6403/3383/7412/3384/3678",7,0.00922166689443778,0.00034154321831251,6.39
"348","Exhausted T cell","5/654","16/11351",0.00160352829979049,0.00371343395740955,"5133/920/1493/925/84868",5,0.26458216946543,0.00661455423663575,5.42
"349","Follicular B cell","4/654","22/11351",0.0348682333086938,0.0454141069255503,"5133/604/2308/100133941",4,1,0.0808938779611365,3.16
"35","Immune cell","3/654","40/11351",0.407672412011592,0.302106713743327,"920/2213/3689",3,1,0.538127583855302,1.3
"351","Granulocyte-monocyte progenitor","11/654","114/11351",0.0638829334290488,0.0696185528390873,"7272/83540/3939/947/3082/811/6385/3556/3956/7431/9134",11,1,0.124008047244624,1.67
"352","Hemangioblast","6/654","10/11351",6.15176074868418e-06,2.8492365572853e-05,"5175/3791/947/999/8842/7010",6,0.00101504052353289,5.07520261766445e-05,10.41
"356","Marginal zone B cell","1/654","13/11351",0.537853421044078,0.366339791423211,"4853",1,1,0.652542753472595,1.34
"357","Megakaryocyte erythroid cell","12/654","90/11351",0.00533315359850915,0.0102920508041405,"5133/920/1493/5175/925/5156/947/348/6403/8829/5159/356",12,0.879970343754009,0.0183327154948752,2.31
"36","Endothelial cell","65/654","380/11351",1.06605162202488e-15,4.93750224937841e-14,"4255/7422/10630/2152/920/5728/586/7272/7450/5175/3791/3418/6275/5888/51266/7056/51426/3939/2172/2335/2171/11082/947/999/4781/1292/6403/682/3146/55669/57124/214/2149/65993/3383/7412/3384/64105/1847/23421/1786/960/8842/8829/5216/3678/1977/100506658/4192/2157/6591/3690/5764/2260/977/1808/6935/7010/10544/3643/1000/100133941/4615/3689/3910",65,1.75898517634106e-13,8.7949258817053e-14,2.97
"363","Neural tube cell","1/654","14/11351",0.564511020500523,0.381690125271195,"4851",1,1,0.679885535639317,1.24
"365","Primitive endoderm cell","10/654","95/11351",0.046422671258239,0.057236501803375,"10630/5156/3479/2335/2487/80781/3172/650/1000/5295",10,1,0.101952518837262,1.83
"367","Pyramidal cell","1/654","13/11351",0.537853421044078,0.366339791423211,"2915",1,1,0.652542753472595,1.34
"368","Radial glial cell","6/654","11/11351",1.28739641258619e-05,4.96889843454321e-05,"2670/10763/6657/3371/7431/1000",6,0.00212420408076722,8.85085033653009e-05,9.47
"37","T cell","16/654","106/11351",0.000352341064158416,0.00101993465940594,"5133/920/1493/5175/925/5156/3558/947/348/84868/6403/960/8829/5159/356/50943",16,0.0581362755861387,0.00181675861206683,2.62
"370","Specialist antigen presenting cell","6/654","49/11351",0.0609997443694742,0.0672678885277409,"7056/947/999/7412/8829/6614",6,1,0.119820926440039,2.13
"371","T helper9 (Th9) cell","3/654","12/11351",0.0283390272231445,0.0380447657610482,"920/3586/3565",3,1,0.0677672390118672,4.34
"372","Myeloid conventional dendritic cell","1/654","16/11351",0.613308178069675,0.402919893020765,"7056",1,1,0.717701059443237,1.08
"377","Pancreatic polypeptide cell","1/654","18/11351",0.656644963396738,0.413782719505284,"9607",1,1,0.737050469118787,0.96
"380","Idiopathic pulmonary fibrosis cell","3/654","15/11351",0.0515785513262835,0.060478514546475,"10630/1277/3586",3,1,0.107727354035909,3.47
"384","Trophectoderm cell","6/654","100/11351",0.519613069777111,0.361899090940924,"2013/4609/5154/54790/8140/100133941",6,1,0.644632755738521,1.04
"385","Epiblast cell","9/654","94/11351",0.0914845691778717,0.0921126096985436,"5460/6657/7378/55353/6387/54880/79012/841/4038",9,1,0.164075586025531,1.66
"386","Interneuron","6/654","32/11351",0.00895649911988082,0.0162677383395152,"3939/1745/1746/9118/4192/7431",6,1,0.0289769089172615,3.25
"388","Naive CD8+ T cell","9/654","92/11351",0.0824707035410112,0.0862549754885587,"4609/472/51176/6932/3480/57124/10399/4869/4863",9,1,0.153641675088995,1.7
"389","Effector CD8+ memory T (Tem) cell","7/654","82/11351",0.192777204486186,0.163828044372615,"5829/2014/7414/841/3956/11186/154",7,1,0.291818704038721,1.48
"39","Dendritic cell","6/654","38/11351",0.0203957334372564,0.0295201405012921,"3569/7056/7124/947/6249/8829",6,1,0.0525827502679266,2.74
"390","Mucosal-associated invariant T cell","3/654","68/11351",0.759130262096345,0.449881016962547,"7124/123036/4792",3,1,0.801350561464537,0.77
"391","Exhausted CD8+ T cell","23/654","258/11351",0.0247442554677099,0.0337073449095738,"1499/5133/6774/1493/6717/3458/3939/2597/5315/84868/308/54790/64092/2820/7412/5552/54434/894/5606/7462/356/9619/10459",23,1,0.0600412081201784,1.55
"392","Exhausted CD4+ T cell","11/654","112/11351",0.0576482564761649,0.0651225490359758,"5133/1493/1029/84557/3458/2597/5315/84868/2149/5552/6935",11,1,0.115999540470332,1.7
"393","CD4+ cytotoxic T cell","8/654","89/11351",0.140052898680841,0.129816620735633,"864/5829/7414/5730/6352/11186/6351/154",8,1,0.231235855685346,1.56
"396","Liver bud hepatic cell","14/654","198/11351",0.251576014266566,0.206229056874316,"2013/3075/5947/4609/5054/2014/1465/4233/91942/29078/10105/28957/51053/7431",14,1,0.367345507557375,1.23
"398","Secretory cell","4/654","73/11351",0.613036702780357,0.402919893020765,"3075/3965/3576/718",4,1,0.717701059443237,0.95
"399","Brush cell (Tuft cell)","7/654","77/11351",0.15428542238161,0.138754391104565,"4609/4904/3553/3066/9454/23135/4843",7,1,0.247156259155006,1.58
"4","Primordial germ cell","2/654","23/11351",0.385529755375245,0.288001854609691,"5460/6657",2,1,0.513003303523512,1.51
"40","Neutrophil","11/654","121/11351",0.0890709961845963,0.0906679891757603,"5175/50486/2353/3576/4318/5743/383/960/2213/100133941/3689",11,1,0.161502355719323,1.58
"400","Ionocyte cell","20/654","284/11351",0.205471842604861,0.17147010098841,"5747/6558/5979/7035/3479/51176/64093/60682/5664/1349/1329/10631/64949/54880/816/5889/9451/596/91746/6383",20,1,0.305431117385605,1.22
"401","FOXN4+ cell","6/654","78/11351",0.293056683044897,0.230053417555316,"1029/5925/983/92104/81620/4751",6,1,0.409782650020406,1.34
"405","Ciliated epithelial cell","7/654","420/11351",0.999994380498278,0.561400353963946,"9666/2172/8828/55851/92104/79969/10721",7,1,0.999994380498278,0.29
"406","Secretory progenitor cell","9/654","130/11351",0.334058742006111,0.25786990610998,"1029/2122/54704/348/8720/1847/5783/9734/26038",9,1,0.459330770258402,1.2
"407","FGFR1LowNME5- epithelial cell","2/654","49/11351",0.782492151400075,0.455408861941878,"6932/80312",2,1,0.811197035333969,0.71
"408","FGFR1HighNME5- epithelial cell","10/654","188/11351",0.648768664825192,0.413782719505284,"7272/4313/9509/2235/10631/7412/8829/1399/5159/2260",10,1,0.737050469118787,0.92
"41","Lymphocyte","3/654","13/11351",0.0352991467466778,0.0454141069255503,"920/925/308",3,1,0.0808938779611365,4.01
"411","Pit progenitor cell","3/654","53/11351",0.5961390709558,0.397275564135633,"11197/205/596",3,1,0.707647098616597,0.98
"412","Pit cell","1/654","13/11351",0.537853421044078,0.366339791423211,"5933",1,1,0.652542753472595,1.34
"414","PROCR+ progenitor cell","2/654","21/11351",0.343205054477199,0.260587099171643,"57124/6423",2,1,0.46417077039949,1.65
"415","Enterocyte progenitor cell","5/654","137/11351",0.902332508709316,0.51915829203282,"50486/183/79012/1020/100133941",5,1,0.92475070768346,0.63
"416","Goblet cell","4/654","79/11351",0.674874186788454,0.416764410086905,"3429/23613/6855/2099",4,1,0.742361605467299,0.88
"417","LGR5+ stem cell","3/654","59/11351",0.668837433411698,0.415808506819,"9518/6662/9075",3,1,0.740658902771344,0.88
"418","Enteroendocrine cell","2/654","47/11351",0.762497200908681,0.449881016962547,"4015/80144",2,1,0.801350561464537,0.74
"419","DCLK1+ progenitor cell","17/654","98/11351",3.92930753978454e-05,0.000139991523684631,"10630/4609/6347/4313/4015/9509/6422/1277/3383/7412/1278/1289/1281/718/1290/113451/6423",17,0.00648335744064449,0.00024935990156325,3.01
"42","Endothelial progenitor cell","4/654","10/11351",0.00173382989578597,0.00391725367982452,"5175/3791/947/8842",4,0.286081932804684,0.00697760811718742,6.94
"420","MKI67+ progenitor cell","21/654","108/11351",7.28453144132909e-07,3.96928029001214e-06,"54443/10403/7450/5175/3791/83540/7035/947/2167/983/57124/2149/7122/51203/8829/51299/9212/6886/891/991/4288",21,0.00012019476878193,7.07028051658412e-06,3.37
"426","Retinoid acid signaling-responsive fetal germ cell","15/654","216/11351",0.263570130836826,0.212445607467907,"4255/6558/595/5947/51176/3146/9016/1716/81631/1786/10076/4192/100507436/8682/100133941",15,1,0.378418738302209,1.21
"429","Migration phase fetal germ cell","19/654","156/11351",0.00157899170648688,0.00371343395740955,"10630/5460/3939/2171/81892/1349/1347/54539/126328/1278/54460/1351/51203/7295/3956/5764/79066/3910/6635",19,0.260533631570335,0.00661455423663575,2.11
"430","Gonadal mitotic phase fetal germ cell","24/654","290/11351",0.0469599480704963,0.057236501803375,"10630/2956/4436/5460/3309/581/4313/7378/10159/348/811/2232/10473/4706/2149/79727/6134/81620/894/9349/5328/80312/55869/6423",24,1,0.101952518837262,1.44
"432","Leydig precursor cell","37/654","217/11351",2.13848771374998e-09,2.82987847834584e-08,"57447/2013/3075/800/7035/5156/3479/285/4313/1292/1306/6152/1277/10631/6387/1289/6136/6229/6134/2159/1281/8829/4747/22871/8499/9349/6142/4192/6194/6591/1290/5159/4869/7431/6137/896/30008",37,3.52850472768747e-07,5.04072103955353e-08,2.96
"433","Gonadal endothelial cell","44/654","450/11351",0.000386129004880294,0.00105199233527758,"5829/7157/595/10252/3791/4790/3418/3978/7035/2335/4781/284/1465/4851/1292/7980/8828/8914/2149/60/10642/699/80228/1786/8829/26115/5216/83992/54434/3678/8091/7082/4192/9021/2549/1290/8682/9454/6935/7431/7010/9619/100133941/3910",44,0.0637112858052486,0.00187386134721319,1.7
"439","Lymphoid-primed multipotent progenitor cell","4/654","75/11351",0.634433234918422,0.412912808789015,"947/2885/8842/7462",4,1,0.735500940655432,0.93
"441","CD141+CLEC9A+ dendritic cell","10/654","98/11351",0.0553261386190638,0.0640618447168108,"57447/5747/595/7056/1465/84868/604/966/3620/5291",10,1,0.114110160901819,1.77
"442","CD1C+_A dendritic cell","3/654","31/11351",0.263746393362146,0.212445607467907,"2213/3678/8682",3,1,0.378418738302209,1.68
"443","CD1C+_B dendritic cell","5/654","53/11351",0.188500251653301,0.163187625631977,"9466/3553/3678/7462/1839",5,1,0.29067795815696,1.64
"444","CD1C-CD141- dendritic cell","13/654","313/11351",0.918908735184605,0.525431895362217,"5175/6275/54704/4673/7378/4067/64092/8834/3384/10611/5783/2308/3958",13,1,0.93592556361395,0.72
"445","AXL+SIGLEC6+ dendritic cell","10/654","77/11351",0.0125689750336758,0.0202703362727908,"7056/999/1026/5730/5933/7295/1808/6935/6614/896",10,1,0.0361065364859086,2.25
"449","Lake et al.Science.Ex2","1/654","10/11351",0.447702093436504,0.319010398562043,"1290",1,1,0.56823727243864,1.74
"453","Lake et al.Science.Ex6","2/654","34/11351",0.591013982924411,0.396714191436676,"148281/2899",2,1,0.706647153496578,1.02
"455","Lake et al.Science.Ex8","7/654","58/11351",0.0479663391113753,0.0577038666001507,"5175/3082/10631/80144/10611/132204/10076",7,1,0.102785012381518,2.09
"46","Spermatogonial stem cell","1/654","10/11351",0.447702093436504,0.319010398562043,"604",1,1,0.56823727243864,1.74
"466","8-cell stage cell (Blastomere)","2/654","18/11351",0.278182838781233,0.220243723011682,"10765/3066",2,1,0.392309131614559,1.93
"467","Morula cell (Blastomere)","13/654","98/11351",0.00398481011741301,0.00802433158655251,"10403/586/2697/3939/7381/2149/51264/6139/8842/9349/7295/11335/7465",13,0.657493669373146,0.0142933406385467,2.3
"47","Sertoli cell","24/654","453/11351",0.696631442898344,0.424539937500376,"10630/7475/2487/64093/1525/3480/6662/2232/7414/10105/5730/116541/6385/26115/57348/7082/1605/8467/2157/7431/3643/1000/5052/2539",24,1,0.756211763672545,0.92
"48","Mesenchymal stromal cell","19/654","61/11351",6.58530976605355e-10,1.22001528297413e-08,"80381/5175/947/999/682/214/3383/7412/960/8829/3678/966/3690/5159/3685/977/2064/7431/3689",19,1.08657611139884e-07,2.17315222279767e-08,5.41
"5","Epithelial cell","18/654","76/11351",2.08234480672308e-07,1.34188739800957e-06,"1499/10630/5175/3630/7056/947/999/214/3383/7412/8842/100506658/7082/7431/7010/4843/1000/100133941",18,3.43586893109308e-05,2.39023692770455e-06,4.11
"50","Myeloid-derived suppressor cell","5/654","37/11351",0.0593391746770871,0.0662250776358106,"6403/3383/3678/3643/100133941",5,1,0.117963419538788,2.35
