"ID","Description","GeneRatio","BgRatio","pvalue","qvalue","geneID","Count","bonferroni","Benjamini","enrichment_fold"
"101","Hematopoietic stem cell","43/3404","59/11351",1.22147847119881e-11,3.28584851901435e-11,"3791/836/4851/7412/3815/5243/5175/5788/960/5728/7852/2022/4609/3575/8842/7010/4170/9429/5159/4602/947/6776/6504/5420/3678/2322/7070/3675/6688/3674/648/4254/2057/3655/3673/216/4804/3676/3672/952/4352/1636/2624",43,2.14980210930991e-09,1.19433450517217e-10,2.43
"105","Germinal center B cell","7/3404","10/11351",0.0105375716318716,0.00428773370248645,"3394/5788/928/57379/604/975/5079",7,1,0.015584979892516,2.33
"106","Pluripotent stem cell","16/3404","18/11351",3.30014178033951e-07,3.32909039244775e-07,"4072/2526/5175/5460/79923/6657/928/290/5420/9314/249/1009/79727/3655/2719/5819",16,5.80824953339754e-05,1.21005198612449e-06,2.96
"107","Myeloid cell","59/3404","86/11351",1.43539815070568e-13,5.7919574502159e-13,"920/7422/2526/7412/3815/941/7099/5175/5788/3572/4311/969/57126/3684/947/2205/928/3685/290/1232/968/100133941/729230/1233/3683/2322/131450/3674/3559/942/7056/916/356/348/915/4353/8809/929/975/3655/7535/6402/7097/3560/3676/3687/1378/1436/54106/64581/4843/952/2212/958/2811/1234/8573/2214/2833",59,2.526300745242e-11,2.105250621035e-12,2.29
"108","Granulocyte","12/3404","19/11351",0.0027908461422927,0.00127486516926975,"2526/5788/960/3684/967/290/1232/929/3676/3687/2212/2214",12,0.491188921043515,0.00463385774569354,2.11
"111","Non-classical monocyte","6/3404","11/11351",0.0779954834451086,0.02797498821423,"2526/3684/1524/929/3687/2214",6,1,0.101683000639549,1.82
"113","Monocyte derived dendritic cell","11/3404","18/11351",0.00601642979410291,0.00255545494486366,"2526/6279/3684/2205/909/140885/929/6280/3687/1471/2214",11,1,0.00928852319089573,2.04
"116","Eosinophil","34/3404","53/11351",2.71046236011796e-07,2.79241362968479e-07,"2526/3576/1048/5788/960/3383/969/3965/3684/3570/728/2205/928/3565/963/1232/100133941/3559/2209/1230/929/975/6280/2056/3567/1043/3676/3687/3596/1378/719/3568/2214/2833",34,4.77041375380761e-05,1.0149816497463e-06,2.14
"119","Plasma cell","23/3404","47/11351",0.00480304129215785,0.00207650281427877,"3815/5175/3383/939/7852/6279/928/200958/7494/3662/115650/931/6382/91319/975/930/6280/5450/973/639/51237/952/3568",23,0.845335267419781,0.00754763631624804,1.63
"120","Granulosa cell","81/3404","192/11351",0.000198474943869712,0.000111654882554234,"4790/4313/4792/2597/5111/4173/1382/2335/9077/84072/3383/3627/6502/10653/3123/794/1588/80312/4239/59342/4162/1984/6696/2952/5230/896/1028/5552/5156/3939/29923/8519/1277/23224/8788/8091/7037/5971/3119/1278/9037/60314/1462/8407/10406/2319/3122/4192/9445/4670/490/10644/6208/2026/730/2171/900/602/397/3149/929/54107/2878/2719/6280/216/6154/10761/3151/203/5577/6233/330/3872/10410/4211/130340/7026/6863/6160/84034",81,0.0349315901210693,0.000405841225284087,1.41
"122","Beta cell","38/3404","111/11351",0.189396525249273,0.0632467525333325,"3630/653509/3481/23705/1028/4267/6092/214/6496/7049/29842/26585/489/128178/2823/3329/2990/8788/5950/8851/9037/846/6477/8546/4093/10325/240/3651/486/9788/54361/8835/140738/51237/5923/6514/9844/6653",38,1,0.229888196164635,1.14
"126","Myoepithelial cell","8/3404","11/11351",0.00426216794223941,0.00185926719149372,"10630/960/4311/8626/3688/6606/3861/1001",8,0.750141557834137,0.00675803205255979,2.43
"127","Oviduct-derived stem cell","19/3404","19/11351",1.11389127239278e-10,2.69678939631936e-10,"7412/3815/5175/5788/5460/960/3383/6657/2022/8842/9429/3688/5159/4162/947/214/7070/4907/3676",19,1.96044863941129e-08,9.80224319705645e-10,3.33
"128","Cancer cell","36/3404","51/11351",2.47969601065723e-09,4.14032727732241e-09,"4072/2064/999/142/4684/4582/2346/7431/5788/5460/960/8797/3688/4162/2194/94025/3856/3880/4286/5420/100133941/7849/5329/2670/931/768/3875/7490/6382/10406/1999/7052/216/4804/354/51360",36,4.36426497875672e-07,1.50491895819197e-08,2.35
"133","Neural stem cell","54/3404","70/11351",4.28084487477645e-16,2.07283014989176e-15,"1499/2526/4851/4684/6597/7431/6513/4853/6657/1000/7852/8842/861/9429/3688/4162/5080/5156/6423/2263/6662/8650/100133941/6256/2173/2670/429/4288/9618/1809/2264/648/3148/8326/4920/7545/1641/2551/10763/975/3655/799/124540/3398/4804/5077/9241/6664/4345/5590/4760/26354/2624/7025",54,7.53428697960655e-14,7.53428697960655e-15,2.57
"134","Cardiac progenitor cell","17/3404","19/11351",1.09957600024521e-07,1.26768160429272e-07,"2526/3791/836/7412/3815/9429/3688/2626/947/214/7490/4254/846/140885/6546/9096/1482",17,1.93525376043157e-05,4.6077470486466e-07,2.98
"137","Germ cell","13/3404","37/11351",0.300926753017422,0.0971412676407118,"1956/3815/174/5460/79923/9271/5420/128209/2719/55124/639/5940/2661",13,1,0.353087390207109,1.17
"14","Kupffer cell","5/3404","10/11351",0.149973664852535,0.0504297411053845,"3684/968/3689/929/2212",5,1,0.183301145930876,1.67
"142","M2 macrophage","15/3404","23/11351",0.000501412222512921,0.000263901169743643,"8743/3553/3586/6362/7852/3552/2205/968/383/6347/3662/6778/948/929/1436",15,0.0882485511622741,0.000959223382198632,2.17
"146","Smooth muscle cell","7/3404","11/11351",0.0215195280887279,0.00840321130799222,"5175/1003/1674/4162/6876/10614/800",7,1,0.0305438463194848,2.12
"15","Adipose-derived stromal cell","23/3404","23/11351",8.85749952141135e-13,2.85926300340296e-12,"2152/7412/5175/5788/5460/79923/960/6657/1003/2022/4609/4311/3688/947/214/290/9314/8788/7037/7070/7056/4907/4345",23,1.5589199157684e-10,1.0392799438456e-11,3.33
"151","Neural crest cell","18/3404","23/11351",2.38631544407064e-06,1.95843907987956e-06,"4851/7431/4853/6591/6615/3688/27087/8650/429/655/652/10763/55636/4804/5077/3676/3695/1464",18,0.000419991518156433,7.11850030773615e-06,2.61
"153","Myeloid dendritic cell","12/3404","18/11351",0.0014124575616136,0.000697884509497589,"920/941/1236/80380/3684/8829/9308/942/909/3676/3687/958",12,0.248592530843993,0.00253665847799993,2.22
"155","Follicular helper (Tfh) T cell","18/3404","25/11351",1.76073994973868e-05,1.2008011517862e-05,"920/5133/6774/3569/4311/643/3570/6504/29851/3662/959/916/4094/915/604/10563/10538/2833",18,0.00309890231154007,4.36465114301418e-05,2.4
"157","Basal cell","58/3404","103/11351",2.20731376349578e-08,2.81264357675363e-08,"4851/5268/1475/894/2810/6901/6279/57007/140576/8626/360/1308/3958/9232/857/9076/5317/3315/3852/7076/3866/3854/6273/1825/1830/3853/11187/135228/6382/2707/6281/3728/655/79148/7056/83442/7003/3489/84951/57402/2817/9982/2171/483/5275/286887/3860/3655/2877/6699/3861/5916/3851/3557/5327/3872/977/653145",58,3.88487222375257e-06,1.02233479572436e-07,1.88
"158","Hepatocyte","15/3404","17/11351",9.84130750888837e-07,8.66411761548067e-07,"2244/7082/174/213/4233/3172/4311/3856/3880/383/1373/7276/3875/1244/1576",15,0.000173207012156435,3.14921840284428e-06,2.94
"16","Oligodendrocyte","54/3404","155/11351",0.108728873596417,0.0384289526349227,"4282/1012/4831/6319/2705/9839/4869/1938/10857/4978/2934/2197/4155/10188/1525/4133/131096/4830/2173/4878/23671/22933/203068/9618/7070/1806/10381/4130/6446/6242/23187/6505/4661/10399/6938/55612/28514/1267/51421/55679/9168/65108/30818/4673/9788/6218/22905/9507/57142/64780/1464/6160/285704/4118",54,1,0.139680888707806,1.16
