"ID","Description","GeneRatio","BgRatio","pvalue","qvalue","geneID","Count","bonferroni","Benjamini","enrichment_fold"
"101","Hematopoietic stem cell","33/1221","59/11351",1.82365292139869e-17,6.30737100634135e-17,"5159/947/3791/7412/836/53947/5788/960/4851/5728/4170/5243/4254/5175/4609/3815/10544/6504/9429/4804/7852/7070/6776/3655/3678/648/3575/952/7010/51744/90952/3672/3676",33,3.13668302480575e-15,2.24048787486125e-16,5.2
"105","Germinal center B cell","4/1221","10/11351",0.0164319192020691,0.00674280359763762,"5788/928/5079/975",4,1,0.0239516110403041,3.72
"106","Pluripotent stem cell","11/1221","18/11351",3.3228544634228e-07,2.72705272644868e-07,"4072/2526/79923/928/5175/6657/2719/79727/3655/5460/1009",11,5.71530967708721e-05,9.68696555438511e-07,5.68
"107","Myeloid cell","41/1221","86/11351",5.21680096729966e-18,2.3059474906413e-17,"7422/920/2526/947/3687/7412/1436/3685/729230/5788/2214/928/7056/2833/57126/5175/3559/3815/4311/941/958/2212/916/942/7535/3655/3560/7099/968/8685/1378/1234/952/975/51744/100133941/3563/9332/7097/3683/3676",41,8.97289766375541e-16,8.19112652110409e-17,4.43
"108","Granulocyte","9/1221","19/11351",6.34255461125733e-05,3.57108337965529e-05,"2526/3687/5788/2214/960/2212/967/3563/3676",9,0.0109091939313626,0.000126851092225147,4.4
"111","Non-classical monocyte","4/1221","11/11351",0.0236596664862053,0.00946798310887727,"2526/3687/2214/3563",4,1,0.0336319226084901,3.38
"113","Monocyte derived dendritic cell","9/1221","18/11351",3.68962197429482e-05,2.15247445551759e-05,"2526/3687/140885/2214/6280/30835/3563/911/909",9,0.00634614979578709,7.64596360938204e-05,4.65
"116","Eosinophil","27/1221","53/11351",3.32498761547203e-13,7.66663811086283e-13,"2526/963/3687/3576/5788/2214/960/928/2833/3559/1048/3596/3566/2209/3383/3565/2056/3567/3965/1378/6280/975/51744/100133941/3570/3563/3676",27,5.7189786986119e-11,2.72332318981519e-12,4.74
"119","Plasma cell","15/1221","47/11351",7.36764469980818e-05,4.10056450322053e-05,"6382/928/5175/3815/939/7852/3383/973/930/639/6280/952/975/931/7494",15,0.0126723488836701,0.00014565918257092,2.97
"120","Granulosa cell","41/1221","192/11351",1.20842701322408e-05,8.01552164503352e-06,"794/2335/4790/4313/3123/7037/4792/5111/2597/4162/5156/1277/1028/6696/51537/3627/4502/3383/2026/896/5552/29923/5715/2719/1588/2952/4173/4192/80312/716/715/4211/9180/6280/2192/1278/1116/6502/10653/6154/1462",41,0.00207849446274541,2.84725268869234e-05,1.99
"122","Beta cell","14/1221","111/11351",0.304884429611806,0.101115239813577,"3630/4267/54386/3481/2990/1028/214/489/4825/240/8851/26585/3329/7049",14,1,0.359178917076922,1.17
"126","Myoepithelial cell","6/1221","11/11351",0.000438315177425002,0.000218800848199133,"10630/960/251/4311/3688/8626",6,0.0753902105171004,0.000777218665124746,5.07
"127","Oviduct-derived stem cell","16/1221","19/11351",2.07802268248549e-13,5.03100228391223e-13,"5159/947/7412/5788/960/4162/5175/3815/214/3688/6657/9429/3383/7070/5460/3676",16,3.57419901387503e-11,1.78709950693752e-12,7.83
"128","Cancer cell","28/1221","51/11351",9.75422155912353e-15,3.14873116996268e-14,"94025/4582/7431/4072/142/6382/999/768/2064/5788/960/7052/4684/4162/7490/251/2346/5329/3688/4286/4804/7849/8797/3856/3875/100133941/5460/931",28,1.67772610816925e-12,1.11848407211283e-13,5.1
"133","Neural stem cell","26/1221","70/11351",5.30342402937201e-09,5.97203195473959e-09,"7431/1499/2526/6423/10763/4851/4684/4162/6513/2263/5156/3688/6657/4853/9429/4804/7852/6597/1000/3655/648/2264/975/100133941/6256/8650",26,9.12188933051985e-07,2.1213696117488e-08,3.45
"134","Cardiac progenitor cell","12/1221","19/11351",5.58584023895271e-08,5.31549103773575e-08,"2526/947/3791/7412/140885/836/4254/7490/3815/214/3688/9429",12,9.60764521099867e-06,1.88815485992614e-07,5.87
"137","Germ cell","6/1221","37/11351",0.202007961927294,0.0698674154034249,"1956/79923/3815/2719/639/5460",6,1,0.248181210367818,1.51
"14","Kupffer cell","4/1221","10/11351",0.0164319192020691,0.00674280359763762,"2212/968/9332/3689",4,1,0.0239516110403041,3.72
"142","M2 macrophage","12/1221","23/11351",9.92546267883989e-07,7.39386693484429e-07,"3553/8743/1436/3586/3552/7852/6347/6778/383/968/30835/9332",12,0.000170717958076046,2.62643012424686e-06,4.85
"146","Smooth muscle cell","4/1221","11/11351",0.0236596664862053,0.00946798310887727,"1674/4162/5175/1003",4,1,0.0336319226084901,3.38
"15","Adipose-derived stromal cell","17/1221","23/11351",1.67491851059424e-12,3.52614423282997e-12,"947/7412/2152/79923/5788/7037/960/7056/5175/4609/4311/214/3688/6657/1003/7070/5460",17,2.88085983822209e-10,1.25254775574873e-11,6.87
"151","Neural crest cell","12/1221","23/11351",9.92546267883989e-07,7.39386693484429e-07,"7431/10763/4851/6615/1464/3688/4853/4804/6591/8650/652/3676",12,0.000170717958076046,2.62643012424686e-06,4.85
"153","Myeloid dendritic cell","13/1221","18/11351",1.24137232744119e-09,1.62455553520042e-09,"920/3687/1236/941/9308/958/942/80380/8829/30835/911/909/3676",13,2.13516040319885e-07,5.77070379242932e-09,6.71
"155","Follicular helper (Tfh) T cell","11/1221","25/11351",2.27684575841584e-05,1.37809085377801e-05,"5133/920/3569/6774/2833/4311/6504/916/10563/29851/3570",11,0.00391617470447525,4.89521838059406e-05,4.09
"157","Basal cell","19/1221","103/11351",0.0129998417780327,0.00544579031964356,"3852/6382/4851/7056/894/6901/7076/857/3958/9982/8626/3655/2817/5327/3557/2192/7791/977/2810",19,1,0.0193443943093426,1.71
"158","Hepatocyte","9/1221","17/11351",2.03927530374758e-05,1.24992223813975e-05,"4233/2244/7082/213/4311/3172/383/3856/3875",9,0.00350755352244583,4.43994116765295e-05,4.92
