"ID","Description","GeneRatio","BgRatio","pvalue","qvalue","geneID","Count","bonferroni","Benjamini","enrichment_fold"
"101","Hematopoietic stem cell","53/3844","59/11351",3.85658205782176e-19,1.89446136173701e-18,"7412/836/3791/4851/960/5175/7010/5728/4609/64866/5159/3815/8842/5243/216/5788/648/3575/3673/9429/2022/4170/53947/7070/7704/6776/7852/947/4254/3674/4804/2122/90952/5420/10544/3655/3678/952/2057/6688/6504/1636/2322/2624/6777/4602/2672/3675/51744/8763/3676/962/945",53,6.7875844217663e-17,7.54176046862922e-18,2.65
"105","Germinal center B cell","7/3844","10/11351",0.0214948188280648,0.00760237802761028,"5788/57379/928/604/975/3394/5079",7,1,0.0302647049099152,2.07
"106","Pluripotent stem cell","15/3844","18/11351",2.26485711284485e-05,1.22110396327964e-05,"4072/5175/2719/6657/928/79727/5460/79923/5420/5819/290/3655/9314/1009/2526",15,0.00398614851860694,4.86115673000847e-05,2.46
"107","Myeloid cell","72/3844","86/11351",1.48907336261285e-21,1.09721195139894e-20,"920/7422/7412/7099/5175/100133941/3559/3815/5788/2205/356/57126/5169/4311/6402/3563/2214/928/941/3684/1232/4843/348/969/4065/3685/947/929/4360/942/3674/3687/3572/958/7097/729230/1234/4353/975/7535/7056/290/2213/3655/968/1378/3683/916/9332/952/3560/2833/54106/2208/2322/915/2212/64581/917/1436/9173/51744/8809/3676/11251/8573/6614/1237/962/945/2526/2811",72,2.62076911819862e-19,4.36794853033103e-20,2.47
"108","Granulocyte","16/3844","19/11351",9.03477442518496e-06,5.47167304769673e-06,"960/967/5788/5169/3563/2214/3684/1232/929/3687/290/2213/2212/3676/945/2526",16,0.00159012029883255,2.17824698470213e-05,2.49
"111","Non-classical monocyte","8/3844","11/11351",0.00978529873912171,0.00357531576375043,"3563/2214/3684/1524/929/3687/945/2526",8,1,0.0142331618023588,2.15
"113","Monocyte derived dendritic cell","14/3844","18/11351",0.0001737110626801,8.08406053469717e-05,"2205/3563/140885/2214/1471/3684/929/4360/3687/6279/6280/945/2526/911",14,0.0305731470316976,0.000321822600333659,2.3
"116","Eosinophil","41/3844","53/11351",1.0323792983555e-10,1.57386317716627e-10,"3576/960/100133941/3383/3559/5788/2205/963/89790/3563/728/1048/2214/928/3570/3684/1232/2209/969/3903/3565/929/3687/3596/719/3965/975/2056/1378/6280/2833/3567/2208/3566/51744/1230/3676/11251/962/945/2526",41,1.81698756510567e-08,6.26547436243335e-10,2.28
"119","Plasma cell","21/3844","47/11351",0.0803533171778395,0.0259303828003785,"5175/939/3383/3815/973/931/928/7852/3903/84446/6279/7494/930/975/11040/952/6280/57699/6382/3662/639",21,1,0.103227619148173,1.32
"120","Granulosa cell","99/3844","192/11351",2.72574620181553e-07,2.27371083368922e-07,"1588/4790/9077/4313/2335/2597/5111/3383/64866/4792/10406/2719/80312/216/7764/896/50511/4162/794/23224/6863/5156/6502/1462/4173/2952/3627/2192/2492/1028/5230/668/7026/2026/6696/476/10644/3123/929/1382/53827/10962/2171/8788/3045/3428/5325/730/1984/7037/330/1277/29991/1278/165/8091/9240/6132/1116/602/2878/900/6154/6280/5971/2014/84072/10252/4192/5324/6233/3127/4237/6160/3122/64220/6164/390/3119/3149/1052/51537/6228/2537/715/8407/59342/7373/6232/716/3939/6205/2687/7805/51015/4493/6234/1831/26471",99,4.79731331519533e-05,9.05153455697233e-07,1.52
"122","Beta cell","40/3844","111/11351",0.3468680336695,0.0999482230813279,"3630/3481/5950/214/486/54361/4267/1028/2823/23705/6092/2990/489/23678/8788/4093/846/9844/54386/653/5208/8835/3375/6715/6297/8544/6496/10668/5923/240/7049/113791/3329/3651/2778/152330/11251/7812/26585/956",40,1,0.397889116647572,1.06
"126","Myoepithelial cell","9/3844","11/11351",0.00155262759050068,0.000624022572258645,"960/3688/4311/3963/3861/10630/8626/1001/6606",9,0.273262455928119,0.00248420414480108,2.42
"127","Oviduct-derived stem cell","19/3844","19/11351",1.12831750944182e-09,1.55885971699199e-09,"7412/960/5175/3383/5159/3815/3688/8842/214/5788/4162/9429/6657/2022/7070/4907/947/5460/3676",19,1.9858388166176e-07,6.20574630193e-09,2.95
"128","Cancer cell","42/3844","51/11351",1.29912388798415e-12,2.87174754185971e-12,"4072/142/2064/999/6928/94025/960/100133941/4582/7431/57167/3688/10406/216/7052/5788/2346/2670/4162/4684/5329/8797/931/7849/7490/2752/2194/1318/5460/768/4804/3880/3875/354/5420/4286/51360/1999/3783/3856/6382/340273",42,2.28645804285211e-10,1.14322902142606e-11,2.43
"133","Neural stem cell","51/3844","70/11351",2.71301715206938e-11,4.44236726654636e-11,"1499/6597/4851/100133941/7431/64866/4853/3688/8842/2670/648/4162/4684/1000/7545/5156/4920/6662/6423/2263/9429/6657/6513/6256/6664/7852/2264/6656/4487/4804/2551/3148/975/861/3655/5590/4288/5080/9241/10763/2624/3398/1641/2173/8650/27022/9289/2526/4345/7025/429",51,4.77491018764212e-09,1.76848525468226e-10,2.15
"134","Cardiac progenitor cell","16/3844","19/11351",9.03477442518496e-06,5.47167304769673e-06,"7412/836/3791/3815/3688/214/2626/9429/140885/7490/947/4254/846/1482/2526/6546",16,0.00159012029883255,2.17824698470213e-05,2.49
"137","Germ cell","19/3844","37/11351",0.0209585904677574,0.0074725025436826,"174/1956/2661/57167/3815/9210/2719/50511/1618/9271/5460/79923/54514/5420/57829/126206/639/5940/359787",19,1,0.029747676792946,1.52
"14","Kupffer cell","8/3844","10/11351",0.0037979015401246,0.00143510449559364,"3684/929/3689/2213/968/9332/11326/2212",8,0.668430671061929,0.00571308265864897,2.36
"142","M2 macrophage","20/3844","23/11351",2.11065679118734e-07,1.86626495220775e-07,"8743/3586/2205/3553/3552/6362/383/7852/6347/929/4360/948/968/9332/11326/2208/4481/1436/3662/6778",20,3.71475595248972e-05,7.42951190497944e-07,2.57
"146","Smooth muscle cell","7/3844","11/11351",0.041986478983715,0.0139567243159164,"5175/4162/1674/59/1003/6876/800",7,1,0.0555610548957432,1.88
"15","Adipose-derived stromal cell","23/3844","23/11351",1.46311795345556e-11,2.48789287632119e-11,"7412/2152/960/5175/4609/3688/214/5788/4311/6657/2022/7070/4907/947/5460/79923/1003/8788/7037/7056/290/9314/4345",23,2.57508759808178e-09,9.9041830695453e-11,2.95
"151","Neural crest cell","17/3844","23/11351",0.000100775806479629,4.84277330908971e-05,"4851/7431/4853/3688/6591/6615/652/4804/10763/6663/63973/8650/27022/3676/655/429/3695",17,0.0177365419404147,0.000192788499352333,2.18
"153","Myeloid dendritic cell","13/3844","18/11351",0.00100210606333624,0.000417958834757917,"920/1236/941/3684/4065/8829/942/3687/958/80380/9308/3676/911",13,0.176370667147179,0.00166387421836961,2.13
"155","Follicular helper (Tfh) T cell","19/3844","25/11351",1.98037245900038e-05,1.12247831684232e-05,"920/6774/5133/3569/959/4311/3570/604/4094/29851/916/2833/6504/10563/59067/915/917/3662/643",19,0.00348545552784067,4.46853272800086e-05,2.24
"157","Basal cell","54/3844","103/11351",7.56417373652842e-05,3.71573446706659e-05,"4851/894/6901/9076/6281/3315/84951/2192/360/9232/3489/7791/3963/2810/5268/3958/57007/5327/3861/857/2171/7076/6279/6277/977/9982/84617/7056/57402/6273/3655/7003/441478/822/23612/79148/10848/53833/11187/8626/5055/11005/6382/3728/3557/2817/3852/653145/22802/5317/655/2877/3853/1825",54,0.01331294577629,0.000147921619736556,1.55
"158","Hepatocyte","16/3844","17/11351",3.39887150582656e-07,2.73210723913331e-07,"174/6898/2244/213/1244/4233/3172/7082/4311/383/7276/1576/3880/3875/1559/3856",16,5.98201385025474e-05,1.0876388818645e-06,2.78
"16","Oligodendrocyte","69/3844","155/11351",0.00357618631245825,0.00137482677458349,"4282/10857/4978/4133/1012/10381/1525/9839/30818/2705/2934/4232/5653/7070/1806/22822/3646/4869/4155/4118/10215/1938/4130/6505/4830/5010/6319/10382/1902/22933/27346/10682/71/23521/10188/1718/6218/9168/92211/6663/2596/3822/51474/53826/6446/6160/64780/2173/3945/28514/51421/1350/7114/6228/2898/7381/6187/443/30812/10683/79929/274/10399/347/5027/4878/203068/55679/23671",69,0.629408790992651,0.00547311992167523,1.31
"17","Mesenchymal stem cell","86/3844","96/11351",3.95343521506337e-30,8.7391725806664e-29,"920/2064/7412/999/836/2335/4851/960/5175/100133941/10891/3383/682/7431/5159/3815/967/3688/8842/3952/1604/214/966/5788/4162/4684/658/657/1000/5156/963/3673/4311/4267/6657/2022/928/3684/1618/3691/7070/7704/59/3685/7852/4907/947/8829/5460/929/79923/3693/4804/3687/3572/958/1003/54514/7132/346673/930/3689/3690/7037/975/5420/976/290/3655/3678/970/56241/916/9332/659/972/10763/6520/915/917/3566/3675/7350/3676/4345/80381",86,6.95804597851153e-28,3.47902298925577e-28,2.65
"171","Intestinal stem cell","9/3844","11/11351",0.00155262759050068,0.000624022572258645,"960/100133941/214/2048/648/657/6662/9201/430",9,0.273262455928119,0.00248420414480108,2.42
"179","Lymphoid cell","39/3844","52/11351",1.47104892656728e-09,1.97078325090354e-09,"920/925/939/3682/3815/5788/356/4684/3821/3575/4311/6402/2214/22914/3002/3684/969/947/3903/3687/3001/930/975/7535/1235/968/9437/952/3560/2833/2322/259197/9173/51744/8809/3676/3824/7072/924",39,2.58904611075842e-07,7.84559427502551e-09,2.21
"180","Multipotent progenitor cell","16/3844","51/11351",0.695991736475352,0.188773993748562,"2475/836/8842/5788/11156/7070/947/10733/9112/952/54977/7702/1889/6446/8318/7321",16,1,0.751500279875227,0.93
"185","Megakaryocyte","22/3844","28/11351",1.58710001548162e-06,1.16944211667067e-06,"5175/6403/3563/6657/928/3685/947/5460/929/3674/5874/3690/5196/5473/5819/3655/5341/10235/945/2526/2533/2811",22,0.000279329602724765,4.65549337874609e-06,2.32
"19","Osteocyte","7/3844","11/11351",0.041986478983715,0.0139567243159164,"2335/2697/960/6678/8074/10630/633",7,1,0.0555610548957432,1.88
"193","Ciliated cell","56/3844","265/11351",0.999998507677688,0.251196172241828,"4255/3429/2879/6236/7431/7358/966/56925/6391/7430/283/1728/801/3490/3320/6647/55851/22924/4246/2021/53340/51673/9576/132203/9240/29904/89765/5349/831/345895/11076/1069/8655/26580/83659/5510/5052/2054/5573/10383/6741/128602/1520/221/8607/6359/83538/467/153643/6119/3043/6717/155465/5438/10519/83657",56,1,0.999999999972231,0.62
"204","Activated CD4+ T cell","11/3844","11/11351",6.65468076562726e-06,4.20295627302774e-06,"920/3559/3688/5788/969/929/930/7037/1235/952/2833",11,0.0011712238147504,1.67317687821485e-05,2.95
"213","Basophil","34/3844","39/11351",7.41738725154565e-12,1.42576780121244e-11,"7099/960/3383/3559/3815/967/5788/4086/2205/3916/959/5169/3563/728/2214/928/3684/1232/969/7097/729230/1234/930/290/3683/952/7096/54106/2624/8809/11251/10333/945/2526",34,1.30546015627203e-09,5.67591372292189e-11,2.57
"217","Neuron","48/3844","82/11351",3.85013475071459e-06,2.61871513408928e-06,"7412/961/3791/3897/6714/596/100133941/10507/8842/4133/214/2670/10381/4684/1000/6855/140885/1440/7070/2026/2353/567/1745/1524/8829/4094/57007/4804/3589/112476/1634/5819/54715/4741/2057/170302/1636/10763/1749/5621/5649/57535/152330/923/5079/2526/4345/2742",48,0.000677623716125768,1.04249802480887e-05,1.73
"223","Naive T cell","11/3844","12/11351",5.51135496883084e-05,2.83325469633899e-05,"920/925/939/1236/5788/3575/6402/1234/916/915/917",11,0.00969998474514228,0.000112790520292352,2.71
"225","Effector memory T cell","9/3844","10/11351",0.00040500988620256,0.000180865658910234,"920/925/960/939/1236/5788/3575/6402/8320",9,0.0712817399716505,0.000720017575471217,2.66
"226","Effector T cell","17/3844","18/11351",1.21350261393231e-07,1.11769977599029e-07,"920/925/5133/939/3559/5788/3604/943/6402/3902/969/30009/7293/84868/29851/3560/151888",17,2.13576460052087e-05,4.44950958441848e-07,2.79
"229","Cardiomyocyte","19/3844","29/11351",0.000485716154832428,0.00021052712593356,"7412/2697/214/2626/2701/1674/2170/140885/5108/652/2627/87/116844/2702/6997/3759/1482/4208/4878",19,0.0854860432505074,0.000838098463240269,1.93
"230","M1 macrophage","21/3844","27/11351",3.71797338432057e-06,2.56833687732671e-06,"7099/6403/6772/3559/6401/1236/3575/6402/3627/2214/941/2209/942/7097/2213/968/2212/64581/706/6098/3554",21,0.00065436331564042,1.02244268068816e-05,2.3
"232","Keratinocyte","9/3844","10/11351",0.00040500988620256,0.000180865658910234,"960/3688/947/3861/3880/7037/3655/3856/3852",9,0.0712817399716505,0.000720017575471217,2.66
"24","Natural killer cell","66/3844","90/11351",1.89053294550223e-14,4.91655626694079e-14,"920/925/939/3682/3815/5788/919/356/4684/3558/3821/3916/3575/3673/2625/4311/6402/1803/2214/3600/22914/3002/3684/3577/969/3606/30009/947/3903/3687/3001/930/6348/975/7535/2213/861/1235/968/916/9437/952/3560/10666/2833/201633/2322/259197/27036/915/2212/3398/917/9173/10663/51744/8809/914/9760/1230/3676/2669/3824/924/5551/6375",66,3.32733798408393e-12,1.95725763769643e-13,2.17
"244","Stromal cell","41/3844","43/11351",1.85485507955379e-17,6.9326183767216e-17,"7412/4313/4318/7099/960/5175/3383/7431/4312/5159/3815/3688/8842/214/5788/4162/5156/4311/683/2022/7070/3685/4907/947/4804/4060/10630/7076/7077/7097/3690/1289/290/7096/3385/1316/7098/3676/3384/26585/4055",41,3.26454494001468e-15,2.75984236330441e-16,2.82
"249","Stem cell","67/3844","76/11351",8.24983207761511e-23,7.29458836336494e-22,"4072/1499/174/7412/999/836/3791/4851/960/5175/7431/57167/2950/3815/3688/2321/8842/216/214/5788/648/4162/943/4684/5156/1789/6662/931/9429/6657/1803/2022/860/928/4070/7070/3685/79727/58/7852/4907/947/6656/5460/79923/4804/6868/1003/8788/3880/3875/7037/9201/24137/290/861/3655/9314/5080/5081/10763/8626/26018/8763/3381/2526/4345",67,1.45197044566026e-20,2.90394089132052e-21,2.6
"25","Cancer stem cell","146/3844","169/11351",5.19820722717625e-46,2.29815477412002e-44,"4072/1499/174/7422/1956/6774/2064/3082/961/836/3429/2146/3897/7099/2697/596/960/3309/5175/100133941/939/7010/4582/3383/5728/4609/57167/3559/4615/3815/3688/2321/8842/5243/2719/1604/81607/216/214/2735/894/5788/2670/648/4233/4684/54567/1000/6608/389421/182/2305/3673/5329/54474/6662/4311/931/3563/5444/9429/3552/7128/6657/1803/2022/928/3570/53947/23028/3280/5727/3577/23705/4070/7070/7976/79727/6664/7852/9271/4907/947/1524/2736/5460/929/4094/91653/79923/3861/11279/4804/6925/6376/10630/7293/2034/930/3880/3875/977/4102/3690/7037/9201/6566/10765/5420/84868/1045/3162/290/2213/10544/3655/3678/952/4288/11335/9314/3235/23326/10763/8626/6515/2212/3856/6382/10562/3675/3852/914/6659/3676/7216/6666/340273/220/4771/10225/4781/924/2526/8854/429",146,9.14884471983019e-44,9.14884471983019e-44,2.55
"250","Microglial cell","249/3844","480/11351",8.74262304345922e-17,2.76082832951344e-16,"595/920/3479/308/7099/472/5925/100133941/5654/3725/3925/4792/967/5947/3303/373156/6195/5788/718/1050/84002/10381/1601/9056/23224/1536/3916/6850/963/182/89790/3133/6001/3164/64805/9429/2192/140885/728/132299/2214/8635/5724/2823/3570/2896/2934/834/3920/3684/348/58191/2209/1509/558/23643/8673/2752/7538/5176/6664/2353/567/6347/6696/388/3903/1524/10971/5155/929/4094/3107/1843/1958/29760/10618/4360/10019/942/2621/6303/3726/10962/3687/4758/4627/2589/6925/3572/2171/958/10630/948/7077/2908/5265/719/29108/4616/1508/5742/7132/7494/3428/4478/8569/3106/3689/6348/975/2217/953/9240/84868/1514/2357/861/154/2/968/951/11314/2771/81671/10487/5997/7178/7001/5937/2876/8754/5803/10365/3304/3337/23031/7133/972/5777/10097/11326/4154/51162/712/4671/6813/2207/11320/84268/313/4212/3071/64333/427/10163/10252/4192/6892/2313/2212/54440/3603/6507/1316/7832/5996/10320/240/2354/4067/684/1436/9308/4973/3055/53826/6446/4245/1641/54947/3122/54518/1627/1959/10437/307/3635/2030/3987/6351/7941/5341/2173/1794/6659/3394/286336/79626/10577/1960/8763/7094/5216/1230/1520/11342/6282/393/51284/1052/5166/79713/6857/2350/714/51411/10870/4205/4938/10170/8204/4258/409/199/10095/27128/7805/9450/57804/79969/4781/5476/23166/6672/274/7305/29116/5027/5464/6404/677/7409/1831/8934/3059/3587/140/5660",249,1.53870165564882e-14,1.09907261117773e-15,1.53
"251","Embryonic stem cell","25/3844","30/11351",3.35326425148848e-08,3.61584335205433e-08,"4072/7015/999/5175/100133941/3815/3688/8842/966/943/1789/9429/6657/928/7070/79727/5460/79923/4804/7855/5420/3655/1001/132625/2526",25,5.90174508261972e-06,1.43945002015115e-07,2.46
"254","Progenitor cell","23/3844","27/11351",5.39784699587326e-08,5.42367401499227e-08,"4072/174/836/960/100133941/259266/3688/8842/214/4162/4684/3855/9429/2022/7070/4907/947/8788/3880/10544/3655/8626/3852",23,9.50021071273693e-06,2.1591387983493e-07,2.52
"256","Astrocyte","215/3844","447/11351",1.62548436252513e-10,2.39545063951072e-10,"7412/3082/308/3091/3897/2152/2697/100133941/5654/3725/4854/8991/7431/3925/4915/3487/4792/5159/967/4853/214/7345/8682/2670/10381/875/5339/3397/658/780/7430/19/3371/4023/2006/3315/3133/6662/9368/56262/3105/140885/3490/728/132299/6657/3959/5028/1471/928/3066/10253/941/3280/348/6934/3727/5209/3691/23209/3956/3732/1191/2202/3685/2752/7538/6664/2353/3958/567/4907/388/183/29968/10291/8829/57447/3107/2261/79901/5764/79923/23554/942/1901/3726/10962/2171/11343/958/57556/10630/406/112476/7076/2195/4616/28984/23328/2495/23205/1910/7078/2034/5325/3400/590/1634/3106/389/583/84061/92737/10611/23543/84525/1312/4240/6285/7035/1514/5909/9672/6319/23462/818/10226/5803/2878/57699/9540/30008/2119/3679/85439/6869/9444/27295/9415/5992/7857/79674/9168/5648/51144/83871/8424/873/3913/6520/9211/6695/10252/117/388585/90865/91851/30819/12/6507/7832/9935/3398/2354/4067/53822/64221/55605/5033/27122/151887/2737/5187/1363/390/26018/1410/6565/2173/10234/284111/6659/80031/5825/361/1404/6857/9902/10418/7145/92579/655/2746/3730/467/9071/1605/11170/23305/9547/30812/54894/26353/6752/9289/84620/4493/677/2890/55504/203068/2199/5660/1942",215,2.86085247804423e-08,9.53617492681411e-10,1.42
"26","Endometrial stem cell","21/3844","24/11351",8.11533724985523e-08,7.63368789460067e-08,"7412/960/5175/3383/5159/3815/3688/8842/214/5788/4162/9429/6657/2022/7070/4907/947/5460/56241/10763/3676",21,1.42829935597452e-05,3.03893479994579e-07,2.58
"264","Multipotent mesenchymal stroma cell","10/3844","10/11351",1.96845943043763e-05,1.12247831684232e-05,"5788/973/2022/3684/7070/4907/947/929/4804/930",10,0.00346448859757023,4.46853272800086e-05,2.95
"27","Dental pulp stem cell","14/3844","15/11351",2.63793953425985e-06,1.8810434709493e-06,"960/3688/216/5788/4162/2022/928/3684/7070/4907/947/929/290/10989",14,0.000464277358029734,7.48834448435055e-06,2.76
"274","Osteoblast","14/3844","26/11351",0.0282813377392098,0.00976822520597706,"960/214/5788/2022/860/7070/3685/4907/8792/6926/11091/1749/126014/121340",14,1,0.0388868393914134,1.59
"278","Naive CD4+ T cell","16/3844","35/11351",0.0977369176840509,0.0310863350452869,"920/4609/1604/1236/5788/3575/6402/2272/7294/5578/4118/87/30061/6932/6840/6193",16,1,0.123753219513618,1.35
"282","Epidermal stem cell","13/3844","14/11351",7.30315974842409e-06,4.54755684853687e-06,"10413/4179/3688/8324/3371/7976/947/3861/3655/10763/8626/4345/2535",13,0.00128535611572264,1.81036072636992e-05,2.74
"289","Leydig cell","140/3844","379/11351",0.109618448232955,0.0346163520735649,"4790/7422/1019/9077/3429/3485/1021/1586/10857/6772/9131/80312/214/7045/5947/1528/664/5290/6502/837/2516/182/2052/1647/6513/2022/9353/1028/928/5373/348/5178/5230/8379/1301/6770/7852/5087/29968/10644/55233/2264/1318/11030/5501/91039/5902/1147/1503/2280/3572/6275/64798/6277/5325/10527/23408/83464/55959/6201/1984/4953/2690/26039/31/4830/290/11091/7295/3910/10873/79719/26986/51175/57104/708/91461/6128/2938/5777/3912/54454/22893/6159/3284/8019/79751/2288/1009/5447/84135/10645/1947/200916/11118/1537/9060/28998/51021/57122/9935/7049/3329/10490/9045/6155/6202/6192/6222/64399/6139/6231/10946/858/64965/51537/8607/114034/5580/58189/2745/8643/1291/3336/8573/6130/6206/6187/10242/83660/5318/50937/6542/3640/64175/4037/54815/11224/5298/7164",140,1,0.137806049207144,1.09
"29","Adipose-derived stem cell","34/3844","35/11351",2.19507239824045e-15,6.06533162671704e-15,"7412/2152/960/5175/3383/4609/5159/3815/3688/1604/966/5788/4162/4311/6657/2022/928/7070/4907/947/5460/929/79923/4804/3687/1003/7037/7056/290/3683/9314/10763/3676/4345",34,3.8633274209032e-13,2.4145796380645e-14,2.87
"291","Dendritic cell progenitor","11/3844","14/11351",0.000799652122213258,0.000336695630405583,"3815/5788/3563/558/947/1524/2322/1436/6614/945/170482",11,0.140738773509533,0.00134036927151937,2.32
"308","Glial cell","13/3844","15/11351",3.76270911404919e-05,1.98037321792062e-05,"7431/5159/5788/2670/5156/3684/929/2261/4155/968/4747/56945/2173",13,0.00662236804072657,7.88377147705544e-05,2.56
"31","Regulatory T (Treg) cell","229/3844","470/11351",8.14689774702076e-12,1.50074432181961e-11,"7040/1499/1026/84557/920/8878/1029/2597/939/23468/1808/1781/4000/3559/3682/4088/3586/835/50943/3251/966/3303/9636/894/2182/3516/3604/2806/943/57126/1643/1493/10855/4174/3575/3673/3315/2625/571/6402/5906/100/7128/1647/54704/5106/132299/3902/1803/11156/9232/4170/2896/9882/941/23710/834/102/80223/54541/5230/23705/1509/4065/3732/355/8850/59/1890/6776/634/3958/1846/4907/55593/2308/8829/5966/4094/9806/3927/7421/10379/5315/6249/6303/5366/55512/2280/22822/10678/7415/9585/719/5663/55120/7293/1435/5062/11337/389/7037/330/6566/10765/953/54790/84868/11315/475/94241/55353/901/2153/3628/1235/9235/29851/970/10135/808/81671/10451/11040/2876/4718/3588/916/3560/3304/54977/7133/972/2833/6504/80824/10553/2821/63892/201633/10950/26586/6520/64333/3783/5621/7167/3385/8655/7334/915/5996/1390/64581/5052/684/917/9308/8775/4739/2023/5573/4245/4905/3662/4049/64968/10663/10051/5606/9760/64857/639/79931/5452/6659/10577/10626/1230/7172/481/10935/2634/3676/3554/8202/79713/2537/9377/51564/8784/4938/2745/10905/55591/7187/974/7185/4643/10095/25939/92906/2615/1495/6836/9958/1237/5476/143903/4077/6385/51015/924/4644/7341/81542/6404/64061/390243/4043/677/64759/2826/415116/10912/3587/135/10130/7850",229,1.43385400347565e-09,5.97439168114856e-11,1.44
