"ID","Description","GeneRatio","BgRatio","pvalue","qvalue","geneID","Count","bonferroni","Benjamini","enrichment_fold"
"101","Hematopoietic stem cell","51/3651","59/11351",6.56886180027167e-18,2.30486378956901e-17,"3791/960/836/4851/7412/8842/5159/5728/7010/5175/5243/947/3673/3815/5788/4609/7852/4170/5420/216/3575/9429/4254/64866/7070/3672/2322/648/4602/6688/6776/3675/3674/945/3676/22918/3655/150696/4804/2022/2624/53947/3678/2057/6777/952/6504/7704/51744/1636/2122",51,1.15611967684781e-15,9.63433064039845e-17,2.69
"105","Germinal center B cell","6/3651","10/11351",0.0651292992025259,0.0195877591586544,"5788/928/5079/604/975/57379",6,1,0.0818768332831755,1.87
"106","Pluripotent stem cell","15/3651","18/11351",1.1188432298691e-05,6.82741864145904e-06,"4072/5175/5420/1009/6657/5460/79727/928/290/79923/9314/3655/2526/2719/5819",15,0.00196916408456962,2.85386099212988e-05,2.59
"107","Myeloid cell","67/3651","86/11351",2.85228188856565e-18,1.20096079518554e-17,"7422/920/100133941/7412/5175/947/7099/3815/3684/5788/1233/3572/356/2205/6614/57126/4311/969/6402/968/929/4843/3559/928/290/7097/2322/1378/1436/941/975/958/2214/3687/3674/945/9332/3676/7056/729230/3655/54106/917/3683/3685/942/2833/2526/2212/8809/7535/952/6693/3560/1234/348/915/131450/2811/8685/1088/6955/4353/51744/64581/23765/4065",67,5.02001612387555e-16,5.02001612387555e-17,2.42
"108","Granulocyte","13/3651","19/11351",0.00128081473918978,0.000528716094608784,"960/3684/5788/929/967/290/2214/3687/945/3676/2526/2212/1088",13,0.225423394097401,0.00221003327546472,2.13
"111","Non-classical monocyte","8/3651","11/11351",0.00690068066483436,0.00242129146134539,"3684/1524/929/2214/3687/945/2526/1088",8,1,0.0101209983084237,2.26
"113","Monocyte derived dendritic cell","14/3651","18/11351",9.23809753193997e-05,4.47094859380035e-05,"3684/140885/2205/929/2214/3687/945/6280/6279/2526/1471/1088/30835/911",14,0.0162590516562143,0.000186885651220855,2.42
"116","Eosinophil","37/3651","53/11351",2.03264254788388e-08,1.99034766010661e-08,"960/3576/100133941/3383/1048/3684/5788/963/2205/969/3565/929/2209/3559/928/1378/3903/3570/975/2214/3687/945/6280/3676/3596/2833/2526/3567/3965/728/2056/3566/6693/1230/1088/51744/1438",37,3.57745088427563e-06,8.31965321924564e-08,2.17
"119","Plasma cell","22/3651","47/11351",0.025228390078284,0.00817113848689359,"5175/3383/3815/7852/939/608/7494/928/6382/3903/975/6280/6279/3512/931/973/952/200958/639/930/124602/11040",22,1,0.0341553588752152,1.46
"120","Granulosa cell","89/3651","192/11351",2.48242752165938e-05,1.35744498792037e-05,"4790/5111/2335/4792/2597/1984/4313/3383/2731/10644/80312/8407/4173/7037/490/216/5230/1028/55256/5156/896/9037/2171/476/2026/6502/4162/8788/929/1382/64866/6863/5971/3627/23224/26471/3872/51477/4192/1116/8091/51537/6154/6696/2952/53827/9077/2878/1278/6280/3939/6164/9240/2192/1462/3119/391/900/3123/64344/9180/2719/1052/7311/1277/2628/5577/6136/10406/4239/7373/5552/127845/950/6205/10252/6233/6228/6208/397/6160/2319/729475/330/4493/3149/7764/10653/3428",89,0.00436907243812051,5.67412004950716e-05,1.44
