"ID","Description","GeneRatio","BgRatio","pvalue","qvalue","geneID","Count","bonferroni","Benjamini","enrichment_fold"
"101","Hematopoietic stem cell","20/599","59/11351",8.27575965251521e-12,8.46243092287269e-11,"5243/3791/947/4851/3815/836/5159/7412/4804/4609/4254/2322/2624/7852/5728/1636/8842/7070/3675/7010",20,1.34067306370746e-09,1.91524723386781e-10,6.42
"106","Pluripotent stem cell","4/599","18/11351",0.0129943517233435,0.0129183613623882,"6657/79923/5460/79727",4,1,0.0292372913775228,4.21
"107","Myeloid cell","10/599","86/11351",0.0148354886283278,0.0141587821294917,"7422/947/3815/7412/4311/2322/942/941/920/3572",10,1,0.032044655437188,2.2
"108","Granulocyte","1/599","19/11351",0.643316834261999,0.313251304903802,"967",1,1,0.708961409186692,1
"116","Eosinophil","4/599","53/11351",0.305923499268098,0.179489197154708,"3576/2056/3565/3383",4,1,0.406226285913376,1.43
"119","Plasma cell","4/599","47/11351",0.234844117712613,0.147844617306234,"3815/7852/7494/3383",4,1,0.334607155932786,1.61
"120","Granulosa cell","22/599","192/11351",0.000497739145098791,0.000828549862098354,"2026/9077/2335/5156/4790/2014/1028/2597/9180/5325/7037/5111/80312/8788/896/3122/4313/3383/4504/476/4792/5715",22,0.0806337415060041,0.0018752032908373,2.17
"122","Beta cell","9/599","111/11351",0.131588505299457,0.089704444715419,"3630/54361/3481/7812/1028/8788/5122/3651/2778",9,1,0.203022265319162,1.54
"126","Myoepithelial cell","4/599","11/11351",0.00188098734683475,0.00254779651454896,"8626/4311/10630/3688",4,0.304719950187229,0.00576626299395714,6.89
"127","Oviduct-derived stem cell","10/599","19/11351",9.3247801697441e-09,3.70809971662339e-08,"947/3815/6657/5159/7412/5460/8842/3688/3383/7070",10,1.51061438749854e-06,8.39230215276969e-08,9.97
"128","Cancer cell","14/599","51/11351",2.35069362562365e-07,7.31565979599121e-07,"142/4684/4582/7431/2670/57167/4804/999/3880/5460/2064/4286/3688/7490",14,3.80812367351031e-05,1.65570594500448e-06,5.2
"133","Neural stem cell","18/599","70/11351",1.38052480848989e-08,5.20086908461564e-08,"1499/4684/7431/2670/5156/4851/6657/1000/6513/4804/4853/2624/2263/7852/8842/10763/3688/2264",18,2.23645018975362e-06,1.17707904723875e-07,4.87
"134","Cardiac progenitor cell","10/599","19/11351",9.3247801697441e-09,3.70809971662339e-08,"3670/3791/947/3815/836/7412/4254/3688/6546/7490",10,1.51061438749854e-06,8.39230215276969e-08,9.97
"137","Germ cell","5/599","37/11351",0.0434367428262645,0.0330761311554982,"57167/1956/3815/79923/5460",5,1,0.0748590674239877,2.56
"142","M2 macrophage","6/599","23/11351",0.000982466503842978,0.00149625357808113,"3553/6347/383/7852/6362/3586",6,0.159159573622562,0.00338637390686303,4.94
"146","Smooth muscle cell","3/599","11/11351",0.0175520592457482,0.0159032648728964,"1674/59/1003",3,1,0.0359928303520406,5.17
"15","Adipose-derived stromal cell","12/599","23/11351",3.3145618996657e-10,2.37252851765545e-09,"947/6657/7412/4609/4311/7037/79923/5460/8788/1003/3688/7070",12,5.36959027745844e-08,5.36959027745844e-09,9.89
"151","Neural crest cell","7/599","23/11351",0.000128446377589775,0.000241948855293759,"7431/6663/4851/4804/4853/10763/3688",7,0.0208083131695436,0.0005475871886722,5.77
"153","Myeloid dendritic cell","5/599","18/11351",0.00194122803965604,0.00254779651454896,"80380/942/941/8829/920",5,0.314478942424279,0.00576626299395714,5.26
"155","Follicular helper (Tfh) T cell","6/599","25/11351",0.00157516150326178,0.00221261627526442,"5133/3569/4311/6774/29851/920",6,0.255176163528409,0.00500767124651756,4.55
"157","Basal cell","8/599","103/11351",0.176482362416261,0.115893777347231,"8626/4851/3489/3728/3958/3852/5327/7076",8,1,0.262294887260865,1.47
"158","Hepatocyte","7/599","17/11351",1.34529722694101e-05,3.10628901297075e-05,"6898/1373/4233/3172/4311/3880/383",7,0.00217938150764444,7.03026292788528e-05,7.8
"16","Oligodendrocyte","12/599","155/11351",0.117882167529849,0.0819211792747036,"85300/4133/6663/4978/2596/4282/5862/10381/4878/4155/7070/274",12,1,0.185406904270248,1.47
"17","Mesenchymal stem cell","37/599","96/11351",5.06457392855486e-23,1.81258435337753e-21,"4684/7431/2335/10891/947/966/5156/4851/7350/3815/6657/1000/836/5159/7412/4804/999/4311/7037/79923/5460/967/59/7852/1003/3952/8829/6520/920/3572/8842/2064/10763/3688/3383/7070/3675",37,8.20460976425888e-21,4.10230488212944e-21,7.3
"171","Intestinal stem cell","2/599","11/11351",0.111560990838114,0.0790635474412895,"8549/2048",2,1,0.178939411047271,3.45
"179","Lymphoid cell","7/599","52/11351",0.0186797587215945,0.0167134683298477,"4684/947/3815/4311/22914/2322/920",7,1,0.0378265114112289,2.55
"180","Multipotent progenitor cell","6/599","51/11351",0.0506561548144715,0.0381675183089647,"2475/3670/947/836/8842/7070",6,1,0.0863820745257303,2.23
"185","Megakaryocyte","4/599","28/11351",0.0575265195425995,0.0424503888105998,"947/6657/5874/5460",4,1,0.0960752182051663,2.71
"19","Osteocyte","2/599","11/11351",0.111560990838114,0.0790635474412895,"2335/10630",2,1,0.178939411047271,3.45
"193","Ciliated cell","12/599","265/11351",0.748462845849172,0.349963738999327,"6391/4255/51657/2879/7431/3429/56925/6647/966/3490/3320/801",12,1,0.792050285764653,0.86
"204","Activated CD4+ T cell","3/599","11/11351",0.0175520592457482,0.0159032648728964,"7037/920/3688",3,1,0.0359928303520406,5.17
"213","Basophil","5/599","39/11351",0.0527003743679096,0.0392941387830905,"3815/3916/967/2624/3383",5,1,0.0889318817458475,2.43
"217","Neuron","25/599","82/11351",3.10877619179449e-13,3.70871545687764e-12,"2026/6855/4684/4133/2670/596/112476/3791/23114/3897/4741/1000/7412/4804/6750/1749/961/10381/8829/1636/8842/10763/6714/923/7070",25,5.03621743070707e-11,8.39369571784512e-12,5.78
"223","Naive T cell","1/599","12/11351",0.478420147853874,0.255558287934512,"920",1,1,0.578388536957668,1.58
"225","Effector memory T cell","1/599","10/11351",0.418626345686633,0.233484980043201,"920",1,1,0.528431447480127,1.89
"226","Effector T cell","3/599","18/11351",0.0660988000971401,0.0482783931966222,"5133/29851/920",3,1,0.109265363425885,3.16
"229","Cardiomyocyte","3/599","29/11351",0.195286445756648,0.125931515518749,"1674/7412/4878",3,1,0.285012650563756,1.96
