"ID","Description","GeneRatio","BgRatio","pvalue","qvalue","geneID","Count","bonferroni","Benjamini","enrichment_fold"
"101","Hematopoietic stem cell","50/3898","59/11351",1.63173292130117e-15,8.96975991826372e-15,"836/5728/3791/960/7412/5175/4851/5243/8842/4609/2624/3815/7852/64866/947/6776/5159/5788/3655/3673/9429/6777/7070/4170/7010/648/4804/2022/4254/7704/2672/3675/3575/3674/216/6688/4602/3678/3672/8763/3676/952/1636/51744/2057/2322/6689/22918/945/2122",50,2.87184994149005e-13,3.19094437943339e-14,2.47
"105","Germinal center B cell","8/3898","10/11351",0.00419589420603061,0.00195836174462203,"5788/57379/928/604/975/60468/5079/4005",8,0.738477380261387,0.00696676773831497,2.33
"106","Pluripotent stem cell","16/3898","18/11351",2.5773735852589e-06,2.50023856567943e-06,"4072/5175/3655/9314/79923/5460/1009/290/928/6657/29122/79727/249/2526/2719/1943",16,0.000453617751005567,8.8944657059915e-06,2.59
"107","Myeloid cell","62/3898","86/11351",8.60766916721209e-13,2.75306452349459e-12,"7422/920/7412/5175/348/3815/947/5788/3655/100133941/54106/2205/7099/969/2833/356/3685/57126/3559/929/941/290/9173/3684/928/4311/6402/729230/1232/3572/942/975/3674/4843/1436/7056/958/7097/3676/2526/952/8809/51744/3687/4065/2322/3683/5169/4360/1233/64581/1234/23765/1378/2214/2212/8573/945/968/7535/9332/6955",62,1.51494977342933e-10,9.79388060272968e-12,2.1
"108","Granulocyte","14/3898","19/11351",0.000534325301265527,0.00030738420023843,"960/5788/929/290/3684/967/1232/3676/2526/3687/5169/2214/2212/945",14,0.0940412530227327,0.0010935029421248,2.15
"111","Non-classical monocyte","7/3898","11/11351",0.0452435353002476,0.0174872217032207,"1524/929/3684/2526/3687/2214/945",7,1,0.0622098610378404,1.85
"113","Monocyte derived dendritic cell","13/3898","18/11351",0.00116402553064576,0.000632842104573174,"2205/1471/6280/6279/929/3684/140885/2526/3687/4360/909/2214/945",13,0.204868493393655,0.00225130212520499,2.1
"116","Eosinophil","33/3898","53/11351",2.94532291531779e-05,2.11182573638346e-05,"960/3576/963/5788/100133941/3383/2205/969/2833/6280/3559/2056/929/3684/928/3596/1232/3565/3570/975/1048/3965/1230/3676/2526/51744/3687/2209/1378/2214/3567/3566/945",33,0.00518376833095931,7.51270772602798e-05,1.81
"119","Plasma cell","19/3898","47/11351",0.231618119018633,0.076906051528617,"5175/3815/7852/3383/7494/939/6280/6279/928/975/930/6382/3662/973/952/11040/7292/25849/931",19,1,0.273589187565633,1.18
"120","Granulosa cell","96/3898","192/11351",4.83108247495213e-06,4.1931833115928e-06,"4790/5111/2597/2335/4792/1588/4313/6502/64866/2171/4162/896/4173/3383/80312/1984/6696/2878/1382/6280/3123/8788/5324/1028/59342/929/3428/2952/391/4670/55256/10653/7037/1278/950/5577/5156/1462/5971/10644/4494/64344/5325/216/4239/2026/4504/4192/2192/7764/4493/10761/3939/4502/2492/6205/1277/1052/1116/9077/4211/5230/900/8091/6160/10410/490/3119/3627/715/3151/9180/9037/716/7373/7026/330/4489/730/6863/23224/6136/26471/10252/6234/2719/10406/390/3122/10916/53827/51477/5715/8519/602/11013",96,0.000850270515591575,1.49170265893259e-05,1.46
