"ID","Description","GeneRatio","BgRatio","pvalue","qvalue","geneID","Count","bonferroni","Benjamini","enrichment_fold"
"101","Hematopoietic stem cell","23/1050","59/11351",7.35035301286983e-10,1.68200297777342e-09,"7412/947/3815/3791/2022/5728/5243/4609/8842/5788/5175/9429/7852/960/4851/7010/5159/5420/3675/836/945/7704/648",23,1.26426071821361e-07,5.49678573136352e-09,4.21
"105","Germinal center B cell","2/1050","10/11351",0.234978707647674,0.0852917269138561,"5788/928",2,1,0.278733363554482,2.16
"106","Pluripotent stem cell","8/1050","18/11351",9.81040296324759e-05,8.19582536612163e-05,"4072/5175/5460/79923/6657/5420/928/9314",8,0.0168738930967858,0.000267839572964855,4.8
"107","Myeloid cell","29/1050","86/11351",2.74814590142369e-10,7.2319628984834e-10,"7422/7412/947/3815/920/8573/5788/5175/8809/3572/7099/100133941/929/3684/57126/356/928/6402/958/945/4353/3559/3560/2205/968/7535/2208/4311/942",29,4.72681095044875e-08,2.36340547522437e-09,3.65
"108","Granulocyte","6/1050","19/11351",0.00583670184905868,0.00330317025979552,"5788/960/929/3684/967/945",6,1,0.0107947604090118,3.41
"111","Non-classical monocyte","4/1050","11/11351",0.0141388138532228,0.00695465511717794,"929/3684/945/1524",4,1,0.0227278129229375,3.93
"113","Monocyte derived dendritic cell","5/1050","18/11351",0.0206979328607478,0.0094824651149146,"929/3684/945/2205/1471",5,1,0.0309886959955409,3
"116","Eosinophil","19/1050","53/11351",1.08963602948558e-07,1.73785650635659e-07,"3383/3565/3576/963/5788/960/100133941/929/1048/3684/1441/928/728/945/3559/2056/2205/3596/2208",19,1.8741739707152e-05,5.67931506277332e-07,3.88
"119","Plasma cell","7/1050","47/11351",0.139523725317901,0.0528298846338134,"3815/3383/6382/5175/7852/928/7494",7,1,0.172648062983302,1.61
"120","Granulosa cell","24/1050","192/11351",0.0788857056126665,0.03145363062706,"3383/1116/4790/2335/4792/4313/2026/54107/4173/2597/6502/5111/6696/1028/929/900/5156/3122/4162/4192/3627/9037/6208/2952",24,1,0.102790464889232,1.35
