"ID","Description","GeneRatio","BgRatio","pvalue","qvalue","geneID","Count","bonferroni","Benjamini","enrichment_fold"
"101","Hematopoietic stem cell","43/2267","59/11351",2.16806302548415e-18,7.17253933242876e-18,"7412/4851/836/3791/4170/5159/5728/5788/7852/960/947/3575/4254/5175/9429/5243/4804/952/7070/4609/6776/7010/3815/8842/3675/2322/2022/90952/6688/3673/4602/216/3678/2624/3655/945/6777/962/648/6504/2057/51744/3676",43,3.77242966434242e-16,2.69459261738744e-17,3.65
"105","Germinal center B cell","6/2267","10/11351",0.00629980338511919,0.00251534799405848,"5788/604/928/57379/5079/4005",6,1,0.00944970507767878,3
"106","Pluripotent stem cell","13/2267","18/11351",2.42250667306749e-06,1.42025707681505e-06,"5175/4072/290/5460/9314/1009/6657/928/79923/2526/3655/2719/5819",13,0.000421516161113744,5.33564760903473e-06,3.62
"107","Myeloid cell","61/2267","86/11351",1.62699383296861e-24,9.41943798034459e-24,"7422/920/7412/1233/6402/2833/4311/5788/7099/3684/947/5175/969/3685/57126/941/952/290/942/7535/4065/958/968/3815/9332/356/3683/348/929/3559/54106/2322/4360/928/2526/3687/23765/3655/2213/945/7056/7097/2205/1234/917/962/4843/1436/8832/6614/100133941/4353/3572/8809/51744/3676/6693/3560/916/2811/729230",61,2.83096926936538e-22,3.53871158670673e-23,3.55
"108","Granulocyte","11/2267","19/11351",0.000301514960558193,0.000143968076663706,"5788/3684/960/290/929/967/2526/3687/2213/945/3676",11,0.0524636031371256,0.000540861888011604,2.9
"111","Non-classical monocyte","6/2267","11/11351",0.0115342506086742,0.00448922624309303,"3684/929/1524/2526/3687/945",6,1,0.0168652067723472,2.73
"113","Monocyte derived dendritic cell","13/2267","18/11351",2.42250667306749e-06,1.42025707681505e-06,"3684/30835/6279/909/929/4360/2526/3687/945/6280/2205/140885/1471",13,0.000421516161113744,5.33564760903473e-06,3.62
"116","Eosinophil","32/2267","53/11351",1.2711382929753e-10,1.36915752486935e-10,"3576/2833/5788/3684/960/3383/3965/969/1048/929/3565/3559/2056/928/3567/963/728/3596/2526/3687/945/3570/719/6280/2205/962/100133941/3566/51744/3676/6693/1230",32,2.21178062977702e-08,5.14367588320237e-10,3.02
"119","Plasma cell","18/2267","47/11351",0.00281641490703321,0.00116468285629193,"939/3662/7852/3383/5175/952/7494/6279/930/3815/928/931/6382/51303/6280/7292/973/11040",18,0.490056193823778,0.00437550173056944,1.92
"120","Granulosa cell","62/2267","192/11351",3.34684090263741e-05,1.74170313088168e-05,"4162/4790/4313/5111/2335/2597/1278/4792/3383/4239/6234/7037/390/3627/6696/5156/2026/896/1984/57664/9037/11230/929/4489/4173/80312/716/23224/2192/6502/715/9180/2952/8519/3123/1052/216/50511/950/2537/5230/1116/2719/10644/4237/6280/8091/6232/1462/53827/3939/6233/2171/4192/10653/3872/330/3122/1028/10252/1277/8407",62,0.00582350317058909,6.54326198942595e-05,1.62
"122","Beta cell","21/2267","111/11351",0.647233525805881,0.18972868178187,"54386/214/3630/23705/3481/4267/55819/9037/489/486/2823/2990/3329/6092/1016/7049/1028/8544/54361/8835/240",21,1,0.712776161330527,0.95
"126","Myoepithelial cell","9/2267","11/11351",1.85052399089197e-05,9.9661022765296e-06,"8626/4311/960/8553/3688/10630/3861/6606/1001",9,0.00321991174415203,3.7440834234326e-05,4.1
"127","Oviduct-derived stem cell","19/2267","19/11351",4.8042797035455e-14,8.9005602928843e-14,"4162/7412/214/5159/5788/960/947/3383/5175/9429/7070/5460/3688/4907/3815/8842/2022/6657/3676",19,8.35944668416917e-12,3.34377867366767e-13,5.01
"128","Cancer cell","35/2267","51/11351",6.31805481012623e-14,1.12548344795771e-13,"7299/4162/142/340273/4286/999/6490/2315/4582/5788/960/7052/4684/2064/7431/4072/4804/2346/8797/5329/5460/3688/2670/354/3875/2194/216/931/6382/56901/3783/7490/768/100133941/7849",35,1.09934153696196e-11,4.22823668062294e-13,3.44
"133","Neural stem cell","43/2267","70/11351",3.44853798901225e-14,6.6550733121289e-14,"1499/4162/4851/10763/6256/6597/7852/2173/1000/4684/8650/9429/7431/4804/5077/6662/4853/5156/2263/6513/3688/8842/4487/4920/9241/2264/2670/2551/6657/6423/2526/2624/3655/5080/27022/4345/648/9289/100133941/5590/429/6656/4288",43,6.00045610088131e-12,2.50019004203388e-13,3.08
"134","Cardiac progenitor cell","14/2267","19/11351",6.49859668206065e-07,4.0674004837933e-07,"7412/836/214/3791/947/4254/9429/2626/3688/3815/6546/2526/7490/140885",14,0.000113075582267855,1.52804840902507e-06,3.69
"137","Germ cell","10/2267","37/11351",0.18933133479306,0.0635436974133839,"1956/326340/4201/5460/3815/79923/50511/2719/5940/56165",10,1,0.238722117782553,1.35
"14","Kupffer cell","7/2267","10/11351",0.000851577801204187,0.000372089605292793,"3684/968/9332/929/3689/2213/11326",7,0.148174537409528,0.00139787299442951,3.5
"142","M2 macrophage","20/2267","23/11351",9.01065719371224e-12,1.07009154257311e-11,"8743/3553/3586/3662/3552/7852/30835/6347/968/9332/929/4360/6362/6778/2205/1436/948/4481/11326/383",20,1.56785435170593e-09,4.02013936334854e-11,4.35
"146","Smooth muscle cell","6/2267","11/11351",0.0115342506086742,0.00448922624309303,"4162/5175/1674/1003/10614/3274",6,1,0.0168652067723472,2.73
"15","Adipose-derived stromal cell","22/2267","23/11351",6.98373479931281e-15,1.54027233669055e-14,"7412/214/4311/5788/960/947/5175/2152/7037/7070/290/4609/5460/3688/1003/4907/9314/2022/6657/79923/7056/4345",22,1.21516985508043e-12,5.78652311943062e-14,4.79
"151","Neural crest cell","19/2267","23/11351",1.84658237094408e-10,1.85925913779267e-10,"4851/10763/6615/8650/7431/4804/5077/6663/4853/1464/3688/6591/27087/27022/655/3676/429/55636/652",19,3.2130533254427e-08,6.98489853357109e-10,4.14
"153","Myeloid dendritic cell","15/2267","18/11351",1.36000870364987e-08,1.1248192285826e-08,"920/1236/80380/3684/30835/941/50489/8829/942/909/4065/958/9308/3687/3676",15,2.36641514435077e-06,4.2257413291978e-08,4.17
"155","Follicular helper (Tfh) T cell","20/2267","25/11351",1.77988471879754e-10,1.83192813162788e-10,"5133/920/6774/3569/3662/2833/4311/4094/959/29851/59067/604/643/10563/3570/917/7292/8832/6504/916",20,3.09699941070772e-08,6.88222091268382e-10,4.01
"157","Basal cell","46/2267","103/11351",1.06671671259603e-08,9.50112051704968e-09,"4851/8626/3315/360/6279/6901/23682/5268/3852/1308/3958/5327/6277/977/894/9076/10457/1992/84951/3557/857/2707/3861/2192/10848/3868/11005/9982/11187/57007/3728/6382/3853/2810/1830/7076/3655/7056/6699/2171/5355/3872/1825/655/5317/9232",46,1.8560870799171e-06,3.5693982306098e-08,2.24
