"ID","Description","GeneRatio","BgRatio","pvalue","qvalue","geneID","Count","bonferroni","Benjamini","enrichment_fold"
"101","Hematopoietic stem cell","22/779","59/11351",1.49346070722876e-11,7.37660754177769e-11,"3791/1636/960/4254/7704/3655/836/5159/7010/3815/648/7852/5728/947/5788/8842/2322/4804/4851/7412/3678/4609",22,2.5388832022889e-09,1.95298707868377e-10,5.43
"105","Germinal center B cell","3/779","10/11351",0.0268444499076676,0.0170662995765265,"57379/975/5788",3,1,0.0451837275673612,4.37
"106","Pluripotent stem cell","8/779","18/11351",1.11886419841789e-05,1.79607147640767e-05,"2719/5460/79923/3655/79727/6657/2526/290",8,0.00190206913731042,4.75517284327605e-05,6.48
"107","Myeloid cell","21/779","86/11351",2.2801407331551e-07,5.22889416249853e-07,"7422/920/3655/3815/975/2526/7099/7097/100133941/947/4353/5788/2322/4311/942/7412/290/3683/6402/1237/1234",21,3.87623924636366e-05,1.38437115941559e-06,3.56
"108","Granulocyte","4/779","19/11351",0.0373024435086264,0.0228115193386086,"960/2526/5788/290",4,1,0.0603944323472999,3.07
"111","Non-classical monocyte","1/779","11/11351",0.542703179548833,0.235454437784344,"2526",1,1,0.623375273806092,1.32
"113","Monocyte derived dendritic cell","3/779","18/11351",0.121851443631272,0.0636109376252254,"6280/6279/2526",3,1,0.168412564368425,2.43
"116","Eosinophil","9/779","53/11351",0.00932764001172017,0.00658167774106339,"960/3383/6280/975/2526/3576/100133941/1230/5788",9,1,0.0174252615603564,2.47
"119","Plasma cell","8/779","47/11351",0.0137034333301552,0.00916567360898541,"3383/639/3815/6280/975/6279/7852/930",8,1,0.0242664965221499,2.48
"120","Granulosa cell","26/779","192/11351",0.000654393071672885,0.000656545680461282,"2719/1588/50511/4162/3383/3122/2335/4313/80312/8091/2597/6280/4790/5156/2026/6205/2319/4670/26471/1116/5111/4211/10644/1462/1028/896",26,0.11124682218439,0.0017382315966311,1.97
"122","Beta cell","8/779","111/11351",0.496128563672624,0.22434279009659,"3630/7049/3481/6903/54386/2778/54361/1028",8,1,0.593956731157366,1.05
"126","Myoepithelial cell","8/779","11/11351",6.51306364244708e-08,1.90094202004436e-07,"960/251/10630/3688/8626/3861/4311/1001",8,1.107220819216e-05,5.03282190552729e-07,10.6
"127","Oviduct-derived stem cell","12/779","19/11351",3.23672567824631e-10,1.38554572893351e-09,"960/5460/4162/3383/5159/3815/3688/6657/947/5788/8842/7412",12,5.50243365301873e-08,3.66828910201249e-09,9.2
"128","Cancer cell","17/779","51/11351",2.25163284403287e-08,7.60939631501412e-08,"142/57167/960/768/5460/4684/2064/999/4162/7490/251/7431/3880/3688/100133941/5788/4804",17,3.82777583485587e-06,2.01461886045046e-07,4.86
"133","Neural stem cell","27/779","70/11351",2.66522511005466e-14,2.44479295809525e-13,"1499/2649/6513/1000/4684/6662/4162/3655/7431/3688/648/6657/975/5590/7852/2526/3398/5156/100133941/6597/8842/9241/4804/4851/4920/10763/2263",27,4.53088268709292e-12,6.47268955298989e-13,5.62
"134","Cardiac progenitor cell","10/779","19/11351",1.14535465052596e-07,2.8286086510965e-07,"3791/4254/7490/836/3815/3688/2526/947/2626/7412",10,1.94710290589413e-05,7.48885733036205e-07,7.67
"137","Germ cell","20/779","37/11351",2.21654847173248e-14,2.37209573290669e-13,"174/1956/2719/2649/57167/9271/5460/50511/359787/639/79923/143689/54514/55124/56165/7022/3815/5940/4103/1618",20,3.76813240194522e-12,6.2802206699087e-13,7.88
"14","Kupffer cell","1/779","10/11351",0.508975265978348,0.226955345209643,"3689",1,1,0.600873577891105,1.46
"142","M2 macrophage","4/779","23/11351",0.0687377427751447,0.0394079164406375,"3552/7852/6347/3586",4,1,0.10433407385513,2.53
"146","Smooth muscle cell","2/779","11/11351",0.171696130273502,0.0868086526869756,"4162/1674",2,1,0.229829465720435,2.65
"15","Adipose-derived stromal cell","11/779","23/11351",9.34494721012974e-08,2.5287345136654e-07,"960/5460/79923/3688/6657/947/5788/4311/7412/290/4609",11,1.58864102572206e-05,6.69492826158953e-07,6.97
"151","Neural crest cell","9/779","23/11351",1.09726427058652e-05,1.79607147640767e-05,"655/652/7431/3688/4804/4851/55636/3695/10763",9,0.00186534925999708,4.75517284327605e-05,5.7
"153","Myeloid dendritic cell","3/779","18/11351",0.121851443631272,0.0636109376252254,"920/8829/942",3,1,0.168412564368425,2.43
"155","Follicular helper (Tfh) T cell","6/779","25/11351",0.00587334792734917,0.00428557683694138,"920/5133/6774/4094/4311/3569",6,0.99846914764936,0.0113462403141973,3.5
"157","Basal cell","10/779","103/11351",0.168368602476432,0.0858018776195683,"655/9232/894/3655/11005/8626/6279/3861/4851/3728",10,1,0.227163987468201,1.41
"158","Hepatocyte","9/779","17/11351",4.7530280520904e-07,1.05239459592564e-06,"174/4233/2244/3880/3172/1576/1244/4311/7082",9,8.08014768855368e-05,2.7862578236392e-06,7.71
"16","Oligodendrocyte","10/779","155/11351",0.626921103583458,0.264835092234009,"4133/4673/4831/4869/4282/203068/2934/274/22933/6187",10,1,0.701161760586763,0.94
"17","Mesenchymal stem cell","45/779","96/11351",2.45709395170602e-27,7.88856479231934e-26,"966/920/960/5460/1000/4684/2064/7704/999/4162/3383/2335/659/79923/3655/836/7431/54514/5159/55124/3815/346673/3688/6657/682/975/7852/972/5156/3952/100133941/1618/947/5788/8842/4804/4311/4851/930/8829/7412/10763/3678/3689/290",45,4.17705971790024e-25,2.08852985895012e-25,6.83
"171","Intestinal stem cell","5/779","11/11351",0.000489894900435097,0.000524273489939314,"960/6662/648/100133941/2048",5,0.0832821330739664,0.00138803555123277,6.62
"179","Lymphoid cell","12/779","52/11351",0.000160841922042851,0.000198610470538743,"925/920/4684/3815/975/3002/947/5788/2322/4311/930/6402",12,0.0273431267472846,0.000525829360524704,3.36
"180","Multipotent progenitor cell","7/779","51/11351",0.0580377530217189,0.0338784969791852,"2475/836/9112/947/5788/8842/10733",7,1,0.0896947092153837,2
"185","Megakaryocyte","5/779","28/11351",0.0395440213085735,0.0237303029987504,"5460/3655/6657/2526/947",5,1,0.0628269497425933,2.6
"19","Osteocyte","4/779","11/11351",0.00491863892637684,0.00367242318860449,"2697/960/2335/10630",4,0.836168617484062,0.00972289090097747,5.3
"193","Ciliated cell","11/779","265/11351",0.977319809924634,0.371326741858628,"4255/966/53340/7431/3429/1520/8607/3490/10856/56925/801",11,1,0.98310276737981,0.6
"204","Activated CD4+ T cell","4/779","11/11351",0.00491863892637684,0.00367242318860449,"920/3688/5788/930",4,0.836168617484062,0.00972289090097747,5.3
