"ID","Description","GeneRatio","BgRatio","pvalue","qvalue","geneID","Count","bonferroni","Benjamini","enrichment_fold"
"101","Hematopoietic stem cell","42/2487","59/11351",7.61719592334316e-16,2.08470625270444e-15,"3791/4851/5728/5159/7412/960/836/4254/4170/3815/5788/7704/5175/7010/947/5243/2322/4609/6776/2122/8842/9429/7852/3675/3678/4804/150696/4602/7070/648/2057/6504/3673/216/3676/1636/3575/6777/952/2022/945/3672",42,1.3406264825084e-13,8.9375098833893e-15,3.25
"105","Germinal center B cell","4/2487","10/11351",0.156774409006037,0.0446944587078615,"5788/57379/975/5079",4,1,0.191613166562934,1.83
"106","Pluripotent stem cell","12/2487","18/11351",5.80093874894034e-05,2.67577304800323e-05,"4072/29122/5175/2526/5460/290/6657/79727/2719/1009/9314/79923",12,0.010209652198135,0.000114715193237472,3.04
"107","Myeloid cell","58/2487","86/11351",1.47854385409812e-19,5.05817634296724e-19,"7422/920/3685/7412/4311/3559/3815/5788/5175/947/2322/7099/2526/968/729230/100133941/969/942/6957/57126/290/11251/7056/941/2212/356/3572/3684/1232/1436/7097/8809/1234/9173/975/916/54106/2833/3676/7535/915/2214/6955/64581/6614/952/2213/4360/929/958/348/3683/3560/945/9332/4843/1233/3687",58,2.60223718321269e-17,2.16853098601057e-18,3.08
"108","Granulocyte","13/2487","19/11351",1.83345920689409e-05,9.77510718644835e-06,"960/5788/2526/290/2212/3684/1232/3676/2214/2213/929/945/3687",13,0.00322688820413361,4.19076390147222e-05,3.12
"111","Non-classical monocyte","7/2487","11/11351",0.00341692193205224,0.00117877006059299,"2526/3684/2214/929/1524/945/3687",7,0.601378260041195,0.00505359882387559,2.9
"113","Monocyte derived dendritic cell","13/2487","18/11351",7.24911920083937e-06,4.19148478625256e-06,"2526/6280/140885/3684/6279/909/2214/4360/929/945/30835/1471/3687",13,0.00127584497934773,1.79696475964469e-05,3.3
"116","Eosinophil","29/2487","53/11351",1.85143919230669e-07,1.31045605263087e-07,"3576/960/3559/3383/5788/2526/100133941/969/1048/6280/1230/3567/2209/11251/3570/963/2056/3684/3596/3565/1232/975/2833/3676/2214/929/728/945/3687",29,3.25853297845978e-05,5.61816030768927e-07,2.5
"119","Plasma cell","20/2487","47/11351",0.00119421271518174,0.000453940505770836,"3815/3383/5175/608/7494/7852/6280/11040/6382/10117/93035/6279/973/975/931/952/930/3543/939/7292",20,0.210181437871986,0.00194612442474061,1.94
"120","Granulosa cell","79/2487","192/11351",1.21494968216955e-09,1.42505376254474e-09,"4790/3627/4313/5111/7026/2335/2597/5156/26471/2026/490/3383/80312/1382/53827/4173/1984/794/4489/3939/1277/6863/6696/4192/2952/7037/1588/23475/4792/3127/54733/6280/3122/1462/391/10644/5715/8091/2492/716/1278/203/50511/9077/4493/1831/5230/4502/23224/4239/8407/2192/84034/11013/216/3428/10962/2719/896/3872/51537/6335/1028/2171/2878/130340/6502/900/3123/929/9180/84072/3149/715/9037/2537/3119/6154/4162",79,2.13831144061841e-07,6.10946125890974e-09,1.88
"122","Beta cell","35/2487","111/11351",0.0116191572239948,0.00378569032360734,"3630/5950/3481/4267/214/5641/5208/54386/54361/846/1515/489/3375/3329/9844/11251/3651/2778/26585/6785/2990/6004/8851/4093/5923/6715/6653/956/7049/1028/9788/23705/10103/9037/10152",35,1,0.0162299339001833,1.44
"126","Myoepithelial cell","9/2487","11/11351",4.08606404209702e-05,1.92808829572636e-05,"960/4311/8626/10630/3688/1001/6606/8553/3861",9,0.00719147271409075,8.26606059090891e-05,3.73
"127","Oviduct-derived stem cell","19/2487","19/11351",2.81062126483101e-13,5.24469996786648e-13,"5159/7412/960/3815/3383/5788/214/5175/947/3688/8842/4907/5460/9429/6657/7070/3676/2022/4162",19,4.94669342610258e-11,2.24849701186481e-12,4.56
"128","Cancer cell","36/2487","51/11351",1.38011522938571e-13,2.69796962135553e-13,"2064/2346/7849/4684/4072/4582/999/7431/142/960/5788/3880/3688/2670/354/5460/100133941/4804/3856/3783/6382/7052/8797/5329/7490/768/6928/216/7299/3875/4286/931/51360/1999/57167/4162",36,2.42900280371886e-11,1.15666800177088e-12,3.22
"133","Neural stem cell","46/2487","70/11351",3.97593608958826e-15,8.59066523512146e-15,"1499/4851/4684/7431/6513/2263/5156/7025/6256/2551/2264/27022/3688/2670/2526/6597/8842/2173/100133941/9429/1000/7852/4853/4804/5077/150696/4345/4920/6657/5590/124540/648/799/975/429/4760/6423/7545/3148/26354/6662/3398/10763/861/8326/4162",46,6.99764751767534e-13,3.68297237772386e-14,3
"134","Cardiac progenitor cell","14/2487","19/11351",2.13274710786937e-06,1.34699817339118e-06,"3791/7412/836/4254/3815/214/947/3688/846/2526/9429/1482/140885/7490",14,0.000375363490985008,5.7748229382309e-06,3.36
"137","Germ cell","9/2487","37/11351",0.423568953784431,0.112913118233717,"1956/3815/174/5460/50511/4103/2719/79923/57167",9,1,0.484078804325064,1.11
