"ID","Description","GeneRatio","BgRatio","pvalue","qvalue","geneID","Count","bonferroni","Benjamini","enrichment_fold"
"101","Hematopoietic stem cell","13/247","59/11351",2.97766331394706e-10,7.75347234102558e-10,"4609/947/4851/5159/3791/3815/7412/3674/216/5728/836/960/5788",13,4.76426130231529e-08,2.50750594858699e-09,10.13
"105","Germinal center B cell","2/247","10/11351",0.0189131246443981,0.0090844850105949,"975/5788",2,1,0.0293796110980941,9.19
"106","Pluripotent stem cell","2/247","18/11351",0.0574012171011598,0.0240665227810393,"4072/6657",2,1,0.0778321587812336,5.11
"107","Myeloid cell","12/247","86/11351",3.17101464851086e-07,5.06070249507676e-07,"7422/3559/4311/947/920/968/3815/7412/3674/929/975/5788",12,5.07362343761738e-05,1.63665272181206e-06,6.41
"108","Granulocyte","3/247","19/11351",0.00762176240998442,0.00409865941955684,"929/960/5788",3,1,0.0132552389738859,7.26
"111","Non-classical monocyte","1/247","11/11351",0.215032302169982,0.0837672457686626,"929",1,1,0.270906837379504,4.18
"113","Monocyte derived dendritic cell","1/247","18/11351",0.327200624090682,0.122635002649618,"929",1,1,0.396606817079614,2.55
"116","Eosinophil","7/247","53/11351",0.000139264608740299,0.000125271514082183,"3559/3383/929/975/963/960/5788",7,0.0222823373984479,0.000405133407244507,6.07
"119","Plasma cell","4/247","47/11351",0.0187770049223861,0.0090844850105949,"3383/3815/975/6382",4,1,0.0293796110980941,3.91
"120","Granulosa cell","11/247","192/11351",0.0031911533954237,0.00194911253521656,"4313/4162/2026/2335/3383/4790/5156/929/896/216/5111",11,0.510584543267792,0.00630351287984929,2.63
"122","Beta cell","5/247","111/11351",0.0945947363933246,0.0386772736884407,"3630/4267/3481/54386/214",5,1,0.125083948949851,2.07
"126","Myoepithelial cell","6/247","11/11351",4.21447040208634e-08,8.01943760720882e-08,"8626/4311/6606/10630/3688/960",6,6.74315264333814e-06,2.59352024743775e-07,25.07
"127","Oviduct-derived stem cell","11/247","19/11351",2.6903049912704e-14,1.33099299568114e-13,"947/4162/5159/3383/3815/7412/3688/214/6657/960/5788",11,4.30448798603264e-12,4.30448798603263e-13,26.61
"128","Cancer cell","16/247","51/11351",5.6622507640822e-15,3.11258229136682e-14,"7431/4072/4582/2064/4162/999/3880/142/3875/4684/7490/216/6382/3688/960/5788",16,9.05960122253152e-13,1.00662235805906e-13,14.42
"133","Neural stem cell","14/247","70/11351",2.41521445320369e-10,6.6383087310277e-10,"7431/1499/4853/4162/4851/4684/5156/975/1000/6664/4345/3688/6657/2263",14,3.86434312512591e-08,2.14685729173662e-09,9.19
"134","Cardiac progenitor cell","8/247","19/11351",2.75934892670339e-09,6.5007217822085e-09,"947/3791/3815/7412/7490/3688/214/836",8,4.41495828272543e-07,2.10236108701211e-08,19.35
"137","Germ cell","3/247","37/11351",0.0459661959492224,0.0203024938828217,"1956/174/3815",3,1,0.0656591291529554,3.73
"14","Kupffer cell","2/247","10/11351",0.0189131246443981,0.0090844850105949,"968/929",2,1,0.0293796110980941,9.19
