Letter,Gene_ID,Gene_Name,GO_ID,GO_Namespace,GO_Name,GOF,a,b,c,d,Pvalue,Adjusted_Pvalue,Enrichment_Score,GO_Level,GO_Children,GSEA_MSigDB,NCBI_Entrez
C,1588,CYP19A1,GO:0070330,molecular_function,aromatase activity,,80,43,8,8350,9.556459775632072e-152,9.556459775632072e-152,347.73571679297214,5,1,1,2
I,3630,INS,GO:0040007,biological_process,growth,,187,50,1388,6856,1.099000268598254e-93,1.099000268598254e-93,214.04601272862237,1,10,1,0
G,50486,G0S2,GO:0032259,biological_process,methylation,,73,9,337,8062,2.733254443593574e-88,2.733254443593574e-88,201.62199518039034,2,1,0,0
M,56339,METTL3,GO:0001510,biological_process,RNA methylation,,45,69,2,8365,2.9488267357945277e-86,2.9488267357945277e-86,196.94091062292628,4,8,1,1
C,1499,CTNNB1,GO:0016055,biological_process,Wnt signaling pathway,,75,603,9,7794,1.92156197503783e-73,1.92156197503783e-73,167.4355734045952,5,17,0,0
P,5443,POMC,GO:0046903,biological_process,secretion,,75,133,150,8123,4.298978493702744e-68,4.298978493702744e-68,155.11740888872134,4,10,1,0
I,3481,IGF2,GO:0040007,biological_process,growth,,292,318,1283,6588,1.3884854099392333e-66,1.3884854099392333e-66,151.64240261768344,1,10,1,0
C,1499,CTNNB1,GO:0023052,biological_process,signaling,,291,387,1132,6671,6.501634887790304e-64,6.601660039910155e-64,145.47812481301418,1,6,0,0
M,5594,MAPK1,GO:0016310,biological_process,phosphorylation,,69,85,221,8106,9.302448744061158e-62,9.302448744061158e-62,140.52999809431748,5,8,0,0
C,920,CD4,GO:0007613,biological_process,memory,,28,7,23,8423,4.175148814172538e-60,4.175148814172538e-60,136.72595557786198,3,4,0,0
P,5468,PPARG,GO:0005777,cellular_component,peroxisome,,26,15,9,8431,1.3400757220857317e-57,1.3400757220857317e-57,130.95462417927516,6,9,0,0
S,6646,SOAT1,GO:0005783,cellular_component,endoplasmic reticulum,,34,26,50,8371,1.8969657538027605e-55,1.8969657538027605e-55,126.00192447670138,5,5,1,1
