Letter,Gene_ID,Gene_Name,GO_ID,GO_Namespace,GO_Name,GOF,a,b,c,d,Pvalue,Adjusted_Pvalue,Enrichment_Score,GO_Level,GO_Children,GSEA_MSigDB,NCBI_Entrez
N,4926,NUMA1,GO:0016363,cellular_component,nuclear matrix,,518,48,34,72656,0.0,0.0,650.5288996782679,2,1,1,2
P,5468,PPARG,GO:0005777,cellular_component,peroxisome,,201,456,96,72503,0.0,0.0,650.5288996782679,6,9,0,0
C,925,CD8A,GO:0007613,biological_process,memory,,183,355,90,72628,0.0,0.0,650.5288996782679,3,4,0,0
A,207,AKT1,GO:0016310,biological_process,phosphorylation,,862,2769,2898,66727,0.0,0.0,650.5288996782679,5,8,0,1
A,207,AKT1,GO:0023052,biological_process,signaling,,1910,1721,8782,60843,0.0,0.0,650.5288996782679,1,6,0,0
C,1499,CTNNB1,GO:0023052,biological_process,signaling,,958,590,9734,61974,0.0,0.0,650.5288996782679,1,6,0,0
V,7422,VEGFA,GO:0040007,biological_process,growth,,1017,672,12038,59529,0.0,0.0,650.5288996782679,1,10,1,0
R,11186,RASSF1,GO:0032259,biological_process,methylation,,381,55,3428,69392,0.0,0.0,650.5288996782679,2,1,0,0
E,1956,EGFR,GO:0040007,biological_process,growth,,1670,1123,11385,59078,0.0,0.0,650.5288996782679,1,10,1,0
V,7422,VEGFA,GO:0001525,biological_process,angiogenesis,,442,1247,1801,69766,2.993523403014519e-283,3.0122329242833595e-283,650.5288996782679,3,5,0,2
C,29126,CD274,GO:0012501,biological_process,programmed cell death,,169,491,160,72436,2.1607490179345603e-259,2.1607490179345603e-259,595.5990841563095,3,10,0,0
F,2261,FGFR3,GO:0040007,biological_process,growth,,919,771,12136,59430,1.530217721098613e-258,1.530217721098613e-258,593.6415439658117,1,10,1,0
P,5133,PDCD1,GO:0012501,biological_process,programmed cell death,,147,215,182,72712,4.212243947823704e-258,4.212243947823704e-258,592.6289584825321,3,10,0,0
X,7515,XRCC1,GO:0006281,biological_process,DNA repair,,138,27,776,72315,2.0695350081307534e-237,2.0695350081307534e-237,544.9853430912988,5,15,1,0
E,2068,ERCC2,GO:0006281,biological_process,DNA repair,,140,44,774,72298,1.6833305851520775e-229,1.6833305851520775e-229,526.7712119736016,5,15,1,0
M,5594,MAPK1,GO:0023052,biological_process,signaling,,735,769,9957,61795,2.853734168829601e-223,2.8537341688296007e-223,512.427847366323,1,6,0,0
T,7015,TERT,GO:0003720,molecular_function,telomerase activity,,114,365,71,72706,5.83972471869069e-204,5.83972471869069e-204,467.9626753122667,5,1,1,3
M,2475,MTOR,GO:0023052,biological_process,signaling,,748,913,9944,61651,6.604080442703043e-200,6.604080442703043e-200,458.6293308919195,1,6,0,0
M,84557,MAP1LC3A,GO:0006914,biological_process,autophagy,,155,74,1542,71485,1.3074945932153462e-196,1.3074945932153462e-196,451.03856544509273,3,7,0,0
T,7157,TP53,GO:0007049,biological_process,cell cycle,,636,2251,3661,66708,2.6700305863204096e-196,2.6700305863204096e-196,450.3245882989357,2,2,1,0
C,920,CD4,GO:0007613,biological_process,memory,,107,161,166,72822,3.193696929737956e-194,3.193696929737956e-194,445.5403288829248,3,4,0,0
M,4282,MIF,GO:1905517,biological_process,macrophage migration,,73,98,6,73079,2.766832848965991e-192,2.766832848965991e-192,441.0786345646349,4,2,1,0
D,1612,DAPK1,GO:0032259,biological_process,methylation,,183,46,3626,69401,7.656621721339622e-190,7.656621721339621e-190,435.45559681094363,2,1,0,0
B,8678,BECN1,GO:0006914,biological_process,autophagy,,138,39,1559,71520,8.889659820263152e-190,8.889659820263153e-190,435.3062788855122,3,7,0,2
C,961,CD47,GO:0006909,biological_process,phagocytosis,,75,69,31,73081,2.519695680858281e-187,2.519695680858281e-187,429.65927425721964,3,1,1,0
M,4436,MSH2,GO:0006298,biological_process,mismatch repair,,73,26,92,73065,1.6658298531624214e-178,1.6658298531624214e-178,409.34982314336514,6,2,1,1
E,1950,EGF,GO:0040007,biological_process,growth,,437,198,12618,60003,2.185551620808491e-177,2.185551620808491e-177,406.7756932052248,1,10,0,0
M,5594,MAPK1,GO:0016310,biological_process,phosphorylation,,406,1098,3354,68398,5.551689370002589e-177,5.584539602961185e-177,405.8375594653866,5,8,0,0
C,595,CCND1,GO:0007049,biological_process,cell cycle,,345,617,3952,68342,2.4975267554883483e-175,2.497526755488348e-175,402.0370903295666,2,2,1,0
J,3725,JUN,GO:0007258,biological_process,JUN phosphorylation,,73,266,3,72914,6.203282567681445e-170,6.203282567681445e-170,389.61438721064377,7,1,0,0
E,2064,ERBB2,GO:0040007,biological_process,growth,,631,577,12424,59624,1.4146235495896048e-164,1.4146235495896046e-164,377.2770917980168,1,10,1,0
F,2346,FOLH1,GO:0016020,cellular_component,membrane,,129,54,1721,71352,2.7131469928499376e-162,2.7131469928499376e-162,372.02067585190116,2,16,0,0
M,56339,METTL3,GO:0001510,biological_process,RNA methylation,,65,171,9,73011,6.880747091114117e-156,6.880747091114117e-156,357.2745472721965,4,8,1,1
C,1012,CDH13,GO:0032259,biological_process,methylation,,134,17,3675,69430,4.697912361545864e-152,4.697912361545864e-152,348.4458159034499,2,1,0,0
P,5747,PTK2,GO:0005925,cellular_component,focal adhesion,,92,233,168,72763,1.5851814845756218e-151,1.5851814845756218e-151,347.2296501400169,5,1,0,3
R,864,RUNX3,GO:0032259,biological_process,methylation,,146,51,3663,69396,9.557284562383699e-143,9.557284562383699e-143,327.01236465302435,2,1,0,0
M,4292,MLH1,GO:0006298,biological_process,mismatch repair,,67,80,98,73011,4.0118731122034856e-142,4.0118731122034856e-142,325.57782496262286,6,2,1,1
C,1026,CDKN1A,GO:0007049,biological_process,cell cycle,,238,324,4059,68635,8.621303260181028e-140,8.621303260181028e-140,320.2076767556427,2,2,1,0
C,1019,CDK4,GO:0007049,biological_process,cell cycle,,188,157,4109,68802,5.027311747309943e-136,5.0273117473099424e-136,311.53668724981935,2,2,1,0
S,8878,SQSTM1,GO:0006914,biological_process,autophagy,,113,76,1584,71483,9.428389734725373e-134,9.42838973472537e-134,306.3026771389761,3,7,0,1
M,2475,MTOR,GO:0006914,biological_process,autophagy,,240,1421,1457,70138,8.038716847968522e-117,8.101519323343275e-117,267.31040426543103,3,7,0,0
C,767,CA8,GO:0035282,biological_process,segmentation,,36,4,21,73195,5.360358023383643e-114,5.360358023383643e-114,260.8156698330618,4,7,0,0
S,6774,STAT3,GO:0023052,biological_process,signaling,,413,500,10279,62064,1.6932038516144907e-110,1.6932038516144907e-110,252.75773772492838,1,6,0,0
N,4790,NFKB1,GO:0023052,biological_process,signaling,,453,617,10239,61947,1.2701394188979489e-108,1.2701394188979489e-108,248.44006337025186,1,6,0,0
X,7517,XRCC3,GO:0006281,biological_process,DNA repair,,60,8,854,72334,5.564634117570959e-106,5.564634117570959e-106,242.35758862186998,5,15,1,1
M,5595,MAPK3,GO:0016310,biological_process,phosphorylation,,202,407,3558,69089,1.000770962674445e-105,1.000770962674445e-105,241.77066409873942,5,8,0,1
P,5465,PPARA,GO:0005777,cellular_component,peroxisome,,58,76,239,72883,1.6798406153763536e-103,1.6798406153763536e-103,236.64756566127195,6,9,0,0
C,811,CALR,GO:0006909,biological_process,phagocytosis,,46,80,60,73070,1.3014302717610499e-101,1.3014302717610499e-101,232.2976305236706,3,1,1,0
A,10533,ATG7,GO:0006914,biological_process,autophagy,,97,110,1600,71449,1.0867156205293683e-100,1.0867156205293684e-100,230.17534934414186,3,7,0,2
H,3205,HOXA9,GO:0032259,biological_process,methylation,,93,20,3716,69427,3.714700451847584e-99,3.714700451847584e-99,226.64362616356507,2,1,0,0
P,5100,PCDH8,GO:0032259,biological_process,methylation,,75,0,3734,69447,2.486318540238414e-97,2.486318540238414e-97,222.43995090189856,2,1,0,0
C,1017,CDK2,GO:0007049,biological_process,cell cycle,,142,138,4155,68821,4.0567607586211773e-97,4.056760758621177e-97,221.95036920795883,2,2,1,0
N,10,NAT2,GO:0098754,biological_process,detoxification,,43,32,125,73056,1.3027115639940717e-95,1.3027115639940716e-95,218.48113592380903,1,7,0,0
P,5563,PRKAA2,GO:0048102,biological_process,autophagic cell death,,49,214,45,72948,1.7871367043036243e-95,1.7871367043036243e-95,218.16496910185245,4,1,0,0
M,2956,MSH6,GO:0006298,biological_process,mismatch repair,,40,17,125,73074,1.0072906064450324e-94,1.0072906064450324e-94,216.43573458299625,6,2,1,1
C,54205,CYCS,GO:0005829,cellular_component,cytosol,,52,146,112,72946,3.0364473229102696e-94,3.0364473229102696e-94,215.3323105531983,2,1,0,1
R,6198,RPS6KB1,GO:0016310,biological_process,phosphorylation,,141,186,3619,69310,5.292571843631922e-92,5.292571843631922e-92,210.17152425690585,5,8,0,0
C,54205,CYCS,GO:0031966,cellular_component,mitochondrial membrane,,51,147,113,72945,6.934897751248058e-92,7.065744878630098e-92,209.8825701126539,4,2,0,0
C,1021,CDK6,GO:0007049,biological_process,cell cycle,,133,132,4164,68827,2.930502040681292e-90,2.930502040681292e-90,206.1574846161706,2,2,1,0
R,5932,RBBP8,GO:0032259,biological_process,methylation,,90,33,3719,69414,1.7183746153754928e-87,1.7183746153754928e-87,199.78352423750292,2,1,0,0
U,8408,ULK1,GO:0006914,biological_process,autophagy,,66,26,1631,71533,1.0927815590044514e-86,1.0927815590044512e-86,197.93359166279186,3,7,0,1
N,22795,NID2,GO:0032259,biological_process,methylation,,77,12,3732,69435,8.264659099694837e-86,8.264659099694837e-86,195.9103295133215,2,1,0,0
Z,6935,ZEB1,GO:0070888,molecular_function,E-box binding,,39,291,7,72919,1.5805580255775948e-85,1.5805580255775948e-85,195.26195493906334,8,1,0,0
H,3091,HIF1A,GO:0001525,biological_process,angiogenesis,,138,404,2105,70609,1.9660218734494758e-84,1.966021873449476e-84,192.74113566397233,3,5,0,0
R,5925,RB1,GO:0007049,biological_process,cell cycle,,170,324,4127,68635,5.8733778318759655e-83,5.8733778318759655e-83,189.34413281032522,2,2,1,0
P,142,PARP1,GO:0006281,biological_process,DNA repair,,85,263,829,72079,7.3735975186205e-83,7.3735975186205e-83,189.11665700133065,5,15,1,1
T,7040,TGFB1,GO:0040007,biological_process,growth,,399,477,12656,59724,1.0123838974810814e-80,1.0123838974810814e-80,184.1944995952546,1,10,1,0
C,1029,CDKN2A,GO:0032259,biological_process,methylation,,202,599,3607,68848,1.568169772525584e-80,1.5681697725255838e-80,183.75689825016218,2,1,0,0
A,8289,ARID1A,GO:0006338,biological_process,chromatin remodeling,,44,135,103,72974,2.025794795269097e-80,2.025794795269097e-80,183.5008453244789,5,6,1,1
B,672,BRCA1,GO:0006281,biological_process,DNA repair,,68,117,846,72225,3.004751430107607e-80,3.0047514301076067e-80,183.10661259372407,5,15,1,0
A,9474,ATG5,GO:0006914,biological_process,autophagy,,56,12,1641,71547,6.134725784433961e-80,6.134725784433961e-80,182.3928420592735,3,7,0,1
T,10460,TACC3,GO:0072686,cellular_component,mitotic spindle,,38,120,50,73048,4.117799670567939e-79,4.117799670567939e-79,180.48890338637105,6,1,1,0
G,2944,GSTM1,GO:0098754,biological_process,detoxification,,39,60,129,73028,4.749322120866715e-78,4.749322120866715e-78,178.04363535706975,1,7,1,0
G,2638,GC,GO:0005499,molecular_function,vitamin D binding,,21,6,1,73228,2.2992006640679376e-76,2.2992006640679376e-76,174.16390554237924,4,1,1,1
X,7508,XPC,GO:0006281,biological_process,DNA repair,,59,78,855,72264,9.159265275028225e-75,9.159265275028225e-75,170.47911600923416,5,15,1,1
V,7424,VEGFC,GO:0001946,biological_process,lymphangiogenesis,,39,159,68,72990,2.6618846666746058e-73,2.6618846666746058e-73,167.1096773953482,3,1,1,0
M,5595,MAPK3,GO:0023052,biological_process,signaling,,274,335,10418,62229,6.75152906013222e-73,6.810752999256187e-73,166.1702091019386,1,6,0,0
C,966,CD59,GO:0003094,biological_process,glomerular filtration,,28,19,61,73148,1.3665081511242914e-71,1.3665081511242914e-71,163.17128291124433,5,1,0,0
C,983,CDK1,GO:0007049,biological_process,cell cycle,,139,244,4158,68715,1.9819127826656425e-71,1.9819127826656425e-71,162.79947917234725,2,2,1,0
H,3082,HGF,GO:0040007,biological_process,growth,,209,132,12846,60069,1.9971521645890455e-71,1.9971521645890455e-71,162.79181935445698,1,10,0,0
I,3429,IFI27,GO:0007049,biological_process,cell cycle,,135,230,4162,68729,1.309317681648446e-70,1.309317681648446e-70,160.91145036176502,2,2,0,0
S,6714,SRC,GO:0016310,biological_process,phosphorylation,,133,265,3627,69231,2.7009659753617552e-70,2.7009659753617552e-70,160.18734703190435,5,8,0,0
C,891,CCNB1,GO:0007049,biological_process,cell cycle,,109,124,4188,68835,4.82928065540874e-70,4.82928065540874e-70,159.60625898563788,2,2,1,0
Z,79891,ZNF671,GO:0032259,biological_process,methylation,,70,24,3739,69423,3.030970020138813e-69,3.030970020138813e-69,157.76948870964165,2,1,0,0
G,2932,GSK3B,GO:0016310,biological_process,phosphorylation,,117,191,3643,69305,4.3853903253802465e-69,4.385390325380247e-69,157.40009278095678,5,8,0,0
E,4072,EPCAM,GO:0007155,biological_process,cell adhesion,,46,46,645,72519,4.117684611425062e-68,4.117684611425062e-68,155.16049530572604,2,7,0,0
M,4318,MMP9,GO:0031012,cellular_component,extracellular matrix,,76,722,349,72109,1.3568448228500474e-67,1.3568448228500474e-67,153.96803920938217,3,8,1,0
P,27253,PCDH17,GO:0032259,biological_process,methylation,,57,6,3752,69441,2.158866953215819e-66,2.1588669532158187e-66,151.20103261223636,2,1,0,0
A,308,ANXA5,GO:0008219,biological_process,cell death,,70,145,1318,71723,1.6880539129930106e-65,1.6880539129930106e-65,149.14445470997234,2,4,0,0
A,472,ATM,GO:0006281,biological_process,DNA repair,,66,209,848,72133,6.825016578991184e-64,6.825016578991184e-64,145.44485118139463,5,15,1,0
E,1978,EIF4EBP1,GO:0016310,biological_process,phosphorylation,,91,105,3669,69391,2.5641277336162217e-63,2.5641277336162217e-63,144.1212425027043,5,8,0,0
A,367,AR,GO:0023052,biological_process,signaling,,257,352,10435,62212,1.3562767100010681e-61,1.3562767100010681e-61,140.15294744051408,1,6,0,0
S,6774,STAT3,GO:0016310,biological_process,phosphorylation,,189,724,3571,68772,1.7938194624519047e-61,1.8102765217404545e-61,139.86421106458565,5,8,0,0
C,1029,CDKN2A,GO:0005694,cellular_component,chromosome,,115,686,1364,71091,1.9221460645649584e-61,1.9474374601513396e-61,139.79117628727727,5,6,0,0
C,999,CDH1,GO:0098609,biological_process,cell-cell adhesion,,50,949,68,72189,4.141005834421227e-61,4.141005834421227e-61,139.0367519591342,3,20,0,2
P,5111,PCNA,GO:0007049,biological_process,cell cycle,,112,178,4185,68781,4.2531211400727035e-61,4.2531211400727035e-61,139.01003757333038,2,2,1,0
