Letter,Gene_ID,Gene_Name,GO_ID,GO_Namespace,GO_Name,GOF,a,b,c,d,Pvalue,Adjusted_Pvalue,Enrichment_Score,GO_Level,GO_Children,GSEA_MSigDB,NCBI_Entrez
S,6774,STAT3,GO:0016310,biological_process,phosphorylation,,1318,5630,16741,307009,0.0,0.0,739.2036299585513,5,8,0,0
T,7040,TGFB1,GO:0023052,biological_process,signaling,,2375,3783,50845,273695,0.0,0.0,739.2036299585513,1,6,0,0
B,8678,BECN1,GO:0006914,biological_process,autophagy,,750,214,5758,323976,0.0,0.0,739.2036299585513,3,7,0,2
M,81631,MAP1LC3B,GO:0006914,biological_process,autophagy,,268,151,6240,324039,0.0,0.0,739.2036299585513,3,7,0,1
S,6774,STAT3,GO:0023052,biological_process,signaling,,3058,3890,50162,273588,0.0,0.0,739.2036299585513,1,6,0,0
S,8878,SQSTM1,GO:0006914,biological_process,autophagy,,409,269,6099,323921,0.0,0.0,739.2036299585513,3,7,0,1
I,3569,IL6,GO:0046903,biological_process,secretion,,664,2952,4370,322712,0.0,0.0,739.2036299585513,4,10,1,0
M,84557,MAP1LC3A,GO:0006914,biological_process,autophagy,,569,354,5939,323836,0.0,0.0,739.2036299585513,3,7,0,0
I,3458,IFNG,GO:0046903,biological_process,secretion,,450,1308,4584,324356,0.0,0.0,739.2036299585513,4,10,1,0
C,925,CD8A,GO:0007613,biological_process,memory,,543,1823,613,327719,0.0,0.0,739.2036299585513,3,4,0,0
V,7424,VEGFC,GO:0001946,biological_process,lymphangiogenesis,,383,856,895,328564,0.0,0.0,739.2036299585513,3,1,1,0
D,1612,DAPK1,GO:0032259,biological_process,methylation,,495,153,16757,313293,0.0,0.0,739.2036299585513,2,1,0,0
M,5594,MAPK1,GO:0023052,biological_process,signaling,,3763,3532,49457,273946,0.0,0.0,739.2036299585513,1,6,0,0
M,5594,MAPK1,GO:0016310,biological_process,phosphorylation,,2041,5254,16018,307385,0.0,0.0,739.2036299585513,5,8,0,0
E,4072,EPCAM,GO:0007155,biological_process,cell adhesion,,297,343,2768,327290,0.0,0.0,739.2036299585513,2,7,0,0
R,11186,RASSF1,GO:0032259,biological_process,methylation,,878,214,16374,313232,0.0,0.0,739.2036299585513,2,1,0,0
N,4790,NFKB1,GO:0023052,biological_process,signaling,,2570,3416,50650,274062,0.0,0.0,739.2036299585513,1,6,0,0
E,1950,EGF,GO:0040007,biological_process,growth,,2244,1972,62495,263987,0.0,0.0,739.2036299585513,1,10,0,0
E,1956,EGFR,GO:0032259,biological_process,methylation,,174,30703,17078,282743,0.0,0.0,739.2036299585513,2,1,0,0
P,5133,PDCD1,GO:0012501,biological_process,programmed cell death,,733,1175,1317,327473,0.0,0.0,739.2036299585513,3,10,0,0
C,1026,CDKN1A,GO:0007049,biological_process,cell cycle,,688,1018,14779,314213,0.0,0.0,739.2036299585513,2,2,1,0
C,595,CCND1,GO:0007049,biological_process,cell cycle,,1252,2235,14215,312996,0.0,0.0,739.2036299585513,2,2,1,0
V,7422,VEGFA,GO:0040007,biological_process,growth,,5840,3411,58899,262548,0.0,0.0,739.2036299585513,1,10,1,0
M,4436,MSH2,GO:0006298,biological_process,mismatch repair,,152,168,356,330022,0.0,0.0,739.2036299585513,6,2,1,1
C,1029,CDKN2A,GO:0032259,biological_process,methylation,,1992,3243,15260,310203,0.0,0.0,739.2036299585513,2,1,0,0
M,2475,MTOR,GO:0006914,biological_process,autophagy,,842,4903,5666,319287,0.0,0.0,739.2036299585513,3,7,0,0
P,5747,PTK2,GO:0005925,cellular_component,focal adhesion,,718,1715,786,327479,0.0,0.0,739.2036299585513,5,1,0,3
M,2475,MTOR,GO:0023052,biological_process,signaling,,3109,2636,50111,274842,0.0,0.0,739.2036299585513,1,6,0,0
M,4282,MIF,GO:1905517,biological_process,macrophage migration,,309,238,21,330130,0.0,0.0,739.2036299585513,4,2,1,0
P,5468,PPARG,GO:0005777,cellular_component,peroxisome,,196,240,167,330095,0.0,0.0,739.2036299585513,6,9,0,0
D,1769,DNAH8,GO:0016887,molecular_function,ATPase,,358,2,457,329881,0.0,0.0,739.2036299585513,1,16,0,0
E,2068,ERCC2,GO:0006281,biological_process,DNA repair,,204,81,3194,327219,0.0,0.0,739.2036299585513,5,15,1,0
M,4292,MLH1,GO:0006298,biological_process,mismatch repair,,176,460,332,329730,0.0,0.0,739.2036299585513,6,2,1,1
C,29126,CD274,GO:0012501,biological_process,programmed cell death,,847,2955,1203,325693,0.0,0.0,739.2036299585513,3,10,0,0
M,5595,MAPK3,GO:0023052,biological_process,signaling,,1417,1576,51803,275902,0.0,0.0,739.2036299585513,1,6,0,0
M,5595,MAPK3,GO:0016310,biological_process,phosphorylation,,1029,1964,17030,310675,0.0,0.0,739.2036299585513,5,8,0,1
T,7157,TP53,GO:0007049,biological_process,cell cycle,,2345,9131,13122,306100,0.0,0.0,739.2036299585513,2,2,1,0
E,1956,EGFR,GO:0040007,biological_process,growth,,18230,12647,46509,253312,0.0,0.0,739.2036299585513,1,10,1,0
