Letter,Gene_ID,Gene_Name,GO_ID,GO_Namespace,GO_Name,GOF,a,b,c,d,Pvalue,Adjusted_Pvalue,Enrichment_Score,GO_Level,GO_Children,GSEA_MSigDB,NCBI_Entrez
V,7422,VEGFA,GO:0040007,biological_process,growth,,1020,553,9549,40545,0.0,0.0,584.4316133983583,1,10,1,0
C,1499,CTNNB1,GO:0023052,biological_process,signaling,,1061,666,8674,41266,0.0,0.0,584.4316133983583,1,6,0,0
A,207,AKT1,GO:0023052,biological_process,signaling,,1704,1239,8031,40693,0.0,0.0,584.4316133983583,1,6,0,0
E,1956,EGFR,GO:0040007,biological_process,growth,,1358,913,9211,40185,0.0,0.0,584.4316133983583,1,10,1,0
V,7422,VEGFA,GO:0001525,biological_process,angiogenesis,,409,1164,1276,48818,1.513821782528858e-254,1.5295907594302001e-254,584.4316133983583,3,5,0,2
B,8678,BECN1,GO:0006914,biological_process,autophagy,,150,32,972,50513,2.8842537273468636e-219,2.8842537273468636e-219,503.20686917256097,3,7,0,2
A,207,AKT1,GO:0016310,biological_process,phosphorylation,,606,2337,1955,46769,4.318077372474793e-216,4.3391411645356455e-216,495.89070364653986,5,8,0,1
M,2475,MTOR,GO:0023052,biological_process,signaling,,698,550,9037,41382,2.370950887759493e-192,2.370950887759493e-192,441.23304676171244,1,6,0,0
C,29126,CD274,GO:0012501,biological_process,programmed cell death,,125,263,176,51103,5.420705897479149e-189,5.420705897479149e-189,433.4983565295162,3,10,0,0
E,4072,EPCAM,GO:0007155,biological_process,cell adhesion,,132,126,462,50947,1.1546777594381065e-187,1.1546777594381065e-187,430.43959108099693,2,7,0,0
M,84557,MAP1LC3A,GO:0006914,biological_process,autophagy,,140,62,982,50483,4.591517726537151e-185,4.591517726537151e-185,424.4540315751055,3,7,0,0
M,5594,MAPK1,GO:0016310,biological_process,phosphorylation,,398,1072,2163,48034,1.507393665772206e-182,1.507393665772206e-182,418.66010481458613,5,8,0,0
M,5594,MAPK1,GO:0023052,biological_process,signaling,,757,713,8978,41219,4.756097070803312e-180,4.807237899521627e-180,412.8951940610139,1,6,0,0
P,5133,PDCD1,GO:0012501,biological_process,programmed cell death,,102,99,199,51267,5.577737249801531e-178,5.577737249801531e-178,408.1413633695769,3,10,0,0
C,1029,CDKN2A,GO:0032259,biological_process,methylation,,160,165,1494,49848,7.420817362189679e-149,7.420817362189679e-149,341.080889648371,2,1,0,0
V,7424,VEGFC,GO:0001946,biological_process,lymphangiogenesis,,92,193,201,51181,4.213782308681068e-138,4.213782308681068e-138,316.3183821782002,3,1,1,0
P,5468,PPARG,GO:0005777,cellular_component,peroxisome,,66,59,111,51431,3.860499954834313e-133,3.860499954834313e-133,304.8930206711408,6,9,0,0
S,6774,STAT3,GO:0023052,biological_process,signaling,,568,543,9167,41389,1.598392239709023e-132,1.598392239709023e-132,303.47223400135056,1,6,0,0
M,4282,MIF,GO:1905517,biological_process,macrophage migration,,42,12,3,51610,7.708156120920772e-132,7.70815612092077e-132,301.8989532704663,4,2,1,0
P,5465,PPARA,GO:0005777,cellular_component,peroxisome,,66,65,111,51425,2.8839759210226805e-131,2.8839759210226805e-131,300.5794773119921,6,9,0,0
H,3082,HGF,GO:0040007,biological_process,growth,,275,72,10294,41026,8.667547779975259e-123,8.667547779975259e-123,281.0583805271618,1,10,0,0
S,8878,SQSTM1,GO:0006914,biological_process,autophagy,,77,16,1045,50529,1.7288201629222537e-112,1.7288201629222534e-112,257.3420912262323,3,7,0,1
C,1036,CDO1,GO:0032259,biological_process,methylation,,99,49,1555,49964,5.973103226217747e-111,5.973103226217747e-111,253.79967872659898,2,1,0,0
L,3897,L1CAM,GO:0007155,biological_process,cell adhesion,,80,84,514,50989,1.7066347391801926e-110,1.7066347391801926e-110,252.7498367866483,2,7,0,1
C,595,CCND1,GO:0007049,biological_process,cell cycle,,180,345,2078,49064,1.7275720489865665e-109,1.7275720489865665e-109,250.4350581534776,2,2,1,0
A,8289,ARID1A,GO:0000785,cellular_component,chromatin,,73,88,359,51147,1.7478432975382064e-108,1.7478432975382064e-108,248.12080741685938,2,5,1,1
P,5747,PTK2,GO:0005925,cellular_component,focal adhesion,,57,115,80,51415,2.4256458832184217e-107,2.4256458832184217e-107,245.49050711784136,5,1,0,3
E,2064,ERBB2,GO:0040007,biological_process,growth,,438,381,10131,40717,3.796133631664242e-98,3.796133631664242e-98,224.31935603000488,1,10,1,0
M,5595,MAPK3,GO:0016310,biological_process,phosphorylation,,188,425,2373,48681,5.504321022705111e-95,5.504321022705111e-95,217.04005041015802,5,8,0,1
T,7040,TGFB1,GO:0040007,biological_process,growth,,598,733,9971,40365,2.7481326804680025e-92,2.7481326804680025e-92,210.82690689970016,1,10,1,0
F,2263,FGFR2,GO:0040007,biological_process,growth,,332,226,10237,40872,4.8136864543926343e-91,4.8136864543926343e-91,207.96378025725156,1,10,1,0
N,4684,NCAM1,GO:0007155,biological_process,cell adhesion,,59,36,535,51037,2.724687996060013e-90,2.724687996060013e-90,206.23030444476288,2,7,0,0
C,801,CALM1,GO:0005488,molecular_function,binding,,108,40,3892,47627,2.7170191987358364e-86,2.7170191987358364e-86,197.02278260091637,1,52,0,0
T,7015,TERT,GO:0003720,molecular_function,telomerase activity,,42,98,48,51479,1.2550729674891847e-85,1.2550729674891847e-85,195.49253919217463,5,1,1,3
E,1977,EIF4E,GO:0006412,biological_process,translation,,52,60,290,51265,1.748130842485233e-83,1.748130842485233e-83,190.55601559139342,5,4,0,0
F,2191,FAP,GO:0072537,biological_process,fibroblast activation,,31,28,20,51588,2.735995867194545e-82,2.735995867194545e-82,187.8054821362809,3,1,0,0
A,9474,ATG5,GO:0006914,biological_process,autophagy,,58,16,1064,50529,3.815370744001123e-82,3.815370744001123e-82,187.47293978489387,3,7,0,1
A,8289,ARID1A,GO:0006338,biological_process,chromatin remodeling,,44,117,74,51432,3.657972530608596e-81,3.7311319812207685e-81,185.19268086468273,5,6,1,1
D,1612,DAPK1,GO:0032259,biological_process,methylation,,61,13,1593,50000,1.5819750521335179e-78,1.5819750521335179e-78,179.14296315414154,2,1,0,0
V,2277,VEGFD,GO:0001946,biological_process,lymphangiogenesis,,48,69,245,51305,3.518010620066114e-77,3.518010620066114e-77,176.04115649545125,3,1,0,0
H,3172,HNF4A,GO:0070365,biological_process,hepatocyte differentiation,,35,90,34,51508,7.400080924077675e-75,7.400080924077675e-75,170.69239103871692,5,1,1,0
M,4292,MLH1,GO:0006298,biological_process,mismatch repair,,41,69,126,51431,8.685612815985132e-75,8.685612815985131e-75,170.53221401707498,6,2,1,1
G,51280,GOLM1,GO:0000139,cellular_component,Golgi membrane,,21,7,0,51639,6.397312305718743e-74,6.397312305718742e-74,168.53541893162983,5,2,0,0
S,6774,STAT3,GO:0016310,biological_process,phosphorylation,,223,888,2338,48218,2.0317884380756705e-73,2.058175300907822e-73,167.3668919745538,5,8,0,0
C,1019,CDK4,GO:0007049,biological_process,cell cycle,,86,73,2172,49336,3.08169535185796e-73,3.08169535185796e-73,166.96323190410087,2,2,1,0
P,27250,PDCD4,GO:0012501,biological_process,programmed cell death,,39,25,262,51341,1.9339346325799107e-71,1.9339346325799107e-71,162.82398500519702,3,10,0,0
B,672,BRCA1,GO:0006281,biological_process,DNA repair,,47,62,339,51219,7.321129304045426e-71,7.321129304045426e-71,161.49277700999448,5,15,1,0
S,6469,SHH,GO:0023052,biological_process,signaling,,163,60,9572,41872,1.64460347915891e-69,1.64460347915891e-69,158.3808721075321,1,6,0,0
I,3479,IGF1,GO:0040007,biological_process,growth,,156,43,10413,41055,6.977266955855368e-69,6.977266955855368e-69,156.93571413009437,1,10,1,0
P,29108,PYCARD,GO:0032259,biological_process,methylation,,57,20,1597,49993,1.9617939213418306e-68,1.9617939213418306e-68,155.90192700296248,2,1,0,0
A,174,AFP,GO:0042603,cellular_component,capsule,,39,146,76,51406,3.357203524243656e-67,3.357203524243656e-67,153.06209288761823,4,1,0,0
D,1769,DNAH8,GO:0016887,molecular_function,ATPase,,24,0,77,51566,4.98438302952421e-67,4.98438302952421e-67,152.66689160023816,1,16,0,0
I,3630,INS,GO:0030073,biological_process,insulin secretion,,32,220,12,51403,2.728033984692197e-65,2.7280339846921974e-65,148.66444984697762,5,1,0,0
C,1026,CDKN1A,GO:0007049,biological_process,cell cycle,,88,111,2170,49298,4.816143604543229e-65,4.816143604543229e-65,148.09605751883188,2,2,1,0
M,4582,MUC1,GO:0016020,cellular_component,membrane,,92,218,1442,49915,1.626142385889499e-64,1.626142385889499e-64,146.87923537612946,2,16,0,0
O,4978,OPCML,GO:0032259,biological_process,methylation,,53,20,1601,49993,6.203774119643739e-63,6.20377411964374e-63,143.23770302279937,2,1,0,0
D,56616,DIABLO,GO:0008219,biological_process,cell death,,53,52,926,50636,1.567902187902695e-62,1.5679021879026949e-62,142.31053722581242,2,4,0,0
M,4318,MMP9,GO:0031012,cellular_component,extracellular matrix,,61,428,239,50939,3.62595894197894e-62,3.62595894197894e-62,141.47215697658928,3,8,1,0
P,5100,PCDH8,GO:0032259,biological_process,methylation,,45,5,1609,50008,5.5508030119768065e-62,5.5508030119768065e-62,141.04633316149597,2,1,0,0
P,55193,PBRM1,GO:0000785,cellular_component,chromatin,,41,51,391,51184,1.527055875616519e-60,1.527055875616519e-60,137.73176396231636,2,5,1,0
S,2030,SLC29A1,GO:0036272,biological_process,response to gemcitabine,,24,32,26,51585,2.4827284911156339e-60,2.4827284911156339e-60,137.24574742620968,4,1,0,0
M,5595,MAPK3,GO:0023052,biological_process,signaling,,293,320,9442,41612,4.2354676179041317e-60,4.3185160025689183e-60,136.69219375432638,1,6,0,0
P,55193,PBRM1,GO:0006338,biological_process,chromatin remodeling,,31,61,87,51488,4.6998504809164545e-60,4.8878445001531127e-60,136.56835417085045,5,6,1,1
F,2244,FGB,GO:0050817,biological_process,coagulation,,29,34,101,51503,1.0213585692603965e-59,1.0213585692603965e-59,135.83138681493784,2,2,1,0
N,23636,NUP62,GO:0006914,biological_process,autophagy,,46,24,1076,50521,2.65880334031883e-59,2.65880334031883e-59,134.87464433713848,3,7,0,0
B,8314,BAP1,GO:0000785,cellular_component,chromatin,,55,216,377,51019,4.495713024167718e-59,4.495713024167718e-59,134.34939620523866,2,5,0,0
N,4851,NOTCH1,GO:0007219,biological_process,Notch signaling pathway,,34,284,31,51318,3.179869541373453e-58,3.179869541373453e-58,132.39309522242942,4,8,1,1
