Letter,Gene_ID,Gene_Name,GO_ID,GO_Namespace,GO_Name,GOF,a,b,c,d,Pvalue,Adjusted_Pvalue,Enrichment_Score,GO_Level,GO_Children,GSEA_MSigDB,NCBI_Entrez
D,1612,DAPK1,GO:0032259,biological_process,methylation,,250,22,1380,37578,1.04e-322,1.04e-322,741.3955494836579,2,1,0,0
N,4790,NFKB1,GO:0023052,biological_process,signaling,,1184,973,6840,30233,1.182893346373751e-290,1.182893346373751e-290,667.581713542562,1,6,0,0
V,7422,VEGFA,GO:0040007,biological_process,growth,,295,146,3092,35697,7.99177824631229e-205,7.99177824631229e-205,469.951530769776,1,10,1,0
M,4255,MGMT,GO:0032259,biological_process,methylation,,172,39,1458,37561,3.653283289747447e-200,3.653283289747447e-200,459.221392304113,2,1,1,0
A,207,AKT1,GO:0023052,biological_process,signaling,,827,682,7197,30524,1.632902348373418e-198,1.6329023483734181e-198,455.4214893995348,1,6,0,0
C,29126,CD274,GO:0012501,biological_process,programmed cell death,,155,512,160,38403,9.04142617379497e-191,9.04142617379497e-191,437.5919358373139,3,10,0,0
D,1649,DDIT3,GO:0010467,biological_process,gene expression,,307,286,2721,35916,7.577696302639787e-181,7.577696302639787e-181,414.7426925963179,4,4,0,0
C,961,CD47,GO:0006909,biological_process,phagocytosis,,88,42,109,38991,9.754531884859578e-179,9.754531884859578e-179,409.88499966021095,3,1,1,0
E,1977,EIF4E,GO:0006412,biological_process,translation,,130,147,469,38484,3.0892002197064024e-162,3.0892002197064024e-162,371.8908728362016,5,4,0,0
A,10058,ABCB6,GO:0010467,biological_process,gene expression,,550,1563,2478,34639,2.3442307274272767e-155,2.3442307274272767e-155,356.04873211400377,4,4,0,0
X,7514,XPO1,GO:0051168,biological_process,nuclear export,,69,64,34,39063,2.533793061561351e-153,2.533793061561351e-153,351.36580181425984,6,4,1,0
P,5133,PDCD1,GO:0012501,biological_process,programmed cell death,,114,311,201,38604,1.9469498758974905e-144,1.9469498758974905e-144,330.9059894093584,3,10,0,0
P,639,PRDM1,GO:0002317,biological_process,plasma cell differentiation,,104,331,149,38646,2.9523110234065885e-137,2.9523110234065885e-137,314.37156947876343,7,1,0,0
M,4615,MYD88,GO:0023052,biological_process,signaling,,390,188,7634,31018,7.857144872693507e-134,7.857144872693507e-134,306.4849791685004,1,6,0,0
A,207,AKT1,GO:0016310,biological_process,phosphorylation,,368,1141,2004,35717,1.4232191532620935e-125,1.4325212392311267e-125,287.46370062807046,5,8,0,1
T,7157,TP53,GO:0007049,biological_process,cell cycle,,268,831,1477,36654,1.748189382313231e-122,1.748189382313231e-122,280.3568007316244,2,2,1,0
T,608,TNFRSF17,GO:0048469,biological_process,cell maturation,,50,13,76,39091,2.7637948989477e-117,2.7637948989477e-117,268.38585118158403,3,11,0,0
P,9260,PDLIM7,GO:0016020,cellular_component,membrane,,123,156,993,37958,9.682247284093018e-114,9.682247284093018e-114,260.2244065695295,2,16,0,0
A,268,AMH,GO:0005694,cellular_component,chromosome,,74,1,1070,38085,1.7410583034136035e-113,1.7410583034136035e-113,259.6376223596391,5,6,0,0
C,925,CD8A,GO:0007613,biological_process,memory,,100,251,334,38545,7.756141636762146e-113,7.756141636762146e-113,258.14363050954023,3,4,0,0
B,695,BTK,GO:0023052,biological_process,signaling,,375,259,7649,30947,3.3019918917975198e-102,3.3019918917975198e-102,233.66915359544058,1,6,0,0
V,7422,VEGFA,GO:0001525,biological_process,angiogenesis,,101,340,355,38434,6.651194361372003e-101,6.798998680513604e-101,230.64431904392498,3,5,0,2
S,6774,STAT3,GO:0023052,biological_process,signaling,,572,680,7452,30526,1.593498809697053e-92,1.593498809697053e-92,211.37189644755117,1,6,0,0
M,2475,MTOR,GO:0023052,biological_process,signaling,,415,378,7609,30828,1.2081248834351797e-89,1.2081248834351796e-89,204.74100380197368,1,6,0,0
G,2629,GBA,GO:0010467,biological_process,gene expression,,197,309,2831,35893,3.9174230851886307e-87,3.9174230851886307e-87,198.9594690290735,4,4,0,0
M,5594,MAPK1,GO:0016310,biological_process,phosphorylation,,183,368,2189,36490,3.3818293286326356e-85,3.3818293286326356e-85,194.50131611991753,5,8,0,0
C,84433,CARD11,GO:0023052,biological_process,signaling,,315,229,7709,30977,1.3263445759992313e-82,1.3263445759992313e-82,188.52955090626995,1,6,0,0
M,84557,MAP1LC3A,GO:0006914,biological_process,autophagy,,50,17,445,38718,2.486167826175977e-81,2.486167826175977e-81,185.5986500331897,3,7,0,0
I,3586,IL10,GO:0046903,biological_process,secretion,,84,272,419,38455,6.685441535446152e-81,6.685441535446152e-81,184.60946027546186,4,10,1,0
S,6850,SYK,GO:0023052,biological_process,signaling,,275,174,7749,31032,7.294218590231605e-80,7.294218590231605e-80,182.21972537908724,1,6,0,0
M,4609,MYC,GO:0051325,biological_process,interphase,,94,1670,89,37377,3.0453630285852017e-76,3.0453630285852017e-76,173.88284695228165,3,2,0,0
N,4882,NPR2,GO:0010467,biological_process,gene expression,,179,305,2849,35897,5.883532416093559e-75,5.883532416093559e-75,170.92172464198524,4,4,0,0
