Letter,Gene_ID,Gene_Name,GO_ID,GO_Namespace,GO_Name,GOF,a,b,c,d,Pvalue,Adjusted_Pvalue,Enrichment_Score,GO_Level,GO_Children,GSEA_MSigDB,NCBI_Entrez
V,7422,VEGFA,GO:0040007,biological_process,growth,,1767,953,16538,85899,0.0,0.0,643.924964113074,1,10,1,0
M,5594,MAPK1,GO:0023052,biological_process,signaling,,1241,974,16297,86645,0.0,0.0,643.924964113074,1,6,0,0
E,2064,ERBB2,GO:0040007,biological_process,growth,,1208,1068,17097,85784,0.0,0.0,643.924964113074,1,10,1,0
D,1769,DNAH8,GO:0016887,molecular_function,ATPase,,281,1,245,104630,0.0,0.0,643.924964113074,1,16,0,0
C,1029,CDKN2A,GO:0032259,biological_process,methylation,,664,772,6078,97643,0.0,0.0,643.924964113074,2,1,0,0
M,2475,MTOR,GO:0023052,biological_process,signaling,,1062,854,16476,86765,0.0,0.0,643.924964113074,1,6,0,0
A,207,AKT1,GO:0023052,biological_process,signaling,,2967,2064,14571,85555,0.0,0.0,643.924964113074,1,6,0,0
A,207,AKT1,GO:0016310,biological_process,phosphorylation,,1016,4015,4003,96123,0.0,0.0,643.924964113074,5,8,0,1
B,8678,BECN1,GO:0006914,biological_process,autophagy,,235,63,1959,102900,0.0,0.0,643.924964113074,3,7,0,2
C,1499,CTNNB1,GO:0023052,biological_process,signaling,,1749,975,15789,86644,0.0,0.0,643.924964113074,1,6,0,0
V,7422,VEGFA,GO:0001525,biological_process,angiogenesis,,679,2041,2225,100212,0.0,0.0,643.924964113074,3,5,0,2
E,1956,EGFR,GO:0040007,biological_process,growth,,2799,2111,15506,84741,0.0,0.0,643.924964113074,1,10,1,0
P,5468,PPARG,GO:0005777,cellular_component,peroxisome,,128,153,95,104781,2.223009537305588e-280,2.223009537305588e-280,643.924964113074,6,9,0,0
M,84557,MAP1LC3A,GO:0006914,biological_process,autophagy,,217,114,1977,102849,7.885208869681889e-280,7.885208869681889e-280,642.6588373287718,3,7,0,0
C,595,CCND1,GO:0007049,biological_process,cell cycle,,501,868,5348,98440,2.116079885296918e-269,2.116079885296918e-269,618.645824749139,2,2,1,0
N,4790,NFKB1,GO:0023052,biological_process,signaling,,983,976,16555,86643,3.22314488617432e-261,3.22314488617432e-261,599.8043517157992,1,6,0,0
S,6774,STAT3,GO:0023052,biological_process,signaling,,1010,1043,16528,86576,1.3850049018082262e-259,1.3850049018082262e-259,596.0438354066131,1,6,0,0
P,5133,PDCD1,GO:0012501,biological_process,programmed cell death,,160,294,374,104329,3.099316438416383e-253,3.099316438416383e-253,581.4228469440536,3,10,0,0
C,29126,CD274,GO:0012501,biological_process,programmed cell death,,190,745,344,103878,7.49988499659771e-251,7.49988499659771e-251,575.9339706548677,3,10,0,0
F,2191,FAP,GO:0072537,biological_process,fibroblast activation,,90,55,29,104983,2.9807567163148647e-246,2.9807567163148647e-246,565.3437556766038,3,1,0,0
