Letter,Gene_ID,Gene_Name,GO_ID,GO_Namespace,GO_Name,GOF,a,b,c,d,Pvalue,Adjusted_Pvalue,Enrichment_Score,GO_Level,GO_Children,GSEA_MSigDB,NCBI_Entrez
A,207,AKT1,GO:0023052,biological_process,signaling,,7231,7313,39799,226360,0.0,0.0,743.3414596327132,1,6,0,0
M,5595,MAPK3,GO:0016310,biological_process,phosphorylation,,929,1607,17729,260438,0.0,0.0,743.3414596327132,5,8,0,1
P,5747,PTK2,GO:0005925,cellular_component,focal adhesion,,756,1461,767,277719,0.0,0.0,743.3414596327132,5,1,0,3
C,1499,CTNNB1,GO:0023052,biological_process,signaling,,2496,1860,44534,231813,0.0,0.0,743.3414596327132,1,6,0,0
M,4255,MGMT,GO:0016458,biological_process,gene silencing,,973,16656,690,262384,0.0,0.0,743.3414596327132,2,3,0,0
D,1769,DNAH8,GO:0016887,molecular_function,ATPase,,431,1,503,279768,0.0,0.0,743.3414596327132,1,16,0,0
V,7422,VEGFA,GO:0001525,biological_process,angiogenesis,,2910,6687,7783,263323,0.0,0.0,743.3414596327132,3,5,0,2
M,4255,MGMT,GO:0006281,biological_process,DNA repair,,1086,16543,2131,260943,0.0,0.0,743.3414596327132,5,15,1,1
V,7422,VEGFA,GO:0040007,biological_process,growth,,5372,4225,44125,226981,0.0,0.0,743.3414596327132,1,10,1,0
P,5468,PPARG,GO:0005777,cellular_component,peroxisome,,215,228,203,280057,0.0,0.0,743.3414596327132,6,9,0,0
M,56339,METTL3,GO:0001510,biological_process,RNA methylation,,185,561,26,279931,0.0,0.0,743.3414596327132,4,8,1,1
M,4255,MGMT,GO:0032259,biological_process,methylation,,13959,3670,5599,257475,0.0,0.0,743.3414596327132,2,1,1,0
A,9474,ATG5,GO:0006914,biological_process,autophagy,,361,198,8467,271677,0.0,0.0,743.3414596327132,3,7,0,1
M,4255,MGMT,GO:0016310,biological_process,phosphorylation,,40,17589,18618,244456,0.0,0.0,743.3414596327132,5,8,0,0
E,1956,EGFR,GO:0040007,biological_process,growth,,10221,9470,39276,221736,0.0,0.0,743.3414596327132,1,10,1,0
M,4255,MGMT,GO:0005488,molecular_function,binding,,197,17432,21575,241499,0.0,0.0,743.3414596327132,1,52,0,0
M,4255,MGMT,GO:0040007,biological_process,growth,,306,17323,49191,213883,0.0,0.0,743.3414596327132,1,10,0,0
P,5133,PDCD1,GO:0012501,biological_process,programmed cell death,,216,508,583,279396,0.0,0.0,743.3414596327132,3,10,0,0
M,4255,MGMT,GO:0023052,biological_process,signaling,,283,17346,46747,216327,0.0,0.0,743.3414596327132,1,6,0,0
M,4282,MIF,GO:1905517,biological_process,macrophage migration,,317,237,61,280088,0.0,0.0,743.3414596327132,4,2,1,0
I,3417,IDH1,GO:0032259,biological_process,methylation,,2563,3100,16995,258045,0.0,0.0,743.3414596327132,2,1,0,0
E,1950,EGF,GO:0040007,biological_process,growth,,2324,1557,47173,229649,0.0,0.0,743.3414596327132,1,10,0,0
M,4436,MSH2,GO:0006298,biological_process,mismatch repair,,183,87,626,279807,0.0,0.0,743.3414596327132,6,2,1,1
N,4790,NFKB1,GO:0023052,biological_process,signaling,,1965,2537,45065,231136,0.0,0.0,743.3414596327132,1,6,0,0
S,6774,STAT3,GO:0016310,biological_process,phosphorylation,,1432,5120,17226,256925,0.0,0.0,743.3414596327132,5,8,0,0
S,6774,STAT3,GO:0023052,biological_process,signaling,,2781,3771,44249,229902,0.0,0.0,743.3414596327132,1,6,0,0
S,8878,SQSTM1,GO:0006914,biological_process,autophagy,,393,231,8435,271644,0.0,0.0,743.3414596327132,3,7,0,1
M,2475,MTOR,GO:0023052,biological_process,signaling,,3132,3298,43898,230375,0.0,0.0,743.3414596327132,1,6,0,0
B,8678,BECN1,GO:0006914,biological_process,autophagy,,868,304,7960,271571,0.0,0.0,743.3414596327132,3,7,0,2
G,2720,GLB1,GO:0004565,molecular_function,beta-galactosidase activity,,103,82,6,280512,0.0,0.0,743.3414596327132,6,1,0,1
C,925,CD8A,GO:0007613,biological_process,memory,,408,966,496,278833,0.0,0.0,743.3414596327132,3,4,0,0
M,2475,MTOR,GO:0006914,biological_process,autophagy,,1193,5237,7635,266638,0.0,0.0,743.3414596327132,3,7,0,0
M,2956,MSH6,GO:0006298,biological_process,mismatch repair,,250,179,559,279715,0.0,0.0,743.3414596327132,6,2,1,1
M,5594,MAPK1,GO:0023052,biological_process,signaling,,2863,3230,44167,230443,0.0,0.0,743.3414596327132,1,6,0,0
M,5594,MAPK1,GO:0016310,biological_process,phosphorylation,,1809,4284,16849,257761,0.0,0.0,743.3414596327132,5,8,0,0
T,7015,TERT,GO:0003720,molecular_function,telomerase activity,,212,1216,224,279051,0.0,0.0,743.3414596327132,5,1,1,3
M,81631,MAP1LC3B,GO:0006914,biological_process,autophagy,,310,173,8518,271702,0.0,0.0,743.3414596327132,3,7,0,1
F,2247,FGF2,GO:0040007,biological_process,growth,,1015,440,48482,230766,0.0,0.0,743.3414596327132,1,10,1,0
M,84557,MAP1LC3A,GO:0006914,biological_process,autophagy,,725,414,8103,271461,0.0,0.0,743.3414596327132,3,7,0,0
T,7157,TP53,GO:0007049,biological_process,cell cycle,,1248,7100,9335,263020,0.0,0.0,743.3414596327132,2,2,1,0
A,207,AKT1,GO:0032259,biological_process,methylation,,88,14456,19470,246689,0.0,0.0,743.3414596327132,2,1,0,0
A,207,AKT1,GO:0016310,biological_process,phosphorylation,,3544,11000,15114,251045,0.0,0.0,743.3414596327132,5,8,0,1
C,595,CCND1,GO:0007049,biological_process,cell cycle,,563,857,10020,269263,0.0,0.0,743.3414596327132,2,2,1,0
G,2697,GJA1,GO:0005921,cellular_component,gap junction,,209,539,112,279843,0.0,0.0,743.3414596327132,5,1,1,3
M,4292,MLH1,GO:0006298,biological_process,mismatch repair,,157,126,652,279768,1.5e-323,1.5e-323,743.3414596327132,6,2,1,1
F,2191,FAP,GO:0072537,biological_process,fibroblast activation,,100,64,19,280520,1.93027e-319,1.93027e-319,733.8669873287455,3,1,0,0
C,920,CD4,GO:0007613,biological_process,memory,,192,562,712,279237,5.498884194670301e-305,5.498884194670301e-305,700.5839081652234,3,4,0,0
T,7040,TGFB1,GO:0023052,biological_process,signaling,,1674,2374,45356,231299,8.89618869258113e-304,8.89618869258113e-304,697.80024532196,1,6,0,0
C,54205,CYCS,GO:0005829,cellular_component,cytosol,,193,634,697,279179,8.879707635374867e-300,8.879707635374867e-300,688.5917592656959,2,1,0,1
