Letter,Gene_ID,Gene_Name,GO_ID,GO_Namespace,GO_Name,GOF,a,b,c,d,Pvalue,Adjusted_Pvalue,Enrichment_Score,GO_Level,GO_Children,GSEA_MSigDB,NCBI_Entrez
C,925,CD8A,GO:0007613,biological_process,memory,,288,1043,323,121770,0.0,0.0,677.0790322123045,3,4,0,0
P,5133,PDCD1,GO:0012501,biological_process,programmed cell death,,337,609,428,122050,0.0,0.0,677.0790322123045,3,10,0,0
E,1956,EGFR,GO:0040007,biological_process,growth,,8938,7482,16598,90406,0.0,0.0,677.0790322123045,1,10,1,0
A,207,AKT1,GO:0023052,biological_process,signaling,,3340,2886,18320,98878,0.0,0.0,677.0790322123045,1,6,0,0
M,4282,MIF,GO:1905517,biological_process,macrophage migration,,177,161,5,123081,0.0,0.0,677.0790322123045,4,2,1,0
C,1029,CDKN2A,GO:0032259,biological_process,methylation,,693,1541,5775,115415,0.0,0.0,677.0790322123045,2,1,0,0
P,5747,PTK2,GO:0005925,cellular_component,focal adhesion,,248,566,327,122283,0.0,0.0,677.0790322123045,5,1,0,3
M,2475,MTOR,GO:0023052,biological_process,signaling,,1377,1207,20283,100557,0.0,0.0,677.0790322123045,1,6,0,0
T,7157,TP53,GO:0007049,biological_process,cell cycle,,979,3915,4326,114204,0.0,0.0,677.0790322123045,2,2,1,0
V,7422,VEGFA,GO:0001525,biological_process,angiogenesis,,901,2434,2929,117160,0.0,0.0,677.0790322123045,3,5,0,2
B,8678,BECN1,GO:0006914,biological_process,autophagy,,260,73,2121,120970,0.0,0.0,677.0790322123045,3,7,0,2
V,7422,VEGFA,GO:0040007,biological_process,growth,,1982,1353,23554,96535,0.0,0.0,677.0790322123045,1,10,1,0
M,5594,MAPK1,GO:0023052,biological_process,signaling,,1369,1365,20291,100399,0.0,0.0,677.0790322123045,1,6,0,0
M,5594,MAPK1,GO:0016310,biological_process,phosphorylation,,853,1881,7121,113569,0.0,0.0,677.0790322123045,5,8,0,0
A,207,AKT1,GO:0016310,biological_process,phosphorylation,,1619,4607,6355,110843,0.0,0.0,677.0790322123045,5,8,0,1
C,1499,CTNNB1,GO:0023052,biological_process,signaling,,1127,924,20533,100840,0.0,0.0,677.0790322123045,1,6,0,0
C,29126,CD274,GO:0012501,biological_process,programmed cell death,,270,1520,495,121139,8.877945973336617e-295,8.877945973336617e-295,677.0790322123045,3,10,0,0
X,7515,XRCC1,GO:0006281,biological_process,DNA repair,,172,34,1379,121839,4.1802109767462424e-293,4.1802109767462424e-293,673.2270705290866,5,15,1,0
S,6774,STAT3,GO:0023052,biological_process,signaling,,1510,1920,20150,99844,4.338109772109943e-293,4.338109772109943e-293,673.1899935303968,1,6,0,0
C,595,CCND1,GO:0007049,biological_process,cell cycle,,462,833,4843,117286,1.6179603646557303e-290,1.6179603646557303e-290,667.2685106464415,2,2,1,0
E,1956,EGFR,GO:0032259,biological_process,methylation,,102,16318,6366,100638,3.215927057869084e-267,3.227793947381516e-267,613.6184209139452,2,1,0,0
M,84557,MAP1LC3A,GO:0006914,biological_process,autophagy,,196,103,2185,120940,8.378369244428561e-259,8.378369244428561e-259,594.2438857908046,3,7,0,0
C,920,CD4,GO:0007613,biological_process,memory,,172,414,439,122399,7.795570310947866e-257,7.795570310947866e-257,589.7108132359483,3,4,0,0
I,3569,IL6,GO:0046903,biological_process,secretion,,350,1485,1881,119708,2.4095774896733977e-246,2.4095774896733977e-246,565.5564814598904,4,10,1,0
M,4255,MGMT,GO:0032259,biological_process,methylation,,239,85,6229,116871,7.393697117472113e-231,7.393697117472113e-231,529.8965285852339,2,1,1,0
M,5595,MAPK3,GO:0016310,biological_process,phosphorylation,,447,754,7527,114696,9.930248670456474e-216,9.930248670456474e-216,495.0627945666283,5,8,0,1
S,8878,SQSTM1,GO:0006914,biological_process,autophagy,,170,132,2211,120911,2.399065609040466e-207,2.3990656090404657e-207,475.76003491778846,3,7,0,1
C,8900,CCNA1,GO:0032259,biological_process,methylation,,197,44,6271,116912,1.1161108590068703e-206,1.1161108590068705e-206,474.22267896172013,2,1,0,0
R,11186,RASSF1,GO:0032259,biological_process,methylation,,200,53,6268,116903,3.839099019102864e-204,3.839099019102864e-204,468.3821212621577,2,1,0,0
R,5925,RB1,GO:0007049,biological_process,cell cycle,,252,265,5053,117854,2.3375229983673173e-198,2.3375229983673173e-198,455.062756591815,2,2,1,0
D,1612,DAPK1,GO:0032259,biological_process,methylation,,188,47,6280,116909,8.567866491561383e-194,8.567866491561383e-194,444.5534892900382,2,1,0,0
