Letter,Gene_ID,Gene_Name,GO_ID,GO_Namespace,GO_Name,GOF,a,b,c,d,Pvalue,Adjusted_Pvalue,Enrichment_Score,GO_Level,GO_Children,GSEA_MSigDB,NCBI_Entrez
V,7422,VEGFA,GO:0040007,biological_process,growth,,113,38,422,2743,2.0797936093065585e-61,2.0797936093065585e-61,139.72542201014173,1,10,1,0
G,2688,GH1,GO:0040007,biological_process,growth,,91,19,444,2762,4.8953726954738345e-56,4.8953726954738345e-56,127.35647479658982,1,10,1,0
C,925,CD8A,GO:0007613,biological_process,memory,,22,6,11,3277,3.034094466353981e-43,3.034094466353981e-43,97.90124598239133,3,4,0,0
O,55074,OXR1,GO:0032259,biological_process,methylation,,35,0,220,3061,1.0548135972636335e-40,1.0548135972636335e-40,92.05003965350261,2,1,0,0
K,9817,KEAP1,GO:0032259,biological_process,methylation,,38,15,217,3046,7.20506249984082e-32,7.20506249984082e-32,71.70793907188612,2,1,0,0
L,3920,LAMP2,GO:0070085,biological_process,glycosylation,,14,18,1,3283,3.243678823619662e-29,3.243678823619662e-29,65.59825957175808,2,4,0,0
M,2475,MTOR,GO:0023052,biological_process,signaling,,72,89,307,2848,2.630985823077231e-28,2.630985823077231e-28,63.50502399020574,1,6,0,0
M,4311,MME,GO:0016020,cellular_component,membrane,,28,10,169,3109,1.9759134883899525e-27,1.9759134883899525e-27,61.48876669365116,2,16,0,0
V,7431,VIM,GO:0016020,cellular_component,membrane,,33,24,164,3095,5.3629517955668476e-27,5.3629517955668476e-27,60.49028297921245,2,16,0,0
H,3205,HOXA9,GO:0032259,biological_process,methylation,,22,0,233,3061,1.3053187729114227e-25,1.3053187729114227e-25,57.29818004347544,2,1,0,0
K,3855,KRT7,GO:0016020,cellular_component,membrane,,32,26,165,3093,2.825695884225712e-25,2.825695884225712e-25,56.525872659887796,2,16,0,0
E,4072,EPCAM,GO:0007155,biological_process,cell adhesion,,14,3,30,3269,3.5130261336935632e-25,3.5130261336935632e-25,56.308149512456616,2,7,0,0
P,55193,PBRM1,GO:0016514,cellular_component,SWI/SNF complex,,15,39,4,3258,6.719161154029105e-25,6.719161154029105e-25,55.65966400637726,4,1,0,0
G,9535,GMFG,GO:0006955,biological_process,immune response,,15,26,11,3264,9.459659403540427e-24,9.459659403540427e-24,53.01500585329554,2,9,0,0
P,5443,POMC,GO:0046903,biological_process,secretion,,18,17,63,3218,4.3323036758921686e-21,4.3323036758921686e-21,46.88818752557169,4,10,1,0
Z,6935,ZEB1,GO:0070888,molecular_function,E-box binding,,9,7,2,3298,4.743331594782192e-21,4.743331594782192e-21,46.797547195966565,8,1,0,0
M,4486,MST1R,GO:0032259,biological_process,methylation,,19,1,236,3060,6.71317197895974e-21,6.71317197895974e-21,46.450215389453156,2,1,0,0
P,5617,PRL,GO:0046903,biological_process,secretion,,24,64,57,3171,3.9746101029264174e-20,3.9746101029264174e-20,44.6717752038996,4,10,1,0
P,5617,PRL,GO:0070459,biological_process,prolactin secretion,,12,76,0,3228,5.677507078253095e-20,6.193644085367013e-20,44.22817824117443,5,1,0,0
