Letter,Gene_ID,Gene_Name,GO_ID,GO_Namespace,GO_Name,GOF,a,b,c,d,Pvalue,Adjusted_Pvalue,Enrichment_Score,GO_Level,GO_Children,GSEA_MSigDB,NCBI_Entrez
E,1956,EGFR,GO:0040007,biological_process,growth,,1420,1206,23163,100064,0.0,0.0,719.369731979072,1,10,1,0
A,207,AKT1,GO:0023052,biological_process,signaling,,3285,2915,16006,103647,0.0,0.0,719.369731979072,1,6,0,0
P,55193,PBRM1,GO:0016514,cellular_component,SWI/SNF complex,,229,928,69,124627,0.0,0.0,719.369731979072,4,1,0,0
M,5594,MAPK1,GO:0023052,biological_process,signaling,,1233,1145,18058,105417,0.0,0.0,719.369731979072,1,6,0,0
C,920,CD4,GO:0007613,biological_process,memory,,243,296,450,124864,0.0,0.0,719.369731979072,3,4,0,0
C,925,CD8A,GO:0007613,biological_process,memory,,367,828,326,124332,0.0,0.0,719.369731979072,3,4,0,0
R,11186,RASSF1,GO:0032259,biological_process,methylation,,383,92,4835,120543,0.0,0.0,719.369731979072,2,1,0,0
K,3791,KDR,GO:0040007,biological_process,growth,,1503,976,23080,100294,0.0,0.0,719.369731979072,1,10,0,0
V,7422,VEGFA,GO:0040007,biological_process,growth,,7748,3351,16835,97919,0.0,0.0,719.369731979072,1,10,1,0
V,7422,VEGFA,GO:0001525,biological_process,angiogenesis,,2172,8927,4287,110467,0.0,0.0,719.369731979072,3,5,0,2
P,5133,PDCD1,GO:0012501,biological_process,programmed cell death,,438,811,388,124216,0.0,0.0,719.369731979072,3,10,0,0
C,29126,CD274,GO:0012501,biological_process,programmed cell death,,290,1388,536,123639,0.0,0.0,719.369731979072,3,10,0,0
C,966,CD59,GO:0003094,biological_process,glomerular filtration,,139,17,227,125470,0.0,0.0,719.369731979072,5,1,0,0
A,207,AKT1,GO:0016310,biological_process,phosphorylation,,1496,4704,4936,114717,0.0,0.0,719.369731979072,5,8,0,1
M,2475,MTOR,GO:0023052,biological_process,signaling,,2494,3453,16797,103109,0.0,0.0,719.369731979072,1,6,0,0
C,1499,CTNNB1,GO:0023052,biological_process,signaling,,1178,686,18113,105876,0.0,0.0,719.369731979072,1,6,0,0
T,8743,TNFSF10,GO:0046960,biological_process,sensitization,,265,548,115,124925,0.0,0.0,719.369731979072,5,1,0,0
M,56339,METTL3,GO:0001510,biological_process,RNA methylation,,403,410,19,125021,0.0,0.0,719.369731979072,4,8,1,1
P,5747,PTK2,GO:0005925,cellular_component,focal adhesion,,206,472,311,124864,0.0,0.0,719.369731979072,5,1,0,3
P,5468,PPARG,GO:0005777,cellular_component,peroxisome,,146,156,153,125398,3.81676088886e-313,3.81676088886e-313,719.369731979072,6,9,0,0
