Letter,Gene_ID,Gene_Name,GO_ID,GO_Namespace,GO_Name,GOF,a,b,c,d,Pvalue,Adjusted_Pvalue,Enrichment_Score,GO_Level,GO_Children,GSEA_MSigDB,NCBI_Entrez
M,56339,METTL3,GO:0001510,biological_process,RNA methylation,,116,24,2,5640,1.884045733121571e-215,1.884045733121571e-215,494.4223735433796,4,8,1,1
V,7422,VEGFA,GO:0040007,biological_process,growth,,269,76,604,4833,4.358131530353216e-165,4.358131530353216e-165,378.4544969265937,1,10,1,0
E,2069,EREG,GO:0005783,cellular_component,endoplasmic reticulum,,39,45,15,5683,4.618745678893082e-64,4.618745678893082e-64,145.83532278146265,5,5,0,0
C,925,CD8A,GO:0007613,biological_process,memory,,26,11,9,5736,3.8872664216745286e-55,3.8872664216745286e-55,125.28447392342902,3,4,0,0
C,920,CD4,GO:0007613,biological_process,memory,,20,4,15,5743,4.926233400891523e-44,4.926233400891523e-44,99.71916941173876,3,4,0,0
R,11186,RASSF1,GO:0032259,biological_process,methylation,,41,4,407,5330,5.5908999024936024e-42,5.5908999024936024e-42,94.9874336471936,2,1,0,0
E,1956,EGFR,GO:0040007,biological_process,growth,,90,49,783,4860,1.757711723912969e-41,1.757711723912969e-41,93.84197600651069,1,10,1,0
O,55074,OXR1,GO:0032259,biological_process,methylation,,35,0,413,5334,3.754711939376067e-40,3.754711939376067e-40,90.7803921513696,2,1,0,0
V,7431,VIM,GO:0016020,cellular_component,membrane,,40,29,206,5507,4.799173109832002e-38,4.799173109832002e-38,85.92978989948486,2,16,0,0
M,4311,MME,GO:0016020,cellular_component,membrane,,35,17,211,5519,1.0572225619366697e-36,1.0572225619366696e-36,82.83741810304642,2,16,0,0
S,29072,SETD2,GO:0044026,biological_process,DNA hypermethylation,,26,104,11,5641,7.183987064823597e-36,7.183987064823597e-36,80.92120881734087,7,1,0,0
K,3855,KRT7,GO:0016020,cellular_component,membrane,,40,43,206,5493,9.807800428834727e-34,9.807800428834727e-34,76.0047151306049,2,16,0,0
M,4436,MSH2,GO:0006298,biological_process,mismatch repair,,13,2,6,5761,2.223104591552603e-33,2.223104591552603e-33,75.18640338519698,6,2,1,1
P,55193,PBRM1,GO:0016514,cellular_component,SWI/SNF complex,,19,55,7,5701,5.490824563412039e-32,5.490824563412039e-32,71.97964453786614,4,1,0,0
M,4292,MLH1,GO:0006298,biological_process,mismatch repair,,12,1,7,5762,2.270619786450229e-31,2.270619786450229e-31,70.5600850549105,6,2,1,1
C,1499,CTNNB1,GO:0023052,biological_process,signaling,,64,43,690,4985,1.4797527583758937e-30,1.4797527583758937e-30,68.68567777115203,1,6,0,0
M,2956,MSH6,GO:0006298,biological_process,mismatch repair,,12,2,7,5761,1.587653647341439e-30,1.587653647341439e-30,68.6152955569932,6,2,1,1
A,207,AKT1,GO:0023052,biological_process,signaling,,72,61,682,4967,2.0732959944617554e-30,2.0732959944617554e-30,68.3484131810026,1,6,0,0
