Letter,Gene_ID,Gene_Name,GO_ID,GO_Namespace,GO_Name,GOF,a,b,c,d,Pvalue,Adjusted_Pvalue,Enrichment_Score,GO_Level,GO_Children,GSEA_MSigDB,NCBI_Entrez
D,1788,DNMT3A,GO:0032259,biological_process,methylation,,690,1500,7828,162687,0.0,0.0,744.4400719213812,2,1,1,0
C,925,CD8A,GO:0007613,biological_process,memory,,501,698,664,170842,0.0,0.0,744.4400719213812,3,4,0,0
T,7015,TERT,GO:0003720,molecular_function,telomerase activity,,198,291,101,172115,0.0,0.0,744.4400719213812,5,1,1,3
M,2475,MTOR,GO:0023052,biological_process,signaling,,1772,1515,22018,147400,0.0,0.0,744.4400719213812,1,6,0,0
E,1977,EIF4E,GO:0006412,biological_process,translation,,273,460,1645,170327,0.0,0.0,744.4400719213812,5,4,0,0
A,25,ABL1,GO:0005694,cellular_component,chromosome,,717,2221,6100,163667,0.0,0.0,744.4400719213812,5,6,0,0
S,6776,STAT5A,GO:0016310,biological_process,phosphorylation,,807,1300,11430,159168,0.0,0.0,744.4400719213812,5,8,0,0
M,5594,MAPK1,GO:0016310,biological_process,phosphorylation,,1338,2301,10899,158167,0.0,0.0,744.4400719213812,5,8,0,0
M,5594,MAPK1,GO:0023052,biological_process,signaling,,1690,1949,22100,146966,0.0,0.0,744.4400719213812,1,6,0,0
D,1788,DNMT3A,GO:0006306,biological_process,DNA methylation,,584,1606,2163,168352,0.0,0.0,744.4400719213812,4,4,1,1
B,8678,BECN1,GO:0006914,biological_process,autophagy,,325,134,3565,168681,0.0,0.0,744.4400719213812,3,7,0,2
X,7514,XPO1,GO:0051168,biological_process,nuclear export,,245,344,308,171808,0.0,0.0,744.4400719213812,6,4,1,0
D,1769,DNAH8,GO:0016887,molecular_function,ATPase,,169,1,230,172305,0.0,0.0,744.4400719213812,1,16,0,0
C,1050,CEBPA,GO:0005488,molecular_function,binding,,1315,1565,21119,148706,0.0,0.0,744.4400719213812,1,52,0,0
C,1030,CDKN2B,GO:0032259,biological_process,methylation,,671,396,7847,163791,0.0,0.0,744.4400719213812,2,1,0,0
C,10153,CEBPZ,GO:0005488,molecular_function,binding,,893,108,21541,150163,0.0,0.0,744.4400719213812,1,52,0,0
V,7422,VEGFA,GO:0040007,biological_process,growth,,978,665,15180,155882,0.0,0.0,744.4400719213812,1,10,1,0
A,207,AKT1,GO:0016310,biological_process,phosphorylation,,1710,4403,10527,156065,0.0,0.0,744.4400719213812,5,8,0,1
F,2322,FLT3,GO:0023052,biological_process,signaling,,2959,5970,20831,142945,0.0,0.0,744.4400719213812,1,6,0,0
A,207,AKT1,GO:0023052,biological_process,signaling,,3297,2816,20493,146099,0.0,0.0,744.4400719213812,1,6,0,0
C,1499,CTNNB1,GO:0023052,biological_process,signaling,,1075,774,22715,148141,0.0,0.0,744.4400719213812,1,6,0,0
V,7422,VEGFA,GO:0001525,biological_process,angiogenesis,,372,1271,876,170186,0.0,0.0,744.4400719213812,3,5,0,2
M,84557,MAP1LC3A,GO:0006914,biological_process,autophagy,,309,176,3581,168639,0.0,0.0,744.4400719213812,3,7,0,0
C,961,CD47,GO:0006909,biological_process,phagocytosis,,252,205,319,171929,0.0,0.0,744.4400719213812,3,1,1,0
P,5371,PML,GO:0016604,cellular_component,nuclear body,,204,3290,17,169194,5e-324,5e-324,744.4400719213812,2,12,1,0
I,3458,IFNG,GO:0046903,biological_process,secretion,,272,681,1468,170284,4.87811404162835e-310,4.87811404162835e-310,712.2166201498661,4,10,1,0
N,4869,NPM1,GO:0051179,biological_process,localization,,485,3101,2665,166454,1.1025173826383081e-266,1.1025173826383081e-266,612.3900386416362,1,10,0,0
D,1786,DNMT1,GO:0006306,biological_process,DNA methylation,,283,699,2464,169259,6.279147664356525e-266,6.279147664356525e-266,610.6504004873833,4,4,1,1
C,1437,CSF2,GO:0040007,biological_process,growth,,635,810,15523,155737,1.2005958862702214e-263,1.2005958862702214e-263,605.3970614519992,1,10,0,0
B,596,BCL2,GO:0008219,biological_process,cell death,,559,2511,4681,164954,1.4854169600894847e-261,1.4854169600894847e-261,600.5790137573979,2,4,0,0
M,5595,MAPK3,GO:0016310,biological_process,phosphorylation,,501,647,11736,159821,8.500102458112161e-261,8.500102458112161e-261,598.8346310541267,5,8,0,1
P,5468,PPARG,GO:0005777,cellular_component,peroxisome,,103,107,88,172407,3.062628521816943e-258,3.062628521816943e-258,592.947680451166,6,9,0,0
A,308,ANXA5,GO:0008219,biological_process,cell death,,364,826,4876,166639,2.2908408813500526e-252,2.2908408813500526e-252,579.4225244872376,2,4,0,0
R,861,RUNX1,GO:0005488,molecular_function,binding,,1529,3347,20905,146924,3.00256821800241e-252,3.00256821800241e-252,579.1519754393852,1,52,0,0
C,920,CD4,GO:0007613,biological_process,memory,,186,463,979,171077,5.128819411792037e-245,5.128819411792037e-245,562.4984722849971,3,4,0,0
S,10735,STAG2,GO:0008278,cellular_component,cohesin complex,,105,122,143,172335,9.21414360758956e-244,9.21414360758956e-244,559.6100230383518,2,3,1,1
A,189,AGXT,GO:0005694,cellular_component,chromosome,,199,31,6618,165857,1.987769607812441e-243,1.9877696078124413e-243,558.8411643874771,5,6,0,0
P,5747,PTK2,GO:0005925,cellular_component,focal adhesion,,101,148,101,172355,1.8554669649719712e-238,1.8554669649719712e-238,547.3971157350644,5,1,0,3
A,10533,ATG7,GO:0006914,biological_process,autophagy,,183,86,3707,168729,6.377723763302595e-233,6.377723763302595e-233,534.6495154108278,3,7,0,2
T,54790,TET2,GO:0006306,biological_process,DNA methylation,,285,1000,2462,168958,2.5660193137423957e-232,2.5660193137423957e-232,533.2573857816637,4,4,0,0
C,54205,CYCS,GO:0005829,cellular_component,cytosol,,139,406,367,171793,2.658447704560882e-229,2.658447704560882e-229,526.3142439128999,2,1,0,1
A,25,ABL1,GO:0016301,molecular_function,kinase activity,,296,2642,1078,168689,7.049521000792358e-229,7.099874722226589e-229,525.3319091565016,4,133,1,1
U,8408,ULK1,GO:0006914,biological_process,autophagy,,176,82,3714,168733,2.339813155522988e-224,2.339813155522988e-224,514.9289897525517,3,7,0,1
C,945,CD33,GO:0009986,cellular_component,cell surface,,262,815,2629,168999,8.689342561585298e-219,8.689342561585298e-219,502.10403808387383,2,1,1,0
T,7124,TNF,GO:0046903,biological_process,secretion,,254,1404,1486,169561,9.159333844234911e-215,9.159333844234911e-215,492.84102154210683,4,10,1,0
C,1026,CDKN1A,GO:0007049,biological_process,cell cycle,,325,518,7169,164693,1.5590776263190732e-213,1.5590776263190732e-213,490.0065304265166,2,2,1,0
M,5609,MAP2K7,GO:0023052,biological_process,signaling,,610,562,23180,148353,2.1622076079458443e-213,2.1622076079458443e-213,489.679495067248,1,6,0,0
T,7040,TGFB1,GO:0040007,biological_process,growth,,506,637,15652,155910,1.119576543416932e-211,1.119576543416932e-211,485.73250409416414,1,10,1,0
H,3014,H2AX,GO:0016310,biological_process,phosphorylation,,274,135,11963,160333,6.847411523544011e-210,6.847411523544011e-210,481.6189988276646,5,8,0,0
I,3684,ITGAM,GO:0009986,cellular_component,cell surface,,232,594,2659,169220,2.1574477966310927e-209,2.157447796631093e-209,480.4713584883041,2,1,1,1
S,9126,SMC3,GO:0008278,cellular_component,cohesin complex,,84,56,164,172401,1.0180812385571696e-206,1.0180812385571696e-206,474.31460943971007,2,3,1,1
R,5885,RAD21,GO:0008278,cellular_component,cohesin complex,,89,106,159,172351,1.700170133664443e-204,1.700170133664443e-204,469.19663064610455,2,3,1,1
S,140885,SIRPA,GO:0006909,biological_process,phagocytosis,,103,115,468,172019,2.1153135816400082e-196,2.1153135816400085e-196,450.5574751597741,3,1,1,0
S,8243,SMC1A,GO:0008278,cellular_component,cohesin complex,,86,109,162,172348,1.1283994933906168e-195,1.1283994933906168e-195,448.8832928826559,2,3,1,1
I,3417,IDH1,GO:0006306,biological_process,DNA methylation,,294,1582,2453,168376,3.919649933728078e-194,3.919649933728078e-194,445.3355056936506,4,4,0,0
E,1956,EGFR,GO:0040007,biological_process,growth,,339,234,15819,156313,7.08788492069828e-194,7.087884920698279e-194,444.743121063467,1,10,1,0
K,4297,KMT2A,GO:0005694,cellular_component,chromosome,,664,3891,6153,161997,4.211099077272199e-189,4.211099077272199e-189,433.7508588987664,5,6,0,0
A,207,AKT1,GO:0005488,molecular_function,binding,,159,5954,22275,144317,3.720484703553076e-187,3.7491038166573307e-187,429.26189556068977,1,52,0,0
I,3562,IL3,GO:0040007,biological_process,growth,,437,538,15721,156009,2.0814933205016286e-185,2.0814933205016286e-185,425.24515662523385,1,10,0,0
A,9474,ATG5,GO:0006914,biological_process,autophagy,,147,77,3743,168738,1.8732840036053332e-183,1.8732840036053332e-183,420.7453789756146,3,7,0,1
V,7412,VCAM1,GO:0007155,biological_process,cell adhesion,,95,46,789,171775,3.4442550386649148e-183,3.4442550386649148e-183,420.13636438104805,2,7,0,1
N,4869,NPM1,GO:0005737,cellular_component,cytoplasm,,294,3292,1303,167816,5.5155503642694396e-182,5.5470677949224075e-182,417.3572174620101,2,5,0,1
N,4869,NPM1,GO:0005730,cellular_component,nucleolus,,143,3443,79,169040,9.529089749057134e-182,9.638619516287675e-182,416.8047090302531,5,1,1,10
N,4869,NPM1,GO:0051168,biological_process,nuclear export,,196,3390,357,168762,3.23537869436733e-181,3.2914835272176304e-181,415.576563448652,6,4,1,0
I,3418,IDH2,GO:0006306,biological_process,DNA methylation,,221,773,2526,169185,8.413678408167834e-180,8.413678408167834e-180,412.3354579755305,4,4,0,0
D,84444,DOT1L,GO:0032259,biological_process,methylation,,285,425,8233,163762,5.047150434968067e-178,5.047150434968067e-178,408.2413227392166,2,1,1,0
B,596,BCL2,GO:0006119,biological_process,oxidative phosphorylation,,169,2901,270,169365,7.704138017254572e-175,7.745558114121533e-175,400.905271741469,3,1,0,0
C,54205,CYCS,GO:0031966,cellular_component,mitochondrial membrane,,117,428,474,171686,2.4491223087881103e-173,2.4822185562041658e-173,397.4380683485758,4,2,0,0
I,3400,ID4,GO:0032259,biological_process,methylation,,155,27,8363,164160,2.3045826086501363e-172,2.3045826086501363e-172,395.2097364157703,2,1,0,0
B,613,BCR,GO:0005694,cellular_component,chromosome,,306,746,6511,165142,1.0132479888704434e-171,1.0132479888704434e-171,393.72888990028804,5,6,0,0
S,8878,SQSTM1,GO:0006914,biological_process,autophagy,,157,151,3733,168664,8.583926626736966e-171,8.583926626736966e-171,391.5921594443674,3,7,0,1
N,4790,NFKB1,GO:0023052,biological_process,signaling,,733,1101,23057,147814,8.87407559498449e-171,8.87407559498449e-171,391.55891673035677,1,6,0,0
M,8932,MBD2,GO:0032451,molecular_function,demethylase activity,,63,143,22,172477,2.046150620921565e-169,2.046150620921565e-169,388.42092043391017,2,8,0,0
W,7490,WT1,GO:0010467,biological_process,gene expression,,380,746,10503,161076,5.671660279973127e-169,5.671660279973127e-169,387.4013988227796,4,4,0,0
B,23476,BRD4,GO:0000785,cellular_component,chromatin,,220,471,4367,167647,1.288051657653116e-168,1.288051657653116e-168,386.5811648892482,2,5,0,1
S,6776,STAT5A,GO:0023052,biological_process,signaling,,793,1314,22997,147601,2.444628280578249e-166,2.467910454678994e-166,381.3257536141717,1,6,0,0
S,6774,STAT3,GO:0016310,biological_process,phosphorylation,,465,1059,11772,159409,5.2047618782583024e-166,5.2047618782583024e-166,380.5795514846447,5,8,0,0
E,1978,EIF4EBP1,GO:0016310,biological_process,phosphorylation,,247,184,11990,160284,4.186510705233982e-165,4.186510705233982e-165,378.49467272427404,5,8,0,0
C,1017,CDK2,GO:0007049,biological_process,cell cycle,,233,317,7261,164894,2.5562283849265605e-164,2.5562283849265605e-164,376.68542236602474,2,2,1,0
D,1789,DNMT3B,GO:0006306,biological_process,DNA methylation,,171,402,2576,169556,6.082386065000937e-163,6.082386065000937e-163,373.51597309413626,4,4,1,1
S,6427,SRSF2,GO:0008380,biological_process,RNA splicing,,85,249,203,172168,5.407536989570365e-162,5.407536989570365e-162,371.33099134579385,7,3,1,1
S,23451,SF3B1,GO:0008380,biological_process,RNA splicing,,80,173,208,172244,5.019589442064539e-161,5.01958944206454e-161,369.10285182613154,7,3,1,1
F,2322,FLT3,GO:0016310,biological_process,phosphorylation,,1343,7586,10894,152882,1.0800916385739038e-156,1.0846489872598697e-156,359.1220180864669,5,8,0,0
C,1019,CDK4,GO:0007049,biological_process,cell cycle,,204,241,7290,164970,1.7443039438116838e-152,1.7443039438116838e-152,349.43657854508456,2,2,1,0
I,3417,IDH1,GO:0016577,biological_process,histone demethylation,,91,1785,32,170797,5.0877553249012865e-151,5.12659315180893e-151,346.0559077064935,4,2,0,0
D,1789,DNMT3B,GO:0032259,biological_process,methylation,,236,337,8282,163850,1.4281339375938176e-150,1.456696616345694e-150,345.01159266845843,2,1,1,0
C,963,CD53,GO:0009986,cellular_component,cell surface,,86,2,2805,169812,1.8426958728757147e-150,1.8426958728757147e-150,344.7765343014665,2,1,1,0
T,7157,TP53,GO:0007049,biological_process,cell cycle,,623,3793,6871,161418,8.286325034631706e-150,8.286325034631707e-150,343.273157379256,2,2,1,0
B,581,BAX,GO:0031966,cellular_component,mitochondrial membrane,,117,730,474,171384,4.201706794304988e-149,4.201706794304988e-149,341.6496880337769,4,2,0,0
I,3479,IGF1,GO:0040007,biological_process,growth,,234,145,15924,156402,4.215147952068774e-140,4.215147952068774e-140,320.92322832700745,1,10,1,0
S,6774,STAT3,GO:0023052,biological_process,signaling,,605,919,23185,147996,2.421932953319414e-139,2.4421157279304093e-139,319.16646316097183,1,6,0,0
C,929,CD14,GO:0009986,cellular_component,cell surface,,142,289,2749,169525,3.2467234676046703e-139,3.2467234676046703e-139,318.8816816021836,2,1,1,0
N,4869,NPM1,GO:0051298,biological_process,centrosome duplication,,90,3496,11,169108,1.524056235884596e-138,1.559499404160982e-138,317.3123779581832,3,1,1,0
M,5595,MAPK3,GO:0023052,biological_process,signaling,,502,646,23288,148269,1.2704677596933943e-135,1.285414439219199e-135,310.59790636705446,1,6,0,0
F,2244,FGB,GO:0050817,biological_process,coagulation,,68,94,340,172203,2.527492680048881e-135,2.527492680048881e-135,309.92175977841094,2,2,1,0
G,2720,GLB1,GO:0004565,molecular_function,beta-galactosidase activity,,38,29,1,172637,1.5509043592900308e-134,1.5509043592900308e-134,308.1075642428097,6,1,0,1
K,4297,KMT2A,GO:0010467,biological_process,gene expression,,757,3798,10126,158024,1.2406954394754853e-133,1.2468072396699458e-133,306.02323129271304,4,4,0,0
R,5914,RARA,GO:0005488,molecular_function,binding,,905,2131,21529,148140,6.245835430220046e-133,6.245835430220046e-133,304.41190245772185,1,52,0,0
R,861,RUNX1,GO:0000785,cellular_component,chromatin,,472,4404,4115,163714,3.5038060345152493e-130,3.5185900262220644e-130,298.0780017405942,2,5,1,0
R,6198,RPS6KB1,GO:0016310,biological_process,phosphorylation,,215,205,12022,160263,4.299008488242065e-130,4.299008488242065e-130,297.8776776772448,5,8,0,0
S,6688,SPI1,GO:0005488,molecular_function,binding,,436,546,21998,149725,7.900873716622082e-130,7.900873716622082e-130,297.2690887388276,1,52,0,0
C,595,CCND1,GO:0007049,biological_process,cell cycle,,202,344,7292,164867,9.851490173428383e-129,9.851490173428383e-129,294.7458542658481,2,2,1,0
C,6387,CXCL12,GO:0006935,biological_process,chemotaxis,,81,524,216,171884,4.842171720573921e-128,4.842171720573921e-128,293.1535285805483,3,9,0,1
F,2152,F3,GO:0050817,biological_process,coagulation,,69,143,339,172154,7.128067866948702e-128,7.128067866948702e-128,292.7668516919378,2,2,1,0
M,2475,MTOR,GO:0006914,biological_process,autophagy,,348,2939,3542,165876,6.9112752182676176e-127,6.944186052640321e-127,290.4904020399497,3,7,0,0
C,983,CDK1,GO:0007049,biological_process,cell cycle,,206,379,7288,164832,2.5759804748149357e-126,2.5759804748149357e-126,289.17949148868894,2,2,1,0
E,83939,EIF2A,GO:0016310,biological_process,phosphorylation,,166,85,12071,160383,3.560761727934031e-126,3.560761727934031e-126,288.855747226753,5,8,0,0
C,1440,CSF3,GO:0040007,biological_process,growth,,380,660,15778,155887,4.500826161145519e-126,4.50082616114552e-126,288.62146074595864,1,10,0,0
R,862,RUNX1T1,GO:0005488,molecular_function,binding,,760,1649,21674,148622,1.243416036304637e-125,1.243416036304637e-125,287.6052741643452,1,52,0,0
J,3717,JAK2,GO:0023052,biological_process,signaling,,521,763,23269,148152,1.3106798457249808e-124,1.3106798457249808e-124,285.2500055624627,1,6,0,0
C,1021,CDK6,GO:0007049,biological_process,cell cycle,,194,330,7300,164881,9.654508441347558e-124,9.654508441347558e-124,283.2531265290183,2,2,1,0
N,4684,NCAM1,GO:0007155,biological_process,cell adhesion,,87,242,797,171579,3.601447721737941e-121,3.601447721737941e-121,277.33146034272886,2,7,0,0
P,5133,PDCD1,GO:0012501,biological_process,programmed cell death,,82,407,378,171838,7.781616682568767e-121,7.781616682568767e-121,276.56103213586056,3,10,0,0
A,207,AKT1,GO:0032259,biological_process,methylation,,9,6104,8509,158083,3.673644793209445e-120,3.7161966634010596e-120,274.99751041632175,2,1,0,0
K,4297,KMT2A,GO:0008168,molecular_function,methyltransferase activity,,131,4424,179,167971,5.403411159752873e-120,5.456910280146466e-120,274.6133284124578,4,131,0,0
C,3576,CXCL8,GO:0046903,biological_process,secretion,,106,267,1634,170698,1.5614782164761712e-119,1.5614782164761712e-119,273.56199311903123,4,10,0,0
M,5599,MAPK8,GO:0016310,biological_process,phosphorylation,,326,722,11911,159746,4.2250733794773433e-119,4.225073379477344e-119,272.56658943770947,5,8,0,0
P,5159,PDGFRB,GO:0040007,biological_process,growth,,184,93,15974,156454,6.938976114073388e-119,6.938976114073388e-119,272.07047183665213,1,10,1,0
M,81631,MAP1LC3B,GO:0006914,biological_process,autophagy,,101,74,3789,168741,8.161878976432016e-118,8.161878976432016e-118,269.6055665641091,3,7,0,1
T,7012,TERC,GO:0003720,molecular_function,telomerase activity,,50,35,249,172371,9.243939919296569e-117,9.243939919296569e-117,267.1784876873394,5,1,1,1
E,1978,EIF4EBP1,GO:0006412,biological_process,translation,,112,319,1806,170468,1.302589963765614e-116,1.3446089948548273e-116,266.803767526665,5,4,0,0
K,23028,KDM1A,GO:0070988,biological_process,demethylation,,118,955,771,170861,4.4292319275317687e-116,4.4292319275317687e-116,265.61164459807395,2,3,1,0
C,1236,CCR7,GO:0007613,biological_process,memory,,63,26,1102,171514,5.438333889765069e-116,5.438333889765069e-116,265.4063980436155,3,4,0,0
A,308,ANXA5,GO:0005488,molecular_function,binding,,468,722,21966,149549,1.9145369624709857e-115,1.9384686745018731e-115,264.13538737597554,1,52,0,0
U,7307,U2AF1,GO:0008380,biological_process,RNA splicing,,66,287,222,172130,3.8981791429841857e-115,3.898179142984186e-115,263.43677613661936,7,3,1,1
K,4254,KITLG,GO:0040007,biological_process,growth,,287,389,15871,156158,1.1442481687842147e-114,1.1442481687842147e-114,262.3599528011342,1,10,0,0
