Letter,Gene_ID,Gene_Name,GO_ID,GO_Namespace,GO_Name,GOF,a,b,c,d,Pvalue,Adjusted_Pvalue,Enrichment_Score,GO_Level,GO_Children,GSEA_MSigDB,NCBI_Entrez
M,4255,MGMT,GO:0032259,biological_process,methylation,,617,81,625,6457,0.0,0.0,568.6928694461617,2,1,1,0
M,56339,METTL3,GO:0001510,biological_process,RNA methylation,,130,25,6,7619,1.0467064534370843e-247,1.0467064534370843e-247,568.6928694461617,4,8,1,1
D,1769,DNAH8,GO:0016887,molecular_function,ATPase,,114,0,16,7650,1.9041877268171913e-237,1.9041877268171913e-237,545.0686115120625,1,16,0,0
C,9607,CARTPT,GO:0001906,biological_process,cell killing,,29,11,2,7738,1.4488817180152654e-70,1.4488817180152654e-70,160.81016447965575,2,3,0,0
A,207,AKT1,GO:0023052,biological_process,signaling,,132,93,819,6736,1.881674296318616e-64,1.881674296318616e-64,146.73328398796275,1,6,0,0
E,1956,EGFR,GO:0040007,biological_process,growth,,197,223,933,6427,9.144620700840489e-61,9.144620700840489e-61,138.24452486777872,1,10,1,0
V,7422,VEGFA,GO:0040007,biological_process,growth,,120,63,1010,6587,1.3097459885650342e-57,1.3097459885650342e-57,130.9775170841077,1,10,1,0
M,2475,MTOR,GO:0023052,biological_process,signaling,,94,49,857,6780,4.440223994673363e-52,4.440223994673363e-52,118.24372001126801,1,6,0,0
I,3417,IDH1,GO:0032259,biological_process,methylation,,328,637,914,5901,2.4890167826678606e-50,2.4890167826678606e-50,114.21736688360438,2,1,0,0
C,1499,CTNNB1,GO:0023052,biological_process,signaling,,74,43,877,6786,2.5476828547053767e-39,2.5476828547053767e-39,88.86563436513067,1,6,0,0
V,7422,VEGFA,GO:0001525,biological_process,angiogenesis,,61,122,283,7314,2.7927062368955104e-38,2.882793534859882e-38,86.43947373236806,3,5,0,2
P,10630,PDPN,GO:0070527,biological_process,platelet aggregation,,17,13,8,7742,3.30277384042297e-38,3.30277384042297e-38,86.30347086066816,5,1,1,0
F,2152,F3,GO:0050817,biological_process,coagulation,,21,31,18,7710,1.1423219498670406e-37,1.1423219498670406e-37,85.06258545170532,2,2,1,0
P,142,PARP1,GO:0006281,biological_process,DNA repair,,27,23,94,7636,5.635797858878318e-37,5.635797858878318e-37,83.46650971344779,5,15,1,1
A,54443,ANLN,GO:0000910,biological_process,cytokinesis,,17,19,9,7735,6.793950968756314e-36,6.793950968756314e-36,80.97703069491811,3,4,1,0
T,26136,TES,GO:0032259,biological_process,methylation,,46,5,1196,6533,1.123323205605893e-31,1.123323205605893e-31,71.263846442941,2,1,0,0
M,4255,MGMT,GO:0040007,biological_process,growth,,15,683,1115,5967,7.733127254340382e-31,8.055340889937897e-31,69.29380254679171,1,10,0,0
A,207,AKT1,GO:0016310,biological_process,phosphorylation,,51,174,194,7361,1.7524351389485292e-30,1.7881991213760503e-30,68.49634375384787,5,8,0,1
R,864,RUNX3,GO:0032259,biological_process,methylation,,43,4,1199,6534,2.7051690264877098e-30,2.7051690264877095e-30,68.08238839278837,2,1,0,0
N,57447,NDRG2,GO:0032259,biological_process,methylation,,53,16,1189,6522,3.1500281844609487e-29,3.150028184460948e-29,65.62755629658189,2,1,0,0
S,6474,SHOX2,GO:0032259,biological_process,methylation,,43,6,1199,6532,1.5270219437278888e-28,1.5270219437278888e-28,64.0490632072168,2,1,0,0
M,5594,MAPK1,GO:0023052,biological_process,signaling,,50,27,901,6802,1.19306144296587e-27,1.19306144296587e-27,61.99327486614451,1,6,0,0
C,29126,CD274,GO:0012501,biological_process,programmed cell death,,14,35,7,7724,2.2590565558386674e-27,2.2590565558386674e-27,61.3548502378816,3,10,0,0
M,4255,MGMT,GO:0016458,biological_process,gene silencing,,32,666,8,7074,6.164765103771527e-27,6.700831634534269e-27,60.26756586758778,2,3,0,0
P,5747,PTK2,GO:0005925,cellular_component,focal adhesion,,14,13,27,7726,2.0079223097040382e-26,2.0079223097040382e-26,59.170111907150634,5,1,0,3
S,9263,STK17A,GO:0000910,biological_process,cytokinesis,,13,23,13,7731,3.8121063669275197e-25,3.8121063669275197e-25,56.22644543626707,3,4,0,0
S,4068,SH2D1A,GO:0045202,cellular_component,synapse,,9,1,7,7763,3.990531812849291e-25,3.990531812849291e-25,56.18070281640282,3,16,0,0
T,7015,TERT,GO:0005694,cellular_component,chromosome,,36,78,319,7347,2.293714817789696e-21,2.293714817789696e-21,47.52411425846517,5,6,0,0
P,5133,PDCD1,GO:0012501,biological_process,programmed cell death,,9,7,12,7752,1.162512551600361e-20,1.162512551600361e-20,45.90111820438425,3,10,0,0
P,5465,PPARA,GO:0005777,cellular_component,peroxisome,,11,43,7,7719,1.869627161630896e-20,1.869627161630896e-20,45.425962827700026,6,9,0,0
S,6558,SLC12A2,GO:0016477,biological_process,cell migration,,23,58,143,7556,2.62691420789867e-20,2.62691420789867e-20,45.08589200753391,3,34,0,0
E,2013,EMP2,GO:0016020,cellular_component,membrane,,13,6,111,7650,5.6482395812064e-20,5.6482395812064e-20,44.32035794182079,2,16,0,0
W,65267,WNK3,GO:0016310,biological_process,phosphorylation,,16,7,229,7528,1.1592863629025028e-19,1.1592863629025028e-19,43.60131215547886,5,8,0,0
M,2956,MSH6,GO:0006298,biological_process,mismatch repair,,7,0,12,7761,1.4759548245242038e-19,1.4759548245242038e-19,43.3598116478679,6,2,1,1
I,3417,IDH1,GO:0016577,biological_process,histone demethylation,,23,942,2,6813,2.634126424044602e-19,2.6670530043451594e-19,42.76814264773931,4,2,0,0
E,1956,EGFR,GO:0005694,cellular_component,chromosome,,65,355,290,7070,4.3221229194843826e-19,4.399303685903746e-19,42.26767049168971,5,6,0,0
S,6774,STAT3,GO:0023052,biological_process,signaling,,36,23,915,6806,6.635151577594053e-19,6.635151577594053e-19,41.85673525421006,1,6,0,0
C,920,CD4,GO:0007613,biological_process,memory,,9,12,18,7741,4.690273881750434e-18,4.690273881750434e-18,39.90104069617796,3,4,0,0
P,5829,PXN,GO:0006468,biological_process,protein phosphorylation,,8,52,0,7720,7.713530432712227e-18,7.713530432712227e-18,39.40355568804769,6,19,0,0
I,3417,IDH1,GO:0005694,cellular_component,chromosome,,103,862,252,6563,9.652686013762816e-18,9.897057811579596e-18,39.154294151671735,5,6,0,0
A,54443,ANLN,GO:0032154,cellular_component,cleavage furrow,,7,29,0,7744,2.4451850777219714e-17,2.6081974162367694e-17,38.185287243289395,4,1,0,0
T,7157,TP53,GO:0005694,cellular_component,chromosome,,47,204,308,7221,2.9587066267710545e-17,2.9587066267710545e-17,38.059194358468645,5,6,0,0
C,1493,CTLA4,GO:0012501,biological_process,programmed cell death,,7,3,14,7756,4.0679640605743387e-17,4.0679640605743387e-17,37.74080393741856,3,10,0,0
C,3075,CFH,GO:0005694,cellular_component,chromosome,,12,0,343,7425,6.808364928490737e-17,6.808364928490737e-17,37.22579458817199,5,6,0,0
P,5829,PXN,GO:0005925,cellular_component,focal adhesion,,12,48,29,7691,9.196458421183431e-17,9.634385012668357e-17,36.87860810954198,5,1,0,1
A,546,ATRX,GO:0000785,cellular_component,chromatin,,18,89,71,7602,9.676576817650424e-17,9.676576817650423e-17,36.874238376693974,2,5,1,0
I,3417,IDH1,GO:0023052,biological_process,signaling,,46,919,905,5910,1.1027238095695322e-16,1.1451362637837451e-16,36.70583785030799,1,6,0,0
D,1718,DHCR24,GO:0005615,cellular_component,extracellular space,,6,4,4,7766,1.432071143290055e-16,1.432071143290055e-16,36.48223973953186,2,1,0,0
F,341640,FREM2,GO:0010467,biological_process,gene expression,,18,8,476,7278,2.0310494334427837e-16,2.0310494334427837e-16,36.132808866142916,4,4,0,0
E,1950,EGF,GO:0016310,biological_process,phosphorylation,,21,45,224,7490,3.1145434921877134e-16,3.1145434921877134e-16,35.70527889786965,5,8,0,0
S,6558,SLC12A2,GO:0006810,biological_process,transport,,13,68,33,7666,4.795638804809274e-16,5.035420745049737e-16,35.22486440116397,3,34,0,0
N,10403,NDC80,GO:0000776,cellular_component,kinetochore,,5,2,1,7772,5.310299631554027e-16,5.310299631554027e-16,35.17171322645492,3,1,1,3
C,1021,CDK6,GO:0007049,biological_process,cell cycle,,13,8,200,7559,5.659460782706188e-16,5.659460782706188e-16,35.108032868301045,2,2,1,0
P,5728,PTEN,GO:0005694,cellular_component,chromosome,,31,91,324,7334,1.5317457536764303e-15,1.5317457536764305e-15,34.11236829449496,5,6,0,0
S,6558,SLC12A2,GO:0016310,biological_process,phosphorylation,,22,59,223,7476,2.544673306755761e-15,2.812533654835315e-15,33.50469066128807,5,8,0,0
E,1958,EGR1,GO:0005488,molecular_function,binding,,14,4,409,7353,4.016705938052227e-15,4.016705938052227e-15,33.148314246581485,1,52,0,0
E,1950,EGF,GO:0040007,biological_process,growth,,37,29,1093,6621,3.6675258068516575e-15,4.125966532708115e-15,33.12147609161102,1,10,0,0
M,4292,MLH1,GO:0006298,biological_process,mismatch repair,,6,3,13,7758,7.382178697628088e-15,7.382178697628088e-15,32.53970758338534,6,2,1,1
C,1022,CDK7,GO:0016246,biological_process,RNA interference,,6,4,11,7759,8.413633164031036e-15,8.413633164031036e-15,32.408923008977666,5,1,0,0
B,652,BMP4,GO:0048468,biological_process,cell development,,7,25,6,7742,1.6634659658823832e-14,1.6634659658823832e-14,31.727287944992863,3,44,0,0
P,10630,PDPN,GO:0030168,biological_process,platelet activation,,7,23,8,7742,3.758548959048621e-14,4.100235228053041e-14,30.825146957156264,3,1,1,1
B,8678,BECN1,GO:0006914,biological_process,autophagy,,6,0,46,7728,6.622754303757244e-14,6.622754303757244e-14,30.345679960526468,3,7,0,2
I,3417,IDH1,GO:0044026,biological_process,DNA hypermethylation,,25,940,15,6800,1.0399155355805587e-13,1.0939371218444838e-13,29.843822982036663,7,1,0,0
M,2475,MTOR,GO:0006914,biological_process,autophagy,,14,129,38,7599,2.5715632595579057e-13,2.663404804542117e-13,28.954000902925227,3,7,0,0
C,595,CCND1,GO:0007049,biological_process,cell cycle,,13,17,200,7550,2.678912603754554e-13,2.678912603754554e-13,28.948195241604253,2,2,1,0
B,586,BCAT1,GO:0001525,biological_process,angiogenesis,,16,19,328,7417,2.857218822208885e-13,2.857218822208885e-13,28.883757497004254,3,5,0,0
M,4436,MSH2,GO:0006298,biological_process,mismatch repair,,5,1,14,7760,2.9366061060049724e-13,2.9366061060049724e-13,28.85635168010101,6,2,1,1
S,10252,SPRY1,GO:0010467,biological_process,gene expression,,16,11,478,7275,3.7517439623373794e-13,3.7517439623373794e-13,28.611385420422287,4,4,0,0
G,60674,GAS5,GO:0006412,biological_process,translation,,9,23,44,7704,3.8580248314611147e-13,3.8580248314611147e-13,28.583450858103856,5,4,0,0
R,5947,RBP1,GO:0019841,molecular_function,retinol binding,,4,5,0,7771,8.26034869408102e-13,8.260348694081019e-13,27.82213940750094,4,1,1,0
T,7040,TGFB1,GO:0023052,biological_process,signaling,,26,21,925,6808,1.3249501274129898e-12,1.3249501274129898e-12,27.349646296887062,1,6,0,0
P,80380,PDCD1LG2,GO:0006955,biological_process,immune response,,7,6,51,7716,1.4600088921055095e-12,1.4600088921055095e-12,27.252578589743624,2,9,0,1
I,3417,IDH1,GO:0040007,biological_process,growth,,72,893,1058,5757,1.4136006386809517e-12,1.5066006806994352e-12,27.22116520770754,1,10,0,0
