Letter,Gene_ID,Gene_Name,GO_ID,GO_Namespace,GO_Name,GOF,a,b,c,d,Pvalue,Adjusted_Pvalue,Enrichment_Score,GO_Level,GO_Children,GSEA_MSigDB,NCBI_Entrez
C,1499,CTNNB1,GO:0023052,biological_process,signaling,,1549,1206,25832,137396,0.0,0.0,694.5661884689514,1,6,0,0
C,1029,CDKN2A,GO:0032259,biological_process,methylation,,596,503,5783,159101,0.0,0.0,694.5661884689514,2,1,0,0
C,920,CD4,GO:0007613,biological_process,memory,,302,248,329,165104,0.0,0.0,694.5661884689514,3,4,0,0
A,207,AKT1,GO:0016310,biological_process,phosphorylation,,1772,5748,7910,150553,0.0,0.0,694.5661884689514,5,8,0,1
A,207,AKT1,GO:0023052,biological_process,signaling,,4155,3365,23226,135237,0.0,0.0,694.5661884689514,1,6,0,0
C,925,CD8A,GO:0007613,biological_process,memory,,338,719,293,164633,0.0,0.0,694.5661884689514,3,4,0,0
P,5468,PPARG,GO:0005777,cellular_component,peroxisome,,148,188,85,165562,0.0,0.0,694.5661884689514,6,9,0,0
E,1956,EGFR,GO:0040007,biological_process,growth,,17514,8098,20697,119674,0.0,0.0,694.5661884689514,1,10,1,0
E,27436,EML4,GO:0005874,cellular_component,microtubule,,356,358,490,164779,0.0,0.0,694.5661884689514,6,7,1,2
M,84557,MAP1LC3A,GO:0006914,biological_process,autophagy,,285,169,3384,162145,0.0,0.0,694.5661884689514,3,7,0,0
V,7422,VEGFA,GO:0040007,biological_process,growth,,2178,1321,36033,126451,0.0,0.0,694.5661884689514,1,10,1,0
C,29126,CD274,GO:0012501,biological_process,programmed cell death,,516,1489,417,163561,0.0,0.0,694.5661884689514,3,10,0,0
M,56339,METTL3,GO:0001510,biological_process,RNA methylation,,177,619,17,165170,0.0,0.0,694.5661884689514,4,8,1,1
M,4282,MIF,GO:1905517,biological_process,macrophage migration,,125,147,19,165692,0.0,0.0,694.5661884689514,4,2,1,0
V,7422,VEGFA,GO:0001525,biological_process,angiogenesis,,1003,2496,3027,159457,0.0,0.0,694.5661884689514,3,5,0,2
P,5747,PTK2,GO:0005925,cellular_component,focal adhesion,,290,615,398,164680,0.0,0.0,694.5661884689514,5,1,0,3
P,5133,PDCD1,GO:0012501,biological_process,programmed cell death,,313,419,620,164631,0.0,0.0,694.5661884689514,3,10,0,0
M,5594,MAPK1,GO:0023052,biological_process,signaling,,2297,2118,25084,136484,0.0,0.0,694.5661884689514,1,6,0,0
M,5594,MAPK1,GO:0016310,biological_process,phosphorylation,,1242,3173,8440,153128,0.0,0.0,694.5661884689514,5,8,0,0
R,11186,RASSF1,GO:0032259,biological_process,methylation,,475,113,5904,159491,0.0,0.0,694.5661884689514,2,1,0,0
A,238,ALK,GO:0005874,cellular_component,microtubule,,372,2295,474,162842,0.0,0.0,694.5661884689514,6,7,0,0
M,2475,MTOR,GO:0023052,biological_process,signaling,,1401,1246,25980,137356,0.0,0.0,694.5661884689514,1,6,0,0
T,7157,TP53,GO:0007049,biological_process,cell cycle,,917,3833,5966,155267,0.0,0.0,694.5661884689514,2,2,1,0
T,7015,TERT,GO:0003720,molecular_function,telomerase activity,,144,283,137,165419,2.258068078649017e-302,2.258068078649017e-302,694.5661884689514,5,1,1,3
D,1769,DNAH8,GO:0016887,molecular_function,ATPase,,105,0,225,165653,1.812748577109777e-292,1.812748577109777e-292,671.7600029099267,1,16,0,0
B,8678,BECN1,GO:0006914,biological_process,autophagy,,204,58,3465,162256,1.6838554535766785e-282,1.6838554535766785e-282,648.807910147353,3,7,0,2
S,6774,STAT3,GO:0023052,biological_process,signaling,,1089,1128,26292,137474,8.167736456340125e-281,8.167736456340125e-281,644.9262193163694,1,6,0,0
E,1956,EGFR,GO:0007049,biological_process,cell cycle,,185,25427,6698,133673,1.1470289408917424e-277,1.1499401818584726e-277,637.6763608341035,2,2,1,0
N,4790,NFKB1,GO:0023052,biological_process,signaling,,960,883,26421,137719,7.190408987420082e-273,7.190408987420083e-273,626.632982334447,1,6,0,0
H,3014,H2AX,GO:0016310,biological_process,phosphorylation,,281,79,9401,156222,3.2934902264560565e-270,3.293490226456056e-270,620.5060272468232,5,8,0,0
P,51651,PTRH2,GO:0043276,biological_process,anoikis,,129,102,376,165376,1.0936574425929733e-265,1.0936574425929731e-265,610.0955221122282,5,1,1,0
E,1956,EGFR,GO:0005488,molecular_function,binding,,816,24796,12583,127788,5.759704140337253e-262,5.78901561178935e-262,601.5213321025443,1,52,0,0
S,8878,SQSTM1,GO:0006914,biological_process,autophagy,,211,119,3458,162195,2.193848137060403e-261,2.193848137060403e-261,600.1890521293722,3,7,0,1
M,2475,MTOR,GO:0006914,biological_process,autophagy,,454,2193,3215,160121,2.176841634576071e-258,2.189571702614527e-258,593.283248037344,3,7,0,0
F,2191,FAP,GO:0072537,biological_process,fibroblast activation,,88,83,34,165778,2.4595601982475113e-245,2.459560198247511e-245,563.2333652307804,3,1,0,0
M,5595,MAPK3,GO:0016310,biological_process,phosphorylation,,514,1023,9168,155278,2.2917440885302063e-242,2.2917440885302063e-242,556.3962793661593,5,8,0,1
M,4255,MGMT,GO:0032259,biological_process,methylation,,203,46,6176,159558,1.3741100758542278e-239,1.3741100758542278e-239,550.0000309215546,2,1,1,0
E,1956,EGFR,GO:0032259,biological_process,methylation,,198,25414,6181,134190,1.4433433986181357e-235,1.4543893940157234e-235,540.7329107015297,2,1,0,0
H,3205,HOXA9,GO:0032259,biological_process,methylation,,184,22,6195,159582,2.8644189541889914e-233,2.8644189541889914e-233,535.4499611463253,2,1,0,0
M,5609,MAP2K7,GO:0023052,biological_process,signaling,,687,515,26694,138087,4.3717865785578274e-226,4.3717865785578274e-226,518.909059263049,1,6,0,0
E,1956,EGFR,GO:0016477,biological_process,cell migration,,82,25530,4333,136038,3.244720051368762e-210,3.2779141183904374e-210,482.355662248164,3,34,0,0
E,1956,EGFR,GO:0010467,biological_process,gene expression,,362,25250,7258,133113,1.4736880150046333e-198,1.4925814510944362e-198,455.5113412744279,4,4,0,0
G,2720,GLB1,GO:0004565,molecular_function,beta-galactosidase activity,,56,24,0,165903,5.5270037757432596e-198,5.5270037757432596e-198,454.202202556825,6,1,0,1
X,7514,XPO1,GO:0051168,biological_process,nuclear export,,82,71,156,165674,4.0541786437308145e-196,4.0541786437308145e-196,449.90693011373287,6,4,1,0
C,1019,CDK4,GO:0007049,biological_process,cell cycle,,225,201,6658,158899,2.5842746108099456e-190,2.5842746108099456e-190,436.5417228150617,2,2,1,0
A,207,AKT1,GO:0040007,biological_process,growth,,768,6752,37443,121020,2.0219394798631253e-189,2.037552912140061e-189,434.47683304093044,1,10,1,0
C,1026,CDKN1A,GO:0007049,biological_process,cell cycle,,284,484,6599,158616,4.631280019834202e-186,4.6312800198342016e-186,426.7479940048358,2,2,1,0
T,7039,TGFA,GO:0023052,biological_process,signaling,,550,425,26831,138177,2.160637865059912e-177,2.160637865059912e-177,406.7871579739467,1,6,0,0
A,472,ATM,GO:0016310,biological_process,phosphorylation,,304,417,9378,155884,9.934866923413744e-177,9.934866923413744e-177,405.26151097875635,5,8,0,0
M,56339,METTL3,GO:0006412,biological_process,translation,,160,636,1096,164091,1.8065006527721903e-174,1.8290819109318429e-174,400.04599202801353,5,4,0,0
C,1012,CDH13,GO:0032259,biological_process,methylation,,158,55,6221,159549,1.9329846165149768e-174,1.9329846165149768e-174,399.99074093911656,2,1,0,0
C,54205,CYCS,GO:0031966,cellular_component,mitochondrial membrane,,93,251,245,165394,2.334205011120792e-171,2.334205011120792e-171,392.8943795351622,4,2,0,0
C,595,CCND1,GO:0007049,biological_process,cell cycle,,291,617,6592,158483,1.2624493329314435e-170,1.2624493329314435e-170,391.20641205995724,2,2,1,0
V,7424,VEGFC,GO:0001946,biological_process,lymphangiogenesis,,83,168,191,165541,7.402653396429556e-170,7.402653396429556e-170,389.4376273059624,3,1,1,0
E,1977,EIF4E,GO:0006412,biological_process,translation,,105,104,1151,164623,5.0455780893584315e-164,5.0455780893584315e-164,376.0054430171901,5,4,0,0
M,5595,MAPK3,GO:0023052,biological_process,signaling,,710,827,26671,137775,5.768002458282471e-164,5.805701820754906e-164,375.86511474382655,1,6,0,0
A,9474,ATG5,GO:0006914,biological_process,autophagy,,129,65,3540,162249,2.3839186089759384e-163,2.3839186089759384e-163,374.45262454993934,3,7,0,1
E,4072,EPCAM,GO:0007155,biological_process,cell adhesion,,108,121,1267,164487,2.563758777325569e-160,2.563758777325569e-160,367.472140425021,2,7,0,0
G,2879,GPX4,GO:0097707,biological_process,ferroptosis,,73,43,414,165453,5.194589413161619e-156,5.194589413161619e-156,357.55565692064596,4,1,0,0
T,7040,TGFB1,GO:0023052,biological_process,signaling,,1047,1782,26334,136820,9.132982545395192e-155,9.132982545395192e-155,354.68879709752724,1,6,0,0
T,7088,TLE1,GO:0043276,biological_process,anoikis,,78,76,427,165402,1.1227421984230043e-154,1.1227421984230043e-154,354.48233023675385,5,1,1,0
T,7294,TXK,GO:0040007,biological_process,growth,,423,136,37788,127636,2.6432356985495727e-153,2.6432356985495727e-153,351.3235154180285,1,10,1,0
C,54205,CYCS,GO:0005829,cellular_component,cytosol,,88,256,314,165325,6.015225942909798e-152,6.117178924993014e-152,348.1818331048139,2,1,0,1
F,2526,FUT4,GO:0036065,biological_process,fucosylation,,57,80,50,165796,1.9655054392042297e-151,1.9655054392042297e-151,347.0145996088862,3,2,1,1
R,5915,RARB,GO:0032259,biological_process,methylation,,136,46,6243,159558,4.6574305857631496e-151,4.6574305857631496e-151,346.1518851224729,2,1,0,0
H,3082,HGF,GO:0040007,biological_process,growth,,577,332,37634,127440,7.176794357402597e-150,7.176794357402597e-150,343.4169111340717,1,10,0,0
S,6714,SRC,GO:0016310,biological_process,phosphorylation,,362,880,9320,155421,1.6967578712591393e-148,1.6967578712591393e-148,340.25387446750665,5,8,0,0
X,7515,XRCC1,GO:0006281,biological_process,DNA repair,,77,15,1236,164655,8.917054281846658e-147,8.917054281846658e-147,336.2920430155343,5,15,1,0
S,6774,STAT3,GO:0016310,biological_process,phosphorylation,,489,1728,9193,154573,5.006277957205919e-146,5.039432115862912e-146,334.56013017681977,5,8,0,0
M,81631,MAP1LC3B,GO:0006914,biological_process,autophagy,,116,65,3553,162249,4.8677926590813135e-144,4.867792659081313e-144,329.98961280955353,3,7,0,1
D,1612,DAPK1,GO:0032259,biological_process,methylation,,132,54,6247,159550,1.5419380917080594e-141,1.5419380917080594e-141,324.2314579858745,2,1,0,0
M,378938,MALAT1,GO:0005488,molecular_function,binding,,834,3262,12565,149322,9.34261288345224e-139,9.342612883452239e-139,317.82474196107927,1,52,0,0
A,238,ALK,GO:0040007,biological_process,growth,,1194,1473,37017,126299,4.033035879662831e-137,4.071083387961537e-137,314.05024858746333,1,10,0,0
M,4436,MSH2,GO:0006298,biological_process,mismatch repair,,58,39,227,165659,1.5611246893214643e-136,1.5611246893214643e-136,312.7061661309985,6,2,1,1
C,983,CDK1,GO:0007049,biological_process,cell cycle,,205,347,6678,158753,7.492929855814134e-135,7.492929855814134e-135,308.83502766415313,2,2,1,0
C,10920,COPS8,GO:0008180,cellular_component,COP9 signalosome,,36,17,2,165928,1.0141052956944542e-130,1.0141052956944542e-130,299.3220553475404,3,1,1,2
M,84557,MAP1LC3A,GO:0005776,cellular_component,autophagosome,,67,387,91,165438,3.481171056856582e-129,3.558530413675618e-129,295.7641293417428,6,2,1,7
D,10059,DNM1L,GO:0000266,biological_process,mitochondrial fission,,47,87,31,165818,2.2642301953435229e-128,2.2642301953435229e-128,293.9136570716771,6,1,1,3
E,2068,ERCC2,GO:0006281,biological_process,DNA repair,,67,13,1246,164657,7.903810624586381e-128,7.903810624586382e-128,292.6635469025193,5,15,1,0
M,4292,MLH1,GO:0006298,biological_process,mismatch repair,,61,99,224,165599,1.8081051349259607e-127,1.8081051349259607e-127,291.83602740011605,6,2,1,1
C,1017,CDK2,GO:0007049,biological_process,cell cycle,,155,156,6728,158944,3.194277313263645e-126,3.194277313263645e-126,288.9643608480375,2,2,1,0
K,3791,KDR,GO:0001525,biological_process,angiogenesis,,180,524,3850,161429,4.454198689783497e-126,4.454198689783497e-126,288.63187454011825,3,5,0,1
A,10533,ATG7,GO:0006914,biological_process,autophagy,,88,21,3581,162293,7.144408564173544e-125,7.144408564173544e-125,285.8568065924829,3,7,0,2
E,2067,ERCC1,GO:0006281,biological_process,DNA repair,,87,125,1226,164545,3.682855694660425e-124,3.682855694660425e-124,284.21686307603244,5,15,1,1
E,1956,EGFR,GO:0016049,biological_process,cell growth,,218,25394,4432,135939,7.967804043916979e-122,8.090700764388706e-122,278.8246659968929,2,6,1,0
E,2064,ERBB2,GO:0040007,biological_process,growth,,864,927,37347,126845,2.0548545769959084e-121,2.0548545769959084e-121,277.89259117228744,1,10,1,0
M,5594,MAPK1,GO:0040007,biological_process,growth,,426,3989,37785,123783,3.3449632151749615e-121,3.372954539151321e-121,277.39700717415883,1,10,1,0
C,1499,CTNNB1,GO:0040007,biological_process,growth,,190,2565,38021,125207,1.0955892179643619e-115,1.1025674932380202e-115,264.6996441494937,1,10,1,0
I,3569,IL6,GO:0046903,biological_process,secretion,,147,924,1544,163368,1.6437999971819056e-115,1.6437999971819056e-115,264.3002750612974,4,10,1,0
C,836,CASP3,GO:0008219,biological_process,cell death,,152,566,2710,162555,5.2002177638253045e-115,5.2002177638253045e-115,263.148585191946,2,4,0,0
I,55677,IWS1,GO:0016310,biological_process,phosphorylation,,114,25,9568,156276,6.125572597710779e-115,6.125572597710779e-115,262.9848134569134,5,8,0,0
U,11338,U2AF2,GO:0008380,biological_process,RNA splicing,,48,59,136,165740,1.1394090755364497e-114,1.1394090755364497e-114,262.3641908280997,7,3,1,0
C,1021,CDK6,GO:0007049,biological_process,cell cycle,,128,103,6755,158997,2.503173081347173e-112,2.503173081347173e-112,256.9719712557148,2,2,1,0
A,308,ANXA5,GO:0008219,biological_process,cell death,,133,391,2729,162730,7.211611028045771e-112,7.211611028045771e-112,255.9138380454391,2,4,0,0
T,7157,TP53,GO:0002039,molecular_function,p53 binding,,80,4670,11,161222,6.1449888332872285e-111,6.157871409457642e-111,253.76921415492265,3,1,1,1
J,3725,JUN,GO:0007258,biological_process,JUN phosphorylation,,43,343,4,165593,9.020136874449731e-110,9.020136874449731e-110,251.08490072083467,7,1,0,0
Z,22882,ZHX2,GO:0023052,biological_process,signaling,,315,223,27066,138379,4.555131970305349e-108,4.555131970305349e-108,247.16293554044003,1,6,0,0
P,10891,PPARGC1A,GO:0006119,biological_process,oxidative phosphorylation,,46,56,155,165726,5.859333982516096e-108,5.859333982516096e-108,246.91115410108796,3,1,0,0
E,1956,EGFR,GO:0006914,biological_process,autophagy,,154,25458,3515,136856,6.065782154145258e-107,6.175216368266435e-107,244.55606102906734,3,7,0,0
N,10482,NXF1,GO:0051168,biological_process,nuclear export,,41,13,197,165732,7.379360711576241e-107,7.379360711576241e-107,244.3779179399503,6,4,1,0
C,891,CCNB1,GO:0007049,biological_process,cell cycle,,138,162,6745,158938,2.1096803233464411e-106,2.109680323346441e-106,243.327483426882,2,2,1,0
H,3091,HIF1A,GO:0001525,biological_process,angiogenesis,,200,957,3830,160996,1.1432828477549528e-105,1.1432828477549528e-105,241.63753094932252,3,5,0,0
N,4851,NOTCH1,GO:0023052,biological_process,signaling,,339,282,27042,138320,2.938740395426343e-104,2.938740395426343e-104,238.3908686187653,1,6,0,0
C,54205,CYCS,GO:0001836,biological_process,release of cytochrome c from mitochondria,,38,306,1,165638,4.980452973749329e-102,5.152192731464823e-102,233.2242570882327,7,1,0,0
A,207,AKT1,GO:0032259,biological_process,methylation,,19,7501,6360,152103,5.276820192681866e-101,5.338178567015376e-101,230.88620988993094,2,1,0,0
B,581,BAX,GO:0031966,cellular_component,mitochondrial membrane,,70,523,268,165122,1.306436093971316e-100,1.306436093971316e-100,229.99120640853639,4,2,0,0
K,9817,KEAP1,GO:0032259,biological_process,methylation,,181,467,6198,159137,1.9591794361595137e-100,1.9591794361595134e-100,229.5859835688433,2,1,0,0
M,4313,MMP2,GO:0031012,cellular_component,extracellular matrix,,93,626,729,164535,1.003652149384512e-99,1.003652149384512e-99,227.95227870993023,3,8,1,0
A,238,ALK,GO:0001171,biological_process,reverse transcription,,160,2507,986,162330,1.2823665727733743e-96,1.3067926027309624e-96,220.7805931872973,7,1,0,0
S,6317,SERPINB3,GO:0060290,biological_process,transdifferentiation,,66,924,125,164868,1.543304679331698e-96,1.543304679331698e-96,220.61424291447847,4,1,0,0
C,999,CDH1,GO:0098609,biological_process,cell-cell adhesion,,80,1817,138,163948,1.7534614355811307e-96,1.7534614355811309e-96,220.48657712989726,3,20,0,2
E,1956,EGFR,GO:0001525,biological_process,angiogenesis,,206,25406,3824,136547,4.932620625823832e-96,5.034586943670319e-96,219.43183744162997,3,5,0,0
T,7157,TP53,GO:0006260,biological_process,DNA replication,,150,4600,434,160799,1.9818297715901398e-95,1.990156787437157e-95,218.05737041114466,5,2,1,0
E,1956,EGFR,GO:0005634,cellular_component,nucleus,,72,25540,2387,137984,1.1186434013975202e-93,1.1447257604974623e-93,214.00524855060982,5,11,0,3
G,2932,GSK3B,GO:0016310,biological_process,phosphorylation,,172,272,9510,156029,3.0496604134900938e-93,3.0496604134900938e-93,213.025383403865,5,8,0,0
S,6678,SPARC,GO:0032259,biological_process,methylation,,106,97,6273,159507,5.920743125622914e-93,5.920743125622914e-93,212.36195167945147,2,1,0,0
N,23636,NUP62,GO:0006914,biological_process,autophagy,,72,35,3597,162279,2.9099582615402784e-92,2.9099582615402788e-92,210.76968981748496,3,7,0,0
R,5888,RAD51,GO:0035825,biological_process,homologous recombination,,49,154,223,165557,9.206892632621018e-92,9.206892632621018e-92,209.6178761527089,6,2,1,0
B,672,BRCA1,GO:0006281,biological_process,DNA repair,,81,274,1232,164396,1.9694564796653836e-91,1.9694564796653836e-91,208.8574858564223,5,15,1,0
