Letter,Gene_ID,Gene_Name,GO_ID,GO_Namespace,GO_Name,GOF,a,b,c,d,Pvalue,Adjusted_Pvalue,Enrichment_Score,GO_Level,GO_Children,GSEA_MSigDB,NCBI_Entrez
A,9474,ATG5,GO:0006914,biological_process,autophagy,,261,98,6193,262177,0.0,0.0,721.7361523391895,3,7,0,1
C,925,CD8A,GO:0007613,biological_process,memory,,553,1300,531,266345,0.0,0.0,721.7361523391895,3,4,0,0
E,2067,ERCC1,GO:0006281,biological_process,DNA repair,,333,392,2100,265904,0.0,0.0,721.7361523391895,5,15,1,1
M,5594,MAPK1,GO:0016310,biological_process,phosphorylation,,2305,5104,16922,244398,0.0,0.0,721.7361523391895,5,8,0,0
A,207,AKT1,GO:0040007,biological_process,growth,,1580,12725,65692,188732,0.0,0.0,721.7361523391895,1,10,1,0
M,84557,MAP1LC3A,GO:0006914,biological_process,autophagy,,568,367,5886,261908,0.0,0.0,721.7361523391895,3,7,0,0
E,1956,EGFR,GO:0016477,biological_process,cell migration,,175,48018,6312,214224,0.0,0.0,721.7361523391895,3,34,0,0
M,4255,MGMT,GO:0032259,biological_process,methylation,,409,135,9002,259183,0.0,0.0,721.7361523391895,2,1,1,0
M,5609,MAP2K7,GO:0023052,biological_process,signaling,,1172,895,44643,222019,0.0,0.0,721.7361523391895,1,6,0,0
A,207,AKT1,GO:0016310,biological_process,phosphorylation,,4025,10280,15202,239222,0.0,0.0,721.7361523391895,5,8,0,1
V,7424,VEGFC,GO:0001946,biological_process,lymphangiogenesis,,180,450,286,267813,0.0,0.0,721.7361523391895,3,1,1,0
R,11186,RASSF1,GO:0032259,biological_process,methylation,,794,156,8617,259162,0.0,0.0,721.7361523391895,2,1,0,0
P,5747,PTK2,GO:0005925,cellular_component,focal adhesion,,556,1250,436,266487,0.0,0.0,721.7361523391895,5,1,0,3
M,2475,MTOR,GO:0023052,biological_process,signaling,,2612,2281,43203,220633,0.0,0.0,721.7361523391895,1,6,0,0
C,29126,CD274,GO:0012501,biological_process,programmed cell death,,1267,3444,1015,263003,0.0,0.0,721.7361523391895,3,10,0,0
M,5594,MAPK1,GO:0023052,biological_process,signaling,,3769,3640,42046,219274,0.0,0.0,721.7361523391895,1,6,0,0
P,5468,PPARG,GO:0005777,cellular_component,peroxisome,,342,406,134,267847,0.0,0.0,721.7361523391895,6,9,0,0
C,1029,CDKN2A,GO:0032259,biological_process,methylation,,1100,855,8311,258463,0.0,0.0,721.7361523391895,2,1,0,0
M,5595,MAPK3,GO:0016310,biological_process,phosphorylation,,982,1625,18245,247877,0.0,0.0,721.7361523391895,5,8,0,1
S,6774,STAT3,GO:0023052,biological_process,signaling,,2228,2739,43587,220175,0.0,0.0,721.7361523391895,1,6,0,0
T,7015,TERT,GO:0003720,molecular_function,telomerase activity,,184,454,143,267948,0.0,0.0,721.7361523391895,5,1,1,3
E,27436,EML4,GO:0005874,cellular_component,microtubule,,485,653,930,266661,0.0,0.0,721.7361523391895,6,7,1,2
E,1956,EGFR,GO:0040007,biological_process,growth,,30663,17530,36609,183927,0.0,0.0,721.7361523391895,1,10,1,0
A,238,ALK,GO:0005874,cellular_component,microtubule,,507,3764,908,263550,0.0,0.0,721.7361523391895,6,7,0,0
C,1019,CDK4,GO:0007049,biological_process,cell cycle,,426,426,9849,258028,0.0,0.0,721.7361523391895,2,2,1,0
M,2475,MTOR,GO:0006914,biological_process,autophagy,,714,4179,5740,258096,0.0,0.0,721.7361523391895,3,7,0,0
D,1769,DNAH8,GO:0016887,molecular_function,ATPase,,348,0,372,268009,0.0,0.0,721.7361523391895,1,16,0,0
S,8878,SQSTM1,GO:0006914,biological_process,autophagy,,313,214,6141,262061,0.0,0.0,721.7361523391895,3,7,0,1
E,1956,EGFR,GO:0007049,biological_process,cell cycle,,344,47849,9931,210605,0.0,0.0,721.7361523391895,2,2,1,0
E,1956,EGFR,GO:0010467,biological_process,gene expression,,449,47744,8973,211563,0.0,0.0,721.7361523391895,4,4,0,0
A,207,AKT1,GO:0023052,biological_process,signaling,,7285,7020,38530,215894,0.0,0.0,721.7361523391895,1,6,0,0
C,595,CCND1,GO:0007049,biological_process,cell cycle,,616,1101,9659,257353,0.0,0.0,721.7361523391895,2,2,1,0
E,1956,EGFR,GO:0032259,biological_process,methylation,,209,47984,9202,211334,0.0,0.0,721.7361523391895,2,1,0,0
C,1499,CTNNB1,GO:0023052,biological_process,signaling,,2498,1752,43317,221162,0.0,0.0,721.7361523391895,1,6,0,0
V,7422,VEGFA,GO:0001525,biological_process,angiogenesis,,2244,5799,5302,255384,0.0,0.0,721.7361523391895,3,5,0,2
S,6774,STAT3,GO:0016310,biological_process,phosphorylation,,1237,3730,17990,245772,0.0,0.0,721.7361523391895,5,8,0,0
V,7422,VEGFA,GO:0040007,biological_process,growth,,5076,2967,62196,198490,0.0,0.0,721.7361523391895,1,10,1,0
M,4282,MIF,GO:1905517,biological_process,macrophage migration,,160,166,41,268362,0.0,0.0,721.7361523391895,4,2,1,0
E,4072,EPCAM,GO:0007155,biological_process,cell adhesion,,232,237,1739,266521,0.0,0.0,721.7361523391895,2,7,0,0
P,5133,PDCD1,GO:0012501,biological_process,programmed cell death,,884,1473,1398,264974,0.0,0.0,721.7361523391895,3,10,0,0
C,54205,CYCS,GO:0005829,cellular_component,cytosol,,218,513,498,267500,0.0,0.0,721.7361523391895,2,1,0,1
B,8678,BECN1,GO:0006914,biological_process,autophagy,,644,233,5810,262042,0.0,0.0,721.7361523391895,3,7,0,2
