Letter,Gene_ID,Gene_Name,GO_ID,GO_Namespace,GO_Name,GOF,a,b,c,d,Pvalue,Adjusted_Pvalue,Enrichment_Score,GO_Level,GO_Children,GSEA_MSigDB,NCBI_Entrez
P,5747,PTK2,GO:0005925,cellular_component,focal adhesion,,219,362,53,29430,0.0,0.0,613.2473851033601,5,1,0,3
V,7422,VEGFA,GO:0040007,biological_process,growth,,696,351,4851,24166,4.6778318658218845e-267,4.6778318658218845e-267,613.2473851033601,1,10,1,0
E,1956,EGFR,GO:0040007,biological_process,growth,,658,459,4889,24058,8.877413083931235e-208,8.877413083931235e-208,476.75418914757626,1,10,1,0
A,207,AKT1,GO:0016310,biological_process,phosphorylation,,438,972,1546,27108,2.951371086966953e-184,2.951371086966953e-184,422.5933872732842,5,8,0,1
C,925,CD8A,GO:0007613,biological_process,memory,,123,330,68,29543,3.3514197567914034e-180,3.3514197567914034e-180,413.25593267487505,3,4,0,0
C,29126,CD274,GO:0012501,biological_process,programmed cell death,,111,222,85,29646,5.336800014537519e-170,5.336800014537518e-170,389.7648395838506,3,10,0,0
A,207,AKT1,GO:0023052,biological_process,signaling,,593,817,3520,25134,1.198914302448366e-160,1.2115344530004542e-160,368.22172717987723,1,6,0,0
V,7422,VEGFA,GO:0001525,biological_process,angiogenesis,,221,826,538,28479,9.611958944020775e-143,9.747338647457686e-143,326.992674009634,3,5,0,2
D,1769,DNAH8,GO:0016887,molecular_function,ATPase,,53,0,49,29962,7.625347326647187e-139,7.625347326647187e-139,318.0278500536806,1,16,0,0
M,5594,MAPK1,GO:0016310,biological_process,phosphorylation,,273,451,1711,27629,8.576039544456763e-136,8.576039544456763e-136,311.0026004318117,5,8,0,0
S,113235,SLC46A1,GO:0006810,biological_process,transport,,69,26,136,29833,1.1071624433099741e-132,1.1071624433099741e-132,303.83943189032897,3,34,0,0
M,4282,MIF,GO:1905517,biological_process,macrophage migration,,52,40,6,29966,8.864105823898318e-132,8.864105823898318e-132,301.7592222066637,4,2,1,0
M,94025,MUC16,GO:0005488,molecular_function,binding,,178,84,2399,27403,4.5731156498074657e-126,4.5731156498074657e-126,288.60552698319157,1,52,0,0
E,1977,EIF4E,GO:0006412,biological_process,translation,,84,75,277,29628,2.6280885079911296e-120,2.6280885079911296e-120,275.3439543803904,5,4,0,0
F,2191,FAP,GO:0072537,biological_process,fibroblast activation,,44,25,11,29984,1.2482725293455927e-113,1.2482725293455927e-113,259.97035488934677,3,1,0,0
M,2475,MTOR,GO:0023052,biological_process,signaling,,348,412,3765,25539,2.598672073966925e-105,2.598672073966925e-105,240.81643419060183,1,6,0,0
M,10232,MSLN,GO:0009986,cellular_component,cell surface,,192,1049,498,28325,4.7558926285736225e-105,4.7558926285736225e-105,240.21205036179487,2,1,1,1
P,5133,PDCD1,GO:0012501,biological_process,programmed cell death,,65,88,131,29780,4.8726494006942205e-104,4.8726494006942205e-104,237.88521185743087,3,10,0,0
M,5595,MAPK3,GO:0016310,biological_process,phosphorylation,,181,235,1803,27845,6.97848133415122e-102,6.97848133415122e-102,232.92084816619484,5,8,0,1
A,9776,ATG13,GO:0006914,biological_process,autophagy,,55,3,460,29546,1.1192007981404006e-94,1.1192007981404006e-94,216.33038388393666,3,7,0,0
B,8314,BAP1,GO:0006281,biological_process,DNA repair,,134,1060,231,28639,1.8346627435001867e-92,1.8346627435001867e-92,211.23096788184537,5,15,0,0
M,84557,MAP1LC3A,GO:0006914,biological_process,autophagy,,69,50,446,29499,6.308747147595188e-91,6.308747147595188e-91,207.69330635592064,3,7,0,0
M,10232,MSLN,GO:0005488,molecular_function,binding,,333,908,2244,26579,1.9747683927552287e-84,1.9964691443239675e-84,192.7257676189822,1,52,0,0
M,4582,MUC1,GO:0016020,cellular_component,membrane,,92,71,1137,28764,7.91729678043259e-84,7.91729678043259e-84,191.34809797953687,2,16,0,0
P,10630,PDPN,GO:0070527,biological_process,platelet aggregation,,37,172,2,29853,3.6300393540481404e-79,3.6300393540481404e-79,180.61497885697605,5,1,1,0
C,920,CD4,GO:0007613,biological_process,memory,,53,117,138,29756,3.244953893827823e-76,3.244953893827823e-76,173.81936592586592,3,4,0,0
H,3082,HGF,GO:0040007,biological_process,growth,,221,132,5326,24385,9.012713884944167e-76,9.012713884944166e-76,172.79783083318537,1,10,0,0
E,1978,EIF4EBP1,GO:0016310,biological_process,phosphorylation,,96,53,1888,28027,1.56127349090034e-75,1.56127349090034e-75,172.24838014599578,5,8,0,0
C,1026,CDKN1A,GO:0007049,biological_process,cell cycle,,90,86,1260,28628,3.964718768558981e-73,3.964718768558981e-73,166.71127686447855,2,2,1,0
H,3146,HMGB1,GO:0046903,biological_process,secretion,,89,284,513,29178,3.1588787607594657e-69,3.1588787607594657e-69,157.72815427449922,4,10,1,0
S,6573,SLC19A1,GO:0006810,biological_process,transport,,35,10,170,29849,2.1396351044395997e-68,2.1396351044395997e-68,155.81515102104427,3,34,0,0
R,6198,RPS6KB1,GO:0016310,biological_process,phosphorylation,,84,42,1900,28038,4.372414874513665e-68,4.372414874513665e-68,155.1004708642528,5,8,0,0
S,79801,SHCBP1,GO:0097707,biological_process,ferroptosis,,32,16,91,29925,9.903842082468285e-67,9.903842082468285e-67,151.98027845960942,4,1,0,0
R,11186,RASSF1,GO:0032259,biological_process,methylation,,45,13,602,29404,5.009412528501245e-64,5.009412528501245e-64,145.7541273031778,2,1,0,0
M,94025,MUC16,GO:0007155,biological_process,cell adhesion,,63,199,298,29504,1.6192106706326713e-63,1.6839790974579783e-63,144.54170135531766,2,7,0,1
H,3054,HCFC1,GO:0043657,cellular_component,host cell,,30,63,30,29941,3.0009746518010776e-61,3.000974651801078e-61,139.35875355279833,3,1,0,0
M,10232,MSLN,GO:0016020,cellular_component,membrane,,191,1050,1038,27785,8.065884513441594e-59,8.245126391518074e-59,133.74289820128004,2,16,0,1
V,7431,VIM,GO:0016020,cellular_component,membrane,,83,138,1146,28697,3.3798850789354796e-57,3.3798850789354796e-57,130.02950859205865,2,16,0,0
C,834,CASP1,GO:0070269,biological_process,pyroptosis,,24,46,12,29982,9.089197569278174e-57,9.089197569278174e-57,129.0402636725748,4,1,0,2
E,1981,EIF4G1,GO:0006412,biological_process,translation,,41,42,320,29661,9.489544212935523e-57,9.489544212935523e-57,128.99715971733383,5,4,0,1
N,4771,NF2,GO:0035329,biological_process,hippo signaling,,61,823,75,29105,1.7789293667625748e-56,1.7789293667625746e-56,128.3687535036707,4,1,1,0
Z,100128252,ZNF667-AS1,GO:0006306,biological_process,DNA methylation,,25,5,138,29896,4.564599540300196e-53,4.564599540300196e-53,120.51867914240655,4,4,0,0
C,961,CD47,GO:0006909,biological_process,phagocytosis,,31,58,92,29883,1.0802509555427559e-52,1.0802509555427559e-52,119.65723145530382,3,1,1,0
C,595,CCND1,GO:0007049,biological_process,cell cycle,,71,93,1279,28621,2.0959550902674593e-51,2.0959550902674593e-51,116.6918304028662,2,2,1,0
D,10059,DNM1L,GO:0000266,biological_process,mitochondrial fission,,18,11,11,30024,1.9060601748214026e-50,1.9060601748214026e-50,114.48421627370872,6,1,1,3
I,3569,IL6,GO:0032635,biological_process,interleukin-6 production,,23,205,0,29836,5.526921824992539e-50,5.526921824992539e-50,113.41962362115373,3,1,0,0
M,5594,MAPK1,GO:0023052,biological_process,signaling,,255,469,3858,25482,7.073164354767367e-50,7.171402748583581e-50,113.15915337286151,1,6,0,0
T,7157,TP53,GO:0007049,biological_process,cell cycle,,171,887,1179,27827,1.0220600757117533e-49,1.0220600757117533e-49,112.80484928415753,2,2,1,0
C,1499,CTNNB1,GO:0023052,biological_process,signaling,,146,149,3967,25802,1.5927104102496628e-49,1.5927104102496628e-49,112.36123233122642,1,6,0,0
B,8314,BAP1,GO:0051179,biological_process,localization,,130,1064,586,28284,3.1601194848743717e-49,3.18602210360285e-49,111.667896407516,1,10,0,0
M,2475,MTOR,GO:0006914,biological_process,autophagy,,90,670,425,28879,1.1707661568611219e-48,1.1848717732088461e-48,110.35444990324461,3,7,0,0
E,1869,E2F1,GO:0003677,molecular_function,DNA binding,,25,45,52,29942,1.2184363045166129e-48,1.2184363045166129e-48,110.32651614468092,4,15,0,1
B,8314,BAP1,GO:0006302,biological_process,double-strand break repair,,44,1150,20,28850,9.561307238968946e-47,9.71934537515025e-47,105.94738110275136,6,5,0,0
