Letter,Gene_ID,Gene_Name,GO_ID,GO_Namespace,GO_Name,GOF,a,b,c,d,Pvalue,Adjusted_Pvalue,Enrichment_Score,GO_Level,GO_Children,GSEA_MSigDB,NCBI_Entrez
C,1588,CYP19A1,GO:0070330,molecular_function,aromatase activity,,173,419,90,224856,0.0,0.0,741.0727760913948,5,1,1,2
E,4072,EPCAM,GO:0007155,biological_process,cell adhesion,,393,470,2226,222449,0.0,0.0,741.0727760913948,2,7,0,0
P,142,PARP1,GO:0006281,biological_process,DNA repair,,694,2209,3087,219548,0.0,0.0,741.0727760913948,5,15,1,1
M,4282,MIF,GO:1905517,biological_process,macrophage migration,,208,75,22,225233,0.0,0.0,741.0727760913948,4,2,1,0
B,8678,BECN1,GO:0006914,biological_process,autophagy,,606,172,3799,220961,0.0,0.0,741.0727760913948,3,7,0,2
T,7040,TGFB1,GO:0023052,biological_process,signaling,,1621,2429,30470,191018,0.0,0.0,741.0727760913948,1,6,0,0
G,2796,GNRH1,GO:0030728,biological_process,ovulation,,462,2080,1842,221154,0.0,0.0,741.0727760913948,3,1,0,0
G,2796,GNRH1,GO:0009566,biological_process,fertilization,,350,2192,768,222228,0.0,0.0,741.0727760913948,2,3,0,0
P,5747,PTK2,GO:0005925,cellular_component,focal adhesion,,495,1127,461,223455,0.0,0.0,741.0727760913948,5,1,0,3
C,1499,CTNNB1,GO:0023052,biological_process,signaling,,2291,1601,29800,191846,0.0,0.0,741.0727760913948,1,6,0,0
M,5594,MAPK1,GO:0023052,biological_process,signaling,,2264,2661,29827,190786,0.0,0.0,741.0727760913948,1,6,0,0
M,5594,MAPK1,GO:0016310,biological_process,phosphorylation,,1486,3439,11237,209376,0.0,0.0,741.0727760913948,5,8,0,0
T,7157,TP53,GO:0007049,biological_process,cell cycle,,1078,5483,7750,211227,0.0,0.0,741.0727760913948,2,2,1,0
C,595,CCND1,GO:0007049,biological_process,cell cycle,,494,731,8334,215979,0.0,0.0,741.0727760913948,2,2,1,0
A,174,AFP,GO:0060417,cellular_component,yolk,,167,101,178,225092,0.0,0.0,741.0727760913948,2,1,0,0
A,207,AKT1,GO:0023052,biological_process,signaling,,4557,5134,27534,188313,0.0,0.0,741.0727760913948,1,6,0,0
A,207,AKT1,GO:0016310,biological_process,phosphorylation,,2663,7028,10060,205787,0.0,0.0,741.0727760913948,5,8,0,1
M,4436,MSH2,GO:0006298,biological_process,mismatch repair,,258,229,728,224323,0.0,0.0,741.0727760913948,6,2,1,1
C,1026,CDKN1A,GO:0007049,biological_process,cell cycle,,495,657,8333,216053,0.0,0.0,741.0727760913948,2,2,1,0
T,7015,TERT,GO:0003720,molecular_function,telomerase activity,,200,510,139,224689,0.0,0.0,741.0727760913948,5,1,1,3
C,29126,CD274,GO:0012501,biological_process,programmed cell death,,245,594,411,224288,0.0,0.0,741.0727760913948,3,10,0,0
G,2720,GLB1,GO:0004565,molecular_function,beta-galactosidase activity,,98,58,0,225382,0.0,0.0,741.0727760913948,6,1,0,1
N,4790,NFKB1,GO:0023052,biological_process,signaling,,1299,1635,30792,191812,0.0,0.0,741.0727760913948,1,6,0,0
