Letter,Gene_ID,Gene_Name,GO_ID,GO_Namespace,GO_Name,GOF,a,b,c,d,Pvalue,Adjusted_Pvalue,Enrichment_Score,GO_Level,GO_Children,GSEA_MSigDB,NCBI_Entrez
I,3630,INS,GO:0030073,biological_process,insulin secretion,,120,161,9,12093,1.4638066966223286e-197,1.4638066966223286e-197,453.22822295083193,5,1,0,0
P,5443,POMC,GO:0046903,biological_process,secretion,,176,156,490,11561,4.155515415344224e-139,4.155515415344224e-139,318.6348914585439,4,10,1,0
V,7422,VEGFA,GO:0040007,biological_process,growth,,220,102,1489,10572,2.7939005288270925e-115,2.7939005288270925e-115,263.7698470358225,1,10,1,0
S,6390,SDHB,GO:0045281,cellular_component,succinate dehydrogenase complex,,155,1116,54,11058,2.2148864740603127e-109,2.2148864740603127e-109,250.18657398741328,4,2,0,0
G,2688,GH1,GO:0040007,biological_process,growth,,144,20,1565,10654,1.055420171022294e-102,1.055420171022294e-102,234.8097405313798,1,10,1,0
S,6271,S100A1,GO:0005819,cellular_component,spindle,,65,72,76,12170,7.046006906853177e-95,7.046006906853177e-95,216.7931227742641,5,2,0,0
M,5594,MAPK1,GO:0016310,biological_process,phosphorylation,,105,153,311,11814,8.350009555274665e-89,8.350009555274665e-89,202.8078105932637,5,8,0,0
P,142,PARP1,GO:0006281,biological_process,DNA repair,,43,35,36,12269,4.329835803687963e-79,4.329835803687963e-79,180.43869272586056,5,15,1,1
A,207,AKT1,GO:0023052,biological_process,signaling,,173,155,1278,10777,3.2837148462237956e-76,3.2837148462237956e-76,173.8074917109625,1,6,0,0
N,4803,NGF,GO:0040007,biological_process,growth,,144,70,1565,10604,1.544939562259481e-73,1.544939562259481e-73,167.6537269972594,1,10,1,0
E,2026,ENO2,GO:0005883,cellular_component,neurofilament,,40,53,47,12243,4.574476731696971e-65,4.574476731696971e-65,148.14753872801222,7,1,0,0
S,6392,SDHD,GO:0045281,cellular_component,succinate dehydrogenase complex,,78,322,131,11852,3.591583331034524e-63,3.591583331034524e-63,143.78426771406853,4,2,0,0
S,6855,SYP,GO:0005883,cellular_component,neurofilament,,43,102,44,12194,8.429224992956125e-62,8.429224992956125e-62,140.62857093224946,7,1,0,0
V,7422,VEGFA,GO:0001525,biological_process,angiogenesis,,81,241,215,11846,1.8191838020954283e-61,1.8646633971478143e-61,139.83461011993327,3,5,0,2
G,2691,GHRH,GO:0040007,biological_process,growth,,109,42,1600,10632,1.0752292834192522e-60,1.0752292834192522e-60,138.0825716539039,1,10,1,0
S,6390,SDHB,GO:0022900,biological_process,electron transport chain,,75,1196,14,11098,1.7729196824265246e-60,1.789645339807907e-60,137.5730881136068,4,2,1,0
S,6389,SDHA,GO:0045281,cellular_component,succinate dehydrogenase complex,,61,156,148,12018,4.414407340060262e-59,4.414407340060262e-59,134.3676468994154,4,2,0,0
S,54949,SDHAF2,GO:0045281,cellular_component,succinate dehydrogenase complex,,58,128,151,12046,4.91043711286301e-59,4.91043711286301e-59,134.26115752378175,4,2,0,0
A,85300,ATCAY,GO:0005488,molecular_function,binding,,73,26,1015,11269,4.7006174851428e-56,4.7006174851428e-56,127.3970713277625,1,52,0,0
M,84557,MAP1LC3A,GO:0006914,biological_process,autophagy,,31,19,67,12266,9.785765382673902e-55,9.785765382673902e-55,124.36125129688617,3,7,0,0
M,5595,MAPK3,GO:0016310,biological_process,phosphorylation,,55,56,361,11911,8.987360407216617e-52,8.987360407216617e-52,117.53860564464516,5,8,0,1
A,207,AKT1,GO:0016310,biological_process,phosphorylation,,80,248,336,11719,3.5668040498043797e-47,3.658260563901928e-47,106.92451159204118,5,8,0,1
