Letter,Gene_ID,Gene_Name,GO_ID,GO_Namespace,GO_Name,GOF,a,b,c,d,Pvalue,Adjusted_Pvalue,Enrichment_Score,GO_Level,GO_Children,GSEA_MSigDB,NCBI_Entrez
M,5595,MAPK3,GO:0016310,biological_process,phosphorylation,,975,1436,21670,304843,0.0,0.0,739.001992612458,5,8,0,1
B,8678,BECN1,GO:0006914,biological_process,autophagy,,457,169,5242,323056,0.0,0.0,739.001992612458,3,7,0,2
C,1499,CTNNB1,GO:0023052,biological_process,signaling,,2776,2218,53108,270822,0.0,0.0,739.001992612458,1,6,0,0
A,207,AKT1,GO:0023052,biological_process,signaling,,7190,8274,48694,264766,0.0,0.0,739.001992612458,1,6,0,0
T,7157,TP53,GO:0007049,biological_process,cell cycle,,976,4941,11588,311419,0.0,0.0,739.001992612458,2,2,1,0
I,3479,IGF1,GO:0040007,biological_process,growth,,2296,1079,54489,271060,0.0,0.0,739.001992612458,1,10,1,0
B,675,BRCA2,GO:0006281,biological_process,DNA repair,,320,567,2763,325274,0.0,0.0,739.001992612458,5,15,1,0
A,207,AKT1,GO:0016310,biological_process,phosphorylation,,4387,11077,18258,295202,0.0,0.0,739.001992612458,5,8,0,1
C,54205,CYCS,GO:0005829,cellular_component,cytosol,,213,707,827,327177,0.0,0.0,739.001992612458,2,1,0,1
C,1019,CDK4,GO:0007049,biological_process,cell cycle,,398,358,12166,316002,0.0,0.0,739.001992612458,2,2,1,0
B,672,BRCA1,GO:0006281,biological_process,DNA repair,,364,921,2719,324920,0.0,0.0,739.001992612458,5,15,1,0
F,2346,FOLH1,GO:0023052,biological_process,signaling,,202,8877,55682,264163,0.0,0.0,739.001992612458,1,6,0,0
S,6714,SRC,GO:0016310,biological_process,phosphorylation,,938,2179,21707,304100,0.0,0.0,739.001992612458,5,8,0,0
F,2346,FOLH1,GO:0016020,cellular_component,membrane,,5754,3325,7138,312707,0.0,0.0,739.001992612458,2,16,0,0
B,675,BRCA2,GO:0035825,biological_process,homologous recombination,,206,681,527,327510,0.0,0.0,739.001992612458,6,2,0,0
F,2346,FOLH1,GO:0040007,biological_process,growth,,355,8724,56430,263415,0.0,0.0,739.001992612458,1,10,0,0
K,354,KLK3,GO:0031982,cellular_component,vesicle,,1353,8940,888,317743,0.0,0.0,739.001992612458,4,2,0,0
M,84557,MAP1LC3A,GO:0006914,biological_process,autophagy,,537,321,5162,322904,0.0,0.0,739.001992612458,3,7,0,0
M,84557,MAP1LC3A,GO:0005776,cellular_component,autophagosome,,168,690,190,327876,0.0,0.0,739.001992612458,6,2,1,7
M,4282,MIF,GO:1905517,biological_process,macrophage migration,,105,89,28,328702,0.0,0.0,739.001992612458,4,2,1,0
E,1956,EGFR,GO:0040007,biological_process,growth,,2838,2885,53947,269254,0.0,0.0,739.001992612458,1,10,1,0
G,2720,GLB1,GO:0004565,molecular_function,beta-galactosidase activity,,155,76,5,328688,0.0,0.0,739.001992612458,6,1,0,1
G,2950,GSTP1,GO:0032259,biological_process,methylation,,1291,526,8453,318654,0.0,0.0,739.001992612458,2,1,0,0
D,1769,DNAH8,GO:0016887,molecular_function,ATPase,,363,15,477,328069,0.0,0.0,739.001992612458,1,16,0,0
I,3486,IGFBP3,GO:0005520,molecular_function,insulin-like growth factor binding,,300,1176,263,327185,0.0,0.0,739.001992612458,4,2,0,1
S,6462,SHBG,GO:0042562,molecular_function,hormone binding,,198,519,89,328118,0.0,0.0,739.001992612458,2,14,1,0
C,595,CCND1,GO:0007049,biological_process,cell cycle,,840,1296,11724,315064,0.0,0.0,739.001992612458,2,2,1,0
V,7422,VEGFA,GO:0001525,biological_process,angiogenesis,,1636,4456,5525,317307,0.0,0.0,739.001992612458,3,5,0,2
K,354,KLK3,GO:0046903,biological_process,secretion,,847,9446,4147,314484,0.0,0.0,739.001992612458,4,10,0,0
P,142,PARP1,GO:0006281,biological_process,DNA repair,,467,1471,2616,324370,0.0,0.0,739.001992612458,5,15,1,1
V,7422,VEGFA,GO:0040007,biological_process,growth,,3493,2599,53292,269540,0.0,0.0,739.001992612458,1,10,1,0
C,1026,CDKN1A,GO:0007049,biological_process,cell cycle,,742,1183,11822,315177,0.0,0.0,739.001992612458,2,2,1,0
A,367,AR,GO:0023052,biological_process,signaling,,13518,30550,42366,242490,0.0,0.0,739.001992612458,1,6,0,0
P,5468,PPARG,GO:0005777,cellular_component,peroxisome,,440,503,253,327728,0.0,0.0,739.001992612458,6,9,0,0
E,4072,EPCAM,GO:0007155,biological_process,cell adhesion,,304,297,2433,325890,0.0,0.0,739.001992612458,2,7,0,0
M,2475,MTOR,GO:0006914,biological_process,autophagy,,755,4580,4944,318645,0.0,0.0,739.001992612458,3,7,0,0
C,925,CD8A,GO:0007613,biological_process,memory,,291,740,274,327619,0.0,0.0,739.001992612458,3,4,0,0
A,367,AR,GO:0016020,cellular_component,membrane,,436,43632,12456,272400,0.0,0.0,739.001992612458,2,16,0,0
R,11186,RASSF1,GO:0032259,biological_process,methylation,,388,158,9356,319022,0.0,0.0,739.001992612458,2,1,0,0
P,5747,PTK2,GO:0005925,cellular_component,focal adhesion,,573,1343,742,326266,0.0,0.0,739.001992612458,5,1,0,3
M,2475,MTOR,GO:0023052,biological_process,signaling,,2664,2671,53220,270369,0.0,0.0,739.001992612458,1,6,0,0
I,3630,INS,GO:0040007,biological_process,growth,,1432,967,55353,271172,0.0,0.0,739.001992612458,1,10,1,0
F,3169,FOXA1,GO:0005488,molecular_function,binding,,1072,1073,36088,290691,0.0,0.0,739.001992612458,1,52,0,0
N,4790,NFKB1,GO:0023052,biological_process,signaling,,2214,3266,53670,269774,0.0,0.0,739.001992612458,1,6,0,0
T,7040,TGFB1,GO:0023052,biological_process,signaling,,2422,3741,53462,269299,0.0,0.0,739.001992612458,1,6,0,0
T,7040,TGFB1,GO:0040007,biological_process,growth,,2455,3708,54330,268431,0.0,0.0,739.001992612458,1,10,1,0
A,367,AR,GO:0005488,molecular_function,binding,,8905,35163,28255,256601,0.0,0.0,739.001992612458,1,52,0,0
M,5594,MAPK1,GO:0023052,biological_process,signaling,,2551,3282,53333,269758,0.0,0.0,739.001992612458,1,6,0,0
C,1027,CDKN1B,GO:0007049,biological_process,cell cycle,,443,539,12121,315821,0.0,0.0,739.001992612458,2,2,1,0
M,5594,MAPK1,GO:0016310,biological_process,phosphorylation,,1983,3850,20662,302429,0.0,0.0,739.001992612458,5,8,0,0
A,207,AKT1,GO:0005488,molecular_function,binding,,475,14989,36685,276775,1.13e-321,1.136e-321,739.001992612458,1,52,0,0
E,1950,EGF,GO:0040007,biological_process,growth,,1149,997,55636,271142,3.8043e-320,3.8043e-320,735.4910963135395,1,10,0,0
T,7015,TERT,GO:0003720,molecular_function,telomerase activity,,136,344,127,328317,7.1376e-318,7.1376e-318,730.2566832104385,5,1,1,3
A,472,ATM,GO:0006281,biological_process,DNA repair,,282,832,2801,325009,2.71134653106818e-309,2.71134653106818e-309,710.5013483487371,5,15,1,0
C,54205,CYCS,GO:0031966,cellular_component,mitochondrial membrane,,184,736,504,327500,1.7162158748535648e-307,1.7333780336021005e-307,706.3435514239687,4,2,0,0
E,1977,EIF4E,GO:0006412,biological_process,translation,,225,355,2527,325817,1.2028699450488972e-306,1.202869945048897e-306,704.4063281338834,5,4,0,0
M,4436,MSH2,GO:0006298,biological_process,mismatch repair,,119,66,278,328461,1.801349401884532e-305,1.8013494018845318e-305,701.6999173114286,6,2,1,1
S,8878,SQSTM1,GO:0006914,biological_process,autophagy,,275,368,5424,322857,1.8068298333251228e-301,1.8068298333251228e-301,692.4865391548537,3,7,0,1
C,1017,CDK2,GO:0007049,biological_process,cell cycle,,388,490,12176,315870,2.7712450851605495e-301,2.7712450851605495e-301,692.0588162827709,2,2,1,0
C,999,CDH1,GO:0098609,biological_process,cell-cell adhesion,,210,2834,229,325651,2.844596898829197e-301,2.844596898829197e-301,692.0326916212501,3,20,0,2
C,1586,CYP17A1,GO:0016829,molecular_function,lyase activity,,120,382,56,328366,7.909187300250164e-299,7.909187300250164e-299,686.4049177720498,2,14,1,0
X,7514,XPO1,GO:0051168,biological_process,nuclear export,,122,98,305,328399,6.998781801199657e-297,6.998781801199657e-297,681.922036513721,6,4,1,0
A,9474,ATG5,GO:0006914,biological_process,autophagy,,220,130,5479,323095,4.61790558365728e-292,4.61790558365728e-292,670.8249058888266,3,7,0,1
G,2638,GC,GO:0005499,molecular_function,vitamin D binding,,84,72,4,328764,1.0526754176692255e-285,1.0526754176692255e-285,656.1854165629969,4,1,1,1
I,3429,IFI27,GO:0007049,biological_process,cell cycle,,390,575,12174,315785,1.5604017159565084e-284,1.5604017159565084e-284,653.4892231119691,2,2,0,0
A,367,AR,GO:0001525,biological_process,angiogenesis,,123,43945,7038,277818,7.227344665092217e-283,7.268565262041412e-283,649.6480223957215,3,5,0,0
C,983,CDK1,GO:0007049,biological_process,cell cycle,,405,668,12159,315692,2.0508007177174325e-281,2.0508007177174325e-281,646.30818082043,2,2,1,0
F,3169,FOXA1,GO:0000785,cellular_component,chromatin,,384,1761,4953,321826,1.452458916893023e-269,1.4664248680169944e-269,619.0125626394492,2,5,1,0
C,920,CD4,GO:0007613,biological_process,memory,,137,320,428,328039,1.0337484127885541e-267,1.0337484127885541e-267,614.7570283974476,3,4,0,0
A,367,AR,GO:0000785,cellular_component,chromatin,,1696,42372,3641,281215,5.555258081477983e-267,5.5975838573368636e-267,613.0678847788191,2,5,1,2
P,142,PARP1,GO:0035825,biological_process,homologous recombination,,194,1744,539,326447,2.278510340618754e-256,2.292154115113477e-256,588.6322917694329,6,2,0,0
T,8743,TNFSF10,GO:0046960,biological_process,sensitization,,171,1011,566,327176,3.725364644115808e-253,3.725364644115808e-253,581.2388637894153,5,1,0,0
S,6774,STAT3,GO:0016310,biological_process,phosphorylation,,978,3241,21667,303038,2.8180373030404005e-252,2.8180373030404005e-252,579.2154027836939,5,8,0,0
R,5915,RARB,GO:0032259,biological_process,methylation,,217,99,9527,319081,1.1796874870200708e-250,1.1796874870200708e-250,575.481023686619,2,1,0,0
S,6774,STAT3,GO:0023052,biological_process,signaling,,1634,2585,54250,270455,3.31852561348479e-250,3.337274345764365e-250,574.4411188388268,1,6,0,0
