Letter,Gene_ID,Gene_Name,GO_ID,GO_Namespace,GO_Name,GOF,a,b,c,d,Pvalue,Adjusted_Pvalue,Enrichment_Score,GO_Level,GO_Children,GSEA_MSigDB,NCBI_Entrez
E,1956,EGFR,GO:0040007,biological_process,growth,,928,379,3197,15165,0.0,0.0,632.3270608564809,1,10,1,0
V,7422,VEGFA,GO:0040007,biological_process,growth,,689,252,3436,15292,2.4201746739492936e-275,2.4201746739492936e-275,632.3270608564809,1,10,1,0
M,4436,MSH2,GO:0006298,biological_process,mismatch repair,,135,58,281,19195,1.3282896319348197e-187,1.3282896319348197e-187,430.2995202662754,6,2,1,1
M,4292,MLH1,GO:0006298,biological_process,mismatch repair,,167,344,249,18909,4.0006527883578837e-160,4.0006527883578837e-160,367.0271573341531,6,2,1,1
M,4292,MLH1,GO:0032259,biological_process,methylation,,280,231,1526,17632,4.792964897291479e-157,4.856871095922032e-157,359.9254651769092,2,1,0,0
M,4255,MGMT,GO:0032259,biological_process,methylation,,201,76,1605,17787,3.580804754184866e-147,3.580804754184866e-147,337.2044211033022,2,1,1,0
P,5468,PPARG,GO:0005777,cellular_component,peroxisome,,62,13,23,19571,9.130947305033047e-147,9.130947305033047e-147,336.26833922350346,6,9,0,0
B,673,BRAF,GO:0032259,biological_process,methylation,,260,245,1546,17618,1.6425331483951093e-136,1.6425331483951093e-136,312.65533299434594,2,1,0,0
V,7422,VEGFA,GO:0001525,biological_process,angiogenesis,,225,716,445,18283,5.639709239603255e-133,5.701684066412082e-133,304.50305578675665,3,5,0,2
A,207,AKT1,GO:0023052,biological_process,signaling,,336,281,2349,16703,2.856434643265886e-132,2.856434643265886e-132,302.89165805629835,1,6,0,0
M,2956,MSH6,GO:0006298,biological_process,mismatch repair,,91,37,325,19216,1.318434045503748e-125,1.318434045503748e-125,287.5466919210667,6,2,1,1
M,5594,MAPK1,GO:0023052,biological_process,signaling,,231,142,2454,16842,2.126587924492189e-106,2.1265879244921887e-106,243.31950107546658,1,6,0,0
P,5290,PIK3CA,GO:0032259,biological_process,methylation,,171,124,1635,17739,3.265469568038707e-100,3.265469568038707e-100,229.07510572832223,2,1,1,0
I,3630,INS,GO:0040007,biological_process,growth,,279,128,3846,15416,6.68391988614552e-97,6.68391988614552e-97,221.4510493956759,1,10,1,0
P,5395,PMS2,GO:0006298,biological_process,mismatch repair,,68,28,348,19225,3.598413396754178e-93,3.598413396754178e-93,212.859920623255,6,2,1,1
K,3845,KRAS,GO:0032259,biological_process,methylation,,271,502,1535,17361,2.017112917078093e-92,2.017112917078093e-92,211.13616131536088,2,1,0,0
T,7040,TGFB1,GO:0023052,biological_process,signaling,,239,206,2446,16778,1.4088330986713908e-91,1.4088330986713908e-91,209.19248169030416,1,6,0,0
P,5747,PTK2,GO:0005925,cellular_component,focal adhesion,,48,46,68,19507,1.5609957959171216e-85,1.5609957959171216e-85,195.27440895616272,5,1,0,3
C,29126,CD274,GO:0012501,biological_process,programmed cell death,,45,77,45,19502,3.7615611640206825e-78,3.7615611640206825e-78,178.27680317910978,3,10,0,0
B,8678,BECN1,GO:0006914,biological_process,autophagy,,42,14,166,19447,6.626672595785739e-73,6.626672595785739e-73,166.19760898126913,3,7,0,2
P,5777,PTPN6,GO:0016791,molecular_function,phosphatase activity,,28,16,11,19614,1.2792481333690542e-70,1.2792481333690542e-70,160.9346840000416,5,69,1,0
I,3479,IGF1,GO:0040007,biological_process,growth,,195,85,3930,15459,1.5360219000624908e-69,1.5360219000624908e-69,158.44917552411212,1,10,1,0
M,56339,METTL3,GO:0001510,biological_process,RNA methylation,,28,42,2,19597,2.23803664051933e-69,2.23803664051933e-69,158.07277243484089,4,8,1,1
C,1499,CTNNB1,GO:0023052,biological_process,signaling,,291,467,2394,16517,7.987101130788946e-68,7.987101130788946e-68,154.49795844181577,1,6,0,0
P,5133,PDCD1,GO:0012501,biological_process,programmed cell death,,35,35,55,19544,6.41908487206659e-66,6.41908487206659e-66,150.1113405733572,3,10,0,0
I,3486,IGFBP3,GO:0005520,molecular_function,insulin-like growth factor binding,,32,58,17,19562,1.5935638200337566e-65,1.5935638200337566e-65,149.20205814031456,4,2,0,1
C,1029,CDKN2A,GO:0032259,biological_process,methylation,,118,99,1688,17764,8.352600237765403e-65,8.352600237765403e-65,147.5454581485065,2,1,0,0
V,7412,VCAM1,GO:0007155,biological_process,cell adhesion,,30,1,170,19468,5.247545180497402e-60,5.247545180497402e-60,136.49734519705817,2,7,0,1
C,925,CD8A,GO:0007613,biological_process,memory,,38,124,39,19468,6.20713604860418e-60,6.20713604860418e-60,136.32940597387497,3,4,0,0
M,2475,MTOR,GO:0023052,biological_process,signaling,,143,112,2542,16872,5.937010880785416e-58,5.937010880785416e-58,131.76872960566013,1,6,0,0
A,207,AKT1,GO:0016310,biological_process,phosphorylation,,123,494,627,18425,3.076805138016567e-54,3.12564331481048e-54,123.19995489893716,5,8,0,1
O,4953,ODC1,GO:0004586,molecular_function,ornithine decarboxylase activity,,18,13,0,19638,6.855508471306164e-54,6.855508471306164e-54,122.41454253616979,5,1,0,1
N,9603,NFE2L3,GO:0043248,biological_process,proteasome assembly,,21,35,2,19611,1.1871044814736229e-53,1.1871044814736229e-53,121.86549279547005,7,2,0,0
C,947,CD34,GO:0005819,cellular_component,spindle,,26,25,47,19571,9.458284181680572e-52,9.458284181680572e-52,117.48753384522094,5,2,0,0
K,354,KLK3,GO:0031982,cellular_component,vesicle,,39,252,42,19336,3.7028239619619625e-50,3.7028239619619625e-50,113.82015888820358,4,2,0,0
R,56729,RETN,GO:0007155,biological_process,cell adhesion,,26,4,174,19465,7.599303929613037e-49,7.599303929613037e-49,110.79861290181923,2,7,0,0
S,6422,SFRP1,GO:0032259,biological_process,methylation,,48,4,1758,17859,1.7583682911177935e-45,1.7583682911177935e-45,103.05194291303123,2,1,0,0
K,3815,KIT,GO:0005819,cellular_component,spindle,,26,53,47,19543,1.8553510949913428e-45,1.8553510949913428e-45,102.99825523704476,5,2,0,0
