Letter,Gene_ID,Gene_Name,GO_ID,GO_Namespace,GO_Name,GOF,a,b,c,d,Pvalue,Adjusted_Pvalue,Enrichment_Score,GO_Level,GO_Children,GSEA_MSigDB,NCBI_Entrez
V,7424,VEGFC,GO:0001946,biological_process,lymphangiogenesis,,225,253,182,233540,0.0,0.0,739.4772272911214,3,1,1,0
C,925,CD8A,GO:0007613,biological_process,memory,,349,870,393,232588,0.0,0.0,739.4772272911214,3,4,0,0
M,5594,MAPK1,GO:0023052,biological_process,signaling,,2473,3206,32326,196195,0.0,0.0,739.4772272911214,1,6,0,0
M,5595,MAPK3,GO:0016310,biological_process,phosphorylation,,732,1218,14080,218170,0.0,0.0,739.4772272911214,5,8,0,1
C,947,CD34,GO:0005819,cellular_component,spindle,,452,636,3627,229485,0.0,0.0,739.4772272911214,5,2,0,0
M,5594,MAPK1,GO:0016310,biological_process,phosphorylation,,1618,4061,13194,215327,0.0,0.0,739.4772272911214,5,8,0,0
G,2720,GLB1,GO:0004565,molecular_function,beta-galactosidase activity,,113,58,3,234026,0.0,0.0,739.4772272911214,6,1,0,1
I,3630,INS,GO:0040007,biological_process,growth,,951,500,36488,196261,0.0,0.0,739.4772272911214,1,10,1,0
X,7514,XPO1,GO:0051168,biological_process,nuclear export,,215,236,357,233392,0.0,0.0,739.4772272911214,6,4,1,0
C,1499,CTNNB1,GO:0023052,biological_process,signaling,,2538,1600,32261,197801,0.0,0.0,739.4772272911214,1,6,0,0
I,3479,IGF1,GO:0040007,biological_process,growth,,1166,828,36273,195933,0.0,0.0,739.4772272911214,1,10,1,0
M,84557,MAP1LC3A,GO:0006914,biological_process,autophagy,,482,349,5554,227815,0.0,0.0,739.4772272911214,3,7,0,0
P,5468,PPARG,GO:0005777,cellular_component,peroxisome,,305,262,144,233489,0.0,0.0,739.4772272911214,6,9,0,0
D,1769,DNAH8,GO:0016887,molecular_function,ATPase,,337,0,336,233527,0.0,0.0,739.4772272911214,1,16,0,0
P,5133,PDCD1,GO:0012501,biological_process,programmed cell death,,305,314,498,233083,0.0,0.0,739.4772272911214,3,10,0,0
I,3480,IGF1R,GO:0040007,biological_process,growth,,1906,1641,35533,195120,0.0,0.0,739.4772272911214,1,10,0,0
A,207,AKT1,GO:0023052,biological_process,signaling,,4872,4898,29927,194503,0.0,0.0,739.4772272911214,1,6,0,0
V,7422,VEGFA,GO:0001525,biological_process,angiogenesis,,2106,5083,4954,222057,0.0,0.0,739.4772272911214,3,5,0,2
T,7157,TP53,GO:0007049,biological_process,cell cycle,,1155,6248,8161,218636,0.0,0.0,739.4772272911214,2,2,1,0
M,2475,MTOR,GO:0023052,biological_process,signaling,,2197,2709,32602,196692,0.0,0.0,739.4772272911214,1,6,0,0
P,5747,PTK2,GO:0005925,cellular_component,focal adhesion,,524,954,399,232323,0.0,0.0,739.4772272911214,5,1,0,3
M,2475,MTOR,GO:0006914,biological_process,autophagy,,738,4168,5298,223996,0.0,0.0,739.4772272911214,3,7,0,0
V,7431,VIM,GO:0016020,cellular_component,membrane,,570,983,5855,226792,0.0,0.0,739.4772272911214,2,16,0,0
D,1674,DES,GO:0016020,cellular_component,membrane,,366,432,6059,227343,0.0,0.0,739.4772272911214,2,16,0,0
M,4582,MUC1,GO:0016020,cellular_component,membrane,,347,156,6078,227619,0.0,0.0,739.4772272911214,2,16,0,0
E,1956,EGFR,GO:0040007,biological_process,growth,,2807,2216,34632,194545,0.0,0.0,739.4772272911214,1,10,1,0
A,207,AKT1,GO:0016310,biological_process,phosphorylation,,2267,7503,12545,211885,0.0,0.0,739.4772272911214,5,8,0,1
C,29126,CD274,GO:0012501,biological_process,programmed cell death,,275,710,528,232687,0.0,0.0,739.4772272911214,3,10,0,0
