Letter,Gene_ID,Gene_Name,GO_ID,GO_Namespace,GO_Name,GOF,a,b,c,d,Pvalue,Adjusted_Pvalue,Enrichment_Score,GO_Level,GO_Children,GSEA_MSigDB,NCBI_Entrez
P,5133,PDCD1,GO:0012501,biological_process,programmed cell death,,422,663,268,88227,0.0,0.0,661.5255721663692,3,10,0,0
C,925,CD8A,GO:0007613,biological_process,memory,,912,1394,509,86765,0.0,0.0,661.5255721663692,3,4,0,0
M,4157,MC1R,GO:0043473,biological_process,pigmentation,,605,959,1391,86625,0.0,0.0,661.5255721663692,1,4,1,1
V,7422,VEGFA,GO:0001525,biological_process,angiogenesis,,560,1217,1636,86167,0.0,0.0,661.5255721663692,3,5,0,2
M,5594,MAPK1,GO:0023052,biological_process,signaling,,1872,1773,14193,71742,0.0,0.0,661.5255721663692,1,6,0,0
V,7422,VEGFA,GO:0040007,biological_process,growth,,1130,647,12904,74899,0.0,0.0,661.5255721663692,1,10,1,0
A,207,AKT1,GO:0023052,biological_process,signaling,,1874,1787,14191,71728,0.0,0.0,661.5255721663692,1,6,0,0
M,5594,MAPK1,GO:0016310,biological_process,phosphorylation,,990,2655,4739,81196,0.0,0.0,661.5255721663692,5,8,0,0
C,920,CD4,GO:0007613,biological_process,memory,,267,466,1154,87693,5.047709701285304e-288,5.047709701285304e-288,661.5255721663692,3,4,0,0
A,207,AKT1,GO:0016310,biological_process,phosphorylation,,847,2814,4882,81037,5.1056388810607044e-251,5.130067775228459e-251,576.3137394708646,5,8,0,1
C,1499,CTNNB1,GO:0023052,biological_process,signaling,,870,837,15195,72678,3.7374933783662306e-215,3.7374933783662306e-215,493.73737982667916,1,6,0,0
M,5609,MAP2K7,GO:0023052,biological_process,signaling,,904,912,15161,72603,2.550920831298032e-214,2.550920831298032e-214,491.8167554964271,1,6,0,0
C,29126,CD274,GO:0012501,biological_process,programmed cell death,,187,690,503,88200,9.830633233288421e-214,9.830633233288421e-214,490.4677065501991,3,10,0,0
C,1026,CDKN1A,GO:0007049,biological_process,cell cycle,,278,370,3213,85719,2.1563590483367168e-212,2.1563590483367168e-212,487.37961854107726,2,2,1,0
M,84557,MAP1LC3A,GO:0006914,biological_process,autophagy,,160,98,1422,87900,2.478433809028538e-212,2.478433809028538e-212,487.24041288267654,3,7,0,0
M,4255,MGMT,GO:0032259,biological_process,methylation,,180,131,1823,87446,6.480649689628388e-212,6.480649689628388e-212,486.27921894865415,2,1,1,0
E,1956,EGFR,GO:0040007,biological_process,growth,,703,665,13331,74881,2.3168831156547855e-210,2.3168831156547855e-210,482.7026467309875,1,10,1,0
B,8678,BECN1,GO:0006914,biological_process,autophagy,,141,65,1441,87933,1.509478201443179e-196,1.509478201443179e-196,450.89491419768456,3,7,0,2
C,1493,CTLA4,GO:0012501,biological_process,programmed cell death,,178,774,512,88116,6.272298861378146e-192,6.272298861378146e-192,440.2601949228517,3,10,0,0
T,7157,TP53,GO:0007049,biological_process,cell cycle,,457,1855,3034,84234,1.8652404617578398e-188,1.8652404617578398e-188,432.26260750417765,2,2,1,0
Z,22882,ZHX2,GO:0023052,biological_process,signaling,,718,644,15347,72871,4.341853214759858e-188,4.341853214759858e-188,431.41769621790104,1,6,0,0
B,673,BRAF,GO:0023052,biological_process,signaling,,1538,2718,14527,70797,8.59251868263969e-185,8.59251868263969e-185,423.8273502998628,1,6,0,0
D,1769,DNAH8,GO:0016887,molecular_function,ATPase,,63,1,106,89410,2.4939601777815892e-176,2.4939601777815892e-176,404.34110448703035,1,16,0,0
E,1977,EIF4E,GO:0006412,biological_process,translation,,108,110,579,88783,5.837874168572461e-169,5.837874168572461e-169,387.37251399765285,5,4,0,0
M,5595,MAPK3,GO:0016310,biological_process,phosphorylation,,379,759,5350,83092,4.8019739097584276e-166,4.8019739097584276e-166,380.66009837243047,5,8,0,1
F,2247,FGF2,GO:0040007,biological_process,growth,,330,117,13704,75429,4.9592762967717386e-166,4.9592762967717386e-166,380.62786561482926,1,10,1,0
C,595,CCND1,GO:0007049,biological_process,cell cycle,,219,330,3272,85759,1.0538387164268105e-158,1.0538387164268105e-158,363.7560052751168,2,2,1,0
G,2720,GLB1,GO:0004565,molecular_function,beta-galactosidase activity,,48,30,3,89499,1.7694842649550765e-151,1.7694842649550765e-151,347.11966091370493,6,1,0,1
C,1493,CTLA4,GO:0001775,biological_process,cell activation,,131,821,301,88327,9.291872553247885e-151,9.399917582936813e-151,345.4496481206361,2,14,1,0
P,5468,PPARG,GO:0005777,cellular_component,peroxisome,,65,62,99,89354,4.995309246727653e-148,4.995309246727653e-148,339.1740944416779,6,9,0,0
C,1029,CDKN2A,GO:0007049,biological_process,cell cycle,,323,1150,3168,84939,1.4582612977096674e-145,1.4582612977096674e-145,333.4975936500714,2,2,1,0
P,5747,PTK2,GO:0005925,cellular_component,focal adhesion,,84,234,158,89104,2.5206694090603693e-145,2.5206694090603693e-145,332.95031397937294,5,1,0,3
T,7299,TYR,GO:0043473,biological_process,pigmentation,,216,834,1780,86750,9.478329928533574e-140,9.478329928533574e-140,320.11290488629504,1,4,1,1
M,2475,MTOR,GO:0023052,biological_process,signaling,,592,606,15473,72909,6.93407810583535e-138,6.93407810583535e-138,315.82029472179727,1,6,0,0
C,1029,CDKN2A,GO:0005694,cellular_component,chromosome,,212,1261,1168,86939,1.968701921730059e-137,1.9852456353580425e-137,314.76841508792864,5,6,0,0
M,5595,MAPK3,GO:0023052,biological_process,signaling,,565,573,15500,72942,9.982749902273704e-133,1.0054568246894378e-132,303.93579028505064,1,6,0,0
F,2191,FAP,GO:0072537,biological_process,fibroblast activation,,47,42,24,89467,1.0985957746943213e-129,1.0985957746943213e-129,296.9394442003949,3,1,0,0
C,1019,CDK4,GO:0007049,biological_process,cell cycle,,185,326,3306,85763,5.381620816683791e-125,5.381620816683791e-125,286.14014702841223,2,2,1,0
S,51151,SLC45A2,GO:0043473,biological_process,pigmentation,,95,42,1901,87542,1.739155690336889e-123,1.739155690336889e-123,282.66456667824457,1,4,1,0
T,7040,TGFB1,GO:0040007,biological_process,growth,,518,637,13516,74909,1.7476753832185073e-123,1.7476753832185073e-123,282.65967988582094,1,10,1,0
M,4162,MCAM,GO:0007155,biological_process,cell adhesion,,91,120,820,88549,3.822031005725448e-123,3.822031005725448e-123,281.87718448004773,2,7,0,0
N,4790,NFKB1,GO:0023052,biological_process,signaling,,638,790,15427,72725,2.48889009822311e-122,2.48889009822311e-122,280.0035444778557,1,6,0,0
P,5465,PPARA,GO:0005777,cellular_component,peroxisome,,51,38,113,89378,7.939480140354956e-119,7.939480140354956e-119,271.9357782666828,6,9,0,0
C,148170,CDC42EP5,GO:0042641,cellular_component,actomyosin,,39,16,28,89497,2.609316984788317e-115,2.609316984788317e-115,263.83819719887987,2,1,0,0
T,8743,TNFSF10,GO:0046960,biological_process,sensitization,,70,271,160,89079,1.865421224131255e-113,1.865421224131255e-113,259.5686286232903,5,1,0,0
A,434,ASIP,GO:0043473,biological_process,pigmentation,,108,127,1888,87457,1.9299731115144656e-112,1.9299731115144656e-112,257.23202434437115,1,4,1,0
C,1236,CCR7,GO:0007613,biological_process,memory,,78,40,1343,88119,1.4294219872671972e-110,1.4294219872671972e-110,252.9270900714942,3,4,0,0
A,48,ACO1,GO:0097707,biological_process,ferroptosis,,42,21,72,89445,1.1582558005913875e-109,1.1582558005913875e-109,250.8348598829838,4,1,0,0
S,6774,STAT3,GO:0016310,biological_process,phosphorylation,,288,712,5441,83139,6.809827793516159e-108,6.80982779351616e-108,246.76082321081097,5,8,0,0
C,54205,CYCS,GO:0031966,cellular_component,mitochondrial membrane,,63,189,185,89143,1.8173047375349008e-105,1.8173047375349008e-105,241.17408027436457,4,2,0,0
C,847,CAT,GO:0004096,molecular_function,catalase activity,,38,58,16,89468,5.812704326673445e-104,5.812704326673445e-104,237.70880374810906,3,1,0,3
V,7424,VEGFC,GO:0001946,biological_process,lymphangiogenesis,,47,78,92,89363,8.194499785895675e-102,8.194499785895675e-102,232.7602163139987,3,1,1,0
C,3576,CXCL8,GO:0046903,biological_process,secretion,,140,490,1685,87265,2.6418201582005887e-100,2.6418201582005887e-100,229.28704116594662,4,10,0,0
M,84557,MAP1LC3A,GO:0005776,cellular_component,autophagosome,,52,206,74,89248,2.3686750704296177e-99,2.4450839436692827e-99,227.06184475128399,6,2,1,7
I,3553,IL1B,GO:0046903,biological_process,secretion,,111,243,1714,87512,1.2576183102586487e-97,1.2576183102586487e-97,223.1215343181516,4,10,1,0
C,1493,CTLA4,GO:0042110,biological_process,T cell activation,,93,859,283,88345,2.041403118231688e-97,2.089436132778316e-97,222.6138597837754,4,6,1,0
C,1017,CDK2,GO:0007049,biological_process,cell cycle,,117,126,3374,85963,9.905653346077582e-97,9.905653346077582e-97,221.05764838120774,2,2,1,0
S,6271,S100A1,GO:0005819,cellular_component,spindle,,63,137,383,88997,3.7946315333012e-95,3.7946315333012e-95,217.4119965209748,5,2,0,0
C,1021,CDK6,GO:0007049,biological_process,cell cycle,,112,113,3379,85976,9.867582178076471e-95,9.867582178076471e-95,216.45632897775843,2,2,1,0
I,3458,IFNG,GO:0046903,biological_process,secretion,,163,838,1662,86917,1.2204013577941397e-94,1.2204013577941397e-94,216.2438189549993,4,10,1,0
T,54386,TERF2IP,GO:0070187,cellular_component,shelterin complex,,32,13,36,89499,1.6471461081159859e-93,1.647146108115986e-93,213.64136948951813,4,1,1,3
M,4282,MIF,GO:1905517,biological_process,macrophage migration,,29,26,5,89520,2.136704867722496e-92,2.136704867722496e-92,211.07856369453827,4,2,1,0
T,7015,TERT,GO:0003720,molecular_function,telomerase activity,,49,445,35,89051,8.285689558754415e-89,8.285689558754415e-89,202.81554339927166,5,1,1,3
M,4292,MLH1,GO:0006298,biological_process,mismatch repair,,38,39,95,89408,1.2415608349437309e-88,1.2415608349437309e-88,202.41111885754756,6,2,1,1
M,4436,MSH2,GO:0006298,biological_process,mismatch repair,,37,32,96,89415,4.0487460730979426e-88,4.0487460730979426e-88,201.22908096187788,6,2,1,1
E,2068,ERCC2,GO:0006281,biological_process,DNA repair,,57,29,1063,88431,3.8882909779836606e-87,3.8882909779836606e-87,198.96693336666777,5,15,1,0
O,4948,OCA2,GO:0043473,biological_process,pigmentation,,67,31,1929,87553,1.1098324417771469e-86,1.1098324417771469e-86,197.9181089469122,1,4,1,0
P,142,PARP1,GO:0006281,biological_process,DNA repair,,88,274,1032,88186,3.525725750512084e-85,3.525725750512084e-85,194.45964660275132,5,15,1,1
M,56339,METTL3,GO:0001510,biological_process,RNA methylation,,29,81,3,89467,3.310508737300875e-83,3.310508737300875e-83,189.91746084385724,4,8,1,1
M,2475,MTOR,GO:0006914,biological_process,autophagy,,154,1044,1428,86954,3.8534233713589296e-83,3.880752615127432e-83,189.75853361070995,3,7,0,0
A,340273,ABCB5,GO:1900753,biological_process,doxorubicin transport,,31,188,0,89361,1.1729628633524405e-82,1.1729628633524405e-82,188.65244471588767,5,1,0,0
P,1912,PHC2,GO:0035282,biological_process,segmentation,,26,3,34,89517,1.804640262242371e-82,1.804640262242371e-82,188.22161635428668,4,7,0,0
M,4157,MC1R,GO:0006281,biological_process,DNA repair,,148,1416,972,87044,3.066753936634708e-82,3.1000882185546505e-82,187.6805470568273,5,15,1,0
S,6772,STAT1,GO:0016310,biological_process,phosphorylation,,157,236,5572,83615,3.407136049216551e-82,3.407136049216551e-82,187.58610555536822,5,8,0,0
E,1950,EGF,GO:0040007,biological_process,growth,,201,117,13833,75429,4.765834195112903e-82,4.765834195112904e-82,187.25050503654802,1,10,0,0
A,9474,ATG5,GO:0006914,biological_process,autophagy,,62,39,1520,87959,4.7674741261219084e-82,4.7674741261219084e-82,187.25016099417155,3,7,0,1
I,3479,IGF1,GO:0040007,biological_process,growth,,232,174,13802,75372,8.211185017378533e-82,8.211185017378533e-82,186.70648037417104,1,10,1,0
P,5133,PDCD1,GO:0006955,biological_process,immune response,,133,952,1133,87362,3.2870246811722038e-81,3.3286325885288137e-81,185.30683094693404,2,9,0,0
