Letter,Gene_ID,Gene_Name,GO_ID,GO_Namespace,GO_Name,GOF,a,b,c,d,Pvalue,Adjusted_Pvalue,Enrichment_Score,GO_Level,GO_Children,GSEA_MSigDB,NCBI_Entrez
M,5594,MAPK1,GO:0016310,biological_process,phosphorylation,,1137,2713,7232,144812,0.0,0.0,715.1151666166819,5,8,0,0
M,4436,MSH2,GO:0006298,biological_process,mismatch repair,,201,93,504,155096,0.0,0.0,715.1151666166819,6,2,1,1
A,207,AKT1,GO:0016310,biological_process,phosphorylation,,1761,6209,6608,141316,0.0,0.0,715.1151666166819,5,8,0,1
C,1499,CTNNB1,GO:0023052,biological_process,signaling,,3214,2103,22694,127883,0.0,0.0,715.1151666166819,1,6,0,0
M,84557,MAP1LC3A,GO:0006914,biological_process,autophagy,,278,159,3207,152250,0.0,0.0,715.1151666166819,3,7,0,0
E,2064,ERBB2,GO:0040007,biological_process,growth,,2817,2593,24542,125942,0.0,0.0,715.1151666166819,1,10,1,0
E,1956,EGFR,GO:0040007,biological_process,growth,,2741,2124,24618,126411,0.0,0.0,715.1151666166819,1,10,1,0
M,4292,MLH1,GO:0006298,biological_process,mismatch repair,,288,832,417,154357,0.0,0.0,715.1151666166819,6,2,1,1
M,4292,MLH1,GO:0032259,biological_process,methylation,,685,435,9576,145198,0.0,0.0,715.1151666166819,2,1,0,0
C,595,CCND1,GO:0007049,biological_process,cell cycle,,517,834,6742,147801,0.0,0.0,715.1151666166819,2,2,1,0
V,7422,VEGFA,GO:0001525,biological_process,angiogenesis,,1355,3290,4032,147217,0.0,0.0,715.1151666166819,3,5,0,2
V,7422,VEGFA,GO:0040007,biological_process,growth,,2908,1737,24451,126798,0.0,0.0,715.1151666166819,1,10,1,0
C,1029,CDKN2A,GO:0032259,biological_process,methylation,,795,579,9466,145054,0.0,0.0,715.1151666166819,2,1,0,0
A,207,AKT1,GO:0023052,biological_process,signaling,,4526,3444,21382,126542,0.0,0.0,715.1151666166819,1,6,0,0
P,5468,PPARG,GO:0005777,cellular_component,peroxisome,,146,167,69,155512,0.0,0.0,715.1151666166819,6,9,0,0
M,5594,MAPK1,GO:0023052,biological_process,signaling,,1894,1956,24014,128030,0.0,0.0,715.1151666166819,1,6,0,0
B,8678,BECN1,GO:0006914,biological_process,autophagy,,316,100,3169,152309,0.0,0.0,715.1151666166819,3,7,0,2
M,2475,MTOR,GO:0023052,biological_process,signaling,,1288,1271,24620,128715,0.0,0.0,715.1151666166819,1,6,0,0
M,4282,MIF,GO:1905517,biological_process,macrophage migration,,109,112,10,155663,2.687999682293e-311,2.687999682293e-311,715.1151666166819,4,2,1,0
M,2475,MTOR,GO:0006914,biological_process,autophagy,,496,2063,2989,150346,7.106409037134861e-308,7.144822058957211e-308,707.2298207353691,3,7,0,0
N,4790,NFKB1,GO:0023052,biological_process,signaling,,1255,1394,24653,128592,1.3402747140847013e-301,1.3402747140847013e-301,692.7852383877457,1,6,0,0
M,5595,MAPK3,GO:0016310,biological_process,phosphorylation,,563,1052,7806,146473,1.4803114040157515e-295,1.4803114040157515e-295,678.8703499594814,5,8,0,1
M,4255,MGMT,GO:0032259,biological_process,methylation,,337,122,9924,145511,1.2254337698599142e-290,1.225433769859914e-290,667.5463820891096,2,1,1,0
C,920,CD4,GO:0007613,biological_process,memory,,140,245,171,155338,7.481837646562232e-287,7.481837646562232e-287,658.8294432528037,3,4,0,0
V,7424,VEGFC,GO:0001946,biological_process,lymphangiogenesis,,166,422,304,155002,2.0084668324861674e-283,2.0084668324861674e-283,650.9342096562083,3,1,1,0
P,5133,PDCD1,GO:0012501,biological_process,programmed cell death,,158,276,363,155097,1.468894399181119e-281,1.468894399181119e-281,646.6419011229129,3,10,0,0
T,7015,TERT,GO:0003720,molecular_function,telomerase activity,,137,318,129,155310,2.560983766355155e-279,2.5609837663551553e-279,641.4808494769329,5,1,1,3
S,6774,STAT3,GO:0023052,biological_process,signaling,,1235,1505,24673,128481,5.334769038875427e-271,5.334769038875427e-271,622.326314609252,1,6,0,0
C,999,CDH1,GO:0098609,biological_process,cell-cell adhesion,,223,3626,126,151919,1.7495849911918645e-265,1.7495849911918645e-265,609.625671031501,3,20,0,2
M,2956,MSH6,GO:0006298,biological_process,mismatch repair,,129,47,576,155142,1.7777109665381632e-265,1.7777109665381632e-265,609.609723080547,6,2,1,1
S,6279,S100A8,GO:0016310,biological_process,phosphorylation,,594,1442,7775,146083,3.157543779906587e-264,3.157543779906587e-264,606.7326701099114,5,8,0,0
P,5747,PTK2,GO:0005925,cellular_component,focal adhesion,,156,419,319,155000,1.5293660549826403e-261,1.5293660549826403e-261,600.549855965054,5,1,0,3
C,29126,CD274,GO:0012501,biological_process,programmed cell death,,176,896,345,154477,1.6994234773057528e-245,1.6994234773057528e-245,563.6030587209935,3,10,0,0
C,925,CD8A,GO:0007613,biological_process,memory,,134,424,177,155159,2.786580279521209e-245,2.786580279521209e-245,563.108532645765,3,4,0,0
A,9474,ATG5,GO:0006914,biological_process,autophagy,,172,46,3313,152363,2.8087725108649144e-239,2.8087725108649144e-239,549.2850896665425,3,7,0,1
