Letter,Gene_ID,Gene_Name,GO_ID,GO_Namespace,GO_Name,GOF,a,b,c,d,Pvalue,Adjusted_Pvalue,Enrichment_Score,GO_Level,GO_Children,GSEA_MSigDB,NCBI_Entrez
R,11186,RASSF1,GO:0032259,biological_process,methylation,,287,44,3197,95931,0.0,0.0,720.1744188277991,2,1,0,0
A,207,AKT1,GO:0023052,biological_process,signaling,,2731,2092,13586,81050,0.0,0.0,720.1744188277991,1,6,0,0
V,7422,VEGFA,GO:0001525,biological_process,angiogenesis,,623,1977,2069,94790,0.0,0.0,720.1744188277991,3,5,0,2
G,2688,GH1,GO:0040007,biological_process,growth,,720,60,17214,81465,0.0,0.0,720.1744188277991,1,10,1,0
V,7422,VEGFA,GO:0040007,biological_process,growth,,1664,936,16270,80589,0.0,0.0,720.1744188277991,1,10,1,0
E,1956,EGFR,GO:0040007,biological_process,growth,,1585,1023,16349,80502,0.0,0.0,720.1744188277991,1,10,1,0
M,5594,MAPK1,GO:0023052,biological_process,signaling,,1705,1692,14612,81450,0.0,0.0,720.1744188277991,1,6,0,0
P,5468,PPARG,GO:0005777,cellular_component,peroxisome,,486,442,164,98367,0.0,0.0,720.1744188277991,6,9,0,0
C,1499,CTNNB1,GO:0023052,biological_process,signaling,,1429,1136,14888,82006,0.0,0.0,720.1744188277991,1,6,0,0
M,5594,MAPK1,GO:0016310,biological_process,phosphorylation,,980,2417,4894,91168,0.0,0.0,720.1744188277991,5,8,0,0
M,2475,MTOR,GO:0023052,biological_process,signaling,,1020,867,15297,82275,1.70696216566e-313,1.70696216566e-313,720.1744188277991,1,6,0,0
A,207,AKT1,GO:0016310,biological_process,phosphorylation,,1007,3816,4867,89769,6.287819958567699e-290,6.316271632588368e-290,665.9065478657451,5,8,0,1
P,5747,PTK2,GO:0005925,cellular_component,focal adhesion,,183,454,249,98573,9.490043306523835e-289,9.490043306523835e-289,663.1968486992828,5,1,0,3
E,2064,ERBB2,GO:0040007,biological_process,growth,,766,413,17168,81112,7.880048599826358e-281,7.880048599826358e-281,644.9620770599854,1,10,1,0
M,56339,METTL3,GO:0001510,biological_process,RNA methylation,,109,224,5,99121,5.136939900115841e-271,5.136939900115841e-271,622.3641026493826,4,8,1,1
I,3479,IGF1,GO:0040007,biological_process,growth,,650,270,17284,81255,8.259847122260377e-271,8.259847122260376e-271,621.8891541222257,1,10,1,0
D,1769,DNAH8,GO:0016887,molecular_function,ATPase,,99,0,182,99178,1.279385575068923e-261,1.279385575068923e-261,600.728329328238,1,16,0,0
M,5595,MAPK3,GO:0016310,biological_process,phosphorylation,,455,694,5419,92891,8.926915651332832e-251,8.926915651332832e-251,575.7597873980666,5,8,0,1
B,8678,BECN1,GO:0006914,biological_process,autophagy,,175,45,1973,97266,1.8172640424160375e-248,1.8172640424160375e-248,570.4437709658815,3,7,0,2
T,7015,TERT,GO:0003720,molecular_function,telomerase activity,,130,803,37,98489,2.6818507843963226e-231,2.6818507843963226e-231,530.9106493342575,5,1,1,3
C,29126,CD274,GO:0012501,biological_process,programmed cell death,,146,406,234,98673,4.7228663691262164e-231,4.7228663691262164e-231,530.3447405847534,3,10,0,0
P,5133,PDCD1,GO:0012501,biological_process,programmed cell death,,120,135,260,98944,6.653799997991228e-225,6.653799997991228e-225,516.1864578039261,3,10,0,0
M,84557,MAP1LC3A,GO:0006914,biological_process,autophagy,,175,100,1973,97211,3.434998895521153e-219,3.434998895521153e-219,503.03211876155854,3,7,0,0
K,3791,KDR,GO:0040007,biological_process,growth,,610,361,17324,81164,8.574897089756107e-212,8.574897089756107e-212,485.9992007229523,1,10,0,0
F,2346,FOLH1,GO:0016020,cellular_component,membrane,,139,21,2694,96605,2.9506934972215315e-191,2.9506934972215315e-191,438.711712535335,2,16,0,0
P,5315,PKM,GO:0016310,biological_process,phosphorylation,,633,2378,5241,91207,4.011076633941281e-179,4.011076633941281e-179,410.7736719533848,5,8,0,0
P,5443,POMC,GO:0046903,biological_process,secretion,,164,181,1903,97211,1.1713257977262078e-178,1.1713257977262078e-178,409.7020102852224,4,10,1,0
S,6528,SLC5A5,GO:0005886,cellular_component,plasma membrane,,180,1405,408,97466,1.73866466043555e-175,1.73866466043555e-175,402.399273891893,3,3,0,1
N,4851,NOTCH1,GO:0023052,biological_process,signaling,,464,284,15853,82858,9.68450591326029e-175,9.68450591326029e-175,400.6818639940679,1,6,0,0
C,595,CCND1,GO:0007049,biological_process,cell cycle,,297,687,3707,94768,5.339752319942058e-171,5.339752319942058e-171,392.0668716321187,2,2,1,0
C,796,CALCA,GO:0046903,biological_process,secretion,,179,356,1888,97036,1.5400039778389896e-161,1.5400039778389896e-161,370.28441497260684,4,10,0,0
C,796,CALCA,GO:0036161,biological_process,calcitonin secretion,,80,455,29,98895,1.1725574111409116e-158,1.1890723042555723e-158,363.6352712662192,7,1,0,0
M,5609,MAP2K7,GO:0023052,biological_process,signaling,,575,564,15742,82578,4.0593190702683333e-157,4.0593190702683333e-157,360.10484435720025,1,6,0,0
C,3576,CXCL8,GO:0046903,biological_process,secretion,,159,257,1908,97135,3.0009677947275247e-154,3.0009677947275247e-154,353.499169486196,4,10,0,0
S,6774,STAT3,GO:0016310,biological_process,phosphorylation,,351,864,5523,92721,2.6560236972865847e-142,2.6560236972865847e-142,325.99025305140896,5,8,0,0
M,4292,MLH1,GO:0006298,biological_process,mismatch repair,,63,81,102,99213,3.602787598107296e-140,3.602787598107296e-140,321.0802051405377,6,2,1,1
