Letter,Gene_ID,Gene_Name,GO_ID,GO_Namespace,GO_Name,GOF,a,b,c,d,Pvalue,Adjusted_Pvalue,Enrichment_Score,GO_Level,GO_Children,GSEA_MSigDB,NCBI_Entrez
B,8314,BAP1,GO:0005694,cellular_component,chromosome,,564,993,584,11912,1.9270243903163268e-261,1.9270243903163265e-261,600.3187322249498,5,6,0,0
V,7422,VEGFA,GO:0040007,biological_process,growth,,450,365,1782,11456,6.000072130469802e-159,6.000072130469802e-159,364.3192582951525,1,10,1,0
G,2776,GNAQ,GO:0023052,biological_process,signaling,,527,608,1758,11160,1.4311622289982782e-139,1.4311622289982782e-139,319.7008410644497,1,6,0,0
E,1964,EIF1AX,GO:0006412,biological_process,translation,,94,117,123,13719,5.819868544312215e-120,5.819868544312215e-120,274.54893348468516,5,4,0,0
M,4282,MIF,GO:1905517,biological_process,macrophage migration,,39,8,1,14005,4.665446998049417e-106,4.665446998049417e-106,242.53383620814236,4,2,1,0
M,5594,MAPK1,GO:0016310,biological_process,phosphorylation,,175,318,592,12968,7.602321364925228e-99,7.602321364925228e-99,225.92747056300306,5,8,0,0
V,7422,VEGFA,GO:0046903,biological_process,secretion,,137,678,161,13077,1.1812680296322667e-90,1.2009558301261378e-90,207.04954060462282,4,10,1,0
E,10278,EFS,GO:0032259,biological_process,methylation,,60,3,383,13607,5.219478835186193e-88,5.219478835186193e-88,200.97509062656846,2,1,0,0
A,207,AKT1,GO:0023052,biological_process,signaling,,294,284,1991,11484,8.10167426481415e-87,8.10167426481415e-87,198.2328323508032,1,6,0,0
P,5133,PDCD1,GO:0012501,biological_process,programmed cell death,,49,59,36,13909,6.3999381113050834e-86,6.399938111305084e-86,196.16602967727763,3,10,0,0
V,7422,VEGFA,GO:0001525,biological_process,angiogenesis,,163,652,317,12921,6.180617899336602e-84,6.390130370500555e-84,191.56239314104926,3,5,0,2
B,8314,BAP1,GO:0023052,biological_process,signaling,,41,1516,2244,10252,4.48948240720778e-74,4.532239382514521e-74,168.8800807192867,1,6,0,0
C,920,CD4,GO:0007613,biological_process,memory,,32,40,16,13965,3.1328482501138953e-65,3.1328482501138958e-65,148.52608846978345,3,4,0,0
M,56339,METTL3,GO:0001510,biological_process,RNA methylation,,34,122,3,13894,5.641646610644672e-65,5.641646610644672e-65,147.9378550694708,4,8,1,1
