Term	Name	Pvalue	Genes	level	namespace
GO:0003094	glomerular filtration	0.0021944072415429074	40	5	biological_process
GO:0046903	secretion	0.0070995407998851985	187	4	biological_process
GO:0006954	inflammatory response	0.009208591426812133	149	4	biological_process
GO:0050817	coagulation	0.0028039214373060564	140	2	biological_process
GO:0042116	macrophage activation	0.0055590349410511945	41	4	biological_process
GO:0007613	memory	0.002079447738590477	131	3	biological_process
GO:0007568	aging	0.003639653533516638	49	2	biological_process
GO:0007155	cell adhesion	0.0055419668413770684	123	2	biological_process
GO:0061025	membrane fusion	0.003496857676123583	36	5	biological_process
GO:0006914	autophagy	0.002222489293279573	140	3	biological_process
GO:0030073	insulin secretion	0.0032007795878470913	14	5	biological_process
GO:0042310	vasoconstriction	0.0017830531835684627	25	6	biological_process
GO:0006412	translation	0.0032456066647414375	161	5	biological_process
GO:0016310	phosphorylation	0.0030765108343699587	199	5	biological_process
GO:0042730	fibrinolysis	0.0007825421367022701	28	6	biological_process
GO:0006508	proteolysis	0.0090125026286852	31	4	biological_process
GO:0006897	endocytosis	0.006084190560018911	91	3	biological_process
GO:0051168	nuclear export	0.004581619049585167	31	6	biological_process
GO:0030168	platelet activation	0.0053445154761598	48	3	biological_process
GO:0012501	programmed cell death	0.001185912536292719	26	3	biological_process
GO:0001171	reverse transcription	0.0006619634317293434	27	7	biological_process
GO:0070269	pyroptosis	0.0022162721382732926	34	4	biological_process
GO:0001525	angiogenesis	0.002088726215097751	49	3	biological_process
GO:0030431	sleep	0.0012773033922279544	73	2	biological_process
GO:1905517	macrophage migration	0.0026976669013934864	23	4	biological_process
GO:0006959	humoral immune response	0.012585734724045445	11	3	biological_process
GO:0042113	B cell activation	0.013826675118697063	40	4	biological_process
GO:0007562	eclosion	5.772543005554836e-18	4	3	biological_process
GO:0042110	T cell activation	0.005244476499348029	177	4	biological_process
GO:0007612	learning	0.0012422331555646418	88	3	biological_process
GO:0006955	immune response	0.005241638939609017	136	2	biological_process
GO:0032609	interferon-gamma production	4.367810596802851e-30	3	3	biological_process
GO:0099048	CRISPR-cas system	1.1823469124196448e-16	2	5	biological_process
GO:0006956	complement activation	0.002244618743837345	41	3	biological_process
GO:0032608	interferon-beta production	3.3667923536306918e-12	4	4	biological_process
GO:0008219	cell death	0.0036455303333479106	72	2	biological_process
GO:0042311	vasodilation	0.0006599352072914285	22	6	biological_process
GO:0010467	gene expression	0.005953718878862311	115	4	biological_process
GO:0045087	innate immune response	0.007729663006473889	140	4	biological_process
GO:0070085	glycosylation	0.003922163687654322	58	2	biological_process
GO:0032606	type I interferon production	0.0015602912310890985	16	3	biological_process
GO:0044409	entry into host	0.0057613212606737576	18	5	biological_process
GO:0000266	mitochondrial fission	0.004767042823649228	10	6	biological_process
GO:0032259	methylation	0.004651223746831644	48	2	biological_process
GO:0000746	conjugation	0.00025212973857060715	14	3	biological_process
GO:0007049	cell cycle	0.008021035138299267	206	2	biological_process
GO:0006810	transport	0.0009531270374851946	87	3	biological_process
GO:0048469	cell maturation	0.00527040420478464	13	3	biological_process
GO:0007599	hemostasis	0.00208199932493636	20	4	biological_process
GO:0140253	cell-cell fusion	0.0003010778837594949	10	2	biological_process
GO:0060337	type I interferon signaling pathway	0.0016985887166359032	6	5	biological_process
GO:0009606	tropism	0.0063509594164092905	17	3	biological_process
GO:0070988	demethylation	0.003822548548356622	13	2	biological_process
GO:0001816	cytokine production	0.006034451993983103	107	2	biological_process
GO:0060361	flight	3.5261650937754265e-13	3	2	biological_process
GO:0045056	transcytosis	0.004095772555546198	4	3	biological_process
GO:0050892	intestinal absorption	9.082305749194749e-05	16	4	biological_process
GO:0051318	G1 phase	1.0604112408502783e-08	6	3	biological_process
GO:0006865	amino acid transport	0.00318716352616063	12	5	biological_process
GO:0016485	protein processing	0.007555272118719254	12	5	biological_process
GO:0001775	cell activation	0.009314922132269083	138	2	biological_process
GO:0006909	phagocytosis	0.00560685133384197	77	3	biological_process
GO:0042593	glucose homeostasis	0.0006382702400263543	7	6	biological_process
GO:0032613	interleukin-10 production	1.4819583955755057e-59	1	3	biological_process
GO:0051923	sulfation	5.807691559204016e-05	9	4	biological_process
GO:0032635	interleukin-6 production	3.923508769954244e-13	2	3	biological_process
GO:0006281	DNA repair	0.005975318752032244	78	5	biological_process
GO:0070527	platelet aggregation	0.0003562396076526869	25	5	biological_process
GO:0009293	transduction	0.00869931903070853	10	4	biological_process
