Term	Name	Pvalue	Genes	level	namespace
GO:0007613	memory	0.003638291371992923	95	3	biological_process
GO:0042113	B cell activation	0.0030449917059416805	24	4	biological_process
GO:0046903	secretion	0.003791504402221025	106	4	biological_process
GO:0006914	autophagy	0.0035685848277603317	73	3	biological_process
GO:0012501	programmed cell death	0.0015508559190590544	18	3	biological_process
GO:0001525	angiogenesis	0.003001819621687441	67	3	biological_process
GO:1905517	macrophage migration	0.008000170570820343	5	4	biological_process
GO:0016310	phosphorylation	0.0027112142306872557	219	5	biological_process
GO:0051168	nuclear export	0.002633595451540787	29	6	biological_process
GO:0032259	methylation	0.0036381219354353713	141	2	biological_process
GO:0008037	cell recognition	0.0025462463765169455	17	2	biological_process
GO:0007049	cell cycle	0.006756505531016609	190	2	biological_process
GO:0061912	selective autophagy	0.004337757004290519	10	5	biological_process
GO:0006298	mismatch repair	0.004041785757722634	19	6	biological_process
GO:0051923	sulfation	2.8296400590494735e-07	5	4	biological_process
GO:0000910	cytokinesis	0.005364144606501838	9	3	biological_process
GO:0006412	translation	0.0042885254129953745	65	5	biological_process
GO:0000266	mitochondrial fission	0.005026018908953817	9	6	biological_process
GO:0042110	T cell activation	0.0064794030278892585	47	4	biological_process
GO:0002317	plasma cell differentiation	0.003387025450414017	16	7	biological_process
GO:0006281	DNA repair	0.004102890016067592	88	5	biological_process
GO:0030217	T cell differentiation	0.0032984827522691772	16	5	biological_process
GO:0070085	glycosylation	0.003916189721878171	23	2	biological_process
GO:0048870	cell motility	0.009077658309478378	40	2	biological_process
GO:0006338	chromatin remodeling	0.006418424348126027	33	5	biological_process
GO:0032609	interferon-gamma production	0.0152089367619703	2	3	biological_process
GO:0006306	DNA methylation	0.0011031380023495514	42	4	biological_process
GO:0006955	immune response	0.006310616934061679	58	2	biological_process
GO:0009451	RNA modification	2.805820453382074e-07	2	5	biological_process
GO:0007155	cell adhesion	0.007968051130637276	67	2	biological_process
GO:0048468	cell development	0.002537403769012404	28	3	biological_process
GO:0033622	integrin activation	0.002616678443642512	6	6	biological_process
GO:0050817	coagulation	0.00881503111238487	23	2	biological_process
GO:0046649	lymphocyte activation	0.007272915379558408	25	3	biological_process
GO:0042098	T cell proliferation	0.005307225815074747	28	5	biological_process
GO:0010467	gene expression	0.005127856390090628	122	4	biological_process
GO:0016573	histone acetylation	0.0017444478495374494	10	7	biological_process
GO:0032613	interleukin-10 production	1.9646433102113875e-48	1	3	biological_process
GO:0097352	autophagosome maturation	0.0018525560651488227	6	6	biological_process
GO:0044026	DNA hypermethylation	0.0010308680755005623	11	7	biological_process
GO:0006276	plasmid maintenance	4.942614991907344e-11	3	2	biological_process
GO:0000746	conjugation	4.870772872601053e-11	11	3	biological_process
GO:0051320	S phase	0.00048079131963216443	31	3	biological_process
GO:0001816	cytokine production	0.00822390803951445	44	2	biological_process
GO:0008219	cell death	0.004433024266255261	61	2	biological_process
GO:0019835	cytolysis	0.0005245941783541771	10	2	biological_process
GO:0043542	endothelial cell migration	0.00152463147255555	2	6	biological_process
GO:0016477	cell migration	0.004175481776994649	58	3	biological_process
GO:0006810	transport	0.0009280593370800231	15	3	biological_process
GO:0030073	insulin secretion	0.00034625877906673333	3	5	biological_process
GO:0046651	lymphocyte proliferation	2.020368169545573e-08	2	4	biological_process
GO:0035825	homologous recombination	0.002972775858941085	12	6	biological_process
GO:0046323	glucose import	0.002164851603573902	6	7	biological_process
GO:0032637	interleukin-8 production	2.7518402182780827e-22	2	3	biological_process
GO:0001171	reverse transcription	1.6038440444595195e-05	9	7	biological_process
GO:0015833	peptide transport	0.0010601712136797102	5	5	biological_process
GO:0032196	transposition	0.0017601470888590001	3	2	biological_process
GO:0035455	response to interferon-alpha	1.0806945572429285e-33	1	5	biological_process
GO:0001946	lymphangiogenesis	4.0368191147533454e-11	3	3	biological_process
GO:1990182	exosomal secretion	0.0002412072139238	2	4	biological_process
GO:0098609	cell-cell adhesion	0.008710028708155312	7	3	biological_process
GO:0010631	epithelial cell migration	1.333187964518086e-10	2	5	biological_process
GO:0045087	innate immune response	0.010867295786100541	30	4	biological_process
GO:0007165	signal transduction	0.0112629454211477	60	2	biological_process
GO:0080111	DNA demethylation	3.830124377557047e-06	8	3	biological_process
GO:0016055	Wnt signaling pathway	0.0010850167431086357	4	5	biological_process
GO:0001775	cell activation	0.007394863869322752	92	2	biological_process
GO:0006325	chromatin organization	0.0002729709626552	4	4	biological_process
GO:0030224	monocyte differentiation	4.222326395603133e-09	2	6	biological_process
GO:0035329	hippo signaling	0.00179112818550645	6	4	biological_process
GO:0090399	replicative senescence	0.0040256893742288665	5	4	biological_process
GO:0032635	interleukin-6 production	3.6025647639138397e-26	1	3	biological_process
GO:0007258	JUN phosphorylation	4.943588486892276e-05	2	7	biological_process
GO:0140042	lipid droplet formation	1.9740343342024525e-07	2	6	biological_process
GO:0002524	hypersensitivity	0.0010862089949349645	4	5	biological_process
GO:0097087	interleukin-17A production	3.124114903432814e-25	1	4	biological_process
GO:0006260	DNA replication	0.006126431382963036	84	5	biological_process
GO:0006334	nucleosome assembly	0.0025729970253634236	6	6	biological_process
GO:0030316	osteoclast differentiation	0.0011262029145448884	4	6	biological_process
GO:0030261	chromosome condensation	0.0005679367534537	2	8	biological_process
GO:0019395	fatty acid oxidation	4.4425732636907165e-08	3	5	biological_process
GO:0030855	epithelial cell differentiation	0.004035037832970631	13	4	biological_process
GO:0016236	macroautophagy	0.009452203298136183	14	4	biological_process
GO:0000279	M phase	0.006901867566639455	5	3	biological_process
GO:0030225	macrophage differentiation	0.00119418081923465	2	6	biological_process
GO:0031497	chromatin assembly	0.005442638828510042	5	5	biological_process
GO:0000423	mitophagy	0.0017047732627476395	9	5	biological_process
GO:0019080	viral gene expression	0.0007904411171357923	15	2	biological_process
GO:0016311	dephosphorylation	0.011130781657607891	22	5	biological_process
GO:0072537	fibroblast activation	8.533018953273931e-24	1	3	biological_process
GO:0019042	viral latency	0.0019471851490977324	14	2	biological_process
GO:0030431	sleep	0.001719547430381714	7	2	biological_process
GO:0003094	glomerular filtration	4.965879582155945e-11	4	5	biological_process
GO:0023035	CD40 signaling pathway	0.00678070047281475	2	4	biological_process
GO:0031295	T cell costimulation	0.0021972752569850464	4	3	biological_process
GO:0002790	peptide secretion	3.7132199717938716e-23	1	5	biological_process
GO:0007219	Notch signaling pathway	0.0021149335654059077	12	4	biological_process
GO:0051325	interphase	1.6561497867672826e-08	4	3	biological_process
GO:0061515	myeloid cell development	8.112747608718184e-23	1	4	biological_process
GO:0006468	protein phosphorylation	0.008349674949944886	12	6	biological_process
GO:0048469	cell maturation	0.004643219964178443	6	3	biological_process
GO:0035148	tube formation	4.968803363087217e-16	2	3	biological_process
GO:0009606	tropism	0.012768224196832954	6	3	biological_process
GO:0051250	negative regulation of lymphocyte activation	4.901535632682908e-22	1	6	biological_process
GO:0010573	vascular endothelial growth factor production	1.2091153697916804e-14	2	3	biological_process
GO:0006935	chemotaxis	0.00679690576480101	21	3	biological_process
GO:0009293	transduction	0.0059828541717701095	17	4	biological_process
GO:0016049	cell growth	0.0049760909474577735	78	2	biological_process
GO:0000963	mitochondrial RNA processing	3.463403370778689e-05	2	6	biological_process
GO:0039529	RIG-I signaling pathway	2.0894295227837262e-20	1	6	biological_process
GO:0030154	cell differentiation	0.006163605956970248	37	3	biological_process
GO:0032623	interleukin-2 production	2.699327689729519e-19	1	3	biological_process
GO:0007612	learning	4.097676079149336e-19	1	3	biological_process
GO:0001836	release of cytochrome c from mitochondria	0.0013367106394973354	4	7	biological_process
GO:0090398	cellular senescence	0.006238034017739817	7	4	biological_process
GO:0097354	prenylation	0.00036355660703630025	2	3	biological_process
GO:0050900	leukocyte migration	0.017624564562710176	8	2	biological_process
GO:0020033	antigenic variation	2.9116664195965404e-18	1	7	biological_process
GO:0051318	G1 phase	0.0028765289144190636	13	3	biological_process
GO:0110154	RNA decapping	9.231899536255322e-13	2	6	biological_process
GO:0050808	synapse organization	0.0008463690438023693	3	5	biological_process
GO:0006956	complement activation	0.00615126679079301	19	3	biological_process
GO:0007059	chromosome segregation	0.005950210643261357	20	2	biological_process
GO:0016458	gene silencing	0.0081299330495967	17	2	biological_process
GO:0016571	histone methylation	0.0074836381087202905	6	5	biological_process
GO:0006508	proteolysis	0.005359008278052597	24	4	biological_process
GO:0080009	mRNA methylation	3.1800722566370405e-17	1	5	biological_process
GO:0016567	protein ubiquitination	0.0034947911488127955	16	8	biological_process
GO:0001788	antibody-dependent cellular cytotoxicity	2.1214842298033235e-14	2	4	biological_process
GO:0070269	pyroptosis	0.004676343054644494	6	4	biological_process
GO:0035456	response to interferon-beta	7.340198096569715e-17	1	5	biological_process
GO:0070988	demethylation	0.004101526694267231	18	2	biological_process
GO:0051323	metaphase	4.4057765982868224e-12	2	3	biological_process
GO:0051726	regulation of cell cycle	0.005612165414010495	35	4	biological_process
GO:0032606	type I interferon production	0.000973027618557866	10	3	biological_process
GO:0045786	negative regulation of cell cycle	0.0013727427148603547	28	5	biological_process
GO:0008380	RNA splicing	0.0059198519356234176	20	7	biological_process
GO:0033344	cholesterol efflux	0.00045011770291295174	2	8	biological_process
GO:0030101	natural killer cell activation	0.011317286205615196	3	4	biological_process
GO:1904636	response to ionomycin	2.0105066019620235e-15	1	5	biological_process
GO:0006909	phagocytosis	0.0033034113601714417	19	3	biological_process
GO:0007623	circadian rhythm	0.0007223137484176086	3	2	biological_process
GO:0030222	eosinophil differentiation	3.3257412352363937e-15	1	4	biological_process
GO:0140253	cell-cell fusion	1.4528785106563512e-11	2	2	biological_process
GO:0006099	tricarboxylic acid cycle	8.727789558765557e-15	1	3	biological_process
GO:0006270	DNA replication initiation	0.003847047374588245	7	5	biological_process
GO:0016574	histone ubiquitination	0.0012303443545438138	3	7	biological_process
GO:0045730	respiratory burst	0.001365041498273839	6	2	biological_process
GO:0007586	digestion	0.0039058608652685297	15	2	biological_process
GO:0030183	B cell differentiation	0.011355542770374299	23	5	biological_process
GO:0043276	anoikis	0.009629659827177839	9	5	biological_process
GO:0072718	response to cisplatin	0.016818701180740345	2	3	biological_process
GO:0045453	bone resorption	0.0010545593531939316	5	6	biological_process
GO:0006364	rRNA processing	0.0006597431556709059	3	8	biological_process
GO:0061025	membrane fusion	0.008387224723811199	6	5	biological_process
GO:0051292	nuclear pore complex assembly	1.846467845867776e-13	1	6	biological_process
GO:0042060	wound healing	0.0057471121905376225	13	4	biological_process
GO:0019083	viral transcription	0.00027238132066763766	2	2	biological_process
GO:0061470	T follicular helper cell differentiation	4.194534632441696e-13	1	10	biological_process
GO:0097503	sialylation	4.274141724563993e-13	1	5	biological_process
GO:0016197	endosomal transport	1.2924827253769505e-12	1	3	biological_process
GO:0140588	chromatin looping	1.6803329332738012e-12	1	5	biological_process
GO:0042116	macrophage activation	0.007641846579862683	6	4	biological_process
GO:0034154	toll-like receptor 7 signaling pathway	2.371904843458717e-12	1	5	biological_process
GO:0042100	B cell proliferation	0.007597128077345844	17	5	biological_process
GO:0010941	regulation of cell death	0.004844213719333431	2	4	biological_process
GO:0008053	mitochondrial fusion	5.932351049190487e-05	8	6	biological_process
GO:0006897	endocytosis	0.009777193862380329	38	3	biological_process
GO:0042730	fibrinolysis	0.0024868342778060614	4	6	biological_process
GO:0001837	epithelial to mesenchymal transition	0.009812866648105968	9	5	biological_process
GO:0001906	cell killing	0.009701158096706098	23	2	biological_process
GO:0006954	inflammatory response	0.006448472815399287	48	4	biological_process
GO:0097323	B cell adhesion	2.360745739975708e-11	1	5	biological_process
GO:0045056	transcytosis	3.046038853289909e-11	1	3	biological_process
GO:0051298	centrosome duplication	0.009235928249501806	3	3	biological_process
GO:0006119	oxidative phosphorylation	1.9676436069854924e-06	2	3	biological_process
GO:0009615	response to virus	0.006910670382302493	15	3	biological_process
GO:0001558	regulation of cell growth	1.8398139262295684e-05	3	4	biological_process
GO:0006457	protein folding	0.0018940719501818251	24	2	biological_process
GO:0006284	base-excision repair	0.003225698779981457	5	6	biological_process
GO:0017038	protein import	1.8662439674951518e-10	1	5	biological_process
GO:0019882	antigen processing and presentation	0.014452260826608103	18	2	biological_process
GO:0043627	response to estrogen	1.8849359259900268e-10	1	4	biological_process
GO:0098743	cell aggregation	2.397115585282765e-10	1	2	biological_process
GO:0006979	response to oxidative stress	0.0034488478225864526	2	3	biological_process
GO:0034341	response to interferon-gamma	3.4077381124509047e-10	1	5	biological_process
GO:0006915	apoptotic process	0.02103010406248457	9	4	biological_process
