Term	Name	Pvalue	Genes	level	namespace
GO:0032259	methylation	0.0028419574840210762	116	2	biological_process
GO:0007613	memory	0.0013294333727101517	56	3	biological_process
GO:0006914	autophagy	0.0011849459313651002	60	3	biological_process
GO:0046903	secretion	0.004628403797384163	104	4	biological_process
GO:0001525	angiogenesis	0.00306878723511685	53	3	biological_process
GO:0012501	programmed cell death	0.002477103677932107	12	3	biological_process
GO:0006810	transport	0.0037398008712999187	18	3	biological_process
GO:0051168	nuclear export	0.002625734840210393	19	6	biological_process
GO:0016310	phosphorylation	0.0024333175503983206	131	5	biological_process
GO:0007049	cell cycle	0.008080447895086254	198	2	biological_process
GO:0006306	DNA methylation	0.00525601011907711	35	4	biological_process
GO:0006955	immune response	0.003472332366910198	55	2	biological_process
GO:0006486	protein glycosylation	3.7871550094683086e-05	4	4	biological_process
GO:0070085	glycosylation	0.006296884410057194	26	2	biological_process
GO:0007155	cell adhesion	0.006835428109332625	35	2	biological_process
GO:0032609	interferon-gamma production	4.696278409587335e-08	4	3	biological_process
GO:0003094	glomerular filtration	4.738352850180069e-13	6	5	biological_process
GO:0030217	T cell differentiation	0.0045851468520818625	8	5	biological_process
GO:1905517	macrophage migration	1.7370786730829495e-08	3	4	biological_process
GO:0006338	chromatin remodeling	0.0034152869505236646	24	5	biological_process
GO:0043276	anoikis	0.0037459438683121603	7	5	biological_process
GO:0042110	T cell activation	0.00752679230003171	32	4	biological_process
GO:0019075	virus maturation	2.045790719688353e-24	3	2	biological_process
GO:0042098	T cell proliferation	0.0062114050300209524	19	5	biological_process
GO:0046649	lymphocyte activation	0.006828674126678515	27	3	biological_process
GO:0036065	fucosylation	3.3566681162103e-10	5	3	biological_process
GO:0006412	translation	0.0024110528237375676	44	5	biological_process
GO:0030073	insulin secretion	0.01027673399176332	5	5	biological_process
GO:0007623	circadian rhythm	0.0020500101187643023	19	2	biological_process
GO:0019079	viral genome replication	0.00885876823374936	5	2	biological_process
GO:0008219	cell death	0.0011536781405972704	37	2	biological_process
GO:0006281	DNA repair	0.0038929480703868632	66	5	biological_process
GO:0000423	mitophagy	0.005941632906308923	6	5	biological_process
GO:0042113	B cell activation	0.0039552154692160816	8	4	biological_process
GO:0097421	liver regeneration	0.0075151895191812	12	5	biological_process
GO:0006956	complement activation	0.005060541204633185	21	3	biological_process
GO:0051318	G1 phase	0.0027277364757017195	14	3	biological_process
GO:0000266	mitochondrial fission	0.00671104258263175	4	6	biological_process
GO:0070365	hepatocyte differentiation	0.006288460043214267	3	5	biological_process
GO:0001816	cytokine production	0.0053562078138466975	38	2	biological_process
GO:0016477	cell migration	0.0022032328539551387	49	3	biological_process
GO:0044026	DNA hypermethylation	7.47535230363815e-06	7	7	biological_process
GO:0080111	DNA demethylation	0.001518964588624093	13	3	biological_process
GO:0050817	coagulation	0.005150278529583141	44	2	biological_process
GO:0000746	conjugation	0.0016537511141544513	8	3	biological_process
GO:0006298	mismatch repair	0.00031440892293103326	7	6	biological_process
GO:0006260	DNA replication	0.0031868632671455677	28	5	biological_process
GO:0006094	gluconeogenesis	5.3403721789869715e-06	7	6	biological_process
GO:0002524	hypersensitivity	8.0364574680766e-06	2	5	biological_process
GO:0001171	reverse transcription	0.00022148316715815238	12	7	biological_process
GO:0032608	interferon-beta production	1.663598030286413e-27	1	4	biological_process
GO:0016573	histone acetylation	0.009623132190118705	6	7	biological_process
GO:0070988	demethylation	0.002430092539260552	18	2	biological_process
GO:0007569	cell aging	0.011490257090225687	5	3	biological_process
GO:0045087	innate immune response	0.008177312912689135	44	4	biological_process
GO:0019058	viral life cycle	0.01651694989392832	5	2	biological_process
GO:0042255	ribosome assembly	0.00926450329070465	2	6	biological_process
GO:0019395	fatty acid oxidation	1.975999319534592e-06	3	5	biological_process
GO:0008053	mitochondrial fusion	0.0018274009304294816	3	6	biological_process
GO:0016246	RNA interference	6.1071255619652654e-06	3	5	biological_process
GO:0060361	flight	2.591482991500483e-23	1	2	biological_process
GO:0048255	mRNA stabilization	9.258632973121535e-12	2	5	biological_process
GO:0060231	mesenchymal to epithelial transition	2.6073175434699135e-14	2	5	biological_process
GO:0001775	cell activation	0.00788775106383411	61	2	biological_process
GO:0007586	digestion	0.0003371651339058086	7	2	biological_process
GO:0007059	chromosome segregation	0.0020809517070588123	8	2	biological_process
GO:0009972	cytidine deamination	0.0058692284481189705	5	9	biological_process
