Term	Name	Pvalue	Genes	level	namespace
GO:0046903	secretion	0.004932699807475286	333	4	biological_process
GO:0007613	memory	0.0025390983993370865	304	3	biological_process
GO:0009293	transduction	0.003152900867582891	156	4	biological_process
GO:0007049	cell cycle	0.006237026335159087	347	2	biological_process
GO:0015074	DNA integration	0.0004631725040230326	21	5	biological_process
GO:0042117	monocyte activation	0.0022539848522951417	54	4	biological_process
GO:0051319	G2 phase	0.0007682608444957379	6	3	biological_process
GO:0001775	cell activation	0.003790869377214599	172	2	biological_process
GO:0003094	glomerular filtration	0.0013102852272618083	46	5	biological_process
GO:0070269	pyroptosis	7.276874372102049e-07	20	4	biological_process
GO:0050817	coagulation	0.0025152801766370626	81	2	biological_process
GO:0030073	insulin secretion	0.009946666922875552	10	5	biological_process
GO:0006914	autophagy	0.0020294680310203412	183	3	biological_process
GO:0016310	phosphorylation	0.0031293152124227193	509	5	biological_process
GO:0002524	hypersensitivity	0.003964800760603437	39	5	biological_process
GO:0070085	glycosylation	0.004612877464917692	97	2	biological_process
GO:0006412	translation	0.0038517592382240275	272	5	biological_process
GO:0001171	reverse transcription	0.003058931242573941	147	7	biological_process
GO:0009606	tropism	0.003887178459262118	46	3	biological_process
GO:0051168	nuclear export	0.002163944894477446	100	6	biological_process
GO:1905517	macrophage migration	0.0002065467122031296	48	4	biological_process
GO:0042110	T cell activation	0.005814270643224804	147	4	biological_process
GO:0007155	cell adhesion	0.0036037879743850577	181	2	biological_process
GO:0042098	T cell proliferation	0.0034744592594598573	51	5	biological_process
GO:0001525	angiogenesis	0.002583039466401445	114	3	biological_process
GO:0045056	transcytosis	0.002573701131529112	26	3	biological_process
GO:0012501	programmed cell death	0.0034236098081153097	45	3	biological_process
GO:0033344	cholesterol efflux	0.003948133724373439	31	8	biological_process
GO:0006810	transport	0.0021126220910005584	218	3	biological_process
GO:0042113	B cell activation	0.005345638807416311	39	4	biological_process
GO:0090399	replicative senescence	0.0027846761918932936	9	4	biological_process
GO:0006955	immune response	0.005963654949141506	151	2	biological_process
GO:0007568	aging	0.004945963402782215	86	2	biological_process
GO:0006935	chemotaxis	0.0031658800690653652	91	3	biological_process
GO:0046649	lymphocyte activation	0.008247681701073822	51	3	biological_process
GO:0007612	learning	0.0033094527718492387	57	3	biological_process
GO:0032609	interferon-gamma production	7.7357661997187e-05	4	3	biological_process
GO:0071612	IP-10 production	0.004651216683551966	9	4	biological_process
GO:0000746	conjugation	0.0016463877128614357	60	3	biological_process
GO:0030217	T cell differentiation	0.0024365326044926625	35	5	biological_process
GO:0045453	bone resorption	0.0005652074779083084	19	6	biological_process
GO:0051923	sulfation	0.00483034990257908	14	4	biological_process
GO:0008037	cell recognition	0.0007401779889816204	17	2	biological_process
GO:0032259	methylation	0.004674447392353469	180	2	biological_process
GO:0000910	cytokinesis	0.0035228840908199956	41	3	biological_process
GO:0008219	cell death	0.0022861624646227817	185	2	biological_process
GO:0030316	osteoclast differentiation	4.809957258481637e-05	10	6	biological_process
GO:0061912	selective autophagy	0.00497762809583518	17	5	biological_process
GO:0016311	dephosphorylation	0.005675056918296679	81	5	biological_process
GO:0043029	T cell homeostasis	0.0002629442446031144	12	4	biological_process
GO:0006897	endocytosis	0.004843229949005906	143	3	biological_process
GO:0030168	platelet activation	0.0029306716549623397	35	3	biological_process
GO:0001816	cytokine production	0.006513008652999053	136	2	biological_process
GO:0050904	diapedesis	1.227316281572252e-06	9	3	biological_process
GO:0010467	gene expression	0.00430827222858218	428	4	biological_process
GO:0019083	viral transcription	0.0012330630294882642	55	2	biological_process
GO:0045087	innate immune response	0.004350437759661527	90	4	biological_process
GO:0050890	cognition	0.004693813142908242	41	4	biological_process
GO:0009972	cytidine deamination	0.001236245459433463	9	9	biological_process
GO:0009838	abscission	1.7395851768270065e-10	13	2	biological_process
GO:0045010	actin nucleation	0.005287680025869715	11	6	biological_process
GO:0032613	interleukin-10 production	4.2023570555989824e-05	3	3	biological_process
GO:0042116	macrophage activation	0.0023831160130408898	41	4	biological_process
GO:0006306	DNA methylation	0.0033090863896071804	59	4	biological_process
GO:0016584	nucleosome positioning	0.0018638253364217947	3	6	biological_process
GO:0006281	DNA repair	0.004939363417627577	134	5	biological_process
GO:0032623	interleukin-2 production	0.004488646153242741	3	3	biological_process
GO:0071613	granzyme B production	1.8653095894778574e-10	4	3	biological_process
GO:0042593	glucose homeostasis	0.00033857539549435534	11	6	biological_process
GO:0000423	mitophagy	0.006663304241477806	15	5	biological_process
GO:0090494	dopamine uptake	3.95900314734658e-118	1	6	biological_process
GO:0030252	growth hormone secretion	0.002256719191525834	3	7	biological_process
GO:0016458	gene silencing	0.00467893483597656	46	2	biological_process
GO:0015872	dopamine transport	0.00255519919777475	2	6	biological_process
GO:0070988	demethylation	0.004584516563894225	42	2	biological_process
GO:0030431	sleep	0.0031538317673433735	32	2	biological_process
GO:0045006	DNA deamination	0.0044650234489335494	8	6	biological_process
GO:0006334	nucleosome assembly	0.008695418546739329	17	6	biological_process
GO:0032602	chemokine production	0.006749121883302141	30	3	biological_process
GO:0006887	exocytosis	0.008466710607465216	101	3	biological_process
GO:0006956	complement activation	0.003248767181075185	27	3	biological_process
GO:0032606	type I interferon production	0.006297218814744446	16	3	biological_process
GO:0002548	monocyte chemotaxis	0.008850726469947652	13	4	biological_process
GO:0006397	mRNA processing	0.006845728492262016	96	7	biological_process
GO:0006909	phagocytosis	0.003865187755227124	95	3	biological_process
GO:0030154	cell differentiation	0.0018019761478803781	78	3	biological_process
GO:0048469	cell maturation	0.002512900304461189	44	3	biological_process
GO:0061470	T follicular helper cell differentiation	5.681072970508492e-13	4	10	biological_process
GO:0048247	lymphocyte chemotaxis	0.0034913919105785036	8	4	biological_process
GO:0061025	membrane fusion	0.0039023578131052845	57	5	biological_process
GO:0000266	mitochondrial fission	1.5317271854886752e-05	6	6	biological_process
GO:0001906	cell killing	0.0033002394247859733	30	2	biological_process
GO:0034436	glycoprotein transport	4.177442594666327e-33	2	5	biological_process
GO:0030225	macrophage differentiation	0.001871587183453194	20	6	biological_process
GO:0016573	histone acetylation	0.0016598447144250117	18	7	biological_process
GO:0002317	plasma cell differentiation	1.4816724372834368e-05	20	7	biological_process
GO:0006338	chromatin remodeling	0.004289009437683105	61	5	biological_process
GO:0048143	astrocyte activation	3.7026730958202286e-06	6	3	biological_process
GO:0006954	inflammatory response	0.008142469872713068	122	4	biological_process
GO:0001788	antibody-dependent cellular cytotoxicity	0.0024387033895047253	18	4	biological_process
GO:0007586	digestion	0.003463584470649256	55	2	biological_process
GO:0044351	macropinocytosis	1.149156972448558e-06	14	5	biological_process
GO:0015893	drug transport	1.2595830261763184e-05	7	4	biological_process
GO:0097009	energy homeostasis	0.007015692984025156	8	3	biological_process
