Term	Name	Pvalue	Genes	level	namespace
GO:0032259	methylation	0.001044478508275011	271	2	biological_process
GO:0007613	memory	0.00015150489058975632	48	3	biological_process
GO:0007049	cell cycle	0.0051961771984462245	235	2	biological_process
GO:0001525	angiogenesis	0.003001591233778281	82	3	biological_process
GO:0016310	phosphorylation	0.0030094722338261295	202	5	biological_process
GO:0012501	programmed cell death	0.0025770071210762377	15	3	biological_process
GO:0046903	secretion	0.004074786679794358	82	4	biological_process
GO:0051168	nuclear export	0.006304848545285243	22	6	biological_process
GO:0060004	reflex	0.0020057991166578287	10	3	biological_process
GO:0000746	conjugation	0.0012816178483793272	14	3	biological_process
GO:0006955	immune response	0.005522018926452313	97	2	biological_process
GO:1905517	macrophage migration	0.0009395817364734059	11	4	biological_process
GO:0035825	homologous recombination	0.0017713261890556727	25	6	biological_process
GO:0006914	autophagy	0.00232367836731591	67	3	biological_process
GO:0006281	DNA repair	0.004962293739834653	116	5	biological_process
GO:0008219	cell death	0.003877728363001323	93	2	biological_process
GO:0000423	mitophagy	0.0027458731933208158	13	5	biological_process
GO:0006897	endocytosis	0.0037837760264300265	29	3	biological_process
GO:0042113	B cell activation	0.010788418780454938	17	4	biological_process
GO:0000910	cytokinesis	0.0034474656915428046	19	3	biological_process
GO:0042110	T cell activation	0.008634576139836968	38	4	biological_process
GO:0051325	interphase	8.02932598061297e-09	9	3	biological_process
GO:0044409	entry into host	0.0059556904465879	2	5	biological_process
GO:0006260	DNA replication	0.0041671171215187	85	5	biological_process
GO:0051320	S phase	9.687318349585982e-05	32	3	biological_process
GO:0006298	mismatch repair	0.003423259818908192	11	6	biological_process
GO:0001775	cell activation	0.009032292468647634	70	2	biological_process
GO:0006412	translation	0.004203036471020436	58	5	biological_process
GO:0007062	sister chromatid cohesion	0.009604994314799175	10	3	biological_process
GO:0019083	viral transcription	0.0002294739183214847	12	2	biological_process
GO:0007155	cell adhesion	0.009858538726037099	50	2	biological_process
GO:0035329	hippo signaling	0.007664573285264693	8	4	biological_process
GO:0006306	DNA methylation	0.001258333534831532	90	4	biological_process
GO:0006909	phagocytosis	0.0025556058175686936	16	3	biological_process
GO:0031497	chromatin assembly	9.566166571639016e-06	5	5	biological_process
GO:0042098	T cell proliferation	0.00212829769503934	16	5	biological_process
GO:0006276	plasmid maintenance	6.795414898997433e-08	2	2	biological_process
GO:0044850	menstrual cycle	5.106388745315445e-10	2	3	biological_process
GO:0046907	intracellular transport	0.003976356230074303	18	3	biological_process
GO:0042696	menarche	8.908634591667116e-05	6	3	biological_process
GO:0000266	mitochondrial fission	0.00029321105491170505	3	6	biological_process
GO:0007258	JUN phosphorylation	9.916760040987142e-07	3	7	biological_process
GO:0070269	pyroptosis	9.459233578190877e-10	5	4	biological_process
GO:0050821	protein stabilization	1.3642741859319188e-06	5	4	biological_process
GO:0002576	platelet degranulation	2.4708647401141977e-21	3	4	biological_process
GO:0006508	proteolysis	0.011447136335595761	55	4	biological_process
GO:0016458	gene silencing	0.01063706878465628	20	2	biological_process
GO:0016571	histone methylation	0.00457132687914274	11	5	biological_process
GO:0006119	oxidative phosphorylation	0.0004792117980264774	7	3	biological_process
