Gene_ID	Symbol	Synonyms	Chromosome	Gene_Name	Source
1	A1BG	A1B|ABG|GAB|HYST2477	19	alpha-1-B glycoprotein	HGNC_protein_coding
29974	A1CF	ACF|ASP|ACF64|ACF65|APOBEC1CF	10	APOBEC1 complementation factor	HGNC_protein_coding
2	A2M	FWP007|S863-7|CPAMD5	12	alpha-2-macroglobulin	HGNC_protein_coding
144568	A2ML1	FLJ25179|p170	12	alpha-2-macroglobulin like 1	HGNC_protein_coding
127550	A3GALT2	IGBS3S|IGB3S	1	alpha 1,3-galactosyltransferase 2	HGNC_protein_coding
53947	A4GALT	A14GALT|Gb3S|P(k)	22	alpha 1,4-galactosyltransferase (P blood group)	HGNC_protein_coding
51146	A4GNT	alpha4GnT	3	alpha-1,4-N-acetylglucosaminyltransferase	HGNC_protein_coding
8086	AAAS	AAA|AAASb|ADRACALA|ADRACALIN|ALADIN|GL003	12	aladin WD repeat nucleoporin	HGNC_protein_coding
65985	AACS	FLJ12389|SUR-5|ACSF1	12	acetoacetyl-CoA synthetase	HGNC_protein_coding
13	AADAC	DAC|CES5A1	3	arylacetamide deacetylase	HGNC_protein_coding
344752	AADACL2	MGC72001	3	arylacetamide deacetylase like 2	HGNC_protein_coding
126767	AADACL3	OTTHUMG00000001887	1	arylacetamide deacetylase like 3	HGNC_protein_coding
343066	AADACL4	OTTHUMG00000001889	1	arylacetamide deacetylase like 4	HGNC_protein_coding
51166	AADAT	KATII|KAT2|KYAT2	4	aminoadipate aminotransferase	HGNC_protein_coding
79719	AAGAB	FLJ11506|p34	15	alpha and gamma adaptin binding protein	HGNC_protein_coding
22848	AAK1	KIAA1048|DKFZp686K16132	2	AP2 associated kinase 1	HGNC_protein_coding
28971	AAMDC	PTD015|FLJ21035|CK067	11	adipogenesis associated Mth938 domain containing	HGNC_protein_coding
14	AAMP	-	2	angio associated migratory cell protein	HGNC_protein_coding
15	AANAT	SNAT	17	aralkylamine N-acetyltransferase	HGNC_protein_coding
25980	AAR2	bA234K24.2	20	AAR2 splicing factor	HGNC_protein_coding
441376	AARD	LOC441376	8	alanine and arginine rich domain containing protein	HGNC_protein_coding
16	AARS1	CMT2N|AlaRS	16	alanyl-tRNA synthetase 1	HGNC_protein_coding
57505	AARS2	KIAA1270|bA444E17.1	6	alanyl-tRNA synthetase 2, mitochondrial	HGNC_protein_coding
80755	AARSD1	MGC2744|AlaXp	17	alanyl-tRNA synthetase domain containing 1	HGNC_protein_coding
132949	AASDH	NRPS998|LYS2|ACSF4	4	aminoadipate-semialdehyde dehydrogenase	HGNC_protein_coding
60496	AASDHPPT	LYS5|CGI-80|AASD-PPT|ACPS	11	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	HGNC_protein_coding
10157	AASS	LORSDH|LKRSDH	7	aminoadipate-semialdehyde synthase	HGNC_protein_coding
26574	AATF	DED|CHE-1|CHE1|BFR2	17	apoptosis antagonizing transcription factor	HGNC_protein_coding
9625	AATK	AATYK|KIAA0641|LMTK1|LMR1|AATYK1|PPP1R77	17	apoptosis associated tyrosine kinase	HGNC_protein_coding
18	ABAT	GABAT|GABA-T	16	4-aminobutyrate aminotransferase	HGNC_protein_coding
19	ABCA1	TGD	9	ATP binding cassette subfamily A member 1	HGNC_protein_coding
20	ABCA2	ABC2|IDPOGSA	9	ATP binding cassette subfamily A member 2	HGNC_protein_coding
21	ABCA3	ABC-C|EST111653|LBM180	16	ATP binding cassette subfamily A member 3	HGNC_protein_coding
24	ABCA4	FFM|ARMD2|CORD3	1	ATP binding cassette subfamily A member 4	HGNC_protein_coding
23461	ABCA5	EST90625	17	ATP binding cassette subfamily A member 5	HGNC_protein_coding
23460	ABCA6	EST155051	17	ATP binding cassette subfamily A member 6	HGNC_protein_coding
10347	ABCA7	ABCX	19	ATP binding cassette subfamily A member 7	HGNC_protein_coding
10351	ABCA8	KIAA0822	17	ATP binding cassette subfamily A member 8	HGNC_protein_coding
10350	ABCA9	EST640918	17	ATP binding cassette subfamily A member 9	HGNC_protein_coding
10349	ABCA10	EST698739	17	ATP binding cassette subfamily A member 10	HGNC_protein_coding
26154	ABCA12	DKFZP434G232|LI2	2	ATP binding cassette subfamily A member 12	HGNC_protein_coding
154664	ABCA13	FLJ33876|FLJ33951	7	ATP binding cassette subfamily A member 13	HGNC_protein_coding
