Letter,Gene_ID,Gene_Name,GO_ID,GO_Namespace,GO_Name,GOF,a,b,c,d,Pvalue,Adjusted_Pvalue,Enrichment_Score,GO_Level,GO_Children,GSEA_MSigDB,NCBI_Entrez
A,207,AKT1,GO:0016310,biological_process,phosphorylation,,783,2119,1982,47465,0.0,0.0,702.7576298136761,5,8,0,1
A,207,AKT1,GO:0023052,biological_process,signaling,,1400,1502,6509,42938,0.0,0.0,702.7576298136761,1,6,0,0
V,7422,VEGFA,GO:0040007,biological_process,growth,,942,557,7840,43010,0.0,0.0,702.7576298136761,1,10,1,0
M,2956,MSH6,GO:0006298,biological_process,mismatch repair,,474,203,1070,50602,0.0,0.0,702.7576298136761,6,2,1,1
M,4436,MSH2,GO:0006298,biological_process,mismatch repair,,573,324,971,50481,0.0,0.0,702.7576298136761,6,2,1,1
M,4292,MLH1,GO:0006298,biological_process,mismatch repair,,755,1310,789,49495,0.0,0.0,702.7576298136761,6,2,1,1
M,4292,MLH1,GO:0032259,biological_process,methylation,,1230,835,2585,47699,0.0,0.0,702.7576298136761,2,1,0,0
D,1769,DNAH8,GO:0016887,molecular_function,ATPase,,140,0,70,52139,0.0,0.0,702.7576298136761,1,16,0,0
P,5395,PMS2,GO:0006298,biological_process,mismatch repair,,401,194,1143,50611,0.0,0.0,702.7576298136761,6,2,1,1
P,5747,PTK2,GO:0005925,cellular_component,focal adhesion,,166,216,84,51883,6.255172006001802e-306,6.255172006001802e-306,702.7576298136761,5,1,0,3
V,7422,VEGFA,GO:0001525,biological_process,angiogenesis,,401,1098,1153,49697,1.5266308804409253e-271,1.5411702221594102e-271,623.5680181890078,3,5,0,2
E,1956,EGFR,GO:0040007,biological_process,growth,,741,535,8041,43032,3.3192261092477834e-251,3.3192261092477834e-251,576.7491266853732,1,10,1,0
M,5594,MAPK1,GO:0016310,biological_process,phosphorylation,,466,951,2299,48633,8.554089986212182e-244,8.554089986212182e-244,559.6843531610161,5,8,0,0
C,1499,CTNNB1,GO:0023052,biological_process,signaling,,746,712,7163,43728,6.517114678083581e-236,6.517114678083582e-236,541.5356502026395,1,6,0,0
M,2475,MTOR,GO:0023052,biological_process,signaling,,700,618,7209,43822,1.2270952306291745e-233,1.2270952306291745e-233,536.2976768923209,1,6,0,0
P,5468,PPARG,GO:0005777,cellular_component,peroxisome,,109,67,101,52072,1.8082261575596377e-227,1.808226157559638e-227,522.0944697683553,6,9,0,0
T,7015,TERT,GO:0003720,molecular_function,telomerase activity,,102,136,30,52081,4.0720479975917387e-221,4.072047997591738e-221,507.46715948527753,5,1,1,3
A,8289,ARID1A,GO:0006338,biological_process,chromatin remodeling,,123,358,70,51798,3.710972058907079e-205,3.710972058907079e-205,470.7186502109917,5,6,1,1
L,3897,L1CAM,GO:0007155,biological_process,cell adhesion,,136,178,457,51578,2.618710802299801e-181,2.618710802299801e-181,415.8052196954415,2,7,0,1
M,5594,MAPK1,GO:0023052,biological_process,signaling,,650,767,7259,43673,2.5633464835969712e-172,2.5882333426610196e-172,395.093660459086,1,6,0,0
S,6462,SHBG,GO:0042562,molecular_function,hormone binding,,70,145,21,52113,5.976621358347127e-153,5.976621358347127e-153,350.50766381003655,2,14,1,0
M,5595,MAPK3,GO:0016310,biological_process,phosphorylation,,256,428,2509,49156,5.573368756326128e-147,5.573368756326128e-147,336.7620089953563,5,8,0,1
I,3479,IGF1,GO:0040007,biological_process,growth,,403,266,8379,43301,3.860539826758471e-143,3.860539826758471e-143,327.9188612729583,1,10,1,0
M,4292,MLH1,GO:0040007,biological_process,growth,,15,2050,8767,41517,1.987572919630399e-141,2.0265449376623677e-141,323.9581657703078,1,10,0,0
R,11186,RASSF1,GO:0032259,biological_process,methylation,,148,35,3667,48499,1.148286233696825e-133,1.148286233696825e-133,306.10554676890035,2,1,0,0
E,2064,ERBB2,GO:0040007,biological_process,growth,,487,466,8295,43101,1.8983987505996067e-133,1.8983987505996067e-133,305.60280660020226,1,10,1,0
M,4292,MLH1,GO:0023052,biological_process,signaling,,17,2048,7892,42392,3.998678529999937e-121,4.117451159603895e-121,277.1975619309429,1,6,0,0
I,3630,INS,GO:0040007,biological_process,growth,,481,511,8301,43056,1.7078890429012516e-120,1.7078890429012516e-120,275.77495302920187,1,10,1,0
C,1588,CYP19A1,GO:0070330,molecular_function,aromatase activity,,52,112,17,52168,4.0662703772169404e-119,4.06627037721694e-119,272.60489985619404,5,1,1,2
N,4915,NTRK2,GO:0043276,biological_process,anoikis,,58,62,97,52132,8.342557757075343e-118,8.342557757075343e-118,269.5836711184445,5,1,1,0
E,2099,ESR1,GO:0005488,molecular_function,binding,,534,1651,3995,46169,9.934028464446419e-114,9.934028464446419e-114,260.1987345192842,1,52,0,0
C,595,CCND1,GO:0007049,biological_process,cell cycle,,178,324,2039,49808,1.8967725493364548e-113,1.8967725493364548e-113,259.5519617247545,2,2,1,0
C,925,CD8A,GO:0007613,biological_process,memory,,54,140,39,52116,3.3966284593149254e-109,3.3966284593149254e-109,249.75899182633205,3,4,0,0
C,29126,CD274,GO:0012501,biological_process,programmed cell death,,58,163,89,52039,1.7696169395161737e-100,1.7696169395161737e-100,229.6877461945931,3,10,0,0
P,5467,PPARD,GO:0005777,cellular_component,peroxisome,,52,52,158,52087,3.287299159594425e-98,3.287299159594425e-98,224.46327280991738,6,9,0,0
E,1950,EGF,GO:0040007,biological_process,growth,,251,160,8531,43407,4.152254543722213e-91,4.152254543722213e-91,208.11159201218226,1,10,0,0
C,1026,CDKN1A,GO:0007049,biological_process,cell cycle,,111,128,2106,50004,3.493841313237797e-86,3.493841313237797e-86,196.77131620373996,2,2,1,0
I,3484,IGFBP1,GO:0005520,molecular_function,insulin-like growth factor binding,,46,120,90,52093,4.27321495389232e-82,4.2732149538923206e-82,187.3596111649683,4,2,0,1
T,7019,TFAM,GO:0006390,biological_process,mitochondrial transcription,,24,7,2,52316,2.9706518124347144e-81,2.9706518124347144e-81,185.42061113831588,6,1,1,1
I,3630,INS,GO:0030073,biological_process,insulin secretion,,53,939,11,51346,7.881048409490544e-81,7.938157455936128e-81,184.4377113426347,5,1,0,0
S,6462,SHBG,GO:0005488,molecular_function,binding,,129,86,4400,47734,2.9971584692642216e-80,3.1844808735932356e-80,183.04851815480654,1,52,0,0
P,5133,PDCD1,GO:0012501,biological_process,programmed cell death,,42,71,105,52131,1.6865625829260478e-79,1.6865625829260478e-79,181.38152986353012,3,10,0,0
T,7040,TGFB1,GO:0023052,biological_process,signaling,,359,511,7550,43929,8.703430081339276e-79,8.703430081339276e-79,179.74050513634708,1,6,0,0
M,5595,MAPK3,GO:0023052,biological_process,signaling,,308,376,7601,44064,1.2555367089420696e-78,1.2751544700192894e-78,179.3585699293073,1,6,0,0
