Letter,Gene_ID,Gene_Name,GO_ID,GO_Namespace,GO_Name,GOF,a,b,c,d,Pvalue,Adjusted_Pvalue,Enrichment_Score,GO_Level,GO_Children,GSEA_MSigDB,NCBI_Entrez
A,207,AKT1,GO:0023052,biological_process,signaling,,5400,5569,38936,194031,0.0,0.0,744.4400719213812,1,6,0,0
V,7422,VEGFA,GO:0040007,biological_process,growth,,3948,2463,42184,195341,0.0,0.0,744.4400719213812,1,10,1,0
B,672,BRCA1,GO:0006281,biological_process,DNA repair,,306,811,1539,241280,0.0,0.0,744.4400719213812,5,15,1,0
P,5468,PPARG,GO:0005777,cellular_component,peroxisome,,319,230,156,243231,0.0,0.0,744.4400719213812,6,9,0,0
T,7015,TERT,GO:0003720,molecular_function,telomerase activity,,178,339,173,243246,0.0,0.0,744.4400719213812,5,1,1,3
M,84557,MAP1LC3A,GO:0006914,biological_process,autophagy,,583,316,5440,237597,0.0,0.0,744.4400719213812,3,7,0,0
A,207,AKT1,GO:0016310,biological_process,phosphorylation,,2981,7988,14101,218866,0.0,0.0,744.4400719213812,5,8,0,1
I,3630,INS,GO:0030073,biological_process,insulin secretion,,1882,3723,257,238074,0.0,0.0,744.4400719213812,5,1,0,0
C,1499,CTNNB1,GO:0023052,biological_process,signaling,,3300,2609,41036,196991,0.0,0.0,744.4400719213812,1,6,0,0
E,1956,EGFR,GO:0040007,biological_process,growth,,4636,4426,41496,193378,0.0,0.0,744.4400719213812,1,10,1,0
V,7422,VEGFA,GO:0001525,biological_process,angiogenesis,,1837,4574,5898,231627,0.0,0.0,744.4400719213812,3,5,0,2
P,5133,PDCD1,GO:0012501,biological_process,programmed cell death,,193,449,462,242832,0.0,0.0,744.4400719213812,3,10,0,0
M,2475,MTOR,GO:0023052,biological_process,signaling,,2075,2174,42261,197426,0.0,0.0,744.4400719213812,1,6,0,0
F,2191,FAP,GO:0072537,biological_process,fibroblast activation,,228,211,100,243397,0.0,0.0,744.4400719213812,3,1,0,0
M,4436,MSH2,GO:0006298,biological_process,mismatch repair,,190,72,399,243275,0.0,0.0,744.4400719213812,6,2,1,1
M,4292,MLH1,GO:0006298,biological_process,mismatch repair,,175,162,414,243185,0.0,0.0,744.4400719213812,6,2,1,1
N,4790,NFKB1,GO:0023052,biological_process,signaling,,2118,2831,42218,196769,0.0,0.0,744.4400719213812,1,6,0,0
C,925,CD8A,GO:0007613,biological_process,memory,,344,1448,290,241854,0.0,0.0,744.4400719213812,3,4,0,0
S,6469,SHH,GO:0023052,biological_process,signaling,,993,534,43343,199066,0.0,0.0,744.4400719213812,1,6,0,0
C,595,CCND1,GO:0007049,biological_process,cell cycle,,538,1175,8227,233996,0.0,0.0,744.4400719213812,2,2,1,0
X,7514,XPO1,GO:0051168,biological_process,nuclear export,,150,91,186,243509,0.0,0.0,744.4400719213812,6,4,1,0
T,7040,TGFB1,GO:0023052,biological_process,signaling,,2720,4179,41616,195421,0.0,0.0,744.4400719213812,1,6,0,0
D,1769,DNAH8,GO:0016887,molecular_function,ATPase,,215,1,341,243379,0.0,0.0,744.4400719213812,1,16,0,0
M,4282,MIF,GO:1905517,biological_process,macrophage migration,,194,197,29,243516,0.0,0.0,744.4400719213812,4,2,1,0
P,5747,PTK2,GO:0005925,cellular_component,focal adhesion,,763,1745,564,240864,0.0,0.0,744.4400719213812,5,1,0,3
M,5595,MAPK3,GO:0016310,biological_process,phosphorylation,,1099,1670,15983,225184,0.0,0.0,744.4400719213812,5,8,0,1
B,8678,BECN1,GO:0006914,biological_process,autophagy,,420,190,5603,237723,0.0,0.0,744.4400719213812,3,7,0,2
S,6774,STAT3,GO:0023052,biological_process,signaling,,2124,2845,42212,196755,0.0,0.0,744.4400719213812,1,6,0,0
M,5594,MAPK1,GO:0023052,biological_process,signaling,,3593,4046,40743,195554,0.0,0.0,744.4400719213812,1,6,0,0
M,5594,MAPK1,GO:0016310,biological_process,phosphorylation,,2457,5182,14625,221672,0.0,0.0,744.4400719213812,5,8,0,0
E,4072,EPCAM,GO:0007155,biological_process,cell adhesion,,263,448,1964,241261,0.0,0.0,744.4400719213812,2,7,0,0
S,6774,STAT3,GO:0016310,biological_process,phosphorylation,,1262,3707,15820,223147,0.0,0.0,744.4400719213812,5,8,0,0
C,1026,CDKN1A,GO:0007049,biological_process,cell cycle,,444,717,8321,234454,5e-324,5e-324,744.4400719213812,2,2,1,0
I,3479,IGF1,GO:0040007,biological_process,growth,,994,602,45138,197202,1.4222e-319,1.4222e-319,734.1724274845586,1,10,1,0
C,847,CAT,GO:0004096,molecular_function,catalase activity,,105,217,1,243613,2.361713600586034e-309,2.361713600586034e-309,710.6394062776639,3,1,0,3
C,1019,CDK4,GO:0007049,biological_process,cell cycle,,393,537,8372,234634,8.676574039759157e-307,8.676574039759157e-307,704.732996794293,2,2,1,0
G,2720,GLB1,GO:0004565,molecular_function,beta-galactosidase activity,,88,40,3,243805,4.845776245340965e-302,4.845776245340965e-302,693.8025906359356,6,1,0,1
M,2956,MSH6,GO:0006298,biological_process,mismatch repair,,122,24,467,243323,1.323840442668197e-298,1.323840442668197e-298,685.8898207735529,6,2,1,1
B,675,BRCA2,GO:0035825,biological_process,homologous recombination,,191,773,468,242504,2.7073602788459474e-298,2.7073602788459474e-298,685.174383618892,6,2,0,0
