Letter,Gene_ID,Gene_Name,GO_ID,GO_Namespace,GO_Name,GOF,a,b,c,d,Pvalue,Adjusted_Pvalue,Enrichment_Score,GO_Level,GO_Children,GSEA_MSigDB,NCBI_Entrez
C,925,CD8A,GO:0007613,biological_process,memory,,125,191,43,7882,7.301464200690018e-150,7.301464200690018e-150,343.39968904562807,3,4,0,0
A,207,AKT1,GO:0023052,biological_process,signaling,,539,719,1051,5932,1.2665180500554003e-99,1.2665180500554003e-99,227.71965276413349,1,6,0,0
E,1956,EGFR,GO:0040007,biological_process,growth,,218,120,1050,6853,1.815977977960589e-98,1.815977977960589e-98,225.0567149599846,1,10,1,0
A,207,AKT1,GO:0016310,biological_process,phosphorylation,,353,905,449,6534,2.1273431610963787e-96,2.1477983837992284e-96,220.28372561747798,5,8,0,1
I,3480,IGF1R,GO:0040007,biological_process,growth,,101,36,1167,6937,1.4053346476676556e-53,1.4053346476676556e-53,121.69673447086653,1,10,0,0
M,4255,MGMT,GO:0032259,biological_process,methylation,,34,4,165,8038,3.816887570456201e-52,3.816887570456201e-52,118.39498951731099,2,1,1,0
I,3630,INS,GO:0030073,biological_process,insulin secretion,,32,220,4,7985,2.4615542274551815e-45,2.461554227455181e-45,102.71553623451071,5,1,0,0
V,7422,VEGFA,GO:0040007,biological_process,growth,,116,85,1152,6888,2.0127911599012216e-44,2.0127911599012216e-44,100.61422169616463,1,10,1,0
P,5563,PRKAA2,GO:0006914,biological_process,autophagy,,34,15,267,7925,2.0155659083899068e-38,2.0155659083899068e-38,86.79733352996928,3,7,0,0
R,6261,RYR1,GO:0016529,cellular_component,sarcoplasmic reticulum,,15,19,2,8205,6.061273415364192e-36,6.061273415364192e-36,81.09114343523105,6,1,0,0
M,574032,MIR20B,GO:0042098,biological_process,T cell proliferation,,17,14,27,8183,1.6895848619126364e-32,1.6895848619126364e-32,73.15824012088855,5,7,0,0
P,5468,PPARG,GO:0005777,cellular_component,peroxisome,,15,11,20,8195,5.9020442377559375e-31,5.902044237755938e-31,69.60483911093883,6,9,0,0
P,5133,PDCD1,GO:0012501,biological_process,programmed cell death,,18,32,23,8168,7.1119759884121065e-31,7.1119759884121065e-31,69.41835776081703,3,10,0,0
B,8678,BECN1,GO:0006914,biological_process,autophagy,,27,12,274,7928,1.2828284016710572e-30,1.2828284016710572e-30,68.82848546085616,3,7,0,2
M,84557,MAP1LC3A,GO:0006914,biological_process,autophagy,,29,19,272,7921,3.347932491023474e-30,3.347932491023474e-30,67.86920980136892,3,7,0,0
C,922,CD5L,GO:0006914,biological_process,autophagy,,33,38,268,7902,3.48736448110913e-29,3.48736448110913e-29,65.52582140889818,3,7,0,0
M,4593,MUSK,GO:0031594,cellular_component,neuromuscular junction,,15,23,15,8188,5.564343767499351e-29,5.564343767499351e-29,65.05858864043685,4,4,1,0
M,84557,MAP1LC3A,GO:0005776,cellular_component,autophagosome,,15,33,10,8183,8.299891055095571e-29,8.736727426416391e-29,64.60743201361547,6,2,1,7
M,2475,MTOR,GO:0023052,biological_process,signaling,,140,157,1450,6494,1.9436839918257065e-28,1.9436839918257065e-28,63.807797466653845,1,6,0,0
S,6508,SLC4A3,GO:0005819,cellular_component,spindle,,18,8,101,8114,2.788676998152551e-28,2.788676998152551e-28,63.446815314676186,5,2,0,0
R,11186,RASSF1,GO:0032259,biological_process,methylation,,20,6,179,8036,3.516670802164207e-28,3.516670802164207e-28,63.21486785660914,2,1,0,0
V,7431,VIM,GO:0005819,cellular_component,spindle,,20,17,99,8105,3.827803160245299e-28,3.827803160245299e-28,63.13009155260823,5,2,0,0
V,7422,VEGFA,GO:0001525,biological_process,angiogenesis,,34,167,82,7958,3.7903454346408135e-28,3.908793729473339e-28,63.10915378652083,3,5,0,2
L,4038,LRP4,GO:0031594,cellular_component,neuromuscular junction,,13,10,17,8201,1.0448943589026171e-27,1.0448943589026171e-27,62.12588172249181,4,4,1,0
