Letter,Gene_ID,Gene_Name,GO_ID,GO_Namespace,GO_Name,GOF,a,b,c,d,Pvalue,Adjusted_Pvalue,Enrichment_Score,GO_Level,GO_Children,GSEA_MSigDB,NCBI_Entrez
A,174,AFP,GO:0060417,cellular_component,yolk,,186,91,426,9616,1.0753727455230397e-168,1.0753727455230397e-168,386.76162828149904,2,1,0,0
T,7015,TERT,GO:0003720,molecular_function,telomerase activity,,42,63,5,10209,2.360578913248323e-82,2.360578913248323e-82,187.95307073433204,5,1,1,3
M,4255,MGMT,GO:0032259,biological_process,methylation,,77,15,664,9563,4.54369990352328e-74,4.54369990352328e-74,168.87755524467985,2,1,1,0
T,7039,TGFA,GO:0023052,biological_process,signaling,,103,30,1035,9151,8.045932373709872e-73,8.045932373709872e-73,166.00354512003082,1,6,0,0
V,7422,VEGFA,GO:0040007,biological_process,growth,,97,33,995,9194,1.2804371899629165e-67,1.2804371899629165e-67,154.0259996563275,1,10,1,0
T,732253,TDRG1,GO:0006914,biological_process,autophagy,,54,62,119,10084,3.201246912253302e-67,3.201246912253302e-67,153.10966083661398,3,7,0,0
T,7258,TSPY1,GO:0000806,cellular_component,Y chromosome,,49,110,47,10113,1.711998107017979e-65,1.711998107017979e-65,149.13036987260782,7,1,0,0
X,7503,XIST,GO:0000805,cellular_component,X chromosome,,36,88,22,10173,1.3033476658452187e-56,1.3033476658452187e-56,128.67982912558568,7,1,0,0
T,7157,TP53,GO:0002524,biological_process,hypersensitivity,,63,347,71,9838,4.685826849776906e-53,4.685826849776906e-53,120.49246753981994,5,4,0,0
D,1786,DNMT1,GO:0006306,biological_process,DNA methylation,,49,60,188,10022,2.553486251372742e-52,2.553486251372742e-52,118.79696525282772,4,4,1,1
P,378825,PICSAR,GO:0005634,cellular_component,nucleus,,38,27,146,10108,6.117980479784569e-51,6.117980479784569e-51,115.62060768759308,5,11,0,0
B,649,BMP1,GO:0023052,biological_process,signaling,,71,22,1067,9159,1.588524292478315e-49,1.588524292478315e-49,112.3638640893824,1,6,0,0
N,4838,NODAL,GO:0023052,biological_process,signaling,,62,11,1076,9170,1.024559152630645e-48,1.024559152630645e-48,110.4998220386357,1,6,0,0
A,207,AKT1,GO:0023052,biological_process,signaling,,111,111,1027,9070,1.0822332466179502e-48,1.0822332466179502e-48,110.44505773663455,1,6,0,0
E,1956,EGFR,GO:0040007,biological_process,growth,,81,45,1011,9182,2.1439043480497787e-48,2.1439043480497787e-48,109.76145583528361,1,10,1,0
C,1499,CTNNB1,GO:0023052,biological_process,signaling,,87,57,1051,9124,3.5159157044418994e-47,3.5159157044418994e-47,106.9641993660305,1,6,0,0
R,11186,RASSF1,GO:0032259,biological_process,methylation,,54,19,687,9559,1.1888416715526822e-46,1.1888416715526822e-46,105.74593482989958,2,1,0,0
T,7442,TRPV1,GO:0043052,biological_process,thermotaxis,,17,15,0,10287,1.195527561491985e-45,1.195527561491985e-45,103.43774162271771,3,1,0,0
I,3479,IGF1,GO:0040007,biological_process,growth,,54,8,1038,9219,9.43989971535355e-45,9.43989971535355e-45,101.37138382800464,1,10,1,0
M,5594,MAPK1,GO:0016310,biological_process,phosphorylation,,61,123,304,9831,1.6033505865364183e-43,1.6033505865364183e-43,98.53906344251878,5,8,0,0
M,4085,MAD2L1,GO:0005819,cellular_component,spindle,,30,49,61,10179,4.527261829281366e-43,4.527261829281366e-43,97.50104169470147,5,2,1,0
H,127540,HMGB4,GO:0005488,molecular_function,binding,,44,5,825,9445,2.3910037492283252e-42,2.3910037492283252e-42,95.83686064921628,1,52,0,0
D,1789,DNMT3B,GO:0002524,biological_process,hypersensitivity,,39,106,95,10079,7.996959503619952e-42,7.996959503619952e-42,94.62951249835947,5,4,0,0
B,673,BRAF,GO:0006298,biological_process,mismatch repair,,23,24,34,10238,1.0208593342492154e-41,1.0208593342492154e-41,94.38534405559255,6,2,0,0
C,925,CD8A,GO:0007613,biological_process,memory,,19,19,16,10265,9.502435917521694e-40,9.502435917521694e-40,89.85185554165267,3,4,0,0
P,26227,PHGDH,GO:0006914,biological_process,autophagy,,28,17,145,10129,1.726430880765385e-39,1.726430880765385e-39,89.25476242403035,3,7,0,0
M,4292,MLH1,GO:0032259,biological_process,methylation,,45,15,696,9563,1.8056010648140752e-39,1.8056010648140752e-39,89.2099250905181,2,1,0,0
E,2067,ERCC1,GO:0006281,biological_process,DNA repair,,28,31,96,10164,2.7318915192244576e-39,2.7318915192244573e-39,88.79582439330571,5,15,1,1
P,5289,PIK3C3,GO:0006914,biological_process,autophagy,,21,0,152,10146,1.4862537051164593e-38,1.4862537051164593e-38,87.1019748718245,3,7,0,1
M,5595,MAPK3,GO:0016310,biological_process,phosphorylation,,42,47,323,9907,1.081213153236641e-37,1.081213153236641e-37,85.11756474002783,5,8,0,1
P,5291,PIK3CB,GO:0006914,biological_process,autophagy,,21,1,152,10145,3.2236897707083602e-37,3.2236897707083602e-37,84.02512184573162,3,7,0,0
A,207,AKT1,GO:0016310,biological_process,phosphorylation,,60,162,305,9792,5.0059335607149544e-37,5.141229062355899e-37,83.55835627270672,5,8,0,1
P,142,PARP1,GO:0035825,biological_process,homologous recombination,,23,44,39,10213,3.471635641868372e-36,3.471635641868372e-36,81.64843749835251,6,2,0,0
R,5868,RAB5A,GO:0006914,biological_process,autophagy,,21,2,152,10144,3.655007723735154e-36,3.655007723735154e-36,81.5969651413891,3,7,0,0
B,8678,BECN1,GO:0006914,biological_process,autophagy,,20,1,153,10145,2.0712256780920545e-35,2.0712256780920545e-35,79.86233770772493,3,7,0,2
B,701,BUB1B,GO:0005819,cellular_component,spindle,,19,6,72,10222,2.103396088405759e-35,2.103396088405759e-35,79.8469250313426,5,2,1,1
T,7157,TP53,GO:0002039,molecular_function,p53 binding,,24,386,0,9909,1.2388792552480891e-34,1.2500403296196936e-34,78.06471734730805,3,1,1,1
S,6462,SHBG,GO:0042562,molecular_function,hormone binding,,13,18,1,10287,1.2025385674597007e-33,1.2025385674597007e-33,75.8008732735885,2,14,1,0
M,225689,MAPK15,GO:0006914,biological_process,autophagy,,26,28,147,10118,1.241944807357113e-32,1.241944807357113e-32,73.46604443180644,3,7,0,0
C,796,CALCA,GO:0032259,biological_process,methylation,,37,14,704,9564,1.0039701901427204e-31,1.0039701901427204e-31,71.37617555307958,2,1,0,0
C,1385,CREB1,GO:0016310,biological_process,phosphorylation,,29,16,336,9938,1.0462252512897844e-31,1.0462252512897844e-31,71.33494919495486,5,8,0,0
C,966,CD59,GO:0003094,biological_process,glomerular filtration,,10,0,4,10305,2.6651120736577864e-31,2.6651120736577864e-31,70.39989177217649,5,1,0,0
C,920,CD4,GO:0007613,biological_process,memory,,14,8,21,10276,4.1401403597883105e-31,4.1401403597883105e-31,69.95940819222238,3,4,0,0
E,2072,ERCC4,GO:0006281,biological_process,DNA repair,,19,9,105,10186,4.934037185993126e-31,4.934037185993126e-31,69.78398032805381,5,15,1,1
